epoch,train_loss,train_loss_best,valid_loss,valid_loss_best,valid_accuracy,valid_kappa,dur
1.000000,0.497762,1.000000,0.515800,1.000000,0.757478,0.629137,749.472129
2.000000,0.497622,1.000000,0.540572,0.000000,0.750530,0.631686,748.450880
3.000000,0.496174,1.000000,0.525301,0.000000,0.752595,0.622818,740.470397
4.000000,0.488875,1.000000,0.511816,1.000000,0.757757,0.636960,744.426955
5.000000,0.481541,1.000000,0.543000,0.000000,0.752679,0.633552,741.183879
6.000000,0.481732,0.000000,0.515347,0.000000,0.744196,0.638414,746.807120
7.000000,0.477471,1.000000,0.514940,0.000000,0.755301,0.664093,743.146267
8.000000,0.474733,1.000000,0.532324,0.000000,0.752762,0.624900,746.185052
9.000000,0.475382,0.000000,0.511208,1.000000,0.758259,0.644171,744.995914
10.000000,0.476980,0.000000,0.507761,1.000000,0.757506,0.637897,742.358523
11.000000,0.471437,1.000000,0.497111,1.000000,0.759821,0.634659,740.285227
12.000000,0.470660,1.000000,0.486226,1.000000,0.753181,0.660438,743.173388
13.000000,0.477094,0.000000,0.482220,1.000000,0.760296,0.658552,740.676896
14.000000,0.465107,1.000000,0.508830,0.000000,0.759319,0.658728,744.501912
15.000000,0.466445,0.000000,0.488686,0.000000,0.760491,0.648447,736.548430
16.000000,0.461745,1.000000,0.495137,0.000000,0.761384,0.650055,741.910797
17.000000,0.460133,1.000000,0.493039,0.000000,0.768025,0.656523,744.909044
18.000000,0.458401,1.000000,0.491318,0.000000,0.765011,0.651863,739.969389
19.000000,0.459508,0.000000,0.556941,0.000000,0.737472,0.633132,740.693770
20.000000,0.451686,1.000000,0.500770,0.000000,0.766155,0.641209,735.131372
21.000000,0.450237,1.000000,0.501055,0.000000,0.751897,0.675621,737.497215
22.000000,0.454007,0.000000,0.504671,0.000000,0.759626,0.651283,739.736811
23.000000,0.453602,0.000000,0.471171,1.000000,0.768834,0.657708,734.838420
24.000000,0.446063,1.000000,0.485743,0.000000,0.765402,0.656473,739.272731
25.000000,0.447268,0.000000,0.516770,0.000000,0.757450,0.660596,743.298649
26.000000,0.454660,0.000000,0.496723,0.000000,0.759989,0.676151,737.465758
27.000000,0.443641,1.000000,0.470810,1.000000,0.760491,0.667438,742.664261
28.000000,0.439099,1.000000,0.483033,0.000000,0.771568,0.653536,745.975163
29.000000,0.444730,0.000000,0.480518,0.000000,0.769113,0.665975,739.186572
30.000000,0.435001,1.000000,0.507024,0.000000,0.755831,0.658958,737.495502
31.000000,0.444908,0.000000,0.497711,0.000000,0.763421,0.637138,738.850723
32.000000,0.436328,0.000000,0.494599,0.000000,0.767522,0.640531,738.409123
