epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,time
1,0.934665,0.858116,0.747866,0.000000,1331.770540
2,0.872402,0.850092,0.747866,0.000000,1344.157438
3,0.871861,0.852943,0.747866,0.000000,1673.356416
4,0.871101,0.850136,0.747866,0.000000,1357.128941
5,0.871898,0.850174,0.747866,0.000000,1326.944758
6,0.870782,0.851999,0.747866,0.000000,1333.023567
7,0.870929,0.849557,0.747866,0.000000,1323.564681
8,0.870370,0.853449,0.747866,0.000000,1368.808777
9,0.870908,0.856057,0.747866,0.000000,1340.272750
10,0.870962,0.850009,0.747866,0.000000,1340.531312
11,0.871216,0.848362,0.747866,0.000000,1321.496953
12,0.870650,0.849811,0.747866,0.000000,1320.452412
13,0.871775,0.849271,0.747866,0.000000,1325.431574
14,0.870809,0.860970,0.747866,0.000000,1326.240286
15,0.870539,0.849255,0.747866,0.000000,1337.003061
16,0.870401,0.848256,0.747866,0.000000,1328.688004
17,0.870771,0.849170,0.747866,0.000000,1320.812662
18,0.870748,0.851649,0.747866,0.000000,1333.657994
19,0.870521,0.849535,0.747866,0.000000,1338.059129
20,0.870414,0.849598,0.747866,0.000000,1321.116939
21,0.870845,0.850958,0.747866,0.000000,1325.807645
22,0.870268,0.849575,0.747866,0.000000,1317.185474
23,0.869866,0.852121,0.747866,0.000000,1321.372978
24,0.870471,0.851647,0.747866,0.000000,1316.809844
25,0.869890,0.851120,0.747866,0.000000,1321.335805
26,0.868779,0.851805,0.747866,0.000000,1324.633563
27,0.868619,0.849277,0.747866,0.000000,1323.325662
28,0.868308,0.847337,0.747866,0.000000,1321.862235
29,0.864572,0.844093,0.747866,0.000000,1328.065292
30,0.862195,0.852183,0.747866,0.000000,1335.202385
31,0.860640,0.843824,0.747866,0.000000,1320.091763
32,0.858782,0.850947,0.747866,0.000000,1327.751012
33,0.856924,0.839429,0.747866,0.000000,1323.445199
34,0.856366,0.849009,0.747866,0.000000,1323.946705
35,0.855613,0.840800,0.747866,0.000000,1317.006916
36,0.853125,0.852903,0.747866,0.000000,1319.736732
37,0.850641,0.838189,0.747866,0.000000,1341.510762
38,0.849969,0.836077,0.747866,0.000000,1323.459976
39,0.848385,0.829638,0.747866,0.000000,1333.601843
40,0.846275,0.831617,0.747866,0.000000,1323.989580
