epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,time
1,0.904945,0.850996,0.747866,0.000000,1807.464085
2,0.875083,0.851055,0.747866,0.000000,1513.439797
3,0.872683,0.849132,0.747866,0.000000,1425.335189
4,0.871361,0.846763,0.747866,0.000000,1392.811148
5,0.870153,0.849530,0.747866,0.000000,1410.654467
6,0.865644,0.848306,0.747866,0.000000,1396.163391
7,0.864308,0.843580,0.747866,0.000000,1392.253141
8,0.859738,0.839858,0.747866,0.000000,1398.564410
9,0.857199,0.831330,0.747866,0.000000,1388.380345
10,0.854285,0.831529,0.747866,0.000000,1391.748349
11,0.851985,0.828721,0.747866,0.000000,1385.990165
12,0.847836,0.824850,0.747866,0.000000,1391.049133
13,0.847443,0.828099,0.747866,0.000000,1391.092385
14,0.844919,0.822565,0.747866,0.000000,1405.915560
15,0.840097,0.812913,0.747866,0.000000,1383.382905
16,0.838529,0.809757,0.747866,0.000000,1386.612618
17,0.830160,0.806587,0.747866,0.000000,1510.690407
18,0.820214,0.781527,0.747866,0.000000,1958.881286
19,0.813905,0.780777,0.747866,0.000000,1388.432410
20,0.804812,0.768011,0.747866,0.030014,1386.504408
21,0.799573,0.763082,0.748435,0.099084,1383.372756
22,0.794518,0.775255,0.748435,0.032761,1477.725431
23,0.787287,0.776856,0.747297,0.068431,1576.354154
24,0.777877,0.748847,0.750142,0.183564,1572.777254
25,0.770378,0.757471,0.747866,0.083048,1402.316568
26,0.762916,0.738867,0.749004,0.245222,1404.092663
27,0.752058,0.743021,0.752988,0.315296,1426.782826
28,0.740200,0.723603,0.756403,0.313700,1409.092950
29,0.730268,0.706857,0.760387,0.370965,1403.255402
30,0.714518,0.689996,0.766079,0.324813,1381.072498
31,0.694641,0.706217,0.775185,0.545831,1396.199960
32,0.682772,0.658920,0.780876,0.468156,1454.827324
33,0.673882,0.648372,0.788845,0.492192,1415.226048
34,0.648555,0.633432,0.787706,0.555601,1477.067084
35,0.630358,0.632422,0.797382,0.612607,1544.098430
36,0.615991,0.619373,0.809334,0.636538,1399.939957
37,0.605708,0.597263,0.816164,0.614613,1377.749500
38,0.600209,0.595340,0.815026,0.627733,1376.781974
39,0.593044,0.586287,0.814456,0.615547,1382.228441
40,0.581957,0.590971,0.815595,0.629134,1377.272977
41,0.579910,0.601452,0.808196,0.524721,1377.732140
42,0.573079,0.585978,0.819579,0.650307,1387.478863
43,0.566944,0.586491,0.819010,0.666599,1394.594670
44,0.561036,0.641505,0.801366,0.660470,1374.343939
45,0.552169,0.607488,0.807627,0.666833,1377.516567
46,0.553208,0.601332,0.816164,0.677078,1394.419163
47,0.547024,0.589075,0.819579,0.633609,1375.679218
48,0.556571,0.575643,0.816733,0.647359,1377.328655
49,0.538922,0.590014,0.816164,0.607525,1381.173774
50,0.527601,0.784268,0.745020,0.627403,1383.105394
51,0.529954,0.580374,0.822994,0.685957,1375.230585
52,0.520659,0.620776,0.806488,0.667598,1379.224778
53,0.514980,0.569677,0.819579,0.644937,1373.624099
54,0.513631,0.600331,0.817871,0.686600,1385.445102
55,0.502250,0.640941,0.793398,0.661913,1376.813578
56,0.493281,0.587294,0.815595,0.669970,1378.681528
57,0.493268,0.610086,0.808196,0.667944,1375.078935
58,0.480366,0.606549,0.807057,0.659510,1376.667390
59,0.479614,0.586679,0.816733,0.644738,1377.781208
60,0.477201,0.657663,0.793967,0.634335,1382.329207
61,0.468571,0.577396,0.822994,0.675963,1384.391421
62,0.464173,0.578490,0.825270,0.683284,1388.076312
63,0.453666,0.617229,0.810472,0.674519,1384.429954
64,0.441710,0.613971,0.815595,0.704254,1376.981644
65,0.436149,0.621546,0.812749,0.648896,1379.201195
66,0.436964,0.653784,0.819010,0.681535,1375.690305
67,0.425122,0.684511,0.808196,0.688199,1383.086458
68,0.417657,0.700248,0.820148,0.675902,1376.104397
69,0.405744,0.734981,0.801366,0.637895,1382.292118
70,0.417605,0.750129,0.819010,0.633838,1381.744631
71,0.392309,0.704530,0.807627,0.676005,1378.029045
72,0.386769,0.655919,0.809334,0.650294,1375.312467
73,0.387656,0.694582,0.799659,0.672330,1376.604285
74,0.383943,0.696800,0.788275,0.651700,1379.243982
75,0.379691,0.626179,0.822425,0.649030,1379.570912
76,0.364967,0.730487,0.821855,0.682839,1373.091306
77,0.355721,0.808280,0.773478,0.631482,1382.024597
78,0.364842,0.735391,0.808196,0.682446,1379.521586
79,0.350716,0.745277,0.815026,0.643954,1388.209364
80,0.344744,0.710421,0.819010,0.701682,1373.293761
81,0.333254,0.798262,0.816164,0.664861,1374.248480
82,0.325588,0.724949,0.801935,0.602644,1377.695935
83,0.332133,0.714471,0.803073,0.665867,1379.082228
84,0.325168,0.832199,0.819579,0.694766,1374.005830
85,0.322164,0.858205,0.812749,0.660364,1393.897898
86,0.318359,0.707020,0.817871,0.683529,1382.202509
87,0.314393,0.778899,0.805919,0.672305,1376.036327
88,0.294551,0.923838,0.812749,0.661528,1375.340540
89,0.305559,0.766488,0.800797,0.681529,1379.130290
90,0.299836,0.700705,0.810472,0.652172,1414.037456
91,0.284748,0.734811,0.800228,0.685369,1378.791542
92,0.296550,0.748921,0.796813,0.643410,1381.188110
93,0.295151,0.801813,0.806488,0.652274,1379.249034
94,0.279740,0.805266,0.799659,0.635898,1376.101133
95,0.278539,0.907856,0.815595,0.645501,1381.776113
96,0.269866,0.922166,0.807627,0.669405,1371.503800
97,0.269679,0.866838,0.811611,0.660091,1384.469618
