epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,time
1,0.895542,0.849200,0.747866,0.000000,1410.033522
2,0.868411,0.849710,0.747866,0.000000,1382.252463
3,0.865926,0.846253,0.747866,0.000000,1378.663901
4,0.861587,0.842264,0.747866,0.000000,1379.088946
5,0.860031,0.839231,0.747866,0.000000,1387.539998
6,0.855852,0.836544,0.747866,0.000000,1389.143801
7,0.854001,0.838277,0.747866,0.000000,1388.156421
8,0.850428,0.842898,0.747866,0.000000,1384.265118
9,0.846802,0.824172,0.747866,0.000000,1379.730425
10,0.844590,0.824539,0.747866,0.000000,1403.685445
11,0.838871,0.809554,0.747866,0.000000,1384.422491
12,0.832645,0.804431,0.747866,0.000000,1380.616364
13,0.821532,0.787270,0.747866,0.000000,1458.047264
14,0.809567,0.782702,0.747297,-0.000982,1391.041460
15,0.805175,0.776580,0.746158,-0.003900,1378.538313
16,0.796895,0.774784,0.747297,0.035266,1378.714695
1,0.790555,0.759506,0.749573,0.159385,1409.651685
2,0.779024,0.760001,0.748435,0.125798,1389.384984
3,0.772277,0.807712,0.749004,0.110511,1387.704556
4,0.760110,0.749643,0.751281,0.188848,1387.027928
5,0.765362,0.754076,0.746727,0.181765,1386.818029
6,0.740832,0.741139,0.755834,0.427132,1384.438106
7,0.724701,0.727717,0.761525,0.424823,1382.720501
8,0.714265,0.808795,0.744451,0.481578,1455.663086
9,0.695499,0.687477,0.776323,0.455557,1385.563479
10,0.687375,0.699676,0.764940,0.444938,1386.799889
11,0.671230,0.707503,0.775754,0.450665,1399.688978
12,0.648329,0.671082,0.787706,0.542965,1389.024511
13,0.627014,0.670103,0.782584,0.562219,1382.632542
14,0.612484,0.629076,0.804212,0.529502,1392.489604
15,0.602742,0.627587,0.801366,0.549312,1382.824790
16,0.584883,0.640592,0.797382,0.523155,1402.322610
17,0.574143,0.618941,0.808765,0.555398,1389.560847
18,0.567151,0.604626,0.806488,0.590257,1383.683964
19,0.553861,0.615584,0.803643,0.602409,1399.086709
20,0.547509,0.620564,0.808765,0.625783,1388.376913
21,0.532189,0.638218,0.804781,0.655683,1379.818145
22,0.532515,0.623503,0.805350,0.618291,1389.684304
23,0.512307,0.670284,0.804781,0.533974,1436.071668
24,0.504504,0.626391,0.811042,0.622489,1389.588732
25,0.485618,0.667706,0.804781,0.642979,1390.069199
26,0.489749,0.632655,0.810472,0.638876,1391.411053
27,0.478710,0.710003,0.782015,0.609563,1390.377620
28,0.468894,0.662104,0.801366,0.635877,1452.625091
29,0.456150,0.682043,0.805919,0.610323,1379.320786
30,0.440386,0.698063,0.805919,0.605494,1389.643412
31,0.428555,0.732319,0.772339,0.579354,1382.981328
32,0.420748,0.731785,0.773478,0.629658,1379.326627
33,0.414806,0.770007,0.807627,0.674318,1384.169158
34,0.404625,0.774088,0.793398,0.633169,1381.233259
35,0.405856,0.712343,0.796244,0.651069,1400.508414
36,0.389148,0.633125,0.815595,0.636455,1383.593969
37,0.383638,0.722847,0.805350,0.630128,1384.666986
38,0.368606,0.751486,0.784861,0.646936,1383.589665
