epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,3.100533,2.463479,0.731513,0.111548,0.227542,2142.731061
2,2.428086,2.524625,0.721274,0.421812,0.373073,2273.944503
3,2.361931,2.833203,0.664960,0.462253,0.335929,2149.919496
4,2.306490,2.251927,0.758817,0.354664,0.484829,2006.333632
5,2.240122,2.254458,0.767349,0.490617,0.565484,1994.204345
6,2.202744,2.246182,0.767918,0.433575,0.523129,1997.391538
7,2.166358,2.204035,0.785552,0.553251,0.558240,1999.546609
8,2.134596,2.169934,0.777019,0.481596,0.557721,2002.302769
9,2.113115,2.200896,0.757679,0.518263,0.569083,2068.769622
10,2.096244,2.128672,0.773038,0.571755,0.595847,2194.262605
11,2.076557,2.077195,0.788965,0.482717,0.577377,2197.764100
12,2.057054,2.210815,0.775313,0.445998,0.530974,2363.619775
13,2.039092,2.336554,0.761092,0.360162,0.446733,2131.870329
14,2.033349,2.114795,0.781001,0.490229,0.575233,2149.815848
15,2.009625,2.465837,0.704209,0.546447,0.522620,2088.965501
16,1.995666,2.006692,0.792378,0.555187,0.621771,2271.734474
17,1.980780,2.112699,0.772469,0.464165,0.549857,2135.494028
18,1.959344,2.002234,0.795791,0.563210,0.620434,2181.927391
19,1.947275,2.063399,0.791809,0.452288,0.532876,2253.167273
20,1.937798,2.044403,0.789534,0.548266,0.595538,2170.694893
21,1.920323,2.002509,0.795222,0.595889,0.650516,2429.728704
22,1.911485,2.061300,0.790671,0.577843,0.559317,2216.398687
23,1.902336,1.929409,0.799204,0.591905,0.642296,2264.013238
24,1.894116,2.488880,0.671217,0.496367,0.447651,2309.581934
25,1.883423,1.960336,0.789534,0.581579,0.633565,2276.551766
26,1.865080,2.208276,0.778157,0.445122,0.502548,2393.722456
27,1.860854,2.098516,0.778157,0.595294,0.614760,2355.124103
28,1.849859,2.125361,0.787258,0.482845,0.531930,2450.709232
29,1.836869,1.985771,0.785552,0.578908,0.640955,2458.507854
30,1.826469,1.979145,0.799772,0.648831,0.635135,2521.712898
31,1.819744,2.050337,0.766212,0.605796,0.593006,2210.993297
32,1.802719,1.885594,0.799204,0.644941,0.667245,2305.390540
33,1.800976,1.935885,0.783845,0.641859,0.671412,2086.069399
34,1.787913,2.054027,0.785552,0.469560,0.541587,2001.094065
35,1.766601,1.805589,0.819681,0.695179,0.694552,1991.144319
36,1.720310,1.836036,0.815131,0.699869,0.705537,1989.280941
37,1.685245,1.765819,0.820819,0.710846,0.718633,1994.985795
38,1.658010,1.793863,0.801479,0.721810,0.725640,2046.291099
39,1.632312,2.123290,0.743458,0.608825,0.617747,2284.920743
40,1.620311,1.652770,0.834471,0.699747,0.722627,2175.407137
41,1.606052,1.659288,0.815700,0.710125,0.746822,2228.932935
42,1.589542,1.732064,0.822526,0.645147,0.676800,2002.569558
43,1.582104,1.617973,0.829352,0.721601,0.759422,2065.836659
44,1.566406,1.588355,0.832196,0.733429,0.745856,1974.954790
45,1.549217,1.570196,0.833902,0.714757,0.765832,2025.219082
46,1.544177,1.549464,0.833333,0.720599,0.778587,2005.354243
47,1.535126,1.810314,0.788396,0.695137,0.710670,1987.245398
48,1.521484,1.536691,0.834471,0.736101,0.776357,1988.058642
49,1.513411,1.545451,0.843003,0.750893,0.756766,1991.088687
50,1.498857,1.778488,0.802048,0.715363,0.687475,1996.635041
51,1.499649,1.508560,0.844141,0.756970,0.791417,2001.862966
52,1.485974,1.528637,0.827645,0.743548,0.792413,1993.467017
53,1.485338,1.534799,0.834471,0.695444,0.734925,1990.783530
54,1.477467,1.496423,0.833333,0.731390,0.767560,1996.068559
55,1.463720,1.518628,0.840728,0.765987,0.777665,1994.997163
56,1.451154,1.492605,0.841866,0.763531,0.787389,1996.506197
57,1.451776,1.518906,0.825939,0.761901,0.785641,1994.356145
58,1.434842,1.528156,0.835609,0.701100,0.753772,1990.752820
59,1.430978,1.565347,0.835609,0.725553,0.750473,1989.331736
60,1.418740,1.465925,0.838453,0.717692,0.760758,1997.667952
61,1.415846,1.481111,0.837884,0.709068,0.733954,1992.550063
62,1.420270,1.447049,0.837884,0.768233,0.794559,1994.075471
63,1.403254,1.464976,0.848692,0.771961,0.787047,1995.713535
64,1.396163,1.471420,0.833333,0.750937,0.787270,2103.534715
65,1.387363,1.425052,0.837315,0.753856,0.788391,1987.952583
66,1.376876,1.433667,0.837315,0.769357,0.791634,1990.031027
67,1.379874,1.394099,0.839590,0.753462,0.780225,1987.915264
68,1.374348,1.757138,0.783845,0.673362,0.703034,2010.050293
69,1.361293,1.428617,0.840728,0.766921,0.791544,1998.953488
70,1.356102,1.480004,0.833333,0.766705,0.788703,1995.412795
71,1.348013,1.404810,0.845279,0.761451,0.787870,2019.295007
72,1.340320,1.387553,0.841866,0.779530,0.811579,2513.994895
73,1.335644,1.393988,0.840159,0.766256,0.777294,2358.536298
74,1.329511,1.419619,0.833902,0.712765,0.761264,2341.193428
75,1.328093,1.476792,0.825370,0.733103,0.777580,2218.515173
76,1.319121,1.373862,0.840728,0.774646,0.801291,2216.045881
77,1.313744,1.459311,0.835609,0.724340,0.765754,2286.400939
78,1.310414,1.375027,0.841297,0.752711,0.769411,2109.634470
79,1.299036,1.347783,0.837884,0.756150,0.779425,2121.160261
80,1.298080,1.510435,0.821957,0.732367,0.759785,2171.345822
81,1.289929,1.431520,0.824232,0.722620,0.757892,2240.560439
82,1.287841,1.407012,0.839590,0.732796,0.779975,2361.468973
83,1.278931,1.925668,0.760523,0.614919,0.662046,2263.774512
84,1.278798,1.385614,0.836177,0.788314,0.802801,2158.088617
85,1.272726,1.396714,0.840159,0.757280,0.766443,2127.674248
86,1.265079,1.339870,0.839590,0.778798,0.791338,2153.160675
87,1.258084,1.477011,0.816268,0.728963,0.735059,2162.404390
88,1.259173,1.447547,0.825939,0.755497,0.776691,2218.474038
89,1.248134,1.363259,0.841297,0.776290,0.803089,2210.462669
