epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,inf,2.868018,0.745304,0.000000,0.010554,2327.581563
2,2.904910,2.857695,0.745304,0.000000,0.017299,2330.929690
3,2.891638,2.840620,0.745304,0.000000,0.006146,2311.563593
4,2.878505,2.831408,0.745304,0.000000,0.009599,2236.911908
5,2.867459,2.818301,0.745304,0.000000,0.002189,2320.336300
6,2.855356,2.812902,0.745304,0.000000,-0.003193,2229.606410
7,2.843808,2.797470,0.745304,0.000000,0.031110,2042.903250
8,2.833170,2.784736,0.745304,0.000000,0.017453,2318.901004
9,2.821846,2.771686,0.745304,0.000000,0.009423,2208.629254
10,2.810862,2.762514,0.745304,0.000000,0.010071,2304.336849
11,2.800054,2.753112,0.745304,0.000000,0.001761,2243.106278
12,2.789607,2.739641,0.745304,0.000000,0.035637,2243.314546
13,2.779088,2.728306,0.745304,0.000000,0.011399,2345.423396
14,2.767644,2.715618,0.745304,0.000000,0.024231,2297.202451
