epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,3.284371,2.626200,0.726394,0.049259,0.038839,505.344970
2,2.471252,2.503531,0.728669,0.375517,0.322971,565.453806
3,2.392194,2.474164,0.739477,0.180701,0.289100,597.163071
4,2.344291,2.953995,0.583618,0.386947,0.286394,516.480176
5,2.301859,2.332005,0.752560,0.257495,0.416005,505.863284
6,2.266984,2.272428,0.753129,0.472747,0.506940,489.972686
7,2.230355,2.312015,0.741752,0.158684,0.371226,511.213813
8,2.197566,2.292635,0.752560,0.403821,0.487980,500.354253
9,2.151572,2.767962,0.638225,0.443271,0.421295,485.217301
10,2.115046,2.316428,0.726394,0.570663,0.538055,476.743968
11,2.084325,2.058521,0.775882,0.481352,0.598469,484.839584
12,2.050726,2.412893,0.765643,0.303441,0.354737,503.613877
13,2.025165,2.064722,0.776451,0.439835,0.555892,479.532261
14,2.004856,2.084061,0.781570,0.521524,0.580989,482.994674
15,1.986264,1.959694,0.798066,0.620408,0.699758,466.193494
16,1.967574,2.023619,0.787258,0.529113,0.565583,484.265240
17,1.951249,1.955372,0.803754,0.619762,0.664477,468.648156
18,1.920466,1.994093,0.798635,0.656330,0.620556,468.973026
19,1.912823,2.170862,0.761092,0.623184,0.580549,500.488947
20,1.903548,1.887201,0.801479,0.636230,0.661704,502.436269
21,1.889382,1.870156,0.799204,0.642022,0.702864,501.341123
22,1.872802,1.905266,0.802617,0.659324,0.691397,478.225594
23,1.869894,1.946176,0.797497,0.578268,0.636156,498.614245
24,1.851048,1.823111,0.810011,0.614272,0.678371,548.061401
25,1.840911,1.826906,0.811718,0.694445,0.710074,830.428592
26,1.831647,2.044307,0.796928,0.577054,0.621874,1208.138651
27,1.819442,2.282424,0.742321,0.609454,0.585984,617.426674
28,1.809938,2.011412,0.792947,0.595393,0.644402,491.903230
29,1.799853,1.824460,0.803754,0.645986,0.693071,654.220794
30,1.784467,1.830565,0.800341,0.593331,0.662073,591.008626
31,1.779709,1.806409,0.800910,0.556784,0.634301,913.358138
32,1.764235,1.760163,0.811718,0.669397,0.705223,556.128482
33,1.761928,1.897782,0.784983,0.623269,0.681777,702.344988
34,1.745129,1.871537,0.801479,0.548463,0.609084,702.916756
35,1.738960,1.828984,0.813424,0.634283,0.676890,695.620311
36,1.724500,1.741079,0.813993,0.664228,0.710633,609.681837
37,1.718976,1.773090,0.819681,0.693615,0.719674,594.476288
38,1.712109,1.710118,0.817975,0.720773,0.737710,505.380670
