epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,4.886016,3.406683,0.737770,0.000000,0.109869,670.812593
2,3.314723,3.931379,0.567691,0.281822,0.195483,699.804037
3,3.220227,3.250772,0.742321,0.340722,0.394250,861.564749
4,3.164602,3.158074,0.745165,0.379325,0.445748,826.217918
5,3.112292,3.105463,0.755973,0.425379,0.457396,791.266466
6,3.066851,3.254885,0.730944,0.247901,0.368641,785.755376
7,3.024428,3.126259,0.748009,0.178544,0.338314,663.683688
8,2.977645,3.063520,0.746303,0.509765,0.544928,664.507694
9,2.936102,2.970394,0.765074,0.542080,0.565365,767.211441
10,2.887747,2.919966,0.768487,0.606149,0.575952,794.468063
11,2.845795,3.001055,0.761661,0.291925,0.405539,813.044894
12,2.803916,3.283188,0.754835,0.234606,0.292977,810.756097
13,2.769615,2.728151,0.796928,0.576434,0.649953,723.597400
14,2.736848,2.661645,0.801479,0.641703,0.659527,663.068879
15,2.704290,2.676919,0.798635,0.627532,0.700777,666.911192
16,2.679667,2.983225,0.731513,0.580003,0.545719,665.255196
17,2.657024,2.636807,0.798066,0.570188,0.643269,666.954395
18,2.626957,2.766136,0.773606,0.563394,0.626331,665.823538
19,2.604711,2.712469,0.800341,0.663188,0.636859,664.552979
20,2.585819,2.623796,0.795222,0.663275,0.708121,663.573726
21,2.566178,2.544062,0.811718,0.650029,0.710615,664.988911
22,2.544738,2.621593,0.804892,0.657527,0.632665,663.506337
23,2.523882,2.540004,0.802617,0.595029,0.660712,663.400165
24,2.503527,2.548400,0.807167,0.690539,0.703276,664.996067
25,2.486155,2.475512,0.809443,0.674221,0.714918,663.690882
26,2.465972,2.771514,0.789534,0.506336,0.558857,668.269917
27,2.451593,2.644018,0.787827,0.671284,0.658817,673.164529
28,2.428725,2.456140,0.808305,0.644342,0.683070,675.374694
29,2.415437,2.492337,0.806598,0.679390,0.699704,669.289970
30,2.396280,2.388467,0.808874,0.645761,0.683228,662.277828
31,2.378787,2.494143,0.794653,0.514190,0.603355,665.852743
32,2.364117,2.334618,0.816837,0.689351,0.748239,663.748659
33,2.343298,2.401434,0.798635,0.634821,0.704636,663.517878
34,2.325956,2.312219,0.811149,0.642759,0.695324,663.562203
35,2.306576,2.386959,0.805461,0.698857,0.706403,670.323131
36,2.294372,2.295504,0.817406,0.684185,0.721392,667.730903
37,2.280754,2.345804,0.817975,0.698206,0.720127,665.558336
38,2.271058,2.246873,0.810580,0.643919,0.704305,665.428723
39,2.250200,2.377945,0.801479,0.670222,0.698776,668.736946
40,2.241576,2.196198,0.810580,0.692245,0.733928,665.876388
41,2.223897,2.271879,0.817975,0.685812,0.727727,668.928967
42,2.204745,2.291861,0.804892,0.575966,0.661906,671.335246
43,2.194833,2.189787,0.825939,0.716477,0.731037,677.268482
44,2.185039,2.182771,0.816268,0.698137,0.731331,667.372916
45,2.162000,2.170517,0.808305,0.630799,0.684556,664.442579
46,2.153167,2.189208,0.821388,0.686930,0.727813,666.876546
47,2.139008,2.107764,0.821957,0.694508,0.738203,673.503918
48,2.125018,2.126232,0.824801,0.709774,0.744510,665.328710
49,2.112248,2.226749,0.811149,0.593517,0.640735,665.408063
50,2.097910,2.178669,0.823663,0.637330,0.710189,670.797776
51,2.084644,2.106716,0.824232,0.720677,0.735395,675.900414
52,2.073401,2.094254,0.819113,0.703184,0.729456,664.386068
53,2.054256,2.164835,0.808305,0.672245,0.723708,661.062193
54,2.050770,2.069081,0.828783,0.681209,0.728525,666.457932
55,2.038265,2.088672,0.826507,0.722102,0.735953,668.986740
56,2.021206,2.098246,0.828214,0.717805,0.723442,671.793630
57,2.014755,2.076301,0.824232,0.639093,0.669467,671.280256
58,1.999347,2.265261,0.798066,0.578998,0.631626,663.978739
59,1.987127,2.014480,0.824232,0.707851,0.746993,664.669942
60,1.975264,2.070517,0.829920,0.688232,0.712017,670.514818
61,1.963681,2.010642,0.824232,0.688532,0.719520,678.599214
62,1.957866,1.986097,0.825370,0.731093,0.756902,669.351926
63,1.935038,1.989912,0.820250,0.690333,0.735795,670.349272
64,1.932580,1.946100,0.827076,0.732098,0.747348,686.852769
65,1.923126,1.939932,0.831627,0.746686,0.766034,680.651397
66,1.908604,1.940125,0.823094,0.701909,0.749415,672.686805
67,1.894801,1.966025,0.826507,0.738974,0.752203,665.400746
68,1.888803,1.985847,0.819681,0.645985,0.701081,675.782243
69,1.877057,1.930371,0.824801,0.725699,0.761730,675.685527
70,1.866843,1.936613,0.824801,0.695329,0.726293,666.436515
71,1.854327,1.899785,0.825939,0.727475,0.763412,665.295833
72,1.848255,1.908538,0.824232,0.699245,0.738819,667.453003
73,1.830053,1.934440,0.822526,0.715317,0.734955,666.158686
74,1.831988,1.979732,0.816268,0.642546,0.702299,666.345903
75,1.822934,1.865899,0.825370,0.700813,0.745850,671.683664
76,1.800221,1.892227,0.840159,0.745229,0.745673,673.795327
77,1.792860,1.924570,0.823663,0.712398,0.737696,681.859515
78,1.790443,1.861082,0.826507,0.706201,0.754534,666.417131
79,1.781470,1.910174,0.818544,0.687039,0.731207,686.255457
80,1.764741,1.977256,0.810580,0.711421,0.721405,676.926977
81,1.754867,1.855539,0.828214,0.708237,0.745402,677.342272
82,1.746701,1.934466,0.817975,0.636243,0.689881,666.499328
83,1.736658,1.983413,0.797497,0.681031,0.723997,662.058038
84,1.727727,1.818959,0.831627,0.729309,0.748790,667.590735
85,1.724255,1.805179,0.826507,0.709342,0.741011,664.539373
86,1.710663,1.810136,0.826507,0.738645,0.753766,662.941951
87,1.700959,1.862193,0.825370,0.734658,0.741224,667.004823
88,1.696089,1.877621,0.807167,0.678921,0.722568,666.719742
89,1.680063,1.779174,0.828783,0.720568,0.737608,676.165057
90,1.675359,1.896352,0.820250,0.661914,0.691811,666.226908
91,1.660606,1.850677,0.813993,0.727465,0.744610,680.691679
92,1.655328,1.922653,0.813993,0.648004,0.688445,669.995931
93,1.648101,1.793090,0.834471,0.746909,0.744724,664.984043
94,1.645222,1.800074,0.832196,0.746241,0.761871,665.600071
95,1.630873,1.755559,0.833333,0.738665,0.753705,663.468950
96,1.627302,1.724169,0.817975,0.710479,0.750404,666.391228
97,1.619579,1.703560,0.832196,0.742279,0.758367,664.811868
98,1.607856,1.751593,0.833902,0.726832,0.743794,667.248652
99,1.597604,1.702885,0.836746,0.736911,0.770970,665.721162
100,1.588122,1.765083,0.812856,0.637253,0.692842,665.208333
101,1.583784,1.705284,0.827645,0.720355,0.754262,668.445339
102,1.576373,1.782218,0.815131,0.711704,0.736482,668.420461
103,1.564812,1.733932,0.829352,0.739167,0.767354,737.758647
104,1.555049,1.695949,0.832196,0.730350,0.748277,665.041022
105,1.552157,1.720144,0.826507,0.749621,0.772080,662.341280
106,1.545225,1.626112,0.834471,0.755867,0.770284,665.129694
107,1.534218,1.716070,0.821957,0.727268,0.756128,663.726427
108,1.529781,1.908666,0.813993,0.607169,0.638369,666.058573
109,1.522336,1.693033,0.833902,0.729908,0.764610,664.684926
110,1.513393,1.756183,0.831627,0.734389,0.748378,665.768998
111,1.505339,1.731954,0.837884,0.734703,0.745198,663.863790
112,1.488936,1.835253,0.797497,0.699468,0.718526,662.884998
113,1.495966,1.669059,0.828214,0.733390,0.770375,666.953806
114,1.478410,1.722122,0.827645,0.699929,0.738719,664.377313
115,1.475190,1.666463,0.821388,0.694338,0.728280,663.970951
116,1.472767,1.673139,0.828214,0.735553,0.767156,663.191969
117,1.460403,1.651698,0.832765,0.740176,0.754621,665.154081
118,1.449435,1.703637,0.836177,0.752884,0.763489,663.126857
119,1.438331,1.749186,0.819681,0.708665,0.747219,663.465161
120,1.434103,1.705455,0.841297,0.747104,0.766623,662.894727
121,1.431539,1.722055,0.814562,0.728052,0.739275,662.713939
122,1.421242,1.649635,0.836177,0.709758,0.731617,665.022925
123,1.410710,1.719571,0.827645,0.729749,0.746242,664.950164
124,1.409483,1.674757,0.813993,0.739030,0.749297,662.436945
125,1.406485,1.674956,0.828214,0.674832,0.704526,664.241192
126,1.388987,1.721240,0.807736,0.722213,0.752682,662.093669
127,1.383245,1.745919,0.828783,0.712059,0.732897,664.840586
128,1.378975,1.768830,0.797497,0.677554,0.699580,664.301920
129,1.373306,1.683963,0.811718,0.734502,0.768744,663.472618
130,1.367681,1.653810,0.817975,0.735806,0.751051,662.119915
131,1.355178,1.659294,0.822526,0.698992,0.725872,663.318785
132,1.359487,1.700865,0.822526,0.735463,0.755313,662.530416
133,1.343636,1.657418,0.824801,0.715556,0.742855,663.688505
134,1.334103,1.684505,0.824232,0.740892,0.756244,663.194236
135,1.330657,1.653839,0.817975,0.748672,0.760521,663.898813
136,1.316761,1.658204,0.824801,0.740725,0.767656,661.945996
137,1.321211,1.564271,0.832196,0.711486,0.757408,665.178009
138,1.312329,1.669399,0.817406,0.677992,0.725533,665.286349
139,1.297123,1.694996,0.836177,0.734972,0.744895,663.849908
140,1.297370,1.632004,0.820250,0.739399,0.765941,663.179806
141,1.295750,1.677536,0.824232,0.715956,0.751953,662.618816
142,1.280275,1.695378,0.824232,0.728013,0.768564,662.526086
143,1.277471,1.705718,0.807736,0.701528,0.731897,662.494522
144,1.263820,1.681386,0.825939,0.702325,0.733029,664.610012
145,1.258403,1.835087,0.788965,0.705033,0.721030,662.992828
146,1.258204,1.756497,0.821957,0.699896,0.704780,665.212905
147,1.236942,1.688098,0.811149,0.710696,0.738692,664.687911
148,1.235593,1.606596,0.830489,0.745066,0.756961,662.898235
149,1.229114,1.694126,0.825939,0.732418,0.744787,664.820286
150,1.223510,1.663087,0.819681,0.693890,0.721038,662.755187
151,1.216828,1.767406,0.819113,0.662353,0.684071,670.232199
152,1.219508,1.682647,0.827645,0.718307,0.722681,662.900382
153,1.199989,1.727138,0.827645,0.728755,0.735900,663.584611
154,1.214123,1.662371,0.809443,0.717720,0.735756,664.597404
155,1.202065,1.715100,0.815700,0.724190,0.746593,665.591855
156,1.183732,1.682695,0.824232,0.738015,0.762965,664.552562
157,1.175428,1.696208,0.824232,0.708203,0.735994,668.438043
158,1.179551,1.880309,0.819681,0.661487,0.695325,667.845080
159,1.166465,1.678535,0.826507,0.740164,0.759107,663.752657
160,1.151660,1.625334,0.828783,0.730498,0.743491,663.347319
161,1.152870,2.003240,0.810580,0.687903,0.694120,662.878606
162,1.146047,1.763082,0.823094,0.715283,0.742587,663.609481
163,1.130389,1.742094,0.819113,0.762365,0.773856,662.276041
164,1.124284,1.670181,0.806030,0.684652,0.722557,661.966218
165,1.125066,1.685405,0.828214,0.735207,0.732150,664.023121
166,1.114280,1.765459,0.809443,0.692774,0.709307,663.919833
167,1.120080,1.717579,0.821388,0.688680,0.713465,663.937519
168,1.093554,1.745477,0.808874,0.728517,0.763801,666.628713
169,1.088037,1.712223,0.827076,0.738899,0.757680,669.355565
170,1.089343,1.723389,0.808874,0.705425,0.727248,667.371706
171,1.072834,1.783404,0.818544,0.729954,0.748175,662.738155
172,1.077494,1.697399,0.828214,0.751959,0.773220,669.109589
173,1.062952,1.764808,0.811718,0.725729,0.750543,663.265857
174,1.051269,1.929256,0.777588,0.684651,0.706473,664.276527
175,1.047541,1.850254,0.796928,0.704452,0.721878,663.732743
176,1.043813,1.793215,0.818544,0.702634,0.734861,667.453927
177,1.039542,1.796283,0.819681,0.733819,0.750802,662.725918
178,1.030254,1.868303,0.807167,0.713854,0.732986,661.346450
179,1.020115,1.859649,0.795222,0.693921,0.717802,663.101099
180,1.014017,1.933472,0.810011,0.665129,0.678767,661.194442
181,1.006261,1.841507,0.823094,0.744400,0.764004,663.595402
