epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,3.491727,2.517127,0.745304,0.000000,0.111360,1638.531022
2,2.540108,2.514408,0.744735,0.009092,0.175674,653.538716
3,2.448566,2.695835,0.744735,0.027636,0.134183,632.158764
4,2.395706,2.388314,0.743028,0.273780,0.364268,645.257166
5,2.354596,2.625776,0.678429,0.421231,0.340866,642.853005
6,2.324586,2.327412,0.753557,0.309804,0.382706,620.922652
7,2.296535,2.273091,0.751281,0.353533,0.440728,635.103203
8,2.262858,2.558930,0.751281,0.127549,0.215917,633.646193
9,2.224811,2.658821,0.629482,0.403185,0.376603,620.784604
10,2.189165,2.378207,0.754980,0.182371,0.300408,620.902027
11,2.140792,2.099525,0.783153,0.563177,0.607952,615.443489
12,2.108220,2.207321,0.770632,0.356386,0.447171,620.611632
13,2.072322,2.455847,0.715709,0.494286,0.466985,638.498373
14,2.052241,2.010573,0.795390,0.564725,0.624134,643.165987
15,2.026617,2.261972,0.761810,0.592238,0.537257,634.945317
16,2.004467,2.019915,0.778315,0.549895,0.631838,720.106579
17,1.991254,2.061685,0.777177,0.572799,0.597990,926.433298
18,1.968727,2.218534,0.754411,0.546177,0.575432,1166.842772
19,1.953969,1.945687,0.792544,0.612381,0.667354,640.842091
20,1.937554,1.918630,0.802504,0.627009,0.657965,734.782515
21,1.921820,2.036706,0.779169,0.549370,0.627588,747.376485
22,1.907389,1.999373,0.797666,0.506002,0.548372,880.478141
23,1.900388,1.890827,0.803073,0.626333,0.666959,785.758044
24,1.890598,1.890275,0.813034,0.681076,0.673713,782.651569
25,1.867080,1.894470,0.797097,0.641990,0.679303,771.408035
26,1.863337,1.837089,0.808196,0.624178,0.674226,682.217147
27,1.850499,1.861079,0.801651,0.545298,0.621101,716.190262
28,1.842324,1.874627,0.801935,0.655601,0.669839,624.295640
29,1.831051,1.821087,0.805065,0.640752,0.711181,628.300485
30,1.824018,1.847453,0.798805,0.560446,0.627725,642.035959
31,1.815552,1.963276,0.779454,0.599841,0.633692,640.817107
32,1.798010,1.804507,0.815879,0.656010,0.696816,669.736562
33,1.797185,1.875929,0.803073,0.551796,0.592382,631.632607
34,1.788471,1.847912,0.805350,0.667717,0.680255,647.606246
35,1.771614,1.791378,0.808765,0.622218,0.655349,940.665511
36,1.762424,1.806731,0.811611,0.659544,0.699315,905.157024
37,1.759467,1.766784,0.818156,0.675929,0.687458,768.217719
38,1.742237,1.729528,0.813034,0.629606,0.705468,649.379999
39,1.737559,1.854256,0.785145,0.618487,0.636188,631.966527
40,1.729046,1.759660,0.809903,0.592332,0.649115,627.106944
41,1.717267,1.741168,0.812464,0.654232,0.701946,619.545088
42,1.713260,1.845267,0.784861,0.623240,0.638947,635.772438
43,1.701551,1.798306,0.802220,0.587201,0.641248,618.921410
44,1.698965,1.694896,0.813603,0.654930,0.706256,736.046575
45,1.692650,1.697652,0.811611,0.672964,0.725076,627.991587
46,1.682753,1.688369,0.815595,0.686857,0.707774,623.593690
47,1.677987,1.758084,0.807911,0.609659,0.645907,789.646054
48,1.674699,1.748911,0.808196,0.625583,0.675722,1089.996016
49,1.666761,1.742159,0.804212,0.696146,0.698184,648.339064
50,1.655956,1.680162,0.818441,0.663938,0.682187,613.539466
51,1.647453,1.658516,0.808765,0.700173,0.729819,610.141150
52,1.642830,1.644711,0.816733,0.667559,0.715806,612.812872
53,1.639945,1.639779,0.815595,0.660482,0.710619,607.591870
54,1.622162,1.646176,0.821286,0.677852,0.713645,616.988257
55,1.618990,1.675681,0.803073,0.582897,0.659980,609.987063
56,1.606041,1.630803,0.819294,0.654163,0.708018,613.137506
57,1.601167,1.615112,0.823278,0.674663,0.712588,615.871813
58,1.596531,1.603633,0.818156,0.660183,0.705123,609.287163
59,1.590840,1.644132,0.818441,0.665909,0.700052,613.821968
60,1.590439,1.659749,0.809050,0.592789,0.640722,609.011853
61,1.578871,1.622655,0.815310,0.683245,0.697485,629.267434
62,1.573095,1.622456,0.818441,0.640749,0.687753,607.951163
63,1.566680,1.676783,0.818725,0.663044,0.697014,610.451120
64,1.560477,1.662548,0.802789,0.650215,0.702319,613.033926
65,1.551989,1.614327,0.816448,0.674246,0.706451,608.710822
66,1.555537,1.708570,0.809903,0.606690,0.644982,609.866687
67,1.547054,1.600155,0.819010,0.669295,0.705540,607.671451
68,1.541290,1.586946,0.817018,0.706159,0.733019,611.069610
69,1.528865,1.801215,0.774331,0.602646,0.625545,608.059547
70,1.531162,1.653507,0.795674,0.674377,0.695950,608.159883
71,1.515521,1.690075,0.794536,0.653973,0.681260,609.160473
72,1.513940,1.568647,0.818441,0.637396,0.688363,607.587771
73,1.506069,1.617506,0.816164,0.646556,0.678319,606.651164
74,1.502827,1.546535,0.824417,0.683563,0.705101,607.230667
75,1.502364,1.647728,0.810757,0.607431,0.648989,608.658169
76,1.502118,1.599630,0.816733,0.657251,0.700430,604.456879
77,1.488876,1.832074,0.763517,0.635615,0.637257,611.355078
78,1.476618,1.521928,0.825270,0.705232,0.727847,607.478472
79,1.475362,1.516029,0.819863,0.702737,0.724826,612.529880
80,1.474538,1.534589,0.821855,0.665554,0.710701,612.701884
81,1.466013,1.566445,0.817018,0.635485,0.672272,613.004444
82,1.455665,1.527715,0.817871,0.681765,0.707194,612.842603
83,1.455727,1.498243,0.832100,0.726864,0.745087,614.376850
84,1.453822,1.673925,0.803927,0.565629,0.622583,616.104813
85,1.447216,1.552251,0.807911,0.684149,0.728540,614.530638
86,1.445088,1.595203,0.821002,0.659370,0.688619,610.820520
