epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,5.578701,3.713546,0.737770,0.000000,0.039626,577.647444
2,3.700361,3.723474,0.737770,0.000000,0.034818,573.341079
3,3.598993,3.523180,0.738339,0.096357,0.307174,573.583906
4,3.512059,3.467510,0.740046,0.212641,0.371962,573.050050
5,3.457695,3.434965,0.742890,0.252433,0.405821,573.398181
6,3.404973,3.377350,0.744027,0.249800,0.410619,573.633288
7,3.359171,3.344221,0.749147,0.256139,0.388744,572.786432
8,3.321885,3.685963,0.670080,0.431494,0.375878,573.837202
9,3.280749,3.269141,0.755973,0.326957,0.459500,573.091733
10,3.239475,3.253292,0.757110,0.460221,0.509110,572.521522
11,3.206023,3.280821,0.759386,0.299825,0.415487,572.076853
12,3.169651,3.146719,0.775313,0.459317,0.523748,572.995182
13,3.132151,3.221012,0.757679,0.377533,0.469537,574.170611
14,3.090863,3.040566,0.777588,0.489179,0.590541,573.450169
15,3.046871,3.040123,0.783276,0.614468,0.624978,573.526608
16,3.003994,3.016725,0.781570,0.543537,0.599251,574.121265
17,2.963867,2.954178,0.795222,0.635033,0.664664,575.180105
18,2.925879,2.921446,0.797497,0.598369,0.610227,573.705819
19,2.905218,2.851854,0.794084,0.565318,0.648174,573.498045
20,2.874404,2.850553,0.798635,0.671755,0.692614,573.631748
21,2.848808,2.829143,0.799772,0.567063,0.613311,573.668816
22,2.821619,2.840146,0.798066,0.543853,0.613389,573.938918
23,2.803187,2.770634,0.817406,0.683549,0.690557,573.758515
24,2.775867,2.864380,0.792947,0.536133,0.586327,574.242276
25,2.755350,2.761099,0.816268,0.673029,0.699991,573.120042
26,2.728307,2.825270,0.801479,0.612257,0.672925,575.355303
27,2.713536,3.117735,0.757679,0.639881,0.590559,573.526576
28,2.688690,3.170814,0.774175,0.455478,0.475256,573.493931
29,2.669697,2.671982,0.820819,0.699967,0.731203,573.555212
30,2.647933,2.668657,0.803185,0.644439,0.697234,573.343617
31,2.634576,2.669377,0.795791,0.572481,0.657709,573.038099
32,2.608754,2.645401,0.811718,0.691593,0.702717,572.634755
33,2.590505,2.602815,0.800341,0.639701,0.714524,573.602559
34,2.567569,2.582693,0.812856,0.590859,0.661016,574.058590
35,2.546562,2.629164,0.808305,0.690886,0.702822,572.989162
36,2.530944,2.719886,0.800910,0.680622,0.656986,574.526380
37,2.515982,2.634054,0.798066,0.691741,0.691306,573.649229
38,2.501884,2.518596,0.819681,0.734268,0.734389,573.053549
39,2.477358,2.473539,0.808874,0.695073,0.739893,573.991627
40,2.470425,2.443737,0.823663,0.716006,0.725846,574.085140
41,2.444951,2.442675,0.820250,0.704294,0.725679,572.979188
42,2.427196,2.606920,0.794653,0.501949,0.580434,573.921503
43,2.413001,2.436095,0.824801,0.716601,0.746077,574.315810
44,2.400280,2.375626,0.814562,0.664411,0.706757,573.753262
45,2.378984,2.394915,0.804323,0.619586,0.682699,573.288427
46,2.363855,2.413083,0.824801,0.705233,0.726906,573.023456
47,2.346652,2.436501,0.816268,0.724205,0.721050,573.944263
48,2.333972,2.361100,0.824801,0.716557,0.744611,573.383956
49,2.313500,2.372031,0.816837,0.659402,0.688121,573.271195
50,2.300417,2.314727,0.817975,0.668753,0.719734,573.505512
51,2.288857,2.285300,0.825939,0.720754,0.737176,573.266289
52,2.277473,2.309372,0.811718,0.704461,0.743613,573.160987
53,2.254734,2.387921,0.805461,0.699906,0.716352,573.766140
54,2.244152,2.258770,0.822526,0.691856,0.724471,574.034146
55,2.230900,2.314558,0.808874,0.595790,0.674282,573.702849
56,2.211636,2.257677,0.825370,0.698055,0.705955,572.359675
57,2.200365,2.236964,0.819113,0.675975,0.705783,573.377945
58,2.183581,2.340541,0.803754,0.564241,0.624529,573.084434
59,2.172693,2.264092,0.824232,0.703166,0.744955,574.047898
60,2.158750,2.235539,0.825370,0.698838,0.728182,573.245011
61,2.140069,2.211789,0.827076,0.731174,0.754640,573.212978
62,2.136055,2.153908,0.825370,0.731501,0.762938,573.716821
63,2.117805,2.151231,0.827645,0.742505,0.770526,574.158618
64,2.118649,2.162344,0.821388,0.694800,0.743469,574.580670
65,2.095233,2.157572,0.830489,0.753074,0.753135,573.937819
66,2.078849,2.160851,0.827645,0.711717,0.732248,574.516677
67,2.067795,2.182225,0.820819,0.714322,0.747719,573.029411
68,2.059112,2.184972,0.815131,0.705516,0.723946,573.248649
69,2.047705,2.092221,0.821388,0.703371,0.754368,573.428013
70,2.034273,2.120904,0.819113,0.715265,0.750630,575.543116
71,2.022177,2.062696,0.821388,0.736620,0.765676,574.035733
72,2.010613,2.077427,0.824801,0.713498,0.752303,573.459172
73,1.993411,2.107083,0.818544,0.710011,0.722483,574.428805
74,1.989794,2.115145,0.823663,0.659306,0.692772,573.126129
75,1.985325,2.016316,0.821388,0.731086,0.766204,574.080912
76,1.961316,2.017160,0.827076,0.729084,0.766689,573.907029
77,1.951516,2.068719,0.824801,0.686083,0.713003,572.525978
78,1.946630,2.178576,0.806598,0.609164,0.668368,573.811244
79,1.933019,1.986764,0.828783,0.695676,0.757426,573.849891
80,1.924332,1.999617,0.827076,0.734103,0.755470,573.798125
81,1.900689,1.999983,0.827645,0.734513,0.747978,573.326163
82,1.904377,2.011997,0.820250,0.709135,0.743962,573.676398
83,1.884322,1.975889,0.823663,0.744813,0.758503,575.121815
84,1.879815,1.929812,0.832196,0.743975,0.757741,573.982946
85,1.872289,1.962376,0.824801,0.696815,0.738200,573.574866
86,1.860090,1.940752,0.826507,0.731236,0.758656,574.056051
87,1.848005,1.975752,0.805461,0.709324,0.731484,574.077382
88,1.842189,1.936622,0.823663,0.712834,0.746594,574.628162
89,1.827992,1.896231,0.832196,0.743040,0.770239,573.926952
90,1.816940,1.982336,0.824801,0.693377,0.720392,574.582527
91,1.809485,1.971354,0.825370,0.753567,0.763395,574.772923
92,1.796665,2.067846,0.807736,0.665559,0.701879,573.463998
93,1.791755,1.886357,0.836746,0.751012,0.752816,573.391461
94,1.781978,2.118400,0.784983,0.676434,0.696237,573.474194
95,1.766242,1.825360,0.839590,0.754137,0.776415,574.141878
96,1.764266,1.866371,0.815131,0.703334,0.755393,573.787977
97,1.747534,1.829559,0.827645,0.729375,0.747003,573.971248
98,1.740845,1.858643,0.825939,0.714675,0.747380,573.573201
99,1.735083,1.840771,0.822526,0.718017,0.770321,573.260081
100,1.719399,1.885339,0.821957,0.666509,0.724724,573.880137
101,1.714849,1.838063,0.829920,0.716641,0.743559,573.650268
102,1.703558,1.847042,0.831627,0.756665,0.764330,574.163937
103,1.699887,1.876615,0.817975,0.719732,0.732504,573.942927
104,1.688954,1.801648,0.828214,0.745026,0.786891,573.160044
105,1.685178,1.825964,0.808305,0.712564,0.749812,573.400095
106,1.680101,1.760590,0.829352,0.735977,0.751713,574.121274
107,1.665586,1.783800,0.822526,0.739929,0.748238,573.250146
108,1.658410,1.759386,0.831627,0.739136,0.769269,574.112544
109,1.645952,1.758194,0.833333,0.736466,0.750679,573.170482
110,1.638090,1.783667,0.827645,0.728087,0.751063,573.604033
111,1.634826,1.755307,0.845279,0.777849,0.783303,574.483811
112,1.620352,1.841199,0.814562,0.734843,0.752711,573.685994
113,1.619497,1.721475,0.834471,0.755474,0.770688,573.840175
114,1.601971,1.717267,0.838453,0.742683,0.763543,574.493685
115,1.602626,1.742569,0.828214,0.749730,0.765339,573.599053
116,1.595683,1.743152,0.821957,0.734190,0.752472,574.315677
117,1.585109,1.718805,0.831058,0.757406,0.792046,573.729462
118,1.580914,1.759855,0.843003,0.775197,0.794660,573.171912
119,1.569085,1.694851,0.833333,0.752871,0.773249,574.430275
120,1.562860,1.715216,0.833902,0.734401,0.776146,574.344311
121,1.557233,1.729715,0.828214,0.734317,0.759716,573.917133
122,1.549726,1.746181,0.827645,0.703927,0.725678,574.692764
123,1.540467,1.737974,0.831058,0.761195,0.771732,572.830128
124,1.533241,1.712454,0.828214,0.768122,0.757838,573.611344
125,1.530136,1.653007,0.831058,0.760314,0.786114,574.936265
126,1.516968,1.631796,0.829352,0.769854,0.779512,575.001657
127,1.516220,1.659376,0.841297,0.758372,0.784187,573.835413
128,1.505741,1.693781,0.835609,0.743291,0.763597,574.669533
129,1.499384,1.688798,0.831058,0.772946,0.770537,573.097913
130,1.487750,1.804701,0.812287,0.703355,0.741428,573.016550
131,1.490621,1.746967,0.820819,0.702450,0.740502,575.895445
132,1.481259,1.700634,0.820250,0.734113,0.756865,575.073518
133,1.468505,1.808658,0.821388,0.689896,0.740275,574.157274
134,1.467447,1.657357,0.836177,0.767943,0.785417,573.121148
135,1.456664,1.667024,0.837884,0.772501,0.775605,573.483213
136,1.446443,1.593370,0.841866,0.761939,0.801031,572.915870
137,1.445543,1.668133,0.826507,0.725754,0.760666,573.162520
138,1.442843,1.674230,0.819113,0.744417,0.768512,574.391497
139,1.425037,1.662728,0.833902,0.742354,0.753447,574.218845
140,1.419401,1.596089,0.837315,0.763274,0.789174,574.519451
141,1.419762,1.623093,0.835609,0.732822,0.766985,575.158100
142,1.412648,1.645310,0.825370,0.742628,0.761570,575.738214
143,1.403670,1.713140,0.814562,0.721150,0.731581,577.237035
144,1.395873,1.629373,0.829920,0.722008,0.734988,576.369558
145,1.396041,1.671476,0.817406,0.750015,0.757728,577.088886
146,1.391654,1.707922,0.824801,0.718691,0.747496,575.248846
147,1.376086,1.612348,0.840728,0.773640,0.787268,575.322247
148,1.383815,1.650824,0.831058,0.738766,0.752714,575.220999
149,1.364637,1.661968,0.829920,0.746883,0.772745,574.956307
150,1.354057,1.644747,0.828783,0.727572,0.754567,575.221040
151,1.347361,1.740032,0.817975,0.648147,0.685785,576.441439
152,1.352899,1.606136,0.825939,0.740994,0.770720,574.428701
153,1.343715,1.634535,0.831058,0.726718,0.753970,577.502151
154,1.336841,1.616132,0.827076,0.756024,0.774340,576.230981
155,1.328215,1.606113,0.823094,0.750103,0.789067,575.813206
156,1.319059,1.636327,0.819113,0.752264,0.776746,574.649686
157,1.323670,1.720506,0.798066,0.709760,0.714054,574.773783
158,1.312358,1.672262,0.828783,0.695455,0.733873,575.668552
159,1.317489,1.682056,0.828214,0.744981,0.756704,577.437989
160,1.311863,1.590979,0.819681,0.750458,0.762793,579.011594
161,1.300398,1.797631,0.816268,0.665048,0.689566,575.347173
162,1.295584,1.657439,0.819681,0.722716,0.749014,577.224924
163,1.286903,1.654893,0.828214,0.772094,0.787353,790.927767
164,1.281132,1.609482,0.819113,0.708591,0.739409,574.361848
165,1.270818,1.621892,0.818544,0.738454,0.753605,574.133273
166,1.277523,1.579842,0.831627,0.723173,0.760144,574.939439
167,1.266884,1.581186,0.828783,0.739049,0.746732,574.630668
168,1.243255,1.577829,0.825939,0.742051,0.758830,573.736833
169,1.252496,1.674251,0.821388,0.742575,0.771002,574.537005
170,1.245746,1.618760,0.820819,0.729964,0.758742,574.767224
171,1.246185,1.635277,0.810580,0.760003,0.766888,574.158715
172,1.235363,1.597274,0.837884,0.729127,0.762567,575.714430
173,1.229540,1.558806,0.822526,0.745155,0.769358,574.553881
174,1.222357,1.630613,0.819681,0.750167,0.773249,573.646880
175,1.216554,1.686452,0.794084,0.741967,0.762111,574.203555
176,1.207814,1.575856,0.822526,0.724703,0.750501,572.587140
177,1.206874,1.645320,0.831627,0.733882,0.747165,574.064031
178,1.202948,1.694896,0.830489,0.741613,0.757087,576.483529
179,1.190405,1.615591,0.820819,0.722080,0.756242,573.785475
180,1.200613,1.737285,0.825370,0.682981,0.710852,575.496123
181,1.187022,1.702351,0.801479,0.733770,0.754360,574.122434
182,1.180807,1.604808,0.821957,0.725789,0.755490,576.347414
183,1.169969,1.610140,0.831058,0.737156,0.756508,574.288149
184,1.172252,1.828068,0.753129,0.687953,0.713663,574.356757
185,1.163015,1.679322,0.811718,0.719280,0.751022,574.207923
186,1.157989,1.618463,0.816268,0.697439,0.729969,574.465668
187,1.160441,1.617650,0.821388,0.707384,0.738047,574.373519
188,1.138939,1.552839,0.819113,0.747647,0.761492,574.205150
189,1.138959,1.570133,0.820819,0.755824,0.765289,573.949672
190,1.133392,1.632736,0.824232,0.727071,0.760202,573.759697
191,1.133111,1.663085,0.814562,0.708141,0.743662,572.766550
192,1.120854,1.704556,0.791809,0.747716,0.750982,574.724427
193,1.122626,1.740496,0.791809,0.701763,0.726010,573.638673
194,1.114883,1.643183,0.816837,0.730548,0.741541,574.096618
195,1.098923,1.811374,0.790102,0.689065,0.708553,574.771803
196,1.102989,1.743817,0.815700,0.707668,0.728108,573.821146
197,1.109116,1.624656,0.815700,0.735035,0.767129,575.196524
198,1.085714,1.672883,0.821388,0.757720,0.774654,574.060512
199,1.087916,1.709063,0.798635,0.704326,0.723481,574.374174
200,1.076813,1.767141,0.808874,0.733566,0.752968,574.228660
201,1.070912,1.648648,0.817975,0.745494,0.761454,576.305119
202,1.070446,1.785524,0.826507,0.729157,0.739073,573.498147
203,1.071863,1.670346,0.824232,0.730974,0.758031,574.663829
204,1.055982,1.782763,0.829920,0.720652,0.731048,573.134472
205,1.062894,1.790727,0.788396,0.710417,0.737700,573.766857
206,1.052843,1.748846,0.827076,0.739198,0.759362,574.243145
207,1.031885,1.770887,0.831058,0.725108,0.736399,573.959805
208,1.034224,1.763088,0.819681,0.706738,0.725655,574.537660
209,1.026849,1.743159,0.779863,0.709106,0.742304,573.978626
210,1.033109,1.744571,0.807736,0.727266,0.764522,573.322050
211,1.022959,1.683204,0.814562,0.726646,0.756579,573.628538
212,1.016151,1.758459,0.819681,0.714928,0.740087,574.158747
213,1.003522,1.790888,0.819113,0.716538,0.737845,574.722235
214,1.002380,1.714891,0.810580,0.716975,0.739426,573.904458
215,1.001526,1.772591,0.817406,0.726834,0.747232,573.331795
216,0.987971,1.669570,0.823094,0.743721,0.766857,573.552185
217,0.995192,1.801944,0.825939,0.728653,0.738746,574.216667
218,0.990805,1.842492,0.781570,0.725250,0.743957,573.785643
219,0.973512,1.709185,0.804323,0.723816,0.733142,573.822708
220,0.967651,1.788443,0.808305,0.713647,0.733825,574.494504
