epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,inf,2.508121,0.745304,0.000000,0.090003,420.469609
2,2.495709,2.447380,0.745589,0.074401,0.231499,413.236867
3,2.407897,2.381903,0.745874,0.243287,0.342379,406.920260
4,2.364838,2.413138,0.748435,0.150907,0.311021,405.712363
5,2.326549,2.365736,0.746727,0.159785,0.337182,415.297233
6,2.294718,2.257557,0.759818,0.362758,0.425038,426.211857
7,2.258389,2.349412,0.756688,0.310659,0.396068,426.443463
8,2.233712,2.277108,0.759249,0.388815,0.468346,433.875166
9,2.201140,2.520697,0.669323,0.422593,0.413256,426.913341
10,2.170173,2.370765,0.749858,0.163104,0.285436,425.922995
11,2.130740,2.127167,0.777462,0.491532,0.554779,433.317233
12,2.097316,3.056780,0.530734,0.333855,0.375060,428.208002
13,2.073080,2.615249,0.654525,0.465312,0.470846,426.704623
