epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,inf,3.352007,0.738339,0.018940,0.179723,554.943491
2,3.290842,3.578030,0.701365,0.287988,0.237121,549.924578
3,3.212355,3.254511,0.743458,0.304657,0.414367,549.682901
4,3.154320,3.190214,0.744027,0.243938,0.404528,549.695453
5,3.107648,3.079792,0.749716,0.289268,0.465137,549.015114
6,3.070093,3.069844,0.756542,0.449007,0.506788,549.681811
7,3.027036,3.215227,0.746303,0.239430,0.334528,549.498190
8,2.990554,4.420080,0.389647,0.193393,0.208267,548.857033
9,2.951662,2.991833,0.763936,0.522772,0.576566,550.241220
10,2.911995,3.124297,0.720705,0.528886,0.508625,548.318903
11,2.872283,3.075645,0.750853,0.565061,0.514366,547.982454
12,2.835524,2.841175,0.770193,0.426312,0.542005,550.757943
13,2.799811,2.940660,0.763936,0.394630,0.470879,550.662802
14,2.766144,2.710222,0.791240,0.584844,0.636482,549.474668
15,2.727081,2.913780,0.763936,0.601619,0.589691,551.102909
16,2.695369,2.677807,0.790102,0.625129,0.666933,550.758595
17,2.674482,2.642327,0.803185,0.642374,0.680299,549.589988
18,2.633651,2.623999,0.795791,0.556668,0.636276,549.383244
19,2.615693,2.608752,0.795791,0.566377,0.670380,549.895548
20,2.597402,2.584208,0.802048,0.660551,0.698320,549.767625
21,2.573798,2.536203,0.799204,0.630445,0.698399,550.355490
22,2.552455,2.535782,0.805461,0.626368,0.694833,549.845934
23,2.531561,2.573733,0.802617,0.602980,0.683356,549.404547
24,2.514857,2.448574,0.815131,0.674830,0.711701,551.302830
25,2.487343,2.501203,0.812287,0.678523,0.721475,550.272917
26,2.470749,2.596861,0.787258,0.613668,0.665693,550.234311
27,2.452152,2.947445,0.716724,0.588821,0.564530,550.020159
28,2.434558,2.557894,0.790671,0.531072,0.603006,550.298199
29,2.420306,2.421289,0.808874,0.641823,0.707743,549.935252
1,2.429320,2.415787,0.807167,0.608937,0.666249,554.585656
2,2.408790,2.396689,0.811149,0.665974,0.714789,550.688211
3,2.393046,2.411847,0.812856,0.650893,0.685380,550.697744
4,2.374465,2.381641,0.813424,0.691943,0.708550,550.153922
5,2.351489,2.342295,0.821388,0.705973,0.711206,549.499358
6,2.338521,2.367243,0.804323,0.647010,0.696005,550.091577
7,2.319836,2.308752,0.814562,0.627519,0.707607,551.107163
8,2.307630,2.312782,0.820819,0.713141,0.734775,551.808750
9,2.286791,2.388370,0.797497,0.692998,0.705652,550.761156
10,2.277001,2.259117,0.821957,0.692242,0.736271,550.062655
11,2.267353,2.240595,0.827076,0.700273,0.728324,550.848512
12,2.245243,2.241919,0.813993,0.664526,0.705797,550.604034
13,2.237061,2.225460,0.813424,0.684132,0.713096,550.489261
14,2.218776,2.239926,0.804892,0.648248,0.707643,550.879709
15,2.197147,2.199277,0.815700,0.711372,0.725946,549.646211
16,2.188666,2.275481,0.799772,0.681424,0.699170,550.961000
17,2.174533,2.194587,0.804323,0.687956,0.742052,551.770897
18,2.154614,2.182744,0.821388,0.720429,0.745680,550.940480
19,2.155912,2.108835,0.829920,0.681124,0.718634,550.528578
20,2.130287,2.176203,0.819681,0.716158,0.730146,551.285258
21,2.118017,2.088423,0.815131,0.675025,0.734795,550.637754
22,2.106504,2.118231,0.822526,0.690742,0.736020,549.994056
23,2.098050,2.170634,0.814562,0.661183,0.694400,551.268772
24,2.081793,2.081675,0.823663,0.699289,0.730013,550.482287
25,2.066393,2.063293,0.823663,0.691634,0.719232,549.937140
26,2.050387,2.099040,0.819113,0.699873,0.730063,550.424394
27,2.039493,2.317611,0.791240,0.685327,0.710043,551.433711
28,2.032619,2.342733,0.796359,0.591995,0.612462,550.004196
29,2.011962,2.115492,0.812287,0.666415,0.695985,550.985320
30,2.009672,2.006904,0.819681,0.692302,0.744860,551.317715
31,2.006109,2.257446,0.795222,0.501019,0.574126,551.012617
32,1.987677,2.013587,0.823663,0.708898,0.746133,551.900065
33,1.978016,2.042350,0.815131,0.664607,0.710649,551.499657
34,1.971794,2.008669,0.819113,0.672418,0.712898,551.498492
35,1.957898,1.995687,0.834471,0.741531,0.753071,551.388269
36,1.944873,2.202697,0.793515,0.676290,0.676787,552.310096
37,1.935892,1.982258,0.823094,0.720411,0.754728,549.080227
38,1.925130,1.999329,0.820250,0.707179,0.746595,550.397552
39,1.913764,1.945771,0.824232,0.720496,0.744328,550.854352
40,1.908919,1.914327,0.825370,0.723486,0.759541,550.390990
41,1.900347,1.890086,0.826507,0.729561,0.755217,550.659999
42,1.888982,2.132736,0.796928,0.488845,0.559364,550.253738
43,1.869242,1.941858,0.816268,0.731256,0.755639,549.684596
44,1.864092,1.938555,0.823094,0.692950,0.726014,550.508110
45,1.849948,1.859413,0.833333,0.690977,0.731772,550.457546
46,1.844377,1.829717,0.836177,0.717193,0.739768,550.107421
47,1.834980,1.866802,0.828214,0.733309,0.762552,550.147671
48,1.822281,1.860258,0.829920,0.738435,0.778115,551.415152
49,1.813215,1.914679,0.819113,0.660015,0.670759,550.496012
50,1.798831,1.835814,0.830489,0.699779,0.728829,550.270132
51,1.797315,1.835240,0.827645,0.700546,0.745342,550.193457
52,1.787811,1.837991,0.836746,0.730649,0.738153,550.490170
53,1.773055,1.812139,0.830489,0.709907,0.746212,549.855752
54,1.770238,1.822542,0.828783,0.700589,0.749971,550.577359
55,1.763351,1.807986,0.829920,0.697037,0.725611,550.054528
56,1.742414,1.895050,0.815700,0.714404,0.731291,550.289114
57,1.736923,1.813637,0.825939,0.763142,0.780190,550.792512
58,1.728287,1.841532,0.829920,0.700971,0.701818,550.460377
59,1.725760,1.865448,0.810011,0.703986,0.757279,549.484728
60,1.718233,1.797632,0.833333,0.727445,0.747029,551.531727
61,1.700650,1.785818,0.828783,0.721892,0.739765,551.221882
62,1.694939,1.771554,0.819113,0.759434,0.776000,551.389561
63,1.677097,1.735703,0.835040,0.745548,0.752233,551.547100
64,1.680923,1.763090,0.827645,0.685586,0.733549,550.825699
65,1.672902,1.743050,0.829352,0.697614,0.746801,551.125108
66,1.660119,1.695938,0.829352,0.735855,0.776006,551.292519
67,1.653200,1.698601,0.829352,0.731496,0.760995,550.983204
68,1.651271,1.744446,0.827076,0.721901,0.742796,550.184890
69,1.634656,1.667036,0.837884,0.747740,0.781854,551.335949
70,1.630633,1.661227,0.829920,0.737973,0.770747,549.962487
71,1.625975,1.742944,0.823663,0.752577,0.756562,549.683635
72,1.615524,1.681581,0.829920,0.715674,0.748131,551.389919
73,1.598935,1.692735,0.829352,0.742385,0.756320,551.585419
74,1.600355,1.711218,0.824232,0.667657,0.737856,550.777296
75,1.601136,1.697096,0.835609,0.744174,0.764477,550.984159
76,1.586245,1.686463,0.828783,0.709759,0.750298,550.635426
77,1.574296,1.712298,0.839022,0.744785,0.763026,551.162247
78,1.577032,1.756562,0.819681,0.694708,0.740360,551.147726
79,1.560279,1.667441,0.828783,0.721157,0.745990,550.780583
80,1.555769,1.666854,0.831058,0.747566,0.771083,550.111991
81,1.544532,1.652589,0.833902,0.759534,0.782532,550.086035
82,1.546433,1.673284,0.828214,0.702763,0.734833,550.780490
83,1.529744,1.652904,0.831627,0.747065,0.766945,551.251694
84,1.527627,1.667761,0.824232,0.753214,0.767380,549.577579
85,1.517621,1.667985,0.823094,0.673655,0.703488,551.461316
86,1.516888,1.643011,0.823663,0.717525,0.742734,551.140874
87,1.507086,1.645860,0.832196,0.695807,0.746899,548.438130
88,1.496526,1.645128,0.817975,0.734789,0.767609,549.973540
89,1.495005,1.591515,0.833902,0.695850,0.752350,549.398158
90,1.478838,1.651804,0.829352,0.698673,0.729535,550.290959
91,1.480291,1.654456,0.821388,0.749277,0.779807,550.631580
92,1.474740,1.719432,0.824232,0.687297,0.724208,550.886405
93,1.467740,1.601003,0.833333,0.717040,0.731329,550.689842
