epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,inf,3.709627,0.734357,-0.008501,0.110904,576.709191
2,3.672043,3.662952,0.734926,0.082751,0.186020,572.071994
3,3.581958,3.733973,0.717861,0.374181,0.293010,571.740024
4,3.502328,3.469299,0.746303,0.235063,0.362632,572.623563
5,3.437990,3.426196,0.752560,0.258218,0.433235,572.319118
6,3.381692,3.349254,0.750853,0.387542,0.461968,573.632614
7,3.335266,3.347048,0.757679,0.312340,0.438416,572.899195
8,3.287530,3.263326,0.767349,0.459318,0.524381,572.059237
9,3.253500,3.231126,0.765074,0.432862,0.532199,572.949406
10,3.211397,4.212272,0.509670,0.333215,0.309120,573.722381
11,3.176616,3.145049,0.782139,0.516465,0.586923,573.014907
12,3.144912,3.134735,0.775313,0.448270,0.543837,571.904884
13,3.118108,3.068469,0.779295,0.560792,0.623460,573.221483
14,3.083830,3.100487,0.775313,0.491900,0.556126,573.242540
15,3.059419,3.159012,0.766212,0.509880,0.570021,572.634008
16,3.027957,3.024271,0.792947,0.597522,0.592046,571.898115
17,3.001927,3.005956,0.786121,0.569799,0.623980,572.322991
18,2.966773,3.055979,0.773038,0.395307,0.499222,572.983233
19,2.941244,2.942729,0.799772,0.642415,0.647875,572.639193
20,2.904031,3.086757,0.758817,0.603515,0.630005,573.794879
21,2.883314,2.885075,0.788396,0.551609,0.647054,572.426056
22,2.849717,2.868027,0.799772,0.617792,0.676304,573.325590
23,2.831772,2.808064,0.795791,0.618641,0.680815,572.871225
24,2.798978,2.811037,0.807167,0.647215,0.676626,573.851189
25,2.777048,2.881425,0.786689,0.661858,0.647050,572.020495
26,2.750740,3.160290,0.774744,0.493745,0.537513,572.570423
27,2.733641,3.090842,0.744596,0.588495,0.587402,573.092457
28,2.706267,2.709904,0.810580,0.651065,0.660933,573.253041
29,2.686310,2.729790,0.815700,0.702509,0.722482,571.760855
30,2.658729,2.638227,0.821388,0.713608,0.734350,572.748427
31,2.647768,2.693596,0.807167,0.606464,0.656501,572.250759
32,2.622235,2.640195,0.813424,0.660808,0.693267,571.143802
33,2.606218,2.919581,0.772469,0.478390,0.553307,572.397620
34,2.587912,2.629034,0.805461,0.581790,0.644279,573.461299
35,2.564539,2.611229,0.821388,0.721607,0.710492,572.990586
36,2.549360,2.560712,0.817975,0.681105,0.712478,574.176012
37,2.526392,2.589676,0.808305,0.700656,0.720900,574.154163
38,2.511089,2.557072,0.824801,0.713888,0.738247,571.850378
39,2.492613,2.493125,0.818544,0.701147,0.731343,574.160818
40,2.481156,2.473124,0.811149,0.693235,0.737840,837.132643
