epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,3.377066,3.494400,0.745304,0.000000,0.020974,1762.259615
2,2.495744,3.106889,0.672453,0.335198,0.175344,691.463301
3,2.400685,2.910725,0.745589,0.003858,0.063709,691.021361
4,2.354309,2.843504,0.745304,0.085996,0.158326,705.659525
5,2.317859,2.413074,0.751850,0.185939,0.308324,740.832543
6,2.285470,2.316006,0.754411,0.291115,0.409364,690.263713
7,2.253810,2.684440,0.650541,0.425937,0.367697,788.980511
8,2.217279,2.376821,0.758110,0.242362,0.351653,695.172498
9,2.181541,2.530189,0.654809,0.419022,0.411573,670.852059
10,2.133289,2.194769,0.760672,0.481068,0.525072,710.912468
11,2.089666,2.210737,0.771770,0.473532,0.547737,692.894099
