epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.185102,1.170556,0.687144,0.005647,0.000000,0.047522,561.066844
2,1.152122,1.142978,0.704778,0.158446,0.000000,0.156855,559.103691
3,1.126946,1.124515,0.734357,0.355139,0.000000,0.198323,557.415430
4,1.109495,1.112571,0.736064,0.387871,0.000000,0.232366,552.272031
5,1.095525,1.093383,0.731513,0.290106,0.000000,0.247199,544.379618
6,1.082593,1.087837,0.737201,0.257697,0.000000,0.255577,552.480580
7,1.070138,1.071922,0.734926,0.435078,0.000000,0.277996,554.344990
8,1.059234,1.063598,0.733788,0.334733,0.000000,0.264547,549.020502
9,1.048766,1.047196,0.731513,0.462676,0.000000,0.264068,561.722786
10,1.036972,1.041303,0.691695,0.493389,0.000000,0.264598,554.397073
11,1.025860,1.035158,0.711604,0.450508,0.000000,0.287921,538.613066
12,1.015053,1.022582,0.737201,0.232335,0.000000,0.216729,546.694222
13,1.004860,1.012048,0.737770,0.452376,0.000000,0.253833,550.164709
14,0.995965,1.007187,0.724118,0.378979,0.000000,0.238795,542.702570
15,0.986004,0.991720,0.724687,0.473182,0.000000,0.288447,546.383244
16,0.976706,0.985971,0.727531,0.452562,0.000000,0.258115,551.985893
17,0.966095,0.971574,0.702503,0.553301,0.000000,0.257817,543.545066
18,0.956400,0.963513,0.733220,0.437182,0.000000,0.284807,549.213018
19,0.948111,0.953699,0.730944,0.511242,0.000000,0.289253,543.528138
20,0.937038,0.946549,0.732651,0.495043,0.000000,0.291247,546.285325
21,0.929499,0.939168,0.715017,0.473970,0.000000,0.301067,564.742159
22,0.919358,0.932971,0.736633,0.512091,0.000000,0.276220,572.163117
23,0.911468,0.920203,0.724687,0.568101,0.000000,0.334556,546.929290
24,0.902521,0.915071,0.725825,0.540423,0.000000,0.318821,566.906325
25,0.892884,0.897390,0.719568,0.583886,0.000000,0.344486,546.670427
26,0.885073,0.888356,0.699090,0.571480,0.000000,0.325334,541.759747
27,0.876479,0.885531,0.721274,0.548998,0.000000,0.321491,546.778375
28,0.868403,0.872601,0.734357,0.550590,0.000000,0.319076,553.464624
29,0.860727,0.864565,0.696815,0.512126,0.000000,0.322942,545.107181
30,0.851429,0.854832,0.700228,0.627861,0.000000,0.354487,552.920709
31,0.843731,0.850087,0.721843,0.568691,0.000000,0.343768,550.505996
32,0.836191,0.841382,0.729238,0.625738,0.000000,0.357329,545.606767
33,0.828612,0.828797,0.733220,0.660038,0.000000,0.355337,546.723648
34,0.820343,0.821623,0.732082,0.648008,0.000000,0.356781,544.703690
35,0.813556,0.824178,0.723549,0.458710,0.000000,0.313775,542.910791
36,0.805024,0.804329,0.728669,0.634898,0.000000,0.361115,547.336464
37,0.799048,0.808767,0.705347,0.638829,0.000000,0.343907,559.889044
38,0.791100,0.796031,0.736633,0.613650,0.000000,0.355477,565.413060
39,0.784314,0.794470,0.729238,0.634492,0.000000,0.387384,552.140517
40,0.778017,0.779366,0.737201,0.597452,0.000000,0.349302,556.854672
41,0.770860,0.782946,0.726394,0.561626,0.000000,0.377079,551.470684
42,0.765477,0.776369,0.731513,0.633753,0.000000,0.342137,551.445772
43,0.757216,0.765292,0.737201,0.630693,0.000000,0.351714,549.072963
44,0.752063,0.761362,0.730944,0.626019,0.000000,0.373833,555.180205
45,0.745035,0.758419,0.728669,0.638607,0.000000,0.391049,557.715000
46,0.738765,0.743670,0.733788,0.625702,0.000000,0.363541,558.189745
47,0.733897,0.735717,0.735495,0.637055,0.000000,0.358944,552.683699
48,0.726897,0.731986,0.737770,0.602395,0.000000,0.306714,550.168299
49,0.720655,0.738082,0.724118,0.621812,0.000000,0.355586,565.980727
50,0.714529,0.718757,0.725256,0.648118,0.000000,0.367817,547.656756
51,0.709069,0.712374,0.724118,0.646574,0.000000,0.367695,555.548916
52,0.703517,0.710154,0.730375,0.657404,0.000000,0.373061,551.199527
53,0.698344,0.700238,0.728100,0.674895,0.000000,0.373664,546.215819
54,0.691091,0.703353,0.729807,0.630287,0.000000,0.345176,554.596177
55,0.686362,0.697358,0.735495,0.671754,0.000000,0.367534,550.797532
56,0.680754,0.688063,0.734926,0.653670,0.000000,0.381211,546.262801
57,0.675994,0.689595,0.725825,0.665392,0.000000,0.378256,547.298504
58,0.670277,0.685827,0.732082,0.640393,0.000000,0.379784,551.311498
59,0.664195,0.674306,0.731513,0.694110,0.000000,0.384163,552.677855
60,0.658523,0.673397,0.736633,0.641808,0.000000,0.354933,556.429624
61,0.654054,0.673148,0.737770,0.586807,0.000000,0.306622,554.298808
62,0.649147,0.671311,0.732082,0.611630,0.000000,0.340849,558.895957
63,0.644768,0.651401,0.736064,0.695252,0.000000,0.390196,549.283254
64,0.638728,0.651518,0.737201,0.680594,0.000000,0.395682,544.407510
65,0.635091,0.641192,0.724118,0.668581,0.000000,0.383858,554.517840
66,0.629864,0.634820,0.732651,0.672416,0.000000,0.366925,560.502048
67,0.624370,0.639696,0.730375,0.684452,0.000000,0.408863,543.002311
68,0.618656,0.626769,0.731513,0.660770,0.000000,0.346077,560.117392
69,0.615187,0.626201,0.733788,0.686388,0.000000,0.374496,563.902352
70,0.611586,0.619579,0.732651,0.678551,0.000000,0.372164,553.286908
71,0.606051,0.623925,0.718999,0.635175,0.000000,0.375960,545.977515
72,0.601058,0.617317,0.730944,0.682518,0.000000,0.392076,538.307319
73,0.596716,0.608631,0.712742,0.667953,0.000000,0.375808,558.232290
74,0.592534,0.597933,0.737201,0.674735,0.000000,0.393531,556.226991
75,0.586211,0.604340,0.737770,0.688073,0.000000,0.373210,565.482332
76,0.583012,0.590634,0.730375,0.702782,0.000000,0.401581,552.373495
77,0.578810,0.590756,0.726394,0.665419,0.000000,0.391256,549.889829
78,0.574796,0.597853,0.736064,0.650338,0.000000,0.347732,559.504262
79,0.569034,0.579614,0.736064,0.680214,0.000000,0.355382,547.556535
80,0.565713,0.573157,0.734357,0.670583,0.000000,0.389924,538.385077
81,0.561745,0.574164,0.734926,0.689306,0.000000,0.384686,543.536106
82,0.556587,0.573936,0.735495,0.691690,0.000000,0.390726,543.034919
83,0.554241,0.569750,0.733220,0.683975,0.000000,0.375856,548.109699
84,0.549547,0.555194,0.729238,0.690027,0.000000,0.404944,551.373148
85,0.545098,0.565398,0.737770,0.674912,0.000000,0.371495,559.886568
86,0.540604,0.558706,0.736633,0.701014,0.000000,0.375398,557.121545
87,0.537222,0.557886,0.736633,0.694854,0.000000,0.386112,541.845733
88,0.533761,0.544804,0.733788,0.678895,0.000000,0.369315,547.069528
89,0.528458,0.543684,0.736633,0.658165,0.000000,0.357267,545.930755
90,0.526607,0.539635,0.735495,0.703715,0.000000,0.403883,546.831470
91,0.521854,0.538971,0.701365,0.663759,0.000000,0.400464,546.384757
92,0.517835,0.531835,0.734357,0.704158,0.000000,0.408520,565.830048
93,0.514197,0.531080,0.726394,0.695762,0.000000,0.398203,544.784332
94,0.510379,0.530105,0.734926,0.684272,0.000000,0.390360,563.205301
95,0.508175,0.520439,0.728669,0.675713,0.000000,0.371778,558.085108
96,0.502503,0.517666,0.737770,0.703230,0.000000,0.391535,550.789209
97,0.500727,0.511870,0.736064,0.649446,0.000000,0.340496,544.659948
98,0.495446,0.515031,0.726394,0.697962,0.000000,0.390960,543.504969
99,0.493370,0.512429,0.728100,0.662303,0.000000,0.386679,543.161208
100,0.489849,0.513190,0.736633,0.669733,0.000000,0.359547,545.079084
101,0.486623,0.503930,0.728100,0.707312,0.000000,0.394215,556.023683
102,0.483834,0.496723,0.728669,0.701432,0.000000,0.364431,553.200025
103,0.479094,0.497205,0.726394,0.651063,0.000000,0.380550,547.440807
104,0.476092,0.491712,0.732651,0.718310,0.000000,0.410566,564.835607
105,0.472444,0.492755,0.732082,0.662489,0.000000,0.368296,552.939860
106,0.469712,0.487539,0.732651,0.706593,0.000000,0.403272,563.648153
107,0.466606,0.479076,0.730375,0.716914,0.000000,0.405310,570.506446
108,0.462416,0.481673,0.726962,0.685946,0.000000,0.401731,572.815163
109,0.460246,0.478954,0.730944,0.682453,0.000000,0.383950,560.645178
110,0.456656,0.477180,0.726962,0.702116,0.000000,0.396160,566.873482
111,0.454553,0.470043,0.733788,0.674625,0.000000,0.344745,609.439900
112,0.450730,0.468518,0.726962,0.693073,0.000000,0.412230,563.490423
113,0.447809,0.463957,0.734926,0.698225,0.000000,0.356553,577.958263
114,0.445325,0.466880,0.733788,0.684089,0.000000,0.381957,608.615958
115,0.442571,0.456932,0.733220,0.688441,0.000000,0.341516,584.995504
116,0.438565,0.463754,0.725825,0.680208,0.000000,0.388415,553.612262
117,0.436163,0.457069,0.731513,0.711475,0.000000,0.383725,543.047043
118,0.433207,0.455122,0.724118,0.693148,0.000000,0.401506,546.675826
119,0.431729,0.444655,0.728100,0.704295,0.000000,0.419770,548.541985
120,0.425726,0.448490,0.734926,0.702233,0.000000,0.378154,557.221012
121,0.424047,0.446553,0.734926,0.700415,0.000000,0.353361,569.728057
122,0.421910,0.443901,0.734357,0.682260,0.000000,0.381131,555.365361
123,0.419671,0.442991,0.732651,0.702988,0.000000,0.379644,548.289910
124,0.417903,0.448163,0.732651,0.690622,0.000000,0.392325,551.304115
125,0.413821,0.430201,0.728100,0.704257,0.000000,0.411883,560.586921
126,0.411330,0.433151,0.734357,0.704962,0.000000,0.367587,548.141240
127,0.409105,0.428180,0.732082,0.688870,0.000000,0.392862,544.300215
128,0.404994,0.430342,0.729238,0.687883,0.000000,0.383009,543.064172
129,0.403904,0.427563,0.733220,0.697690,0.000000,0.394764,555.562774
130,0.399964,0.421888,0.734926,0.684286,0.000000,0.385430,557.136638
