epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,2.734607,899.477722,0.063140,0.000000,0.000000,0.000000,536.146608
2,2.604101,820.345093,0.063140,0.000000,0.000000,0.000000,531.292465
3,2.461375,741.643127,0.063140,0.000000,0.000000,0.000000,538.947726
4,2.332451,668.970703,0.063140,0.000000,0.000000,0.000000,536.488656
5,2.216788,599.469360,0.063140,0.000000,0.000000,0.000000,538.966405
6,2.111947,545.239502,0.063140,0.000000,0.000000,0.000000,546.012896
7,2.018255,493.753418,0.063140,0.000000,0.000000,0.000000,544.364312
8,1.933265,450.723450,0.063140,0.000000,0.000000,0.000000,537.981019
9,1.857276,406.691650,0.063140,0.000000,0.000000,0.000000,543.091919
10,1.788022,369.451141,0.063140,0.000000,0.000000,0.000000,535.354081
11,1.726262,336.938904,0.063140,0.000000,0.000000,0.000000,542.992237
12,1.670637,307.092194,0.063140,0.000000,0.000000,0.000000,546.187463
13,1.620237,278.170837,0.063140,0.000000,0.000000,0.000000,540.776653
14,1.574935,252.750046,0.063140,0.000000,0.000000,0.000000,547.014904
15,1.534411,229.553146,0.063140,0.000000,0.000000,0.000000,538.268076
16,1.497417,210.065079,0.063140,0.000000,0.000000,0.000000,538.401668
17,1.464408,191.115204,0.063140,0.000000,0.000000,0.000000,552.249386
18,1.434628,174.455200,0.063140,0.000000,0.000000,0.000000,539.850734
19,1.407778,159.705795,0.063140,0.000000,0.000000,0.000000,551.885328
20,1.383632,146.569382,0.063140,0.000000,0.000000,0.000000,543.017612
21,1.361817,134.656967,0.063140,0.000000,0.000000,0.000000,560.125307
22,1.342217,123.063370,0.063140,0.000000,0.000000,0.000000,541.080265
23,1.324564,112.879860,0.063140,0.000000,0.000000,0.000000,548.676700
24,1.308867,103.692612,0.063140,0.000000,0.000000,0.000000,542.261308
25,1.294341,95.392830,0.063140,0.000000,0.000000,0.000000,545.738621
26,1.281592,88.315689,0.063140,0.000000,0.000000,0.000000,532.651825
27,1.269959,81.527168,0.063140,0.000000,0.000000,0.000000,555.606062
28,1.259453,75.015854,0.063140,0.000000,0.000000,0.000000,545.807674
