epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,2.698278,902.140625,0.063140,0.000000,0.000000,0.000000,649.069577
2,2.567350,822.662537,0.063140,0.000000,0.000000,0.000000,626.351699
3,2.428274,743.706665,0.063140,0.000000,0.000000,0.000000,641.134960
4,2.302636,670.785156,0.063140,0.000000,0.000000,0.000000,643.331555
5,2.189934,600.882385,0.063140,0.000000,0.000000,0.000000,638.959396
6,2.087759,546.446777,0.063140,0.000000,0.000000,0.000000,626.165930
7,1.996469,494.779541,0.063140,0.000000,0.000000,0.000000,650.499716
8,1.913643,451.551758,0.063140,0.000000,0.000000,0.000000,638.514953
9,1.839602,407.281525,0.063140,0.000000,0.000000,0.000000,629.278658
10,1.772103,369.904633,0.063140,0.000000,0.000000,0.000000,632.902535
11,1.711923,337.238556,0.063140,0.000000,0.000000,0.000000,679.965060
12,1.657722,307.269562,0.063140,0.000000,0.000000,0.000000,699.893102
13,1.608605,278.238281,0.063140,0.000000,0.000000,0.000000,664.329375
14,1.564457,252.695297,0.063140,0.000000,0.000000,0.000000,658.739097
15,1.524974,229.403214,0.063140,0.000000,0.000000,0.000000,648.133424
16,1.488917,209.842453,0.063140,0.000000,0.000000,0.000000,636.748665
17,1.456753,190.823242,0.063140,0.000000,0.000000,0.000000,625.876984
18,1.427733,174.116623,0.063140,0.000000,0.000000,0.000000,630.766454
19,1.401567,159.318863,0.063140,0.000000,0.000000,0.000000,624.474880
20,1.378038,146.177185,0.063140,0.000000,0.000000,0.000000,630.435342
21,1.356779,134.236542,0.063140,0.000000,0.000000,0.000000,633.015220
22,1.337679,122.621681,0.063140,0.000000,0.000000,0.000000,631.689129
23,1.320476,112.416428,0.063140,0.000000,0.000000,0.000000,629.092805
24,1.305185,103.218979,0.063140,0.000000,0.000000,0.000000,629.887107
25,1.291025,94.915527,0.063140,0.000000,0.000000,0.000000,625.759128
26,1.278605,87.842270,0.063140,0.000000,0.000000,0.000000,676.851265
27,1.267269,81.051750,0.063140,0.000000,0.000000,0.000000,628.313194
28,1.257030,74.539124,0.063140,0.000000,0.000000,0.000000,635.932423
29,1.247940,68.758690,0.063140,0.000000,0.000000,0.000000,631.723778
30,1.239939,63.601048,0.063140,0.000000,0.000000,0.000000,630.814792
31,1.232011,58.898865,0.063140,0.000000,0.000000,0.000000,627.060426
32,1.225354,54.486855,0.063140,0.000000,0.000000,0.000000,636.583387
33,1.219227,50.587959,0.063140,0.000000,0.000000,0.000000,627.486806
34,1.214149,47.079487,0.063140,0.000000,0.000000,0.000000,630.842011
35,1.208919,43.673611,0.063140,0.000000,0.000000,0.000000,620.251881
36,1.204664,40.587547,0.063140,0.000000,0.000000,0.000000,618.323680
37,1.200890,37.819756,0.063140,0.000000,0.000000,0.000000,617.832505
38,1.196735,35.224663,0.063140,0.000000,0.000000,0.000000,631.358238
39,1.193833,32.882824,0.063140,0.000000,0.000000,0.000000,642.530075
