epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,2.815396,1.640249,0.732651,0.279815,0.277043,0.318293,557.524844
2,2.436854,1.997931,0.737770,0.009577,0.038051,0.048877,542.528981
3,2.338083,1.621239,0.734357,0.375518,0.425458,0.436170,541.457141
4,2.274644,1.641484,0.747440,0.221570,0.290678,0.317412,545.476146
5,2.210589,1.596313,0.751991,0.458046,0.453104,0.471863,543.486042
6,2.162430,1.510588,0.763367,0.464710,0.496756,0.508799,542.171996
7,2.101114,1.532465,0.763367,0.393332,0.434252,0.460349,542.827372
8,2.066461,1.454599,0.767349,0.508807,0.580448,0.578038,543.230432
9,2.019214,1.583973,0.736064,0.538320,0.516392,0.488174,540.474328
10,1.986027,1.541783,0.748009,0.566002,0.531655,0.525827,542.181986
11,1.957621,1.673232,0.754835,0.297411,0.333696,0.335172,540.804362
12,1.917354,1.681070,0.755973,0.266570,0.337561,0.344893,544.421798
13,1.903504,1.469522,0.760523,0.597306,0.620807,0.606114,545.095007
14,1.883263,1.532703,0.764505,0.327816,0.402436,0.407007,541.359860
15,1.875282,1.361992,0.790671,0.583025,0.623186,0.623577,540.554123
16,1.852266,1.369127,0.787258,0.530015,0.571893,0.585171,544.286246
17,1.836546,1.444635,0.771900,0.429171,0.465118,0.475650,541.325847
18,1.820831,1.420459,0.767918,0.630415,0.633723,0.615216,544.209475
19,1.808518,1.328483,0.790102,0.601434,0.672008,0.671372,545.096251
20,1.793058,1.393226,0.783845,0.533693,0.581807,0.584613,543.315312
21,1.786703,1.335171,0.784414,0.539450,0.592862,0.595492,545.843388
22,1.769060,1.310591,0.795791,0.578039,0.634596,0.636388,542.305105
23,1.760608,1.319395,0.792947,0.598497,0.651997,0.657351,543.559998
24,1.747099,1.292628,0.799772,0.615632,0.661365,0.666204,543.327349
25,1.731218,1.271180,0.808305,0.678303,0.686510,0.683293,546.588243
26,1.724793,1.292261,0.797497,0.602003,0.652439,0.652214,544.436667
27,1.713348,1.277368,0.798066,0.629403,0.661472,0.669639,544.565032
28,1.698128,1.251693,0.803185,0.623675,0.674302,0.680878,548.171527
29,1.689057,1.259195,0.799772,0.618850,0.668896,0.670197,549.062466
30,1.670990,1.244371,0.799772,0.639168,0.674693,0.674178,546.230020
1,1.662032,1.306269,0.798066,0.529748,0.591556,0.595489,546.085498
2,1.658922,1.218648,0.792947,0.633798,0.673767,0.671013,542.738208
3,1.644434,1.269303,0.775313,0.608198,0.657837,0.654816,542.184115
4,1.639522,1.256029,0.784983,0.625292,0.661223,0.650433,544.491462
5,1.626119,1.194851,0.806030,0.669766,0.719552,0.712714,544.348641
6,1.622825,1.349306,0.785552,0.505629,0.546631,0.549455,543.461659
7,1.607236,1.283724,0.772469,0.614712,0.610027,0.603080,540.889334
8,1.601247,1.249766,0.796928,0.570422,0.615991,0.610714,543.496206
9,1.590468,1.292826,0.738908,0.586406,0.604618,0.603529,542.332535
10,1.588423,1.252131,0.770193,0.600834,0.643662,0.638372,543.821356
11,1.576994,1.193778,0.791240,0.633206,0.688699,0.687560,540.058387
12,1.550131,1.178504,0.803754,0.599768,0.657643,0.664100,543.074985
13,1.554906,1.175216,0.802048,0.672149,0.707168,0.707197,542.860491
14,1.547693,1.237963,0.794653,0.483222,0.536899,0.541166,541.922932
15,1.535894,1.165890,0.798635,0.629125,0.673494,0.678970,543.471993
16,1.528069,1.154791,0.808305,0.655679,0.670027,0.665314,541.503879
17,1.520559,1.157891,0.806030,0.629955,0.673277,0.673757,542.977808
18,1.516390,1.140198,0.794653,0.656266,0.702452,0.697300,540.717355
19,1.511769,1.145322,0.804892,0.627751,0.661007,0.660903,541.429979
20,1.501954,1.221668,0.790102,0.538327,0.599439,0.600196,542.640408
21,1.499879,1.126434,0.801479,0.646120,0.704123,0.698501,545.971635
22,1.484104,1.121918,0.802048,0.625748,0.665747,0.669883,542.832823
23,1.485082,1.142336,0.796359,0.646618,0.666175,0.659727,547.427420
24,1.473241,1.141326,0.800341,0.661272,0.692161,0.684399,542.964321
25,1.463757,1.092942,0.811149,0.701722,0.718590,0.716466,542.037557
26,1.457883,1.071170,0.820250,0.680060,0.730542,0.728241,546.022180
27,1.455114,1.125231,0.800341,0.617832,0.678355,0.680717,544.080475
28,1.441869,1.076753,0.814562,0.661353,0.697724,0.701859,544.410091
29,1.438132,1.069688,0.813993,0.655566,0.689140,0.689054,544.775198
30,1.425410,1.093473,0.806598,0.674741,0.701395,0.699764,544.908560
31,1.430859,1.074661,0.808305,0.663918,0.704672,0.702237,542.133922
32,1.431635,1.066425,0.808305,0.668049,0.706309,0.706594,543.649136
33,1.415253,1.057066,0.816268,0.682039,0.716030,0.712403,543.468106
34,1.418450,1.068047,0.809443,0.673497,0.694954,0.686760,544.063964
35,1.405891,1.057132,0.812856,0.636564,0.669727,0.667388,542.214978
36,1.393837,1.030760,0.813424,0.666310,0.711711,0.712515,544.316765
37,1.395134,1.047946,0.815131,0.673293,0.711319,0.715445,544.045485
38,1.383858,1.037667,0.812856,0.650905,0.697425,0.696105,540.748311
39,1.377197,1.063190,0.800341,0.687226,0.718058,0.709189,543.495327
40,1.370184,1.031419,0.811149,0.671155,0.696957,0.697138,545.268460
41,1.367332,0.996677,0.813424,0.694419,0.710417,0.711747,546.121414
42,1.363937,1.012875,0.813993,0.651989,0.713841,0.711245,544.320293
43,1.352140,1.045586,0.807167,0.599547,0.655390,0.659304,541.873000
44,1.350600,1.028990,0.812856,0.652553,0.682534,0.685077,541.729352
45,1.347633,1.017505,0.817975,0.665623,0.697598,0.697210,542.733491
