epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.760583,3.060541,0.280432,-0.122517,0.186281,-0.151609,607.881877
2,1.653919,4.825523,0.229238,-0.154020,0.379813,-0.200518,612.068222
3,1.588516,3.952199,0.522184,-0.229829,0.091063,-0.249173,596.617349
4,1.544418,4.570675,0.610922,-0.166054,0.053066,-0.200741,596.622969
5,1.515411,12.469186,0.056883,-0.083507,0.379821,-0.088480,600.927287
6,1.479856,14.876763,0.052332,-0.067987,0.340363,-0.042379,592.049516
7,1.452748,15.403430,0.056314,-0.071607,0.401151,-0.083208,599.554516
8,1.415542,13.992084,0.059158,0.106389,0.422782,0.002232,599.350330
9,1.385779,19.414396,0.091013,0.143241,0.390048,0.147515,605.330572
10,1.358301,12.655229,0.059158,0.040271,0.526978,-0.004886,610.339039
11,1.340411,17.029736,0.072241,0.094098,0.482294,0.080533,609.438935
12,1.305693,16.559309,0.072810,0.069439,0.523178,0.081069,600.685812
13,1.289602,13.411903,0.101820,-0.033472,0.607813,0.010841,612.528686
14,1.271019,17.186647,0.079636,0.204639,0.401612,0.198767,597.775265
15,1.265339,8.408464,0.097838,-0.133980,0.513069,-0.150318,606.567557
16,1.249242,12.160478,0.076792,0.047354,0.575523,0.029137,603.567829
17,1.235768,18.169779,0.082480,0.142329,0.526989,0.157938,601.522945
18,1.219097,15.371292,0.097270,0.124201,0.608087,0.124084,619.593124
19,1.206848,12.902377,0.114334,0.086509,0.635950,0.098288,630.171832
20,1.197210,24.207294,0.088168,0.240146,0.516688,0.251659,605.051533
21,1.189439,7.563579,0.102389,-0.140368,0.403901,-0.176354,610.464595
22,1.173590,21.215515,0.085324,0.266940,0.451651,0.282013,601.513300
23,1.164981,10.889503,0.115472,-0.068573,0.575885,-0.088908,616.415153
24,1.156127,12.381114,0.072810,-0.055842,0.583344,-0.077124,599.077808
25,1.143639,15.717546,0.109784,0.157449,0.655939,0.142261,599.481309
26,1.138163,12.054651,0.071104,-0.006417,0.673261,-0.044304,615.239183
27,1.125926,19.252666,0.097270,0.220938,0.582301,0.212179,604.801524
28,1.111683,20.130667,0.091581,0.277883,0.518082,0.262893,603.574385
29,1.105414,14.486217,0.097270,0.208414,0.623802,0.193495,618.667925
30,1.102128,11.768983,0.101251,0.029446,0.646434,-0.007957,592.383151
31,1.089689,19.739882,0.087600,0.289764,0.473959,0.295473,591.821236
32,1.081594,9.246481,0.093857,-0.108849,0.501597,-0.128904,605.742656
33,1.074285,15.497780,0.084187,0.150008,0.633879,0.144812,609.106090
34,1.065579,14.175402,0.096701,0.112035,0.661419,0.101358,611.127712
35,1.058839,15.710104,0.094994,0.322665,0.567019,0.291608,593.775546
36,1.046724,13.880716,0.086462,0.136389,0.672855,0.119565,603.916698
37,1.039148,11.344565,0.090444,-0.030673,0.614704,-0.033916,621.055945
38,1.031915,10.561531,0.106371,0.037155,0.690424,0.003597,613.370820
