epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.750545,6.709189,0.039818,0.062969,0.225974,0.019847,545.499971
2,1.633063,6.390868,0.034699,0.022102,0.378589,-0.004825,537.431779
3,1.571482,4.180860,0.023891,-0.023576,0.080559,-0.063765,534.582688
4,1.525644,12.493891,0.075085,0.240489,0.229378,0.078427,530.171292
5,1.496116,9.630855,0.044937,0.061501,0.441419,0.014628,526.552098
6,1.464986,8.160026,0.028441,-0.010856,0.416174,-0.029590,527.837898
7,1.432341,14.809871,0.080774,0.325434,0.322033,0.072154,526.530045
8,1.401775,10.872262,0.059158,0.168299,0.488567,0.063289,522.357907
9,1.370461,13.413315,0.058589,0.151949,0.491224,0.063079,526.618229
10,1.347939,9.363564,0.027873,0.006983,0.516518,-0.005231,525.590457
11,1.323756,11.728709,0.059727,0.183149,0.545447,0.085376,557.932447
12,1.300324,16.312672,0.078498,0.343082,0.326014,0.083794,522.945543
13,1.286632,11.743293,0.054608,0.204218,0.555855,0.081828,525.004353
14,1.268291,9.766868,0.048350,0.094963,0.541913,0.059069,528.644591
15,1.263511,6.915198,0.027873,-0.010392,0.497220,-0.037443,525.608368
16,1.245735,10.783177,0.048350,0.106708,0.514837,0.072768,1700.965954
17,1.235665,8.462197,0.053470,0.148972,0.626387,0.064012,523.149040
18,1.214328,11.073342,0.064278,0.237477,0.579589,0.109944,525.635609
19,1.205586,9.368914,0.066553,0.180867,0.569694,0.088734,552.012114
20,1.200739,11.821019,0.069966,0.241030,0.545440,0.112103,524.546847
21,1.186456,4.867615,0.025028,-0.020672,0.400372,-0.050471,526.126621
22,1.171182,9.881498,0.063709,0.275366,0.504568,0.122353,526.861662
23,1.163215,7.057649,0.027873,-0.001954,0.546004,-0.014828,531.102401
24,1.149980,8.717350,0.042662,0.098007,0.633679,0.063639,547.000678
25,1.138217,10.228462,0.050057,0.145753,0.660563,0.080567,542.451412
26,1.136923,9.250758,0.056883,0.164211,0.619908,0.082872,549.744212
27,1.122729,8.892447,0.065415,0.218607,0.616455,0.106514,547.796152
28,1.110061,8.519708,0.069966,0.341630,0.556293,0.106998,564.622451
29,1.102386,10.835196,0.074516,0.411513,0.505306,0.131370,579.222570
30,1.098215,8.268232,0.059158,0.174979,0.668097,0.088773,571.774149
31,1.086764,8.880606,0.062002,0.287421,0.611311,0.124082,563.329771
32,1.077213,9.532217,0.063140,0.237273,0.669039,0.107662,580.534853
33,1.066246,8.204339,0.071672,0.303680,0.635631,0.096595,600.115997
34,1.064210,6.913329,0.037543,0.085265,0.658917,0.042615,597.266774
35,1.054211,8.993454,0.060865,0.168995,0.593328,0.101802,598.450943
36,1.043188,8.003722,0.056883,0.194845,0.649126,0.085325,598.586139
37,1.038916,8.370446,0.056314,0.150883,0.659853,0.089321,595.198016
38,1.025044,7.073696,0.059727,0.212782,0.652668,0.083148,600.016128
39,1.014827,5.156873,0.038680,0.063955,0.668229,0.016093,596.640029
40,1.007301,7.681116,0.061433,0.207166,0.651922,0.096539,590.008408
41,1.005926,7.813958,0.062571,0.233117,0.657836,0.109265,597.078968
42,0.997882,6.901282,0.039249,0.067469,0.670491,0.047523,592.480010
43,0.987742,10.532601,0.077929,0.405291,0.518232,0.124694,595.717505
44,0.982266,7.549552,0.050057,0.178529,0.660346,0.087709,640.701528
