epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.845271,41.798161,0.063140,0.000000,0.000000,0.000000,411.512087
2,1.778190,41.609100,0.063140,0.000000,0.000000,0.000000,408.846930
3,1.769830,41.194710,0.063140,0.000000,0.000000,0.000000,412.468179
4,1.760865,40.678013,0.063140,0.000000,0.000000,0.000000,409.280058
5,1.752815,39.914639,0.063140,0.000000,0.000000,0.000000,410.372004
6,1.743954,39.726398,0.063140,0.000000,0.000000,0.000000,409.023443
7,1.736137,39.325634,0.063140,0.000000,0.000000,0.000000,409.834786
8,1.727481,39.094147,0.063140,0.000000,0.000000,0.000000,409.925085
9,1.719935,38.550709,0.063140,0.000000,0.000000,0.000000,410.163557
10,1.711138,38.205360,0.063140,0.000000,0.000000,0.000000,408.202184
11,1.703167,37.820763,0.063140,0.000000,0.000000,0.000000,407.743706
12,1.695382,37.668182,0.063140,0.000000,0.000000,0.000000,407.790276
13,1.687460,37.055748,0.063140,0.000000,0.000000,0.000000,408.338867
14,1.679357,36.728100,0.063140,0.000000,0.000000,0.000000,410.087118
15,1.672287,36.331673,0.063140,0.000000,0.000000,0.000000,409.229491
16,1.664277,35.889938,0.063140,0.000000,0.000000,0.000000,409.159180
17,1.656977,35.440239,0.063140,0.000000,0.000000,0.000000,410.852455
18,1.649262,35.139870,0.063140,0.000000,0.000000,0.000000,409.364500
19,1.641832,34.702469,0.063140,0.000000,0.000000,0.000000,408.936520
20,1.634575,34.480286,0.063140,0.000000,0.000000,0.000000,410.015786
21,1.627227,34.203995,0.063140,0.000000,0.000000,0.000000,409.753223
22,1.620225,33.719208,0.063140,0.000000,0.000000,0.000000,408.327975
23,1.613025,33.346569,0.063140,0.000000,0.000000,0.000000,411.600063
24,1.606463,33.015591,0.063140,0.000000,0.000000,0.000000,410.605505
25,1.599305,32.674225,0.063140,0.000000,0.000000,0.000000,411.679405
26,1.592606,32.409348,0.063140,0.000000,0.000000,0.000000,411.202588
27,1.585532,32.109673,0.063140,0.000000,0.000000,0.000000,410.092366
28,1.578930,31.742853,0.063140,0.000000,0.000000,0.000000,409.336551
29,1.572470,31.216879,0.063140,0.000000,0.000000,0.000000,410.319927
30,1.566349,31.100294,0.063140,0.000000,0.000000,0.000000,409.138449
31,1.558947,30.692198,0.063140,0.000000,0.000000,0.000000,411.606441
32,1.552735,30.283297,0.063140,0.000000,0.000000,0.000000,411.629449
33,1.546403,30.075180,0.063140,0.000000,0.000000,0.000000,410.035620
34,1.540444,29.879148,0.063140,0.000000,0.000000,0.000000,408.902796
35,1.533642,29.522747,0.063140,0.000000,0.000000,0.000000,411.989739
36,1.527789,29.180950,0.063140,0.000000,0.000000,0.000000,409.493653
37,1.521973,28.946447,0.063140,0.000000,0.000000,0.000000,408.923055
38,1.515213,28.549831,0.063140,0.000000,0.000000,0.000000,410.564268
39,1.509620,28.374634,0.063140,0.000000,0.000000,0.000000,410.271780
40,1.503990,27.996996,0.063140,0.000000,0.000000,0.000000,413.502556
41,1.497642,27.812792,0.063140,0.000000,0.000000,0.000000,410.490533
42,1.492242,27.417513,0.063140,0.000000,0.000000,0.000000,412.594920
43,1.486534,27.064905,0.063140,0.000000,0.000000,0.000000,410.726813
44,1.480664,26.772772,0.063140,0.000000,0.000000,0.000000,409.474140
45,1.475091,26.490158,0.063140,0.000000,0.000000,0.000000,413.666515
46,1.469737,26.365051,0.063140,0.000000,0.000000,0.000000,411.339261
47,1.463974,25.973787,0.063140,0.000000,0.000000,0.000000,409.792408
48,1.458365,25.741007,0.063140,0.000000,0.000000,0.000000,411.774787
