epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,2.082559,inf,0.063140,0.000000,0.000000,0.000000,410.206160
2,2.058416,inf,0.063140,0.000000,0.000000,0.000000,407.553727
3,2.050032,inf,0.063140,0.000000,0.000000,0.000000,408.913894
4,2.041043,inf,0.063140,0.000000,0.000000,0.000000,408.386233
5,2.033136,inf,0.063140,0.000000,0.000000,0.000000,408.547902
6,2.023889,inf,0.063140,0.000000,0.000000,0.000000,408.510542
7,2.016622,inf,0.063140,0.000000,0.000000,0.000000,408.723944
8,2.007364,inf,0.063140,0.000000,0.000000,0.000000,408.862316
9,2.000328,inf,0.063140,0.000000,0.000000,0.000000,408.969293
10,1.991062,inf,0.063140,0.000000,0.000000,0.000000,409.452727
11,1.983009,inf,0.063140,0.000000,0.000000,0.000000,409.734479
12,1.975379,inf,0.063140,0.000000,0.000000,0.000000,409.763043
13,1.967275,inf,0.063140,0.000000,0.000000,0.000000,409.143813
14,1.958930,inf,0.063140,0.000000,0.000000,0.000000,409.357774
15,1.952229,inf,0.063140,0.000000,0.000000,0.000000,409.361035
16,1.943948,inf,0.063140,0.000000,0.000000,0.000000,410.032593
17,1.936656,inf,0.063140,0.000000,0.000000,0.000000,410.175281
18,1.928898,inf,0.063140,0.000000,0.000000,0.000000,408.933316
19,1.921517,inf,0.063140,0.000000,0.000000,0.000000,409.607823
20,1.914230,inf,0.063140,0.000000,0.000000,0.000000,409.610319
21,1.906761,inf,0.063140,0.000000,0.000000,0.000000,410.391149
22,1.899746,inf,0.063140,0.000000,0.000000,0.000000,410.565832
23,1.892261,inf,0.063140,0.000000,0.000000,0.000000,409.627106
24,1.885896,inf,0.063140,0.000000,0.000000,0.000000,409.225647
25,1.878651,inf,0.063140,0.000000,0.000000,0.000000,410.762135
26,1.871890,inf,0.063140,0.000000,0.000000,0.000000,410.132294
27,1.864603,inf,0.063140,0.000000,0.000000,0.000000,409.407987
28,1.858337,inf,0.063140,0.000000,0.000000,0.000000,409.202828
29,1.851678,inf,0.063140,0.000000,0.000000,0.000000,409.774235
30,1.845727,inf,0.063140,0.000000,0.000000,0.000000,409.971865
31,1.838034,inf,0.063140,0.000000,0.000000,0.000000,411.318787
32,1.831837,inf,0.063140,0.000000,0.000000,0.000000,412.009228
33,1.825575,inf,0.063140,0.000000,0.000000,0.000000,410.107006
34,1.819746,inf,0.063140,0.000000,0.000000,0.000000,409.437731
35,1.812554,inf,0.063140,0.000000,0.000000,0.000000,408.666179
36,1.806894,inf,0.063140,0.000000,0.000000,0.000000,408.352759
37,1.801092,inf,0.063140,0.000000,0.000000,0.000000,410.521423
38,1.794061,inf,0.063140,0.000000,0.000000,0.000000,408.456978
39,1.788535,inf,0.063140,0.000000,0.000000,0.000000,408.028859
40,1.782919,inf,0.063140,0.000000,0.000000,0.000000,407.973272
41,1.776309,inf,0.063140,0.000000,0.000000,0.000000,408.485754
42,1.770947,inf,0.063140,0.000000,0.000000,0.000000,409.514326
43,1.638922,inf,0.063140,0.000000,0.159052,0.000000,408.435273
44,1.360784,inf,0.063140,0.000000,-0.000480,0.000000,407.624014
45,1.280365,inf,0.075654,-0.148129,0.383676,-0.148129,407.735810
46,1.237282,inf,0.094994,-0.195070,0.388202,-0.195070,410.240783
47,1.203563,inf,0.075085,-0.142152,0.455556,-0.142152,410.425470
48,1.177270,inf,0.078498,-0.176528,0.463870,-0.176528,410.272006
49,1.149173,inf,0.069966,-0.127096,0.413939,-0.127096,410.208693
50,1.125560,inf,0.074516,-0.251477,0.484144,-0.251477,409.108618
51,1.103962,inf,0.073379,-0.227378,0.493760,-0.227378,408.860415
52,1.087114,inf,0.066553,-0.199241,0.536335,-0.199241,409.078361
53,1.067307,inf,0.077929,-0.300200,0.545169,-0.300200,409.085990
54,1.052292,inf,0.063709,-0.109403,0.325527,-0.109403,409.201711
55,1.037128,inf,0.071104,-0.255437,0.531130,-0.255437,409.466635
56,1.030446,inf,0.069397,-0.242225,0.554232,-0.242225,409.612982
57,1.022302,inf,0.066553,-0.175790,0.481626,-0.175790,410.582768
58,1.012393,inf,0.089875,-0.359584,0.452401,-0.359584,410.145263
59,0.998650,inf,0.065415,-0.178996,0.495205,-0.178996,428.076516
60,0.990592,inf,0.076223,-0.282343,0.578020,-0.282343,413.671395
61,0.987644,inf,0.063709,-0.137729,0.376520,-0.137729,413.100288
62,0.975611,inf,0.069397,-0.271353,0.584925,-0.271353,411.669936
63,0.967656,inf,0.084187,-0.368646,0.482553,-0.368646,409.754921
64,0.960673,inf,0.075085,-0.314088,0.584385,-0.314088,410.069183
65,0.956726,inf,0.077361,-0.359971,0.476503,-0.359971,410.293498
66,0.948648,inf,0.067122,-0.287422,0.603881,-0.287422,409.505189
67,0.938881,inf,0.096132,-0.336119,0.499734,-0.336119,410.483664
68,0.935042,inf,0.064846,-0.121825,0.414739,-0.121825,411.558723
69,0.931020,inf,0.068828,-0.316459,0.555697,-0.316459,413.108707
70,0.923210,inf,0.064278,-0.188539,0.498819,-0.188539,411.503046
71,0.913139,inf,0.063709,-0.159608,0.467803,-0.159608,412.878003
72,0.907938,inf,0.081911,-0.370269,0.595801,-0.370269,411.233204
73,0.903903,inf,0.067122,-0.297616,0.613011,-0.297616,410.658278
74,0.896452,inf,0.078498,-0.347202,0.518602,-0.347202,410.100271
75,0.888099,inf,0.066553,-0.310330,0.607066,-0.310330,410.882553
76,0.881599,inf,0.065415,-0.219179,0.539440,-0.219179,411.460997
77,0.881626,inf,0.071104,-0.317404,0.626066,-0.317404,409.711237
78,0.876708,inf,0.065984,-0.181692,0.512717,-0.181692,410.246455
79,0.868257,inf,0.071104,-0.327735,0.612272,-0.327735,410.974364
80,0.861474,inf,0.066553,-0.249867,0.564605,-0.249867,520.032803
81,0.857401,inf,0.076792,-0.354216,0.595624,-0.354216,410.319368
82,0.850873,inf,0.071672,-0.322853,0.581983,-0.322853,410.457824
83,0.849960,inf,0.073948,-0.331267,0.628075,-0.331267,410.635305
84,0.841857,inf,0.069397,-0.310392,0.601671,-0.310392,410.277735
