epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.851016,27.097828,0.063140,0.000000,0.000000,0.000000,616.531110
2,1.778524,26.925711,0.063140,0.000000,0.000000,0.000000,630.926478
3,1.770160,26.669283,0.063140,0.000000,0.000000,0.000000,643.001076
4,1.761192,26.336630,0.063140,0.000000,0.000000,0.000000,633.228897
5,1.753139,25.860428,0.063140,0.000000,0.000000,0.000000,651.200665
6,1.744274,25.730328,0.063140,0.000000,0.000000,0.000000,623.635074
7,1.736454,25.478617,0.063140,0.000000,0.000000,0.000000,612.523546
8,1.727795,25.320658,0.063140,0.000000,0.000000,0.000000,632.059539
9,1.720246,24.978710,0.063140,0.000000,0.000000,0.000000,629.854864
10,1.711445,24.721409,0.063140,0.000000,0.000000,0.000000,606.163791
11,1.703471,24.495829,0.063140,0.000000,0.000000,0.000000,616.928332
12,1.695683,24.399076,0.063140,0.000000,0.000000,0.000000,612.892409
13,1.687758,23.983747,0.063140,0.000000,0.000000,0.000000,593.509705
14,1.679651,23.773222,0.063140,0.000000,0.000000,0.000000,610.442457
15,1.672578,23.540983,0.063140,0.000000,0.000000,0.000000,596.576139
16,1.664566,23.246857,0.063140,0.000000,0.000000,0.000000,616.607298
17,1.657262,22.942837,0.063140,0.000000,0.000000,0.000000,609.234257
18,1.649544,22.757040,0.063140,0.000000,0.000000,0.000000,597.621665
19,1.642112,22.466074,0.063140,0.000000,0.000000,0.000000,602.404741
20,1.634851,22.311386,0.063140,0.000000,0.000000,0.000000,609.587342
21,1.627500,22.137707,0.063140,0.000000,0.000000,0.000000,601.231071
22,1.620495,21.842373,0.063140,0.000000,0.000000,0.000000,607.864456
23,1.613293,21.599880,0.063140,0.000000,0.000000,0.000000,610.972656
24,1.606728,21.372135,0.063140,0.000000,0.000000,0.000000,600.018661
25,1.599567,21.161413,0.063140,0.000000,0.000000,0.000000,619.827247
26,1.592865,20.989506,0.063140,0.000000,0.000000,0.000000,628.495913
27,1.585788,20.775898,0.063140,0.000000,0.000000,0.000000,618.023986
28,1.579184,20.561260,0.063140,0.000000,0.000000,0.000000,615.501532
29,1.572721,20.224161,0.063140,0.000000,0.000000,0.000000,609.648397
30,1.566597,20.142206,0.063140,0.000000,0.000000,0.000000,606.842571
31,1.559192,19.877369,0.063140,0.000000,0.000000,0.000000,612.200269
32,1.552978,19.617853,0.063140,0.000000,0.000000,0.000000,602.375315
33,1.546643,19.467272,0.063140,0.000000,0.000000,0.000000,620.203584
34,1.540681,19.341364,0.063140,0.000000,0.000000,0.000000,617.771064
35,1.533877,19.108881,0.063140,0.000000,0.000000,0.000000,616.285872
36,1.528020,18.886721,0.063140,0.000000,0.000000,0.000000,613.149988
37,1.522202,18.751724,0.063140,0.000000,0.000000,0.000000,607.921086
38,1.515440,18.496059,0.063140,0.000000,0.000000,0.000000,612.381402
39,1.509844,18.364399,0.063140,0.000000,0.000000,0.000000,614.439424
40,1.504211,18.136829,0.063140,0.000000,0.000000,0.000000,629.995038
41,1.497861,18.002953,0.063140,0.000000,0.000000,0.000000,613.533408
42,1.492458,17.756130,0.063140,0.000000,0.000000,0.000000,625.051244
43,1.486744,17.520315,0.063140,0.000000,0.000000,0.000000,607.841314
44,1.480874,17.328281,0.063140,0.000000,0.000000,0.000000,605.511325
45,1.475295,17.145504,0.063140,0.000000,0.000000,0.000000,623.855569
46,1.469939,17.058731,0.063140,0.000000,0.000000,0.000000,610.946966
47,1.464171,16.813740,0.063140,0.000000,0.000000,0.000000,611.724393
48,1.458557,16.673016,0.063140,0.000000,0.000000,0.000000,625.939542
49,1.453399,16.469713,0.063140,0.000000,0.000000,0.000000,606.998756
50,1.448200,16.258785,0.063140,0.000000,0.000000,0.000000,595.541736
51,1.442672,16.161882,0.063140,0.000000,0.000000,0.000000,596.832183
52,1.437692,15.911721,0.063140,0.000000,0.000000,0.000000,590.015755
53,1.432664,15.696787,0.063140,0.000000,0.000000,0.000000,587.670410
54,1.427041,15.695549,0.063140,0.000000,0.000000,0.000000,592.771056
55,1.421854,15.486289,0.063140,0.000000,0.000000,0.000000,596.228834
56,1.413482,14.514468,0.063140,0.000000,0.037526,0.000000,612.685040
57,1.322120,16.679140,0.063140,0.000000,0.266184,0.004101,611.124144
58,1.234837,13.002592,0.069966,0.164493,0.255514,0.206769,607.716994
59,1.178743,14.935282,0.064846,0.019365,0.305633,0.039180,604.355552
60,1.142852,19.410173,0.063140,0.000000,0.174670,0.002341,612.397251
61,1.106818,24.028845,0.064278,0.039129,0.340625,0.056099,618.205328
62,1.077549,17.522121,0.064846,0.084383,0.325172,0.100384,598.257601
63,1.053957,14.296359,0.076223,0.347651,0.448192,0.375167,623.542949
64,1.035642,20.940807,0.069397,0.198368,0.414751,0.220678,616.685847
65,1.021270,10.232352,0.074516,0.387504,0.387760,0.380298,593.429860
66,0.994374,12.490122,0.078498,0.420418,0.590132,0.407013,612.057169
67,0.962858,14.374464,0.079636,0.415323,0.611388,0.435691,606.867366
68,0.950267,30.137724,0.071104,0.268873,0.385311,0.274292,593.721733
69,0.942209,8.981547,0.076792,0.387953,0.527957,0.394381,629.259697
70,0.929648,12.096365,0.079067,0.433801,0.651695,0.456258,606.415370
71,0.918495,17.342535,0.081342,0.403033,0.597952,0.424180,606.548956
72,0.909945,inf,0.073948,0.315039,0.438556,0.318009,614.502062
73,0.901650,12.042155,0.079636,0.429916,0.634972,0.448158,598.914190
74,0.890442,7.276497,0.072810,0.384859,0.421530,0.351955,623.410661
75,0.884897,6.114761,0.069966,0.360736,0.466515,0.305407,595.289626
76,0.876136,20.472408,0.075654,0.347100,0.511766,0.362797,608.595982
77,0.869252,9.531820,0.079636,0.436212,0.646796,0.451376,606.172896
78,0.860501,14.823482,0.072810,0.325343,0.488556,0.357400,620.999019
79,0.851774,12.373902,0.079067,0.409921,0.618551,0.435273,616.633070
80,0.846504,6.353561,0.073948,0.351995,0.568573,0.326386,625.495846
81,0.842003,9.874866,0.081342,0.462035,0.654151,0.448284,626.277288
82,0.834807,7.878399,0.079067,0.450100,0.661684,0.458790,605.317534
83,0.831860,18.676113,0.080205,0.404514,0.607638,0.428378,615.684969
