epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,0.290005,14.263632,0.052332,0.106581,0.106241,0.106241,412.768105
2,-0.019302,16.376923,0.035267,0.057718,0.057059,0.057059,410.631502
3,-0.119070,56.251595,0.066553,0.164437,0.162602,0.162602,411.245720
4,-0.207258,26.441509,0.079067,0.243624,0.246165,0.246165,411.181692
5,-0.262746,20.839230,0.033561,0.049372,0.049630,0.049630,410.986016
6,-0.326630,28.859495,0.031286,0.046481,0.046913,0.046913,411.207898
7,-0.363364,51.177269,0.075085,0.291409,0.291756,0.291756,410.772909
8,-0.383729,23.239849,0.042093,0.093632,0.094451,0.094451,411.496600
9,-0.407062,22.016489,0.054608,0.163056,0.162800,0.162800,411.121855
10,-0.447952,50.787956,0.070535,0.206061,0.204266,0.204266,412.274491
11,-0.467507,40.689064,0.076792,0.298665,0.300335,0.300335,411.369648
12,-0.471311,56.486687,0.079636,0.334810,0.333375,0.333375,411.607751
13,-0.518348,72.216209,0.070535,0.229196,0.229958,0.229958,410.804938
14,-0.512675,46.046059,0.079067,0.331026,0.329279,0.329279,411.227493
15,-0.514852,32.072948,0.077361,0.267547,0.270009,0.270009,411.045218
16,-0.541307,38.281151,0.081911,0.329035,0.336953,0.336953,412.322690
17,-0.563831,40.123528,0.076792,0.339348,0.343537,0.343537,410.823949
18,-0.550380,64.555656,0.083049,0.327588,0.327483,0.327483,411.966286
19,-0.570302,53.018185,0.080205,0.352667,0.353333,0.353333,411.239127
20,-0.580843,40.219837,0.081342,0.344454,0.339728,0.339728,410.586626
21,-0.592480,43.360012,0.081911,0.379135,0.382505,0.382505,411.876740
22,-0.614309,33.731033,0.076792,0.343808,0.346481,0.346481,410.708146
23,-0.644092,69.604080,0.085324,0.370241,0.370978,0.370978,410.925573
24,-0.651788,47.850292,0.083049,0.391002,0.391786,0.391786,410.607912
25,-0.658573,34.458717,0.062002,0.237790,0.237981,0.237981,411.228768
26,-0.669496,47.513924,0.088168,0.388356,0.388277,0.388277,411.499621
27,-0.677465,38.790325,0.080774,0.359464,0.358923,0.358923,410.896945
28,-0.676651,44.054737,0.075654,0.267240,0.267563,0.267563,412.217472
29,-0.698810,33.811409,0.074516,0.249984,0.251186,0.251186,413.527458
30,-0.684139,39.134197,0.082480,0.359238,0.361545,0.361545,412.718697
31,-0.694415,51.335537,0.081342,0.373499,0.375522,0.375522,413.268508
32,-0.714471,51.826809,0.084755,0.387573,0.389350,0.389350,413.262654
33,-0.728393,50.702732,0.081911,0.357927,0.362132,0.362132,412.601240
34,-0.746809,39.543255,0.083618,0.401242,0.403779,0.403779,412.539055
35,-0.752476,40.354763,0.077929,0.308449,0.307815,0.307815,413.489096
36,-0.746170,56.814327,0.084187,0.406268,0.407275,0.407275,413.169696
37,-0.730430,45.702335,0.079636,0.373885,0.377282,0.377282,413.031246
38,-0.761534,47.801083,0.084187,0.358892,0.359907,0.359907,413.268552
39,-0.773390,47.373524,0.088737,0.383390,0.382718,0.382718,412.560769
40,-0.788600,58.121983,0.085324,0.396272,0.399267,0.399267,413.448374
41,-0.790126,47.119049,0.082480,0.398064,0.397398,0.397398,413.076671
42,-0.788194,41.772575,0.083049,0.344334,0.344641,0.344641,413.544712
43,-0.804995,50.415771,0.084755,0.394547,0.395784,0.395784,413.295248
44,-0.818804,54.769291,0.087031,0.407208,0.405176,0.405176,414.936652
45,-0.833749,45.821388,0.089306,0.410866,0.414329,0.414329,412.935647
46,-0.830858,46.597054,0.080774,0.385953,0.387900,0.387900,414.241608
47,-0.834619,52.601509,0.086462,0.375636,0.375490,0.375490,412.131439
48,-0.860167,45.185406,0.087600,0.397752,0.398573,0.398573,412.910712
49,-0.866097,66.581291,0.081911,0.338555,0.340406,0.340406,412.198357
50,-0.877981,45.147182,0.084755,0.377226,0.381569,0.381569,413.616623
51,-0.898231,42.760590,0.085324,0.409495,0.411440,0.411440,413.243339
52,-0.875715,48.609589,0.086462,0.373477,0.372767,0.372767,412.318238
53,-0.879220,41.523006,0.088168,0.360744,0.361594,0.361594,412.785333
54,-0.897561,64.777542,0.087600,0.404311,0.408564,0.408564,413.027060
55,-0.889161,51.405941,0.088737,0.402067,0.401562,0.401562,413.145024
56,-0.907630,43.535656,0.083049,0.385492,0.383954,0.383954,415.086838
57,-0.918389,48.745090,0.082480,0.347616,0.347955,0.347955,411.989692
58,-0.910747,47.350239,0.087600,0.403036,0.402428,0.402428,413.247217
59,-0.911138,43.017521,0.076792,0.271072,0.272213,0.272213,413.161112
60,-0.931449,45.009102,0.080774,0.357829,0.357327,0.357327,412.746406
61,-0.914178,52.603939,0.088737,0.391782,0.389302,0.389302,413.956093
62,-0.923233,43.268135,0.089306,0.365693,0.369740,0.369740,412.775939
63,-0.919415,57.555351,0.086462,0.401326,0.404405,0.404405,413.955053
