epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,0.773206,8.642738,0.056314,0.101522,0.101277,0.101277,595.766530
2,0.638527,12.381635,0.064278,0.173470,0.179586,0.179586,590.929100
3,0.598973,14.792062,0.067691,0.229816,0.230848,0.230848,613.674812
4,0.578885,16.164417,0.039249,0.059913,0.061970,0.061970,604.442615
5,0.557307,19.679493,0.067122,0.189423,0.194195,0.194195,626.134923
6,0.526362,18.447418,0.071672,0.244165,0.247009,0.247009,610.818733
7,0.519195,12.516493,0.052901,0.111365,0.110825,0.110825,610.093123
8,0.458312,23.648905,0.068259,0.244618,0.240409,0.240409,611.961405
9,0.437392,13.810301,0.035836,0.098154,0.101700,0.101700,617.829911
10,0.416770,16.140829,0.032423,0.054996,0.056533,0.056533,613.770290
11,0.399638,21.516996,0.028441,0.038978,0.039005,0.039005,624.885995
12,0.388192,32.989521,0.070535,0.170140,0.168815,0.168815,611.266769
13,0.373409,27.590509,0.070535,0.279413,0.278203,0.278203,617.965303
14,0.355901,40.561443,0.065415,0.093291,0.092334,0.092334,571.895413
15,0.351807,44.146671,0.067691,0.160792,0.161470,0.161470,676.270096
16,0.323411,28.866846,0.071672,0.301617,0.303612,0.303612,728.219116
17,0.316628,32.017509,0.027304,0.021664,0.022167,0.022167,677.522556
18,0.302009,19.946194,0.073948,0.379320,0.379800,0.379800,665.264275
19,0.283447,31.411863,0.073948,0.308767,0.314416,0.314416,645.685987
20,0.273039,32.468269,0.026166,0.011893,0.011850,0.011850,686.192438
21,0.267743,27.972429,0.080205,0.376116,0.376861,0.376861,661.805615
22,0.243737,27.391907,0.089875,0.393599,0.393278,0.393278,616.923811
23,0.218544,23.213282,0.092150,0.405056,0.412094,0.412094,593.319910
24,0.204287,33.039181,0.086462,0.397938,0.395485,0.395485,590.425777
25,0.199716,23.226055,0.097838,0.429470,0.427931,0.427931,607.490856
26,0.190921,20.995279,0.095563,0.394815,0.396424,0.396424,570.913451
27,0.187223,23.073591,0.102958,0.354402,0.355832,0.355832,596.920575
28,0.166137,32.815811,0.081911,0.349536,0.353721,0.353721,528.568626
29,0.156293,19.927820,0.083049,0.292325,0.292012,0.292012,518.589913
30,0.150865,28.360235,0.092719,0.417309,0.415907,0.415907,525.406517
31,0.149332,22.338663,0.081342,0.407256,0.406096,0.406096,518.689993
32,0.141286,20.077831,0.088168,0.398547,0.399869,0.399869,528.529324
33,0.127018,25.775953,0.094994,0.418652,0.420245,0.420245,522.986481
34,0.117883,19.792709,0.089306,0.304562,0.306662,0.306662,480.469803
35,0.116141,27.034647,0.100114,0.434155,0.436192,0.436192,451.970522
36,0.112310,28.122196,0.097270,0.423729,0.427650,0.427650,445.504778
37,0.107176,28.885670,0.096701,0.432868,0.433749,0.433749,451.904219
38,0.110957,25.644836,0.100114,0.442971,0.443127,0.443127,466.672946
39,0.099608,32.030499,0.087600,0.415410,0.418222,0.418222,484.836597
40,0.093083,32.998455,0.082480,0.392557,0.393260,0.393260,483.370178
41,0.088093,27.536860,0.098976,0.454652,0.452198,0.452198,488.564682
42,0.082869,22.613146,0.094994,0.381518,0.383825,0.383825,471.877722
43,0.080776,21.952579,0.089875,0.294435,0.296679,0.296679,461.823775
44,0.076804,24.806250,0.096132,0.421196,0.423211,0.423211,462.980700
45,0.066681,28.649830,0.097838,0.449531,0.450718,0.450718,458.849555
46,0.063994,33.839825,0.078498,0.385289,0.385145,0.385145,478.276621
47,0.059327,30.296551,0.094425,0.447955,0.446540,0.446540,470.485452
48,0.050649,29.529745,0.098976,0.423703,0.426032,0.426032,462.525902
49,0.044634,31.398512,0.081911,0.418819,0.420540,0.420540,463.743452
50,0.047995,26.636576,0.097270,0.443251,0.444430,0.444430,463.759748
51,0.042803,22.738005,0.100683,0.443588,0.443417,0.443417,476.074824
52,0.033113,27.768095,0.100114,0.459022,0.459980,0.459980,483.101436
53,0.030223,23.003405,0.112628,0.454293,0.456623,0.456623,468.202613
54,0.025720,32.215710,0.096132,0.441984,0.443752,0.443752,454.206876
55,0.020134,31.125620,0.097270,0.448741,0.451364,0.451364,468.167596
56,0.016553,31.615250,0.100683,0.442497,0.446353,0.446353,458.592975
57,0.009886,30.226135,0.097838,0.465281,0.466083,0.466083,466.064126
58,0.001729,20.965006,0.094425,0.391671,0.389883,0.389883,459.078554
59,0.005155,30.597528,0.101820,0.455837,0.456785,0.456785,491.350344
60,-0.003592,29.976019,0.096701,0.443606,0.442774,0.442774,584.229336
61,0.000233,28.407217,0.092150,0.439647,0.444877,0.444877,528.370332
62,-0.005185,29.425039,0.100114,0.460411,0.461134,0.461134,535.825721
63,-0.006485,28.817774,0.097270,0.460854,0.462056,0.462056,543.745126
64,-0.016684,28.054468,0.101820,0.439108,0.440300,0.440300,531.768216
65,-0.021468,25.975231,0.094425,0.402794,0.402517,0.402517,529.865871
66,-0.018375,23.180302,0.097838,0.356881,0.356594,0.356594,722.607494
67,-0.024078,22.582575,0.079067,0.253735,0.253182,0.253182,566.507181
68,-0.031172,25.934538,0.103527,0.469939,0.471914,0.471914,545.163054
69,-0.036481,34.072510,0.084755,0.434101,0.434728,0.434728,549.035532
70,-0.041174,28.775793,0.093857,0.473811,0.475019,0.475019,537.744917
71,-0.045017,38.491199,0.091581,0.339006,0.338412,0.338412,531.851903
72,-0.042365,33.564785,0.094994,0.462983,0.462457,0.462457,532.157899
73,-0.053335,30.829813,0.098407,0.453623,0.453947,0.453947,528.707215
74,-0.055255,31.572010,0.088737,0.419074,0.422779,0.422779,535.950659
75,-0.057781,29.951979,0.095563,0.480287,0.482111,0.482111,535.925514
76,-0.073283,30.640869,0.102389,0.460185,0.461949,0.461949,538.794765
77,-0.068111,27.131332,0.090444,0.439156,0.440234,0.440234,537.186050
78,-0.075468,28.063311,0.100114,0.465797,0.469839,0.469839,538.743983
79,-0.072897,29.552616,0.096132,0.471614,0.469820,0.469820,537.136473
80,-0.083111,26.996677,0.101251,0.454734,0.455346,0.455346,532.213848
81,-0.076923,33.307484,0.092150,0.449133,0.450435,0.450435,525.789908
82,-0.083116,34.336739,0.104096,0.469293,0.472625,0.472625,506.453056
83,-0.078586,28.385416,0.094425,0.465032,0.469629,0.469629,495.821868
84,-0.089011,26.872738,0.094425,0.440177,0.438753,0.438753,489.070510
85,-0.101482,29.494671,0.098976,0.458900,0.459647,0.459647,498.999533
86,-0.098760,32.782188,0.092150,0.456302,0.457459,0.457459,492.363020
87,-0.106830,29.457785,0.094425,0.469631,0.471877,0.471877,489.876604
88,-0.106460,31.522083,0.091581,0.458873,0.456925,0.456925,490.607037
89,-0.099602,32.208630,0.090444,0.468934,0.466885,0.466885,486.375923
90,-0.116048,32.090359,0.108646,0.447708,0.450483,0.450483,487.913906
91,-0.114430,29.398851,0.093857,0.459111,0.460131,0.460131,556.929478
92,-0.110918,23.401651,0.082480,0.314940,0.318936,0.318936,602.814427
93,-0.128086,27.775679,0.092150,0.413684,0.415782,0.415782,592.944544
94,-0.121010,25.133572,0.109784,0.452789,0.451908,0.451908,602.031051
95,-0.124455,35.578220,0.093857,0.445114,0.446648,0.446648,592.023340
96,-0.135661,27.200794,0.093857,0.429407,0.432639,0.432639,601.259757
97,-0.120291,27.839676,0.088737,0.445618,0.445810,0.445810,583.613263
98,-0.133315,34.463676,0.092719,0.457202,0.455861,0.455861,595.948306
99,-0.142085,31.827389,0.090444,0.447228,0.448447,0.448447,603.649989
100,-0.140743,31.771391,0.089875,0.474827,0.474318,0.474318,602.286928
101,-0.139988,32.556717,0.091581,0.460938,0.459802,0.459802,598.103908
102,-0.145643,31.894239,0.100683,0.475788,0.476450,0.476450,591.412975
103,-0.151364,26.457632,0.087031,0.431867,0.432675,0.432675,583.891292
104,-0.152129,31.932608,0.097838,0.441702,0.445854,0.445854,603.685166
105,-0.157899,29.927202,0.100114,0.485074,0.486649,0.486649,586.500268
106,-0.166289,33.288380,0.089875,0.482136,0.484271,0.484271,603.746380
107,-0.165468,34.153843,0.094994,0.468229,0.467325,0.467325,577.067873
108,-0.158053,33.715038,0.096701,0.460633,0.461132,0.461132,589.682644
109,-0.171124,25.724697,0.096701,0.474454,0.476479,0.476479,583.806806
110,-0.172319,29.724829,0.101820,0.469373,0.470780,0.470780,579.443492
111,-0.178785,32.512165,0.100683,0.485732,0.486152,0.486152,576.248837
112,-0.178434,34.805355,0.095563,0.427019,0.426443,0.426443,592.183105
113,-0.177362,38.364567,0.092719,0.455692,0.457123,0.457123,571.657871
114,-0.178939,33.449856,0.091581,0.455392,0.457095,0.457095,574.805837
115,-0.185745,26.934633,0.091013,0.462970,0.463293,0.463293,572.226999
116,-0.182698,34.507500,0.092719,0.441261,0.442257,0.442257,538.276261
117,-0.188090,26.750614,0.100114,0.455778,0.455282,0.455282,551.961588
118,-0.197482,29.166819,0.093288,0.472246,0.469940,0.469940,541.872562
119,-0.182541,34.114128,0.094425,0.466751,0.466156,0.466156,555.552176
120,-0.195833,28.941694,0.098976,0.470594,0.470276,0.470276,544.616868
121,-0.201369,27.313629,0.109784,0.492242,0.494489,0.494489,556.687528
122,-0.204654,31.295883,0.099545,0.460157,0.460351,0.460351,582.748290
123,-0.209021,30.901205,0.106371,0.465950,0.464377,0.464377,550.020931
124,-0.201521,32.090981,0.099545,0.489171,0.487946,0.487946,548.698012
125,-0.214574,31.192133,0.098407,0.475443,0.475567,0.475567,544.885582
126,-0.211746,32.025002,0.105233,0.475859,0.478040,0.478040,554.838662
127,-0.221518,28.247543,0.093857,0.473534,0.474119,0.474119,550.700038
128,-0.222689,24.719110,0.086462,0.400255,0.397885,0.397885,568.879625
129,-0.220605,27.796671,0.089306,0.478326,0.478882,0.478882,548.394841
130,-0.221592,29.798182,0.094425,0.464283,0.465831,0.465831,557.941837
131,-0.222424,28.979422,0.091581,0.462820,0.461419,0.461419,549.239281
132,-0.227664,29.471388,0.100683,0.482145,0.483827,0.483827,565.250825
133,-0.239003,32.578686,0.098407,0.478901,0.480174,0.480174,575.314755
134,-0.235999,31.550467,0.105802,0.474181,0.474619,0.474619,578.994961
135,-0.243947,29.915188,0.100683,0.489398,0.491008,0.491008,579.258235
136,-0.238876,30.944750,0.101251,0.481642,0.480874,0.480874,560.638292
137,-0.237698,38.376945,0.094994,0.446196,0.446436,0.446436,569.643173
