epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,0.538741,3.129156,0.491468,0.207692,0.223839,0.223839,489.375621
2,0.040976,11.430341,0.170648,0.113527,0.113629,0.113629,484.181232
3,-0.103611,23.426107,0.055745,0.025783,0.026723,0.026723,483.567703
4,-0.155553,18.885221,0.107509,0.071816,0.073103,0.073103,482.407959
5,-0.214033,16.490040,0.155290,0.111371,0.110727,0.110727,481.998867
6,-0.233127,6.237916,0.655859,0.403658,0.407752,0.407752,484.666134
7,-0.275528,6.150903,0.708191,0.376184,0.384740,0.384740,482.197163
8,-0.301764,16.131683,0.273606,0.164908,0.165066,0.165066,482.823891
9,-0.335333,6.218191,0.684869,0.448533,0.451281,0.451281,483.135637
10,-0.363225,27.869301,0.075085,0.054483,0.055273,0.055273,485.094813
11,-0.379515,6.852087,0.619454,0.398714,0.405896,0.405896,483.828198
12,-0.404269,14.972092,0.304323,0.218558,0.223267,0.223267,482.555965
13,-0.423466,9.530058,0.740614,0.205030,0.200569,0.200569,483.152952
14,-0.439562,65.850906,0.026166,0.008146,0.007929,0.007929,486.116515
15,-0.447509,6.103366,0.739477,0.515101,0.518982,0.518982,487.146818
16,-0.469709,6.537071,0.745734,0.451410,0.450464,0.450464,485.548398
17,-0.485777,23.347595,0.130262,0.136653,0.135419,0.135419,483.373676
18,-0.476292,12.538256,0.423777,0.264213,0.267549,0.267549,485.678453
19,-0.510729,7.780251,0.596132,0.424121,0.426830,0.426830,483.538682
20,-0.502319,6.663826,0.749716,0.484529,0.496589,0.496589,484.865664
21,-0.514311,8.222660,0.750284,0.449771,0.458597,0.458597,485.644813
22,-0.521239,6.485399,0.734357,0.503013,0.511191,0.511191,483.126483
23,-0.533167,19.238474,0.206485,0.157746,0.160340,0.160340,486.390987
24,-0.521610,14.477962,0.311149,0.248624,0.252910,0.252910,486.601780
25,-0.561982,5.680385,0.641069,0.477116,0.489348,0.489348,484.980401
26,-0.559639,8.405855,0.440842,0.330643,0.332482,0.332482,484.601957
27,-0.558997,6.501165,0.740046,0.525604,0.528765,0.528765,483.529584
28,-0.563360,8.479280,0.561433,0.421194,0.427529,0.427529,496.851892
29,-0.569537,6.544229,0.726394,0.542594,0.547205,0.547205,495.939738
30,-0.586421,23.972509,0.189989,0.180727,0.185101,0.185101,483.352077
31,-0.592855,6.182533,0.745734,0.554258,0.559951,0.559951,482.513329
32,-0.601103,8.432927,0.575085,0.446171,0.450886,0.450886,485.859678
33,-0.602645,7.180220,0.719568,0.557845,0.560765,0.560765,482.626844
34,-0.603703,12.741447,0.414107,0.308613,0.313255,0.313255,483.725679
35,-0.589161,13.552929,0.431172,0.336480,0.339576,0.339576,487.032062
36,-0.615557,15.134838,0.316837,0.261403,0.263502,0.263502,495.451256
37,-0.620541,9.341936,0.567122,0.437825,0.437843,0.437843,492.535072
38,-0.642747,8.185472,0.515927,0.389672,0.393778,0.393778,493.563431
39,-0.624480,7.364934,0.759954,0.515265,0.522291,0.522291,493.425085
40,-0.639901,9.960405,0.576223,0.414918,0.414834,0.414834,494.870187
41,-0.629586,8.798372,0.675199,0.509697,0.512476,0.512476,493.732888
42,-0.627901,15.081101,0.277019,0.231629,0.230108,0.230108,495.168893
43,-0.636516,7.808766,0.754266,0.541996,0.545844,0.545844,494.621206
44,-0.657521,6.205685,0.756542,0.590330,0.595196,0.595196,488.079936
45,-0.667068,7.025260,0.690557,0.529485,0.534503,0.534503,485.358359
46,-0.643427,11.653040,0.750284,0.384843,0.387336,0.387336,482.556936
47,-0.664152,8.340713,0.609215,0.475720,0.483086,0.483086,485.057476
48,-0.680956,7.434049,0.758817,0.544441,0.543154,0.543154,485.403365
49,-0.675390,7.581995,0.753129,0.554212,0.555313,0.555313,483.030025
50,-0.679617,28.833284,0.177474,0.168900,0.171258,0.171258,484.976219
51,-0.681861,6.737453,0.742890,0.574006,0.577209,0.577209,483.089706
52,-0.684656,5.936489,0.764505,0.603538,0.615448,0.615448,485.588478
53,-0.685125,6.418592,0.761092,0.615266,0.610013,0.610013,484.702995
54,-0.701229,6.709200,0.752560,0.596187,0.603362,0.603362,485.883263
55,-0.687638,6.877807,0.738908,0.582507,0.593486,0.593486,483.339184
56,-0.705926,6.270422,0.746303,0.588289,0.592416,0.592416,485.871804
57,-0.707680,8.676555,0.733788,0.512914,0.509496,0.509496,484.854128
58,-0.712339,12.106803,0.467577,0.353802,0.356031,0.356031,483.758020
59,-0.731550,5.720820,0.722981,0.591637,0.600305,0.600305,484.362610
60,-0.724012,11.798749,0.501138,0.384338,0.382118,0.382118,485.911045
61,-0.715807,5.855209,0.767349,0.600441,0.609271,0.609271,482.814756
62,-0.732919,6.769183,0.738908,0.596492,0.601644,0.601644,483.278919
63,-0.730969,7.251343,0.710466,0.574517,0.574379,0.574379,485.327510
64,-0.749034,8.784706,0.535267,0.402726,0.404683,0.404683,483.248723
65,-0.741297,10.402192,0.567691,0.423652,0.431111,0.431111,484.126733
66,-0.747222,6.303575,0.654721,0.540313,0.548125,0.548125,482.883407
67,-0.747884,7.250700,0.705916,0.573277,0.582552,0.582552,483.947640
68,-0.743029,7.559376,0.694539,0.535319,0.540211,0.540211,484.746240
69,-0.760613,6.669407,0.740614,0.599546,0.602189,0.602189,482.616520
70,-0.770757,8.354793,0.763936,0.520857,0.521203,0.521203,485.320210
71,-0.759156,5.493024,0.735495,0.590341,0.593670,0.593670,482.861183
72,-0.763503,6.545843,0.765074,0.581560,0.587535,0.587535,483.109162
73,-0.776464,13.161701,0.407850,0.331621,0.335926,0.335926,483.395535
74,-0.757625,6.001831,0.715017,0.569937,0.580430,0.580430,484.269877
75,-0.775746,10.099669,0.571104,0.427579,0.435185,0.435185,484.678724
76,-0.775300,6.924102,0.665529,0.517080,0.517028,0.517028,483.335197
77,-0.789719,6.974559,0.704778,0.568608,0.576207,0.576207,484.489118
78,-0.778953,12.470932,0.482366,0.357329,0.361869,0.361869,485.345985
79,-0.792634,6.950993,0.769625,0.600637,0.597915,0.597915,482.868888
80,-0.798559,7.310207,0.667235,0.537204,0.540885,0.540885,485.422086
81,-0.801610,7.135288,0.762799,0.617140,0.619655,0.619655,486.107849
82,-0.808838,6.250724,0.732651,0.599911,0.608313,0.608313,496.394879
83,-0.810619,7.603134,0.732651,0.552675,0.560031,0.560031,486.773389
84,-0.803763,6.848714,0.767349,0.587646,0.597790,0.597790,487.753508
85,-0.825100,6.290746,0.762799,0.629590,0.637894,0.637894,483.767723
86,-0.833611,11.772822,0.421502,0.334785,0.339435,0.339435,488.095092
87,-0.795808,10.334486,0.559158,0.449195,0.457473,0.457473,484.726598
88,-0.818986,8.290037,0.693970,0.538756,0.549515,0.549515,490.261304
89,-0.828236,6.832952,0.775313,0.599102,0.592579,0.592579,494.800248
90,-0.834633,12.099180,0.571104,0.407900,0.415258,0.415258,493.827117
91,-0.830466,7.950366,0.616041,0.476166,0.479253,0.479253,496.107554
92,-0.837030,16.166698,0.403299,0.312816,0.315489,0.315489,494.873168
93,-0.850738,9.481047,0.612628,0.472958,0.477397,0.477397,486.268684
94,-0.836838,7.089984,0.765643,0.552809,0.558808,0.558808,483.369824
95,-0.844544,7.372705,0.748578,0.578269,0.580769,0.580769,484.592613
96,-0.851962,5.169566,0.775882,0.617021,0.625423,0.625423,484.939847
97,-0.852484,12.710424,0.471559,0.363087,0.369977,0.369977,485.910816
98,-0.868286,6.289621,0.681456,0.544238,0.553111,0.553111,485.438007
99,-0.846449,7.376451,0.741752,0.587545,0.591675,0.591675,484.310714
100,-0.865115,7.258942,0.775313,0.594980,0.604265,0.604265,485.299439
101,-0.859102,9.207651,0.587031,0.450629,0.458420,0.458420,483.106206
102,-0.865948,6.441630,0.716724,0.588847,0.593018,0.593018,485.386586
103,-0.865238,6.164506,0.742321,0.600099,0.604813,0.604813,483.788815
104,-0.876639,7.546793,0.678043,0.563718,0.567909,0.567909,484.348088
105,-0.872067,7.262992,0.689420,0.545564,0.551320,0.551320,484.808787
106,-0.869876,11.536858,0.540956,0.418696,0.427420,0.427420,486.194208
107,-0.888826,7.466406,0.771900,0.567622,0.575897,0.575897,484.078139
108,-0.862817,5.680865,0.777588,0.639279,0.646580,0.646580,483.357357
109,-0.845666,8.630234,0.622298,0.495901,0.501573,0.501573,483.607589
110,-0.881496,5.795836,0.787827,0.646669,0.648758,0.648758,483.962633
111,-0.881750,8.003064,0.698521,0.569017,0.574688,0.574688,484.812906
112,-0.895757,7.076048,0.716724,0.578148,0.586566,0.586566,483.490476
113,-0.887967,9.918164,0.551763,0.429296,0.438711,0.438711,484.941081
114,-0.898564,6.954310,0.682594,0.564042,0.575075,0.575075,482.859327
115,-0.911422,8.047143,0.721843,0.575468,0.583382,0.583382,485.302605
116,-0.914489,6.786407,0.777019,0.607511,0.615356,0.615356,484.985825
117,-0.912464,9.559192,0.580774,0.452947,0.462962,0.462962,484.959149
118,-0.918488,5.880924,0.729238,0.609847,0.619823,0.619823,483.796136
119,-0.915409,6.341016,0.777019,0.637240,0.645838,0.645838,482.913687
120,-0.925448,9.030116,0.622867,0.491206,0.495341,0.495341,482.969972
121,-0.921548,7.710498,0.765643,0.630042,0.637555,0.637555,484.044160
122,-0.919776,7.077240,0.770762,0.613809,0.618925,0.618925,485.031284
123,-0.918976,5.890425,0.769056,0.641241,0.649289,0.649289,485.026678
124,-0.921838,8.215679,0.593288,0.478595,0.485786,0.485786,483.811041
125,-0.918245,7.080129,0.776451,0.655160,0.653423,0.653423,483.489583
126,-0.919898,9.212050,0.614334,0.498503,0.506550,0.506550,483.812299
127,-0.941002,9.257592,0.587031,0.458863,0.469261,0.469261,484.758936
128,-0.940892,6.921247,0.740614,0.601021,0.606050,0.606050,486.475966
129,-0.942333,6.003549,0.773606,0.655369,0.661883,0.661883,485.564293
130,-0.925349,7.075305,0.710466,0.549074,0.555783,0.555783,482.458327
131,-0.931363,8.031344,0.766780,0.621289,0.627500,0.627500,484.307035
132,-0.930322,10.064364,0.535836,0.389441,0.397936,0.397936,484.729509
133,-0.929757,8.726786,0.639363,0.524285,0.528090,0.528090,484.115635
134,-0.966704,6.696998,0.777019,0.607290,0.607474,0.607474,484.782824
135,-0.902402,6.609929,0.743458,0.615061,0.620079,0.620079,483.568355
136,-0.929325,7.111508,0.740614,0.621495,0.628242,0.628242,484.454715
137,-0.949961,7.173136,0.705347,0.598506,0.602176,0.602176,484.673618
138,-0.952663,6.566657,0.755404,0.639161,0.646674,0.646674,485.383706
139,-0.973513,5.884920,0.779295,0.653339,0.652783,0.652783,484.706596
140,-0.971849,6.896005,0.704778,0.603042,0.603913,0.603913,483.245662
141,-0.978809,8.807643,0.654721,0.527349,0.535769,0.535769,484.769382
142,-0.976280,6.407819,0.762230,0.621429,0.626146,0.626146,485.658423
143,-0.959922,6.758295,0.764505,0.602679,0.610309,0.610309,482.889954
144,-0.989676,7.435914,0.780432,0.619224,0.626543,0.626543,483.641752
