epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,1.949497,1.915687,0.737770,0.000000,0.000000,410.451593
2,1.918342,1.877919,0.734357,0.136318,0.094485,408.843885
3,1.893710,1.870027,0.733220,0.144862,0.125656,409.567624
4,1.882807,1.930876,0.709898,0.296517,0.150833,409.399854
5,1.865050,1.855410,0.733788,0.215431,0.186038,411.833882
6,1.851256,1.915490,0.738339,0.043315,0.023199,411.634315
7,1.840238,2.429029,0.219568,0.056196,0.060291,408.913018
8,1.827446,1.818213,0.738908,0.085625,0.082466,410.657240
9,1.815234,1.967686,0.646189,0.308857,0.201054,410.230659
10,1.807665,1.842314,0.727531,0.370140,0.233184,407.614156
11,1.796445,1.788526,0.737201,0.143057,0.108050,408.080039
12,1.784590,1.972837,0.737201,0.025762,0.017449,408.586622
13,1.776484,1.840880,0.692833,0.399595,0.252638,409.067446
14,1.767485,1.756309,0.739477,0.142856,0.108676,408.020361
15,1.760006,1.814034,0.720705,0.401822,0.256502,409.299163
16,1.749409,1.733134,0.737201,0.214185,0.173086,408.784891
17,1.740142,1.742885,0.740046,0.230736,0.165691,409.005390
18,1.730963,1.718674,0.740046,0.259439,0.186338,411.550938
19,1.721811,1.811791,0.738339,0.102488,0.069206,412.207392
20,1.712363,1.705094,0.741183,0.196913,0.147768,409.476060
21,1.703885,1.902789,0.633675,0.320297,0.186154,409.619444
22,1.696452,1.695331,0.736064,0.361544,0.240626,410.000296
23,1.690586,1.823206,0.684869,0.364379,0.172259,409.185217
24,1.681152,1.667117,0.740614,0.300776,0.205999,410.038177
25,1.672759,1.662161,0.738908,0.317502,0.221024,409.465454
26,1.664691,1.651430,0.741752,0.359758,0.217222,408.500246
27,1.658044,1.667355,0.741752,0.328457,0.197749,409.937278
28,1.649630,1.657075,0.741752,0.260863,0.149284,410.490989
29,1.642960,1.668463,0.726394,0.436126,0.291815,408.694037
30,1.632695,1.631682,0.741183,0.333647,0.232415,409.574364
31,1.627078,1.609923,0.739477,0.398167,0.264202,409.932818
32,1.620664,1.617639,0.743458,0.342096,0.212803,408.248560
