epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.704918,1.722293,0.737770,0.000000,0.098890,0.098890,565.693566
2,1.648264,1.735693,0.737770,0.000000,0.150279,0.150279,565.916770
3,1.614851,1.735207,0.724687,0.293275,0.238434,0.238434,574.666757
4,1.588546,1.780218,0.709898,0.393801,0.242201,0.242201,569.294840
5,1.569199,1.585145,0.744596,0.350084,0.389931,0.389931,565.394638
6,1.549781,1.546739,0.740046,0.313400,0.413857,0.413857,569.570491
7,1.530834,1.642267,0.741183,0.120436,0.241185,0.241185,565.888842
8,1.510653,1.734220,0.741183,0.093384,0.174457,0.174457,571.612320
9,1.497743,1.520667,0.746303,0.442219,0.491843,0.491843,561.645596
10,1.485563,1.500562,0.754266,0.414374,0.480788,0.480788,566.856873
11,1.470333,1.686141,0.742321,0.118607,0.215903,0.215903,578.820400
12,1.455823,inf,0.740046,0.094564,0.132153,0.132153,577.955989
13,1.443401,1.504563,0.746871,0.470098,0.520061,0.520061,583.695647
14,1.433539,1.457047,0.753129,0.462962,0.537995,0.537995,586.048098
15,1.422078,1.476616,0.748009,0.494433,0.542575,0.542575,572.080283
16,1.407096,1.423917,0.758248,0.305946,0.482440,0.482440,567.137749
17,1.393582,1.397099,0.759954,0.463821,0.560559,0.560559,561.373355
18,1.380800,1.425691,0.761661,0.363187,0.484151,0.484151,566.373683
19,1.368631,1.364729,0.782708,0.522632,0.584610,0.584610,621.299737
20,1.351828,1.481804,0.751991,0.253976,0.388819,0.388819,641.143957
21,1.343334,1.412003,0.759954,0.299502,0.442817,0.442817,629.341028
22,1.329669,1.388569,0.770762,0.404933,0.493110,0.493110,644.175507
23,1.319636,1.342162,0.775313,0.503231,0.577181,0.577181,620.037360
24,1.306437,1.314131,0.787258,0.533931,0.607384,0.607384,629.382710
25,1.297098,1.298871,0.785552,0.602374,0.608370,0.608370,624.233152
26,1.289457,1.285484,0.782139,0.579923,0.649357,0.649357,651.937920
27,1.279245,1.297073,0.786121,0.520574,0.572294,0.572294,633.926857
28,1.268610,1.273261,0.778157,0.556802,0.633028,0.633028,645.572594
29,1.260468,1.272315,0.782708,0.570165,0.601514,0.601514,646.745840
30,1.250510,1.264124,0.803754,0.616603,0.650250,0.650250,656.768641
31,1.243850,1.559310,0.665529,0.438030,0.452755,0.452755,670.097768
32,1.234071,1.249355,0.786689,0.623471,0.678770,0.678770,675.601144
33,1.223559,1.223223,0.788965,0.565155,0.642480,0.642480,672.570097
34,1.219462,1.260062,0.788396,0.634225,0.606211,0.606211,671.375512
35,1.208153,1.358605,0.763367,0.304648,0.410650,0.410650,668.593592
36,1.198599,1.194948,0.803754,0.630329,0.682021,0.682021,681.153577
37,1.193219,1.293648,0.767918,0.608339,0.616770,0.616770,692.716992
38,1.181803,1.194842,0.799772,0.619650,0.657421,0.657421,692.519967
39,1.173213,1.218666,0.777588,0.629666,0.676721,0.676721,687.648204
40,1.167279,1.222356,0.791240,0.551621,0.608086,0.608086,681.310184
41,1.158932,1.293386,0.774175,0.391235,0.465241,0.465241,672.741391
42,1.154987,1.186704,0.796928,0.538802,0.603379,0.603379,679.696411
43,1.145301,1.209977,0.787827,0.580175,0.653623,0.653623,647.982413
44,1.136748,1.188480,0.781570,0.466410,0.555271,0.555271,597.706975
45,1.130013,1.137683,0.806598,0.638526,0.666786,0.666786,596.772069
46,1.122269,1.158304,0.791240,0.564143,0.605077,0.605077,603.832047
47,1.118481,1.138403,0.800910,0.590870,0.648233,0.648233,603.473264
48,1.112561,1.128161,0.799204,0.580873,0.645854,0.645854,605.541345
49,1.104473,1.182990,0.784414,0.533330,0.593809,0.593809,603.219479
50,1.098921,1.106232,0.802048,0.612790,0.658491,0.658491,591.664439
51,1.091419,1.136241,0.791240,0.604539,0.675372,0.675372,602.547755
52,1.085984,1.149289,0.790102,0.523970,0.596075,0.596075,601.757408
53,1.080336,1.076959,0.811149,0.649905,0.679960,0.679960,580.744032
54,1.070846,1.114389,0.792378,0.617426,0.666504,0.666504,578.012881
55,1.064074,1.153484,0.786689,0.626770,0.662830,0.662830,581.258814
56,1.061151,1.126099,0.795222,0.616233,0.683935,0.683935,579.501229
57,1.051681,1.067942,0.803754,0.654568,0.699479,0.699479,590.636933
58,1.046022,1.080196,0.807736,0.635167,0.672925,0.672925,578.559362
59,1.041674,1.376862,0.691695,0.547422,0.525835,0.525835,583.996637
60,1.035451,1.065653,0.807736,0.559580,0.631611,0.631611,584.506745
61,1.028158,1.056576,0.800341,0.602604,0.662612,0.662612,584.121911
62,1.023376,1.061233,0.810011,0.622863,0.664597,0.664597,553.352900
63,1.020055,1.040823,0.807167,0.660897,0.709463,0.709463,551.559272
64,1.012334,1.026826,0.816268,0.684814,0.711511,0.711511,533.906299
65,1.006670,1.040563,0.812856,0.657956,0.691372,0.691372,534.284662
66,1.002333,1.067212,0.796359,0.655393,0.677929,0.677929,540.292556
67,0.995974,1.049523,0.802048,0.606487,0.670044,0.670044,535.955321
68,0.988879,1.058624,0.805461,0.614794,0.656102,0.656102,530.659904
69,0.987161,1.014889,0.807167,0.644785,0.683560,0.683560,527.343660
70,0.982943,1.005933,0.811718,0.645863,0.686744,0.686744,536.598753
71,0.975540,1.130304,0.795222,0.535605,0.593952,0.593952,541.579235
72,0.968862,1.053889,0.795222,0.658946,0.682454,0.682454,533.588600
73,0.964204,1.013206,0.799204,0.682089,0.705142,0.705142,528.553289
74,0.961094,1.012885,0.794084,0.640845,0.671620,0.671620,543.771731
75,0.952577,1.001526,0.806030,0.661712,0.697271,0.697271,533.668643
76,0.946024,1.026766,0.792947,0.655518,0.671225,0.671225,532.798493
77,0.946096,0.993071,0.810011,0.642265,0.705468,0.705468,531.625147
78,0.941041,0.984693,0.818544,0.652586,0.677479,0.677479,526.732202
79,0.933513,0.969123,0.824801,0.693562,0.707851,0.707851,521.944818
80,0.925603,0.952514,0.816268,0.671244,0.706393,0.706393,523.369659
81,0.926310,1.023580,0.788396,0.672960,0.685646,0.685646,526.925692
82,0.918792,0.996490,0.802048,0.651891,0.689209,0.689209,568.333917
83,0.912984,0.974210,0.805461,0.630545,0.682320,0.682320,528.454594
84,0.911578,1.066246,0.748578,0.590384,0.604031,0.604031,531.439764
85,0.906838,1.187134,0.772469,0.516166,0.562702,0.562702,540.043700
86,0.904562,0.961093,0.803754,0.653415,0.700775,0.700775,542.834425
87,0.897196,0.964364,0.812856,0.635443,0.676745,0.676745,524.140048
88,0.891175,0.949189,0.810580,0.682611,0.715832,0.715832,524.739118
89,0.886662,1.036680,0.801479,0.542261,0.582664,0.582664,531.221847
90,0.885458,0.957774,0.799772,0.666431,0.731438,0.731438,540.185414
91,0.879623,0.939668,0.796928,0.653329,0.698532,0.698532,561.064558
92,0.873990,0.926208,0.812287,0.653989,0.717193,0.717193,558.603956
93,0.873002,0.917342,0.811149,0.669367,0.719095,0.719095,560.498630
94,0.867285,0.935421,0.811149,0.691859,0.720154,0.720154,559.665151
95,0.863863,0.947776,0.805461,0.651037,0.698145,0.698145,560.143836
96,0.858386,0.941250,0.811149,0.649820,0.692918,0.692918,561.957140
97,0.855987,0.914839,0.811149,0.634076,0.683202,0.683202,560.606657
98,0.850910,0.917997,0.805461,0.683455,0.705595,0.705595,558.700449
99,0.845369,0.965118,0.797497,0.669050,0.660966,0.660966,556.881310
100,0.843034,0.909237,0.812287,0.674575,0.709675,0.709675,557.011922
101,0.837065,0.909656,0.817975,0.696926,0.712358,0.712358,557.005706
102,0.836632,0.898766,0.817406,0.659714,0.677111,0.677111,560.243804
103,0.831801,0.936487,0.803754,0.585864,0.626031,0.626031,562.985847
104,0.826210,0.915432,0.803185,0.661937,0.679574,0.679574,566.084487
105,0.821515,0.891354,0.810011,0.668025,0.702683,0.702683,564.995973
106,0.821037,0.906528,0.804323,0.688655,0.715980,0.715980,563.531303
107,0.816981,0.867345,0.815700,0.699697,0.733471,0.733471,562.800735
108,0.812669,0.959065,0.796359,0.599332,0.656633,0.656633,564.391427
