epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,1.819687,1.672623,0.733788,0.227194,0.264413,407.752102
2,1.728688,1.827373,0.737201,0.047079,0.130008,405.887894
3,1.678689,1.616093,0.737201,0.183381,0.370715,409.564246
4,1.648725,1.765047,0.741183,0.103591,0.218832,409.671261
5,1.624231,1.880471,0.740614,0.161117,0.241725,408.575416
6,1.602587,1.575538,0.749147,0.262802,0.390758,409.188977
7,1.584913,1.553328,0.740046,0.448972,0.466139,408.445818
8,1.565046,1.559110,0.754266,0.337591,0.416491,409.004245
9,1.550388,1.681238,0.664960,0.435664,0.426288,410.176310
10,1.535085,1.612607,0.703072,0.464384,0.453524,408.976288
11,1.519733,1.932494,0.740046,0.100368,0.132613,409.878054
12,1.504341,2.112691,0.740614,0.087558,0.117433,409.829716
13,1.487867,1.500264,0.762799,0.529800,0.543979,409.292213
14,1.475795,1.418188,0.769625,0.451208,0.511078,409.242333
15,1.461573,1.517172,0.759386,0.331144,0.443860,409.829258
16,1.443226,1.400430,0.765074,0.484625,0.532451,410.740551
17,1.428516,1.414297,0.772469,0.474845,0.531958,625.142509
18,1.415323,1.406544,0.770762,0.590705,0.608824,409.245295
19,1.402857,1.397856,0.782139,0.510456,0.566777,408.639536
20,1.388690,1.978668,0.746871,0.167050,0.202161,408.563617
21,1.381451,1.463060,0.769625,0.435080,0.472365,409.792549
22,1.369626,1.336675,0.783845,0.559890,0.597203,409.718582
23,1.359825,1.410137,0.775882,0.453351,0.502320,409.157712
24,1.347117,1.334689,0.777588,0.601845,0.625168,410.108483
25,1.336993,1.314492,0.788965,0.569537,0.613194,412.512007
26,1.327686,1.299818,0.784983,0.605787,0.650848,410.658125
27,1.320821,1.472655,0.774175,0.414032,0.452957,410.250192
28,1.307239,1.274691,0.799772,0.607759,0.641424,409.780207
29,1.300951,1.340582,0.760523,0.589520,0.580451,409.262743
30,1.290697,1.426527,0.718430,0.529173,0.544272,409.737017
31,1.284407,1.263695,0.802048,0.616581,0.642408,408.902992
32,1.274158,1.310843,0.790671,0.535234,0.592901,409.077704
33,1.262714,1.268767,0.791240,0.636480,0.635007,409.892227
34,1.257998,1.382305,0.722981,0.544507,0.534109,410.560333
35,1.248908,1.268371,0.793515,0.526041,0.576290,409.761551
36,1.238789,1.227290,0.795222,0.563543,0.623861,409.474800
37,1.232181,1.259009,0.774744,0.608286,0.655283,410.228386
38,1.222148,1.271683,0.777019,0.626502,0.623420,409.500786
39,1.212286,1.218674,0.782708,0.624913,0.683143,409.354058
40,1.207161,1.192777,0.801479,0.636432,0.680472,410.310169
41,1.201015,1.192515,0.794653,0.567349,0.624390,409.116815
42,1.193980,1.202819,0.798635,0.542082,0.599688,410.474626
43,1.185503,1.187266,0.790671,0.632545,0.679403,410.305470
44,1.179373,1.176105,0.796928,0.585880,0.636501,409.270190
45,1.172839,1.140846,0.811718,0.617771,0.669793,409.685552
46,1.165349,1.244862,0.786121,0.523343,0.567821,409.569817
47,1.159087,1.138872,0.802048,0.574853,0.644619,409.473419
48,1.151207,1.148525,0.793515,0.535356,0.607647,409.462146
49,1.146700,1.131346,0.799204,0.609403,0.654865,410.402872
50,1.138036,1.134069,0.803754,0.591367,0.624835,409.551329
51,1.131855,1.093955,0.808874,0.640001,0.698507,625.163745
52,1.127452,1.089601,0.806598,0.632581,0.686032,626.484549
53,1.121618,1.325409,0.691126,0.524918,0.532626,409.643064
54,1.111543,1.184660,0.791240,0.577778,0.623087,409.285797
55,1.104119,1.093682,0.802048,0.627440,0.694177,408.935856
56,1.102520,1.221376,0.793515,0.535295,0.563168,409.964940
57,1.094798,1.102658,0.810580,0.619639,0.675165,409.985974
58,1.087418,1.092396,0.799204,0.654437,0.688377,410.628289
59,1.078515,1.108444,0.801479,0.688395,0.709006,411.204995
60,1.075836,1.077174,0.807167,0.648825,0.674679,411.373415
61,1.070628,1.127382,0.796928,0.575298,0.599745,410.072472
62,1.063133,1.087239,0.807167,0.626298,0.645029,411.546975
63,1.061456,1.053436,0.802048,0.658575,0.703537,410.441388
64,1.051319,1.036995,0.810580,0.657859,0.681762,411.671172
65,1.049269,1.051421,0.807736,0.671252,0.684628,410.322447
66,1.045297,1.014774,0.816837,0.678854,0.687607,411.405050
67,1.037021,1.036569,0.806030,0.664596,0.706502,409.640847
68,1.029721,1.099225,0.802048,0.605513,0.627166,420.305244
69,1.026475,1.029462,0.819113,0.673615,0.716980,411.190600
70,1.023291,1.032527,0.801479,0.650469,0.677014,409.965048
71,1.015088,1.086915,0.800341,0.599608,0.621086,410.665545
72,1.010639,1.022188,0.802617,0.675850,0.706846,411.532521
73,1.005034,1.033157,0.801479,0.673686,0.688581,410.528576
74,1.002862,1.004950,0.804323,0.648002,0.672070,410.851823
75,0.992781,1.010338,0.807736,0.646663,0.689139,409.769282
76,0.987953,0.968268,0.811718,0.672483,0.720365,408.934054
77,0.986451,0.974549,0.817975,0.689715,0.712410,410.670918
78,0.982126,1.015762,0.812856,0.621461,0.658123,410.292682
79,0.972520,0.965831,0.817975,0.677749,0.703313,410.075333
80,0.969887,0.964491,0.812856,0.646856,0.670343,409.490238
81,0.968144,0.978342,0.800341,0.660162,0.696606,410.704246
82,0.958536,0.962868,0.808874,0.638800,0.677394,409.750003
83,0.955729,0.969904,0.806030,0.646167,0.692980,410.710747
84,0.950105,1.075388,0.755404,0.600232,0.613028,411.196985
85,0.947456,1.107613,0.790671,0.544974,0.594999,410.002979
86,0.944636,0.969781,0.804323,0.654091,0.684508,409.346386
87,0.938745,0.949603,0.804323,0.651339,0.715360,419.763941
88,0.934438,0.940004,0.809443,0.683724,0.711877,409.872807
89,0.925775,0.973881,0.811718,0.624258,0.659680,410.450134
90,0.927502,0.955948,0.802617,0.675709,0.723667,410.862965
91,0.919173,0.946103,0.796928,0.656217,0.685801,410.042331
92,0.915190,0.937741,0.823094,0.692179,0.708957,410.802817
93,0.911329,1.007043,0.807167,0.595853,0.629998,410.564014
94,0.905794,0.949556,0.807167,0.664215,0.709477,410.090146
95,0.904672,0.983789,0.799204,0.612448,0.671899,410.157869
96,0.900155,0.936153,0.815131,0.661179,0.684263,410.831434
97,0.896801,1.109575,0.795791,0.499403,0.538797,409.945423
98,0.890609,0.923086,0.820250,0.644474,0.678715,409.891854
99,0.883123,0.918447,0.812856,0.659037,0.693248,410.655886
100,0.884566,0.946559,0.812287,0.665579,0.684981,411.215351
101,0.879864,0.899400,0.817975,0.708696,0.726667,409.691687
102,0.873272,0.962778,0.802617,0.601318,0.640595,409.938127
103,0.872478,0.912282,0.812287,0.630047,0.681628,412.506250
104,0.867826,0.937982,0.799204,0.605604,0.663843,409.597183
105,0.860274,0.935312,0.808874,0.652178,0.671533,411.234482
106,0.861417,0.908277,0.807736,0.669711,0.708212,410.890010
107,0.854108,0.893509,0.815700,0.708588,0.709199,409.876912
108,0.849875,0.892726,0.809443,0.666899,0.717838,412.305063
109,0.844856,0.898015,0.811149,0.647773,0.702380,410.571759
110,0.839905,0.920919,0.812856,0.613199,0.640288,409.529773
111,0.844855,0.936660,0.808874,0.628365,0.661794,410.775500
112,0.836635,0.937736,0.791240,0.665955,0.689914,410.750049
113,0.831435,0.862721,0.826507,0.698931,0.729358,409.998731
114,0.827957,0.893908,0.819113,0.666216,0.687018,411.618382
115,0.823211,0.907209,0.806030,0.638235,0.688151,412.348882
116,0.820161,0.895817,0.807167,0.628537,0.690209,410.617457
117,0.816421,0.878392,0.807736,0.655002,0.698410,412.299308
118,0.812162,1.043112,0.744027,0.599744,0.606177,411.557804
119,0.811222,0.885762,0.811149,0.664113,0.698552,410.324563
120,0.803707,0.886666,0.815131,0.684508,0.706717,412.324781
121,0.805552,0.897169,0.808874,0.662715,0.703637,410.978733
122,0.801526,0.917770,0.784414,0.660258,0.681509,410.718188
123,0.792251,0.874252,0.815131,0.680759,0.714430,411.148034
124,0.794428,0.885889,0.801479,0.654863,0.683787,411.570224
125,0.789945,0.867386,0.806598,0.681617,0.724298,410.567559
126,0.783449,0.916921,0.787827,0.668853,0.682731,411.612427
127,0.784393,0.884999,0.815131,0.641945,0.689116,411.445784
128,0.778150,0.865857,0.816268,0.666391,0.703133,411.385653
129,0.777494,0.908447,0.811149,0.639833,0.659533,411.457693
130,0.772906,0.846291,0.816837,0.683220,0.717495,411.143242
131,0.767469,0.905749,0.793515,0.663707,0.692601,410.940928
132,0.767186,0.883228,0.803754,0.683068,0.700627,411.128817
133,0.763076,0.894546,0.795791,0.689204,0.706095,411.555838
134,0.756911,0.876580,0.815700,0.654107,0.698454,410.213036
135,0.753855,0.886245,0.819681,0.651090,0.680206,410.600402
136,0.750187,0.903008,0.784983,0.649008,0.688787,411.441559
137,0.753732,0.851197,0.815131,0.691371,0.710844,409.995511
138,0.743347,0.836896,0.808305,0.696889,0.729447,411.379997
139,0.743512,0.857577,0.812856,0.669839,0.705872,412.535905
140,0.740637,0.854601,0.811149,0.678724,0.730583,411.714337
141,0.737287,0.840016,0.810580,0.693128,0.713134,409.655388
142,0.731657,0.923962,0.784414,0.678799,0.703862,410.777706
143,0.734234,0.847921,0.817975,0.711953,0.734578,410.875142
144,0.729476,0.902470,0.810580,0.649047,0.689740,412.416757
145,0.723048,0.851122,0.798066,0.680912,0.715686,411.264801
146,0.720826,0.876578,0.821957,0.688780,0.717794,439.369303
147,0.716321,0.860698,0.810011,0.683453,0.704160,409.978102
148,0.715025,0.843251,0.825370,0.709723,0.724267,409.363531
149,0.711148,0.877797,0.820250,0.687183,0.715780,413.735614
150,0.709845,0.886268,0.787258,0.656205,0.680134,410.887755
151,0.704768,0.860930,0.799204,0.654559,0.704875,410.425723
152,0.703294,0.893605,0.796359,0.695302,0.707203,500.714234
153,0.705487,0.846938,0.817975,0.704154,0.725272,408.397465
154,0.693592,0.814921,0.815131,0.691121,0.712374,411.529247
155,0.695244,0.940771,0.767918,0.633492,0.674856,411.277843
