epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.740880,18.775635,0.066553,0.096280,0.095502,0.095502,520.662411
2,1.642540,15.539091,0.069966,0.232394,0.237322,0.237322,503.788097
3,1.626602,27.897274,0.065984,0.078110,0.081314,0.081314,527.149584
4,1.586006,14.474787,0.068259,0.224778,0.226626,0.226626,499.604698
5,1.536846,14.544929,0.057452,0.214170,0.212480,0.212480,512.415905
6,1.517550,17.121979,0.067122,0.208210,0.209429,0.209429,575.313244
7,1.500828,29.029043,0.066553,0.181975,0.182880,0.182880,515.255927
8,1.474687,38.236149,0.063140,0.135065,0.138130,0.138130,488.140750
9,1.454520,17.350548,0.047782,0.090051,0.093018,0.093018,475.020139
10,1.432455,38.141788,0.071104,0.205651,0.205426,0.205426,477.095178
11,1.414550,25.634111,0.094994,0.338851,0.335606,0.335606,506.635179
12,1.398076,50.657379,0.063709,0.019977,0.020924,0.020924,498.723381
13,1.391352,19.373180,0.097838,0.347476,0.348102,0.348102,482.149419
14,1.373169,33.675591,0.077361,0.269129,0.270979,0.270979,484.684865
15,1.354197,18.611929,0.086462,0.282652,0.280626,0.280626,523.459375
16,1.340677,28.859234,0.087031,0.363396,0.361791,0.361791,552.355374
17,1.332555,26.949316,0.092150,0.351926,0.350555,0.350555,575.801916
18,1.317202,17.286907,0.086462,0.239429,0.241686,0.241686,623.552625
19,1.306740,20.210848,0.093857,0.308897,0.311997,0.311997,619.232075
20,1.286265,23.998598,0.088737,0.407889,0.407440,0.407440,610.667589
21,1.282165,29.537565,0.075654,0.360846,0.364659,0.364659,691.124616
22,1.267539,19.179995,0.096132,0.372251,0.369926,0.369926,679.658910
23,1.259857,23.654005,0.100683,0.376331,0.376534,0.376534,702.976949
24,1.248127,29.725346,0.094994,0.348701,0.354993,0.354993,900.767671
25,1.239460,27.594599,0.092719,0.442656,0.444740,0.444740,843.026141
26,1.230812,24.544161,0.041524,0.087406,0.088568,0.088568,649.422336
27,1.227028,26.495661,0.102958,0.423871,0.424503,0.424503,619.920955
28,1.212436,34.109612,0.089306,0.379757,0.379881,0.379881,633.979738
29,1.204769,18.814131,0.089306,0.282922,0.283175,0.283175,675.054301
30,1.198695,25.631916,0.097270,0.428442,0.428725,0.428725,656.102572
31,1.191652,25.117174,0.099545,0.459713,0.461473,0.461473,631.347685
32,1.181277,25.273825,0.101251,0.427857,0.426398,0.426398,644.291078
33,1.176207,24.894331,0.097270,0.460275,0.461855,0.461855,684.313704
34,1.168004,26.941008,0.092150,0.433478,0.434173,0.434173,668.526048
35,1.162844,29.112036,0.101251,0.410906,0.411208,0.411208,640.586272
36,1.150968,24.742815,0.095563,0.450075,0.450369,0.450369,655.781258
37,1.147598,23.488819,0.099545,0.441254,0.441420,0.441420,704.060408
38,1.137957,28.931471,0.098976,0.422619,0.426164,0.426164,643.634221
39,1.127622,23.984009,0.098407,0.432736,0.437437,0.437437,643.428157
40,1.123260,31.132467,0.084755,0.421707,0.423025,0.423025,582.495177
41,1.117830,26.537045,0.095563,0.459225,0.458343,0.458343,673.786090
42,1.114610,31.487970,0.082480,0.375908,0.377923,0.377923,636.187349
43,1.107286,25.382839,0.101251,0.433380,0.433110,0.433110,596.862237
44,1.102861,24.212582,0.099545,0.452818,0.455272,0.455272,656.876344
45,1.088092,30.561785,0.094425,0.416142,0.414246,0.414246,582.556806
46,1.081719,31.038654,0.089306,0.420997,0.419733,0.419733,605.767265
47,1.078031,25.803177,0.097270,0.459886,0.461410,0.461410,574.986916
48,1.073650,28.861860,0.084187,0.414001,0.415270,0.415270,565.659630
49,1.069259,26.696150,0.098407,0.444823,0.447575,0.447575,549.648736
50,1.060707,27.690418,0.091581,0.441677,0.443260,0.443260,585.417635
51,1.058140,24.789152,0.091013,0.439708,0.441532,0.441532,610.255648
52,1.055157,25.720394,0.093288,0.458951,0.461861,0.461861,572.500373
53,1.044537,25.764284,0.100683,0.439122,0.441175,0.441175,563.747333
54,1.039773,30.788988,0.096132,0.427192,0.426688,0.426688,525.336813
55,1.029998,25.067812,0.104096,0.455130,0.456721,0.456721,694.013193
56,1.037483,30.129765,0.097270,0.452255,0.451040,0.451040,723.768754
57,1.022663,30.668278,0.088168,0.360000,0.360026,0.360026,641.551634
58,1.019825,22.056107,0.083049,0.366019,0.364590,0.364590,637.253599
59,1.011373,24.909296,0.101251,0.465029,0.463445,0.463445,638.125593
60,1.005745,23.548492,0.105233,0.450581,0.454248,0.454248,625.215099
61,1.002736,26.525991,0.095563,0.468663,0.470344,0.470344,627.035753
62,0.994300,30.333357,0.093857,0.429031,0.428016,0.428016,638.039893
63,0.990516,25.464935,0.101251,0.453624,0.455773,0.455773,640.396967
64,0.987425,25.211269,0.098976,0.475784,0.476883,0.476883,631.974570
65,0.983556,22.426050,0.098976,0.462625,0.461314,0.461314,621.669600
66,0.975226,25.922016,0.098407,0.469792,0.469701,0.469701,629.535812
67,0.972371,22.828821,0.090444,0.399360,0.399934,0.399934,618.836987
68,0.971956,24.810467,0.088737,0.444799,0.441250,0.441250,624.898672
69,0.968103,27.641134,0.096132,0.457868,0.458147,0.458147,634.936415
70,0.959292,23.204853,0.094994,0.467382,0.469123,0.469123,664.851435
71,0.954109,28.749043,0.092719,0.435126,0.438978,0.438978,647.695506
72,0.946576,27.728580,0.087600,0.457779,0.459508,0.459508,635.630753
73,0.944433,26.762903,0.095563,0.474566,0.473926,0.473926,650.008572
74,0.941408,24.645279,0.097270,0.461734,0.463570,0.463570,692.664540
75,0.937057,22.947834,0.097838,0.462722,0.464267,0.464267,733.882252
76,0.930733,25.786240,0.097270,0.444123,0.445118,0.445118,699.479516
77,0.927077,23.220760,0.105802,0.468500,0.470300,0.470300,727.168076
78,0.921146,26.107130,0.098407,0.476054,0.477446,0.477446,718.136210
79,0.917914,27.247183,0.095563,0.440751,0.441883,0.441883,754.793482
80,0.917562,24.391371,0.097838,0.469887,0.471745,0.471745,792.322815
81,0.913452,26.590088,0.093288,0.469079,0.470361,0.470361,761.159512
82,0.905590,25.539419,0.096701,0.484120,0.484310,0.484310,712.230929
83,0.902199,27.663771,0.091013,0.468034,0.470793,0.470793,733.603146
84,0.901162,20.332491,0.089875,0.381115,0.378919,0.378919,757.095871
85,0.891893,27.561075,0.098407,0.452622,0.457044,0.457044,726.815915
86,0.887955,25.491459,0.094994,0.454191,0.461215,0.461215,698.952750
87,0.890751,27.850054,0.084755,0.440407,0.441878,0.441878,704.865070
88,0.880236,26.193129,0.091581,0.457215,0.458946,0.458946,678.959832
89,0.875127,27.904116,0.091013,0.466649,0.464244,0.464244,651.577796
90,0.875291,26.279133,0.093288,0.463989,0.464196,0.464196,625.737561
91,0.871559,22.157087,0.103527,0.480745,0.480236,0.480236,627.911157
92,0.870308,24.701538,0.102389,0.489417,0.489387,0.489387,621.163812
93,0.863649,29.108335,0.096132,0.452378,0.453959,0.453959,626.455254
94,0.859387,24.079870,0.103527,0.453801,0.453865,0.453865,624.187351
95,0.861226,25.380686,0.093288,0.472936,0.475985,0.475985,653.407918
96,0.854179,24.678900,0.096701,0.471135,0.471426,0.471426,638.065224
97,0.852985,23.511518,0.096701,0.472788,0.476856,0.476856,621.913375
98,0.850719,26.283850,0.097270,0.465469,0.466372,0.466372,638.451161
99,0.844177,21.024639,0.100114,0.474225,0.474876,0.474876,677.010464
100,0.838536,23.565256,0.097270,0.475876,0.477678,0.477678,685.258424
101,0.838074,26.627762,0.090444,0.431065,0.432814,0.432814,697.196898
102,0.834642,24.352674,0.103527,0.443878,0.444357,0.444357,834.209614
103,0.831237,21.649918,0.100114,0.457491,0.460594,0.460594,645.732534
104,0.825358,23.552088,0.094425,0.486449,0.489126,0.489126,707.705856
105,0.822279,25.671665,0.100114,0.472493,0.476783,0.476783,745.085967
106,0.817061,24.418242,0.101251,0.482226,0.485077,0.485077,763.961007
107,0.815292,23.594294,0.102389,0.473430,0.474604,0.474604,770.888442
108,0.810769,25.374863,0.098976,0.475397,0.477662,0.477662,770.731265
109,0.808697,23.757462,0.098976,0.468649,0.467231,0.467231,737.119198
110,0.807526,24.023237,0.109215,0.464614,0.465961,0.465961,577.121597
111,0.805402,23.744461,0.097838,0.475305,0.478501,0.478501,581.734440
112,0.804300,25.984110,0.097270,0.473993,0.477996,0.477996,579.131735
113,0.802229,26.685806,0.092719,0.458664,0.460259,0.460259,581.614955
114,0.795648,22.103542,0.101820,0.478951,0.478371,0.478371,575.421273
115,0.792992,21.362446,0.112059,0.468979,0.470956,0.470956,563.520098
116,0.792925,25.507170,0.096701,0.435927,0.436095,0.436095,595.569083
117,0.789209,25.010118,0.099545,0.475461,0.476391,0.476391,590.404772
118,0.785447,20.223957,0.091013,0.397755,0.405813,0.405813,594.699250
119,0.783172,25.370207,0.107509,0.485443,0.486377,0.486377,599.128230
120,0.782151,23.725786,0.106940,0.471756,0.473013,0.473013,611.112801
121,0.780184,26.464489,0.104096,0.459526,0.463726,0.463726,603.380754
122,0.771098,25.783966,0.092150,0.465647,0.468179,0.468179,598.161246
123,0.768596,20.063997,0.101820,0.462379,0.463981,0.463981,585.676558
124,0.770119,24.090601,0.101251,0.483002,0.486743,0.486743,588.797939
125,0.766036,23.765079,0.097270,0.470707,0.473701,0.473701,587.517949
126,0.764402,25.495499,0.096132,0.436071,0.439919,0.439919,582.660202
