epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.443549,8.473051,0.408987,0.188386,0.189807,0.189807,528.091292
2,1.225632,9.578380,0.390216,0.208282,0.211498,0.211498,526.480720
3,1.170480,18.258389,0.087031,0.103679,0.104626,0.104626,525.569248
4,1.148761,6.769163,0.576223,0.370409,0.380813,0.380813,525.595285
5,1.117818,7.231617,0.734926,0.326636,0.329923,0.329923,525.510274
6,1.090796,10.938108,0.287258,0.222845,0.225098,0.225098,525.460621
7,1.075902,6.350648,0.650171,0.452372,0.459935,0.459935,523.345671
8,1.058088,10.301992,0.411263,0.300513,0.303565,0.303565,523.987383
9,1.045322,14.482998,0.294084,0.219950,0.222053,0.222053,523.978263
10,1.027713,7.344252,0.741183,0.462894,0.465511,0.465511,507.248022
11,1.017007,6.208297,0.657565,0.480632,0.489705,0.489705,521.459458
12,1.002562,9.558305,0.746303,0.376843,0.377783,0.377783,525.553177
13,0.991077,7.455029,0.678043,0.477882,0.487879,0.487879,525.082554
14,0.980745,9.936378,0.363481,0.284145,0.289071,0.289071,523.979195
15,0.968283,6.338803,0.714448,0.528132,0.532585,0.532585,525.510123
16,0.957182,10.341771,0.457338,0.343717,0.346343,0.346343,524.979737
17,0.939547,6.154405,0.681456,0.525126,0.527957,0.527957,524.826525
18,0.933166,7.550141,0.582480,0.453164,0.460308,0.460308,525.267897
19,0.924020,20.023596,0.184300,0.162427,0.163391,0.163391,527.090733
20,0.913354,6.952791,0.742890,0.489310,0.496375,0.496375,528.941559
21,0.907039,7.935606,0.748578,0.481696,0.486101,0.486101,527.295493
22,0.893935,6.553794,0.662685,0.511115,0.514742,0.514742,525.384415
23,0.886791,7.218852,0.736633,0.506687,0.513178,0.513178,525.610083
24,0.878586,5.548877,0.633106,0.479502,0.485317,0.485317,631.481490
25,0.866217,5.258434,0.654721,0.509457,0.513761,0.513761,525.601305
26,0.858401,9.229324,0.755404,0.415101,0.416552,0.416552,524.225689
27,0.855492,5.943931,0.691695,0.529449,0.539211,0.539211,526.113300
28,0.839500,5.302593,0.725825,0.561266,0.570057,0.570057,524.623232
29,0.833676,9.317675,0.427759,0.329990,0.333873,0.333873,523.094328
30,0.822181,5.207783,0.741752,0.584206,0.589435,0.589435,526.576508
31,0.815256,9.491793,0.388510,0.297766,0.302501,0.302501,527.786123
32,0.806129,12.553638,0.345279,0.246737,0.248245,0.248245,527.535399
33,0.795558,4.854347,0.736633,0.595718,0.601665,0.601665,528.940789
34,0.786540,9.390072,0.361206,0.300022,0.307417,0.307417,508.025069
35,0.779061,6.810796,0.581342,0.455313,0.460872,0.460872,601.789145
36,0.770676,7.763068,0.754266,0.528166,0.536276,0.536276,522.570720
37,0.761942,6.049483,0.735495,0.559091,0.560939,0.560939,525.357815
38,0.753942,9.708517,0.473834,0.325574,0.328684,0.328684,525.217940
39,0.749103,5.376454,0.766212,0.510802,0.516155,0.516155,547.935194
40,0.742485,13.991805,0.494881,0.294748,0.295511,0.295511,523.158690
41,0.732423,24.256510,0.165529,0.164775,0.166200,0.166200,523.084433
42,0.728262,19.413176,0.278726,0.195013,0.195557,0.195557,522.731671
43,0.723802,5.121864,0.612628,0.474706,0.485652,0.485652,526.358895
44,0.712159,4.918041,0.744027,0.614022,0.624114,0.624114,524.919315
45,0.707022,4.703806,0.688851,0.572648,0.580231,0.580231,526.130896
46,0.698001,9.455894,0.419795,0.303869,0.308280,0.308280,524.973722
47,0.695820,4.633592,0.776451,0.583445,0.588718,0.588718,584.922647
48,0.688227,4.851653,0.762230,0.602087,0.602521,0.602521,526.652831
49,0.675572,6.070451,0.760523,0.556797,0.563098,0.563098,522.862768
50,0.671123,9.786458,0.379977,0.300298,0.301530,0.301530,524.831186
51,0.665476,7.815681,0.519340,0.393084,0.403381,0.403381,524.211683
52,0.660582,4.925940,0.762799,0.599498,0.609709,0.609709,526.562861
53,0.656079,4.662571,0.752560,0.605637,0.616200,0.616200,524.180536
54,0.651334,4.453717,0.775882,0.615430,0.623180,0.623180,523.114885
55,0.642889,6.512581,0.658134,0.490749,0.494600,0.494600,616.671924
56,0.634817,7.358363,0.673493,0.505215,0.509435,0.509435,529.969211
57,0.628946,4.809987,0.723549,0.593286,0.604340,0.604340,528.045799
58,0.623864,5.644217,0.765074,0.578019,0.581184,0.581184,525.214728
59,0.617521,8.619953,0.480660,0.350225,0.357631,0.357631,524.822784
60,0.620799,4.062061,0.759954,0.625922,0.628799,0.628799,526.956190
61,0.610968,4.775179,0.780432,0.606259,0.608854,0.608854,628.958170
62,0.603977,5.445772,0.690557,0.560097,0.570052,0.570052,523.070227
63,0.600686,5.160752,0.697952,0.579546,0.582268,0.582268,528.649867
64,0.592229,4.692595,0.771331,0.591565,0.599732,0.599732,524.683620
65,0.585555,4.106369,0.763367,0.625511,0.630794,0.630794,523.325036
66,0.581577,6.254817,0.641638,0.504606,0.513488,0.513488,527.022486
67,0.572967,5.206959,0.765643,0.611590,0.620510,0.620510,527.282801
68,0.567588,12.482164,0.287827,0.248456,0.249652,0.249652,526.380776
69,0.561057,4.060573,0.755404,0.643754,0.649639,0.649639,632.861247
70,0.562791,5.128768,0.778726,0.539221,0.540787,0.540787,526.735854
71,0.561914,4.592556,0.714448,0.600094,0.606709,0.606709,523.228285
72,0.549177,15.545543,0.218999,0.187499,0.188197,0.188197,527.366516
73,0.546934,5.886381,0.664391,0.540670,0.548651,0.548651,523.975285
74,0.542184,5.206609,0.759954,0.573754,0.576515,0.576515,525.749579
75,0.541394,5.095391,0.766212,0.497516,0.496450,0.496450,524.829954
76,0.533179,4.995048,0.779863,0.562405,0.567319,0.567319,523.706284
77,0.529365,6.836024,0.523891,0.431813,0.441474,0.441474,525.580676
78,0.528421,6.831813,0.445961,0.354285,0.362154,0.362154,524.695754
79,0.523635,4.304382,0.750853,0.625980,0.637573,0.637573,525.601719
80,0.511674,4.249575,0.746303,0.600346,0.606495,0.606495,526.192894
81,0.515494,4.242761,0.730944,0.600065,0.611667,0.611667,638.919441
82,0.509431,5.918239,0.650171,0.488826,0.495496,0.495496,628.562554
83,0.504971,3.678600,0.761661,0.631216,0.638676,0.638676,533.631626
84,0.496756,5.768299,0.637088,0.536018,0.544750,0.544750,534.047293
85,0.493659,4.373482,0.777588,0.643453,0.652430,0.652430,599.687558
86,0.487963,4.160497,0.761092,0.640889,0.646548,0.646548,555.502924
87,0.489765,4.256742,0.753697,0.636735,0.644507,0.644507,617.786845
88,0.479479,5.454902,0.636519,0.519352,0.526749,0.526749,536.359472
89,0.481218,3.907994,0.773606,0.648226,0.647940,0.647940,532.908676
90,0.473237,4.578935,0.743458,0.625918,0.631073,0.631073,536.438649
91,0.469107,29.079435,0.088168,0.094931,0.094419,0.094419,536.751467
92,0.471021,4.552968,0.749147,0.602299,0.605681,0.605681,538.210398
93,0.465397,3.994361,0.769625,0.652457,0.659178,0.659178,534.701553
94,0.461799,5.729686,0.650171,0.514883,0.521055,0.521055,534.047827
95,0.457030,4.689424,0.779863,0.622000,0.624118,0.624118,532.169406
96,0.459260,3.467641,0.713311,0.595785,0.602483,0.602483,591.940477
97,0.452037,13.490469,0.312287,0.227358,0.229770,0.229770,533.447044
98,0.446548,4.069111,0.714448,0.597229,0.605851,0.605851,532.896578
99,0.443483,3.824862,0.763936,0.644210,0.658158,0.658158,531.167502
100,0.443273,4.344481,0.759954,0.608830,0.615781,0.615781,546.762575
101,0.435299,5.706588,0.606371,0.494033,0.498620,0.498620,662.525760
102,0.432377,3.840161,0.757679,0.650495,0.654180,0.654180,537.652876
103,0.433369,4.982314,0.696815,0.562481,0.571208,0.571208,528.738924
104,0.428022,3.806026,0.757110,0.614856,0.617347,0.617347,530.919062
105,0.424573,6.732714,0.568828,0.450756,0.454889,0.454889,527.599108
106,0.423502,4.295404,0.773606,0.592809,0.602079,0.602079,529.824094
107,0.418641,4.038272,0.761092,0.636224,0.640074,0.640074,527.300566
108,0.415831,4.492621,0.682594,0.560416,0.570594,0.570594,532.949238
109,0.411531,3.858810,0.741752,0.628225,0.635219,0.635219,529.366379
110,0.408253,3.756031,0.717292,0.593858,0.604669,0.604669,526.983681
111,0.408273,4.189807,0.753697,0.621941,0.626970,0.626970,526.232140
112,0.402729,3.864473,0.763367,0.622444,0.629321,0.629321,527.819072
113,0.402238,3.779956,0.730375,0.616276,0.629150,0.629150,528.378471
114,0.397334,3.840056,0.737770,0.631558,0.638711,0.638711,527.311099
115,0.392484,4.844795,0.764505,0.551397,0.548893,0.548893,529.180245
116,0.391220,3.865784,0.750284,0.628132,0.640556,0.640556,528.746255
117,0.386761,4.025010,0.670648,0.555580,0.555932,0.555932,531.048744
118,0.384274,3.195821,0.774744,0.647616,0.660875,0.660875,531.521866
119,0.386715,3.812389,0.768487,0.636835,0.638604,0.638604,530.778627
120,0.382294,3.531312,0.773038,0.653748,0.664491,0.664491,528.058161
121,0.377548,3.793338,0.705916,0.605746,0.615253,0.615253,526.994141
122,0.376445,3.398330,0.787258,0.609748,0.616836,0.616836,529.738146
123,0.373854,3.534430,0.763367,0.652575,0.660644,0.660644,528.116021
124,0.369151,3.704602,0.726962,0.608058,0.615581,0.615581,532.035162
125,0.366143,3.299784,0.794653,0.658446,0.662054,0.662054,528.470300
126,0.367831,6.172296,0.576223,0.433913,0.440670,0.440670,531.663481
127,0.365513,9.867967,0.365757,0.280135,0.283229,0.283229,529.008618
128,0.359763,3.798899,0.787258,0.622135,0.626304,0.626304,529.579009
129,0.357001,3.534928,0.749147,0.606344,0.611920,0.611920,528.966960
130,0.355440,3.406755,0.733788,0.611105,0.622313,0.622313,532.875456
131,0.352732,4.080213,0.717292,0.595026,0.598491,0.598491,530.384498
132,0.352422,3.289113,0.775882,0.623156,0.634724,0.634724,528.236335
133,0.349729,3.699378,0.761661,0.636357,0.643556,0.643556,529.325786
134,0.350642,3.544194,0.732651,0.628054,0.636532,0.636532,526.839014
135,0.345154,4.005008,0.727531,0.591294,0.601606,0.601606,526.536635
136,0.342007,3.607686,0.774175,0.629416,0.629676,0.629676,530.847594
137,0.345187,6.306426,0.475540,0.395769,0.404696,0.404696,527.556802
138,0.343721,3.284532,0.757110,0.649577,0.655594,0.655594,527.448977
139,0.340410,3.798640,0.758248,0.623872,0.630754,0.630754,528.336520
140,0.334583,5.009263,0.610922,0.505197,0.510284,0.510284,526.232869
141,0.335747,5.509565,0.574516,0.467606,0.474432,0.474432,527.271425
142,0.329524,3.506507,0.783276,0.620259,0.617601,0.617601,591.066918
143,0.330430,3.418401,0.739477,0.604307,0.612625,0.612625,526.877412
144,0.326100,3.524196,0.753697,0.626524,0.634281,0.634281,528.084845
145,0.327353,3.864115,0.674061,0.546250,0.557691,0.557691,527.128958
146,0.319614,3.996960,0.695108,0.588560,0.599819,0.599819,527.454115
147,0.323376,3.359421,0.730944,0.587223,0.600719,0.600719,529.726186
148,0.321070,3.381989,0.786689,0.649409,0.659902,0.659902,529.175341
149,0.317904,3.348344,0.771900,0.659021,0.666685,0.666685,527.122648
150,0.313699,3.269536,0.786121,0.657336,0.657396,0.657396,528.522212
151,0.311598,3.280915,0.764505,0.645596,0.651865,0.651865,527.205457
152,0.312777,3.067403,0.756542,0.622582,0.633932,0.633932,531.585614
153,0.314157,6.338906,0.521615,0.404483,0.406244,0.406244,527.985795
154,0.309208,3.588474,0.754266,0.600760,0.609346,0.609346,531.760600
155,0.310281,3.677900,0.690557,0.555276,0.569396,0.569396,532.262799
156,0.308569,3.646728,0.672924,0.556444,0.569036,0.569036,530.678364
157,0.304425,4.966204,0.571672,0.455227,0.458571,0.458571,531.252024
158,0.302488,3.773693,0.716724,0.617230,0.617927,0.617927,541.177449
159,0.298690,3.082790,0.783276,0.688488,0.688819,0.688819,646.486223
160,0.299440,5.863625,0.521047,0.398480,0.402763,0.402763,588.425586
161,0.297315,3.356735,0.748578,0.611710,0.618905,0.618905,661.695767
162,0.296982,3.189200,0.721843,0.587017,0.600823,0.600823,650.814722
163,0.296352,4.618943,0.633106,0.495884,0.505878,0.505878,611.972858
164,0.294122,3.260924,0.775882,0.677416,0.679814,0.679814,554.850549
165,0.290293,7.379338,0.468146,0.369115,0.371960,0.371960,575.157515
166,0.291628,5.912550,0.493743,0.390081,0.398165,0.398165,580.927968
167,0.285752,3.546628,0.746303,0.643537,0.651607,0.651607,629.006862
168,0.284778,5.689064,0.541524,0.424747,0.433305,0.433305,537.221168
169,0.289471,2.796975,0.765643,0.649643,0.658408,0.658408,535.907029
170,0.285385,6.446626,0.504551,0.414023,0.417757,0.417757,540.850606
171,0.286456,3.338345,0.781001,0.566587,0.574337,0.574337,561.177266
172,0.282620,3.177753,0.754266,0.629000,0.637862,0.637862,542.610756
173,0.281692,2.972116,0.737201,0.632886,0.640426,0.640426,611.344437
174,0.279880,3.684463,0.715017,0.589546,0.598409,0.598409,529.978670
175,0.278861,2.959739,0.766780,0.650474,0.659266,0.659266,528.654839
176,0.272043,2.954674,0.741752,0.633943,0.640155,0.640155,690.645690
177,0.273469,3.177334,0.699659,0.577228,0.589113,0.589113,589.085977
178,0.272124,4.294417,0.661547,0.540423,0.542676,0.542676,531.656896
179,0.274517,2.994179,0.781570,0.627553,0.634718,0.634718,533.439881
180,0.269887,6.445182,0.500569,0.383107,0.388225,0.388225,537.167075
181,0.270871,2.771852,0.779863,0.641191,0.651462,0.651462,535.477406
182,0.269440,3.907127,0.663823,0.549459,0.561402,0.561402,568.399457
183,0.265609,2.822979,0.777588,0.643392,0.648460,0.648460,540.553743
184,0.264036,3.104794,0.773606,0.623070,0.626372,0.626372,611.387800
185,0.262589,4.598068,0.631968,0.515453,0.528491,0.528491,528.087943
186,0.262309,3.931191,0.678612,0.541811,0.543555,0.543555,581.788861
187,0.262166,3.297639,0.686007,0.558691,0.572034,0.572034,532.928739
188,0.257572,2.899926,0.785552,0.624345,0.639205,0.639205,531.816635
189,0.262524,2.988689,0.775882,0.637808,0.647688,0.647688,528.129688
190,0.256305,3.012808,0.778157,0.627806,0.634350,0.634350,537.119289
191,0.256432,3.007788,0.710466,0.607792,0.616856,0.616856,532.641988
192,0.256208,2.892905,0.753697,0.654228,0.664479,0.664479,527.266232
193,0.256864,2.719100,0.774175,0.646739,0.655616,0.655616,525.515666
194,0.252058,3.041917,0.768487,0.627186,0.634623,0.634623,533.385228
195,0.252096,2.834340,0.787827,0.660877,0.664463,0.664463,527.415704
196,0.251781,2.653807,0.782139,0.660194,0.667154,0.667154,527.278210
197,0.252417,3.090155,0.728669,0.607785,0.616608,0.616608,531.389982
198,0.255729,4.928452,0.551195,0.431548,0.433615,0.433615,528.834871
199,0.249546,2.767141,0.748578,0.616384,0.619472,0.619472,528.524395
200,0.249727,3.216545,0.713879,0.601771,0.610714,0.610714,525.727621
201,0.249349,3.672102,0.679181,0.571012,0.576257,0.576257,528.044497
202,0.244724,3.101799,0.713879,0.611620,0.611247,0.611247,530.419743
203,0.245367,4.021699,0.609215,0.495654,0.503806,0.503806,527.522203
204,0.241024,2.832381,0.723549,0.640151,0.648403,0.648403,528.096779
205,0.241904,2.984994,0.701365,0.568319,0.577648,0.577648,531.348584
206,0.239732,2.945541,0.781570,0.574087,0.575903,0.575903,526.516827
