epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.850480,2.018955,0.737201,-0.000480,0.033164,0.033164,451.469777
2,1.845339,1.955016,0.738339,0.012430,0.035495,0.035495,442.966362
3,1.836276,1.891901,0.736064,0.019847,0.056691,0.056691,443.388105
4,1.818423,1.955230,0.720137,0.115793,0.117341,0.117341,447.867365
5,1.777114,2.261961,0.628555,0.132617,0.155589,0.155589,446.920889
6,1.716915,2.414252,0.689989,0.201590,0.212893,0.212893,444.295006
7,1.675228,2.593135,0.684869,0.218369,0.248643,0.248643,443.948173
8,1.648635,2.779350,0.668942,0.195801,0.228388,0.228388,453.969581
9,1.631143,2.864279,0.664960,0.237180,0.266674,0.266674,446.302005
10,1.609304,2.893958,0.720705,0.256566,0.276028,0.276028,472.385126
11,1.589698,2.819355,0.681456,0.256451,0.289890,0.289890,451.908889
12,1.579910,2.957444,0.627986,0.227441,0.277645,0.277645,441.450010
13,1.558855,3.149275,0.591581,0.223521,0.259110,0.259110,444.783843
14,1.546020,2.678299,0.681456,0.322882,0.330836,0.330836,438.136499
15,1.510829,2.983929,0.697383,0.206084,0.219438,0.219438,446.196710
16,1.499449,3.085274,0.638225,0.349274,0.369133,0.369133,444.253036
17,1.488850,3.292959,0.700796,0.267130,0.270506,0.270506,440.630912
18,1.478712,5.688332,0.342435,0.280681,0.295360,0.295360,441.353053
19,1.475388,3.992128,0.539249,0.374556,0.388195,0.388195,442.775501
20,1.460140,3.541275,0.660410,0.347071,0.369375,0.369375,442.827281
21,1.453932,3.613544,0.709898,0.252043,0.255915,0.255915,439.950190
22,1.448502,4.813851,0.437429,0.368313,0.367482,0.367482,442.409021
23,1.443130,4.859779,0.456200,0.387950,0.397315,0.397315,440.756527
24,1.432875,4.752177,0.732082,0.079872,0.079348,0.079348,438.536628
25,1.432861,3.865550,0.698521,0.317315,0.324104,0.324104,443.968249
26,1.433345,6.791792,0.324232,0.307155,0.316734,0.316734,439.993460
27,1.418830,3.920950,0.702503,0.329306,0.329339,0.329339,440.688146
28,1.425650,4.444471,0.721843,0.173197,0.175195,0.175195,441.256570
29,1.418420,3.933264,0.692264,0.376352,0.374232,0.374232,440.512924
30,1.414070,4.106690,0.643345,0.431624,0.431890,0.431890,445.032068
31,1.407211,4.101820,0.700228,0.310006,0.314339,0.314339,442.359416
32,1.411622,7.705736,0.328214,0.309338,0.313463,0.313463,438.240990
33,1.404666,13.516787,0.123436,0.146076,0.149654,0.149654,441.620231
34,1.392086,4.132455,0.698521,0.365478,0.367791,0.367791,442.684514
35,1.395237,4.313979,0.696246,0.391350,0.391988,0.391988,442.970214
36,1.394529,4.359395,0.707622,0.336843,0.336021,0.336021,439.837331
37,1.401080,9.982561,0.230375,0.239257,0.249214,0.249214,442.173673
38,1.394632,4.483184,0.711604,0.270253,0.266575,0.266575,438.997486
39,1.395664,11.650738,0.178043,0.185796,0.196266,0.196266,442.623641
40,1.383396,4.968317,0.546075,0.449923,0.455948,0.455948,440.682802
41,1.386625,8.079684,0.313424,0.338179,0.343906,0.343906,440.453295
42,1.374626,11.291306,0.184300,0.218334,0.225251,0.225251,439.593514
43,1.374510,4.755677,0.716724,0.319975,0.315121,0.315121,444.554378
44,1.374473,4.907323,0.576223,0.451498,0.470502,0.470502,442.906815
45,1.373354,4.678272,0.718430,0.306923,0.305202,0.305202,439.557342
46,1.368954,4.651394,0.641069,0.419964,0.430629,0.430629,439.815756
47,1.367451,8.130726,0.330489,0.323800,0.332573,0.332573,442.169523
48,1.363488,14.182684,0.139932,0.158125,0.162005,0.162005,441.599929
49,1.364147,4.551379,0.695677,0.387593,0.400334,0.400334,439.829542
50,1.363179,6.108412,0.467008,0.389375,0.403510,0.403510,440.437235
51,1.365955,7.000178,0.410125,0.401098,0.413122,0.413122,438.614114
52,1.361754,5.057801,0.567122,0.447605,0.452716,0.452716,439.690940
53,1.355741,7.401879,0.381684,0.375646,0.385593,0.385593,438.707859
54,1.355642,15.809259,0.122298,0.143621,0.147895,0.147895,439.923649
55,1.352417,4.611735,0.661547,0.448442,0.453414,0.453414,437.940027
56,1.350190,5.224461,0.589306,0.436963,0.444032,0.444032,440.051753
57,1.355868,4.775465,0.688851,0.424385,0.428595,0.428595,438.170273
58,1.353377,6.418172,0.735495,0.094976,0.095782,0.095782,440.596322
59,1.352464,5.659087,0.529010,0.446812,0.459886,0.459886,438.342550
60,1.345628,14.229020,0.145051,0.180293,0.182815,0.182815,440.042641
61,1.352448,5.376821,0.574516,0.470845,0.476581,0.476581,437.999698
62,1.347819,5.020255,0.716724,0.377253,0.377450,0.377450,440.626242
63,1.337608,7.559975,0.405006,0.407876,0.410685,0.410685,438.152034
64,1.341021,5.349156,0.724118,0.299745,0.304155,0.304155,441.149341
65,1.340979,5.013167,0.637088,0.463949,0.474899,0.474899,438.549819
66,1.338201,5.622945,0.545506,0.440889,0.453143,0.453143,439.806726
67,1.331099,4.854230,0.679181,0.445626,0.455280,0.455280,437.892849
68,1.337880,6.134982,0.521615,0.438842,0.444467,0.444467,439.303229
69,1.337736,5.001891,0.634243,0.472836,0.486065,0.486065,439.095766
70,1.337423,4.974830,0.652446,0.469332,0.477951,0.477951,442.757107
71,1.332033,5.251734,0.603527,0.479975,0.497133,0.497133,441.314868
72,1.325257,8.171093,0.354380,0.360947,0.377649,0.377649,438.283207
73,1.327385,6.747169,0.480660,0.432702,0.445459,0.445459,438.944087
74,1.328131,11.398507,0.222412,0.268010,0.275340,0.275340,440.424017
75,1.325029,4.954076,0.708760,0.409808,0.410042,0.410042,440.486315
