epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.744782,1.638999,0.733220,0.087513,0.234327,0.234327,425.006104
2,1.671693,1.938286,0.738339,0.013166,0.046861,0.046861,422.828584
3,1.628685,2.042308,0.547782,0.271168,0.217623,0.217623,420.039961
4,1.600963,1.563012,0.745165,0.231910,0.401274,0.401274,426.259834
5,1.577670,1.626319,0.742321,0.306457,0.400005,0.400005,422.262510
6,1.557313,1.527097,0.749716,0.312506,0.433009,0.433009,423.390678
7,1.538854,1.528455,0.752560,0.460964,0.476394,0.476394,423.947482
8,1.519650,1.503119,0.753129,0.341964,0.438878,0.438878,424.105220
9,1.504270,1.714425,0.627418,0.384582,0.372983,0.372983,423.356323
10,1.490052,1.657539,0.678612,0.454211,0.400971,0.400971,424.615648
11,1.475343,1.623123,0.745734,0.199126,0.282283,0.282283,425.268724
12,1.458954,1.826360,0.744596,0.141635,0.177933,0.177933,425.996799
13,1.446103,1.567964,0.722981,0.494534,0.489762,0.489762,426.177281
14,1.433570,1.440607,0.765643,0.495534,0.524704,0.524704,422.864306
15,1.421133,1.460554,0.753129,0.542169,0.526744,0.526744,425.606994
16,1.402825,1.433907,0.760523,0.433739,0.523168,0.523168,424.202765
17,1.388742,1.380995,0.769625,0.503123,0.570407,0.570407,423.687539
18,1.373798,1.368440,0.774744,0.504346,0.575141,0.575141,422.358732
19,1.363668,1.353664,0.785552,0.528228,0.582378,0.582378,423.138119
20,1.349139,1.525121,0.755973,0.307780,0.380713,0.380713,420.067297
21,1.340692,1.405073,0.773038,0.443437,0.476771,0.476771,423.376636
22,1.329841,1.340812,0.784414,0.510782,0.580214,0.580214,421.562221
23,1.320577,1.379784,0.777019,0.475274,0.534765,0.534765,422.755510
24,1.306069,1.305902,0.787258,0.550209,0.629391,0.629391,421.636451
25,1.296850,1.282858,0.787258,0.613993,0.643765,0.643765,422.480454
26,1.288026,1.387756,0.781001,0.494093,0.524410,0.524410,420.460513
27,1.281086,1.356138,0.774175,0.461288,0.540482,0.540482,422.856786
28,1.268813,1.267122,0.796359,0.595741,0.635496,0.635496,422.411061
29,1.261314,1.271570,0.777588,0.585394,0.645271,0.645271,422.109720
30,1.250377,1.281734,0.798066,0.644593,0.638974,0.638974,423.336578
31,1.242558,1.280545,0.774175,0.619402,0.645036,0.645036,422.862635
32,1.234953,1.233510,0.795791,0.595356,0.645315,0.645315,422.075537
33,1.223221,1.222531,0.799772,0.621370,0.640563,0.640563,421.924462
34,1.219109,1.205513,0.802048,0.634533,0.659061,0.659061,422.587603
35,1.208429,1.308236,0.785552,0.474214,0.535037,0.535037,421.765268
36,1.197169,1.186256,0.798066,0.612055,0.676586,0.676586,422.231817
37,1.191661,1.236130,0.787827,0.605429,0.642756,0.642756,422.312240
38,1.181358,1.214988,0.790671,0.634081,0.660231,0.660231,422.085750
39,1.172485,1.302994,0.755404,0.598156,0.627656,0.627656,421.313988
40,1.166850,1.175535,0.804323,0.632260,0.664919,0.664919,421.216895
41,1.160800,1.195882,0.793515,0.528762,0.580320,0.580320,422.370981
42,1.152198,1.156854,0.801479,0.620655,0.669652,0.669652,421.710040
43,1.144886,1.171523,0.788965,0.557582,0.642535,0.642535,421.478322
44,1.137819,1.332642,0.776451,0.458539,0.499556,0.499556,421.189460
45,1.133508,1.143694,0.803754,0.593916,0.665194,0.665194,421.942616
46,1.123954,1.157449,0.791809,0.567491,0.615693,0.615693,422.189430
47,1.118451,1.136307,0.805461,0.585329,0.625468,0.625468,421.804177
48,1.111178,1.104892,0.806030,0.623117,0.669899,0.669899,423.617742
49,1.105897,1.129611,0.795791,0.631339,0.681423,0.681423,422.513261
50,1.099690,1.129549,0.798066,0.664249,0.705126,0.705126,420.511795
51,1.092509,1.110822,0.812856,0.661662,0.696582,0.696582,420.980789
52,1.085783,1.125922,0.794084,0.646699,0.657040,0.657040,420.670491
53,1.080465,1.189647,0.759954,0.625397,0.627427,0.627427,421.033800
54,1.069843,1.143363,0.793515,0.590890,0.636862,0.636862,420.844509
55,1.065613,1.141232,0.790671,0.663205,0.673693,0.673693,421.604494
56,1.062403,1.195625,0.790671,0.506700,0.561966,0.561966,420.415839
57,1.056111,1.079647,0.810580,0.655353,0.683999,0.683999,420.481875
58,1.048613,1.054079,0.811149,0.628598,0.677235,0.677235,420.010714
59,1.041546,1.162315,0.779863,0.662352,0.654845,0.654845,420.499093
60,1.035667,1.046424,0.810580,0.623137,0.681253,0.681253,420.901032
61,1.031488,1.146995,0.786689,0.507429,0.575071,0.575071,422.017246
62,1.024321,1.125079,0.794653,0.558067,0.594671,0.594671,420.247068
63,1.022109,1.038575,0.816268,0.675597,0.690853,0.690853,421.702874
64,1.014654,1.032519,0.815131,0.645826,0.663833,0.663833,420.207932
65,1.009677,1.037827,0.819113,0.689514,0.693526,0.693526,421.313376
66,1.004783,1.009131,0.824232,0.701911,0.714534,0.714534,420.593226
67,0.998045,1.019167,0.806030,0.674058,0.711852,0.711852,421.808590
68,0.990453,1.099693,0.806030,0.602509,0.613750,0.613750,420.067519
69,0.988052,1.006180,0.820819,0.683357,0.707511,0.707511,422.775214
70,0.984902,1.003245,0.807167,0.674330,0.703294,0.703294,420.393598
71,0.978880,1.027534,0.804323,0.597933,0.635367,0.635367,421.706992
72,0.972126,1.026497,0.808305,0.672829,0.699905,0.699905,420.425439
73,0.967354,0.988199,0.810580,0.643372,0.678452,0.678452,421.508270
74,0.962072,0.986659,0.807167,0.624931,0.677361,0.677361,420.101162
75,0.954441,0.982698,0.813424,0.679966,0.710709,0.710709,421.727644
76,0.950380,0.980306,0.815131,0.654104,0.668841,0.668841,420.346365
77,0.948374,0.974733,0.817406,0.691754,0.726597,0.726597,421.676978
78,0.943727,0.984201,0.807736,0.629149,0.687472,0.687472,420.834753
79,0.935181,0.961234,0.817406,0.658829,0.690290,0.690290,421.555404
80,0.931421,1.058867,0.757679,0.618270,0.637690,0.637690,420.153175
81,0.928887,0.974655,0.805461,0.690480,0.713224,0.713224,421.722824
82,0.923114,0.974611,0.819681,0.625617,0.659381,0.659381,421.611689
83,0.917445,0.988650,0.805461,0.597499,0.661299,0.661299,421.201941
84,0.912389,1.069676,0.759386,0.619057,0.618243,0.618243,420.298564
85,0.908085,1.040962,0.796359,0.556781,0.626293,0.626293,420.491833
86,0.905541,0.965719,0.810011,0.668714,0.702962,0.702962,420.224436
87,0.901546,0.966166,0.800910,0.686175,0.726991,0.726991,421.988983
88,0.898991,0.983618,0.795222,0.660070,0.716632,0.716632,421.672374
89,0.891960,0.999709,0.797497,0.525151,0.572291,0.572291,421.222209
90,0.887126,0.950010,0.809443,0.695401,0.718337,0.718337,421.508691
91,0.883210,0.917606,0.817406,0.691708,0.721266,0.721266,421.624112
92,0.877179,0.918550,0.817975,0.702779,0.721368,0.721368,421.704361
93,0.875562,0.938034,0.810011,0.614566,0.657916,0.657916,420.653075
94,0.869270,1.048684,0.765074,0.601716,0.625613,0.625613,420.411105
95,0.867721,0.938805,0.811718,0.625311,0.687159,0.687159,421.340219
96,0.863424,0.905152,0.808305,0.680248,0.715384,0.715384,421.635451
97,0.859613,0.917810,0.816837,0.624142,0.657707,0.657707,420.849632
98,0.853491,0.881788,0.814562,0.673747,0.704420,0.704420,420.510805
99,0.849043,0.906271,0.823094,0.652825,0.674296,0.674296,421.216211
100,0.846803,0.919463,0.805461,0.642830,0.666804,0.666804,420.404435
101,0.844107,0.888031,0.810011,0.688369,0.718180,0.718180,420.781603
102,0.840238,0.915806,0.807167,0.627278,0.684645,0.684645,420.435805
103,0.834883,0.967796,0.799204,0.538923,0.587077,0.587077,421.304171
104,0.833089,0.898034,0.811149,0.673745,0.692603,0.692603,420.101140
105,0.825607,0.897882,0.814562,0.683361,0.707995,0.707995,421.758990
106,0.827105,0.901695,0.801479,0.677163,0.699981,0.699981,421.143354
107,0.818139,0.912577,0.804892,0.691129,0.715553,0.715553,421.159776
108,0.816645,0.882838,0.800910,0.665548,0.724658,0.724658,420.238846
109,0.811335,0.858031,0.816837,0.684063,0.707165,0.707165,420.716927
110,0.809055,0.870240,0.810011,0.673578,0.699316,0.699316,420.190818
111,0.808025,0.935743,0.804892,0.606345,0.634669,0.634669,421.223199
112,0.802510,0.940703,0.789534,0.659648,0.658618,0.658618,419.986402
113,0.800166,0.876920,0.820250,0.699636,0.709585,0.709585,423.611849
114,0.794859,0.860419,0.820819,0.703672,0.711257,0.711257,420.079109
115,0.791348,0.874741,0.807736,0.659155,0.714171,0.714171,420.107406
116,0.786722,0.872614,0.821957,0.655020,0.680044,0.680044,420.425531
117,0.784166,0.874764,0.815131,0.665208,0.668463,0.668463,419.947106
118,0.781873,0.848429,0.808874,0.660034,0.699449,0.699449,420.777666
119,0.778330,0.868103,0.812856,0.657388,0.682988,0.682988,419.130719
120,0.771835,0.865696,0.812287,0.657221,0.680646,0.680646,420.169027
121,0.772106,0.861039,0.808305,0.653291,0.707159,0.707159,419.373871
122,0.769331,0.870980,0.793515,0.665558,0.693638,0.693638,420.386116
123,0.763047,0.849731,0.816268,0.679198,0.712294,0.712294,421.394351
124,0.761191,0.873783,0.811149,0.659030,0.697510,0.697510,420.437678
125,0.754993,0.920755,0.779863,0.657697,0.686714,0.686714,421.115107
126,0.751434,0.877460,0.805461,0.680254,0.692541,0.692541,420.263921
127,0.753793,0.837298,0.814562,0.677168,0.705573,0.705573,420.704856
128,0.748056,0.883724,0.803185,0.636421,0.693942,0.693942,419.719652
129,0.744721,0.858291,0.805461,0.683378,0.701899,0.701899,421.297686
130,0.741283,0.845575,0.816837,0.661989,0.691815,0.691815,422.544018
131,0.737625,0.914255,0.783845,0.627156,0.674176,0.674176,420.802644
132,0.736199,0.832408,0.817975,0.686524,0.711021,0.711021,419.145170
133,0.731418,0.826359,0.810011,0.699406,0.744487,0.744487,423.011279
134,0.728348,0.826248,0.817406,0.699604,0.735642,0.735642,421.307245
135,0.722831,0.852609,0.820250,0.670390,0.701685,0.701685,421.789793
136,0.722941,0.869462,0.815131,0.727604,0.736837,0.736837,421.432887
137,0.717574,0.824665,0.816268,0.692801,0.720768,0.720768,420.725777
138,0.716586,0.850038,0.812856,0.689682,0.721622,0.721622,419.330083
139,0.714263,0.820380,0.812856,0.703012,0.719368,0.719368,421.198021
140,0.710709,0.842864,0.811718,0.673500,0.698017,0.698017,421.186429
141,0.705835,0.831650,0.818544,0.700732,0.725053,0.725053,421.164357
142,0.704174,0.993242,0.738908,0.589320,0.623398,0.623398,420.434116
143,0.701868,0.824463,0.811718,0.686706,0.709286,0.709286,421.155107
144,0.697080,0.855470,0.815131,0.652037,0.690197,0.690197,420.601448
145,0.696990,0.901443,0.766780,0.647732,0.673842,0.673842,420.530729
146,0.691168,0.870902,0.810580,0.639895,0.683161,0.683161,421.029272
147,0.689858,0.830661,0.815700,0.712598,0.733021,0.733021,420.570593
148,0.687470,0.844435,0.799204,0.687060,0.693678,0.693678,419.982215
149,0.680070,0.843379,0.817406,0.702366,0.719381,0.719381,421.450311
150,0.682038,0.814326,0.810580,0.709114,0.717838,0.717838,420.045090
151,0.677714,0.826655,0.813424,0.694504,0.727210,0.727210,420.840777
152,0.675854,0.881519,0.798066,0.690368,0.695089,0.695089,421.557655
153,0.675492,0.812351,0.819113,0.705441,0.731358,0.731358,421.123255
154,0.667136,0.840346,0.803185,0.667101,0.683066,0.683066,421.873053
155,0.667712,0.858602,0.795222,0.701683,0.722971,0.722971,424.512086
156,0.662035,0.868807,0.816268,0.670120,0.687261,0.687261,421.380496
157,0.659433,0.831672,0.807167,0.691461,0.711033,0.711033,422.361093
158,0.658892,0.907757,0.754835,0.617284,0.662363,0.662363,420.413204
159,0.652985,0.869569,0.808305,0.683136,0.704003,0.704003,421.197578
160,0.651787,0.830874,0.805461,0.669973,0.708302,0.708302,419.384260
161,0.649440,0.846786,0.811149,0.667467,0.701646,0.701646,421.458510
162,0.646170,0.821744,0.807167,0.675069,0.705740,0.705740,420.120593
163,0.644751,0.840882,0.808874,0.674291,0.708644,0.708644,424.182798
164,0.643260,0.843089,0.800910,0.667240,0.696557,0.696557,420.444144
165,0.635774,0.852945,0.814562,0.671834,0.708798,0.708798,421.793392
166,0.637310,0.829666,0.826507,0.680019,0.692425,0.692425,420.169831
