epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,2.591205,1.796041,0.659841,0.392079,0.367253,0.367253,422.894291
2,2.388827,1.657009,0.741752,0.261701,0.346543,0.346543,428.204153
3,2.293396,1.716032,0.725256,0.437554,0.471271,0.471271,424.290902
4,2.230137,1.812903,0.748009,0.196031,0.237611,0.237611,423.762843
5,2.169978,1.834690,0.739477,0.333546,0.362700,0.362700,427.036466
6,2.119544,1.592222,0.724687,0.490897,0.528627,0.528627,422.758614
7,2.061357,1.579679,0.735495,0.535441,0.561706,0.561706,426.913290
8,2.022627,1.689307,0.662116,0.466812,0.498702,0.498702,434.771701
9,1.981040,1.626373,0.725825,0.500327,0.531019,0.531019,442.478654
10,1.958446,1.461118,0.768487,0.577498,0.613064,0.613064,425.972371
11,1.931596,1.536895,0.769056,0.484872,0.515823,0.515823,431.487123
12,1.896915,1.501404,0.783276,0.574787,0.609996,0.609996,442.791040
13,1.879771,1.482881,0.773038,0.621454,0.652579,0.652579,443.757672
14,1.870492,1.529723,0.780432,0.510947,0.520857,0.520857,427.200618
15,1.856678,1.690401,0.675199,0.515225,0.538363,0.538363,425.049449
16,1.833251,1.558059,0.777588,0.483499,0.507958,0.507958,425.095272
17,1.832388,1.383753,0.786121,0.585287,0.619688,0.619688,441.730930
18,1.801350,1.488514,0.738339,0.604088,0.634206,0.634206,441.288361
19,1.795632,1.320058,0.794653,0.660226,0.687566,0.687566,445.952978
20,1.775044,1.452260,0.768487,0.578043,0.615252,0.615252,442.893875
21,1.770202,1.468802,0.781001,0.576259,0.601462,0.601462,445.676460
22,1.758290,1.331034,0.784983,0.625074,0.653324,0.653324,429.248063
23,1.747347,1.343349,0.781001,0.626439,0.667783,0.667783,433.881220
24,1.733954,1.351885,0.781570,0.656379,0.675899,0.675899,438.068204
25,1.711239,1.308262,0.786121,0.686150,0.692180,0.692180,427.436168
26,1.709585,1.366470,0.788396,0.641761,0.682790,0.682790,453.897610
27,1.696736,1.292422,0.793515,0.638957,0.680356,0.680356,427.471396
28,1.687073,1.350259,0.795791,0.554332,0.604477,0.604477,435.522120
29,1.677728,1.271261,0.792378,0.630789,0.673133,0.673133,449.577460
30,1.663104,1.345988,0.777588,0.638882,0.671203,0.671203,425.897135
31,1.654371,1.277067,0.794653,0.669236,0.709781,0.709781,426.856219
32,1.647713,1.338161,0.793515,0.647667,0.676586,0.676586,436.298380
33,1.634478,1.321380,0.762799,0.648670,0.674349,0.674349,421.950548
34,1.632504,1.260541,0.795222,0.658233,0.687419,0.687419,429.017118
35,1.618926,1.249555,0.802617,0.639589,0.678519,0.678519,424.362121
36,1.606522,1.224612,0.803754,0.625560,0.666714,0.666714,427.330549
37,1.601227,1.236811,0.799204,0.693748,0.719983,0.719983,428.209979
38,1.587047,1.278254,0.769625,0.635493,0.673093,0.673093,424.152247
39,1.569513,1.295303,0.773606,0.669480,0.695847,0.695847,433.596047
40,1.567083,1.218302,0.801479,0.626042,0.654008,0.654008,427.618967
41,1.563433,1.199409,0.798635,0.639326,0.669355,0.669355,423.272741
42,1.559849,1.182718,0.804323,0.679660,0.706431,0.706431,426.497549
43,1.543275,1.445402,0.780432,0.503672,0.529596,0.529596,424.805602
44,1.541098,1.241672,0.800910,0.621034,0.646399,0.646399,430.347715
45,1.534039,1.192966,0.803185,0.691675,0.704079,0.704079,442.836765
46,1.518148,1.228487,0.793515,0.567226,0.602949,0.602949,423.953442
47,1.520790,1.183670,0.807736,0.670706,0.699198,0.699198,426.131854
48,1.508861,1.160159,0.803754,0.676659,0.694037,0.694037,444.776177
49,1.499098,1.222364,0.782139,0.649139,0.688568,0.688568,423.565201
50,1.492836,1.125015,0.804892,0.688291,0.724711,0.724711,422.404938
51,1.489400,1.186483,0.798066,0.675881,0.708425,0.708425,427.270920
52,1.476799,1.158288,0.805461,0.616207,0.646720,0.646720,420.536417
53,1.472982,1.243657,0.770193,0.636492,0.660752,0.660752,428.143337
54,1.458277,1.162389,0.795791,0.643329,0.681742,0.681742,428.431677
55,1.457758,1.144468,0.795222,0.638782,0.705293,0.705293,429.602726
56,1.453440,1.167873,0.810580,0.671353,0.700119,0.700119,427.306802
57,1.446196,1.198256,0.807736,0.616802,0.654458,0.654458,432.872122
58,1.432845,1.131711,0.796359,0.643802,0.674886,0.674886,427.899192
59,1.424365,1.198647,0.776451,0.668939,0.695027,0.695027,433.361719
60,1.421858,1.113814,0.793515,0.688399,0.697450,0.697450,433.563923
61,1.408857,1.180115,0.801479,0.655501,0.684087,0.684087,426.609032
62,1.407409,1.099219,0.810580,0.663906,0.684461,0.684461,427.454577
63,1.404941,1.070347,0.805461,0.677445,0.715587,0.715587,437.982590
64,1.396059,1.104935,0.804892,0.673279,0.714359,0.714359,420.595575
65,1.392973,1.126911,0.774175,0.647835,0.675915,0.675915,422.528196
66,1.387730,1.039779,0.817975,0.703887,0.725209,0.725209,421.115631
67,1.378551,1.076566,0.809443,0.684053,0.707732,0.707732,422.103063
68,1.365601,1.179662,0.802048,0.620594,0.656643,0.656643,420.439814
69,1.371768,1.102374,0.785552,0.686664,0.712219,0.712219,426.366654
70,1.369363,1.034583,0.809443,0.696044,0.729253,0.729253,421.821406
71,1.356087,1.176679,0.799772,0.600681,0.627419,0.627419,423.402286
72,1.351874,1.090053,0.795222,0.676047,0.709934,0.709934,420.445171
73,1.340469,1.076258,0.810011,0.684889,0.716638,0.716638,423.319815
74,1.339405,1.153486,0.748009,0.612888,0.648127,0.648127,424.625618
75,1.330975,1.110888,0.803185,0.665433,0.688796,0.688796,424.537296
76,1.321737,1.023589,0.806598,0.702404,0.733752,0.733752,423.371425
77,1.326057,1.032208,0.820250,0.699549,0.735090,0.735090,424.465792
78,1.318283,1.038856,0.816837,0.681231,0.691498,0.691498,425.106268
79,1.307098,1.013893,0.800341,0.666276,0.710576,0.710576,424.527233
80,1.301464,1.004387,0.822526,0.694571,0.718457,0.718457,424.773839
81,1.304168,1.003124,0.807736,0.696115,0.718655,0.718655,424.312122
82,1.287619,1.024417,0.816268,0.652379,0.677687,0.677687,423.217636
83,1.288925,1.076487,0.804323,0.660821,0.682713,0.682713,422.866713
84,1.282883,1.080132,0.756542,0.615443,0.644442,0.644442,420.782794
85,1.278934,1.022779,0.817975,0.707722,0.721896,0.721896,422.320795
86,1.274717,0.984321,0.810580,0.708106,0.719614,0.719614,421.904004
87,1.267936,1.029228,0.810580,0.642225,0.674448,0.674448,423.040034
88,1.265158,1.023480,0.813993,0.654544,0.690929,0.690929,421.388221
89,1.252283,0.995443,0.819113,0.662556,0.684506,0.684506,421.755791
