epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.138271,12.180856,0.737770,0.000000,0.000000,0.000000,712.956342
2,1.120904,12.192638,0.737770,0.000000,0.000000,0.000000,751.349009
3,1.118701,12.101177,0.737770,0.000000,0.000000,0.000000,754.829212
4,1.116503,12.111444,0.737770,0.000000,0.000000,0.000000,786.786297
5,1.114311,12.063221,0.737770,0.000000,0.000000,0.000000,754.489760
6,1.112125,12.034895,0.737770,0.000000,0.000000,0.000000,755.534059
7,1.109944,12.007110,0.737770,0.000000,0.000000,0.000000,756.895103
8,1.107769,12.007314,0.737770,0.000000,0.000000,0.000000,758.001988
9,1.105600,11.979280,0.737770,0.000000,0.000000,0.000000,750.984716
10,1.103435,11.978867,0.737770,0.000000,0.000000,0.000000,781.215592
11,1.101277,11.863995,0.737770,0.000000,0.000000,0.000000,781.536316
12,1.099124,11.841254,0.737770,0.000000,0.000000,0.000000,784.839643
13,1.096977,11.832609,0.737770,0.000000,0.000000,0.000000,761.321392
14,1.094835,11.789251,0.737770,0.000000,0.000000,0.000000,752.435422
15,1.092698,11.762339,0.737770,0.000000,0.000000,0.000000,746.184509
16,1.090567,11.792736,0.737770,0.000000,0.000000,0.000000,743.722067
17,1.088441,11.682991,0.737770,0.000000,0.000000,0.000000,741.926693
18,1.086321,11.685171,0.737770,0.000000,0.000000,0.000000,770.543636
19,1.084206,11.676350,0.737770,0.000000,0.000000,0.000000,782.095559
20,1.082097,11.647333,0.737770,0.000000,0.000000,0.000000,778.640549
21,1.079993,11.601610,0.737770,0.000000,0.000000,0.000000,774.358264
22,1.077894,11.540059,0.737770,0.000000,0.000000,0.000000,728.781815
23,1.075801,11.550138,0.737770,0.000000,0.000000,0.000000,730.445103
24,1.073713,11.497887,0.737770,0.000000,0.000000,0.000000,728.407672
25,1.071631,11.464104,0.737770,0.000000,0.000000,0.000000,723.156355
26,1.069555,11.473066,0.737770,0.000000,0.000000,0.000000,718.130991
27,1.067485,11.419845,0.737770,0.000000,0.000000,0.000000,745.092290
28,1.065421,11.411741,0.737770,0.000000,0.000000,0.000000,748.771735
29,1.063361,11.385422,0.737770,0.000000,0.000000,0.000000,748.217448
30,1.061307,11.325932,0.737770,0.000000,0.000000,0.000000,731.391197
31,1.059258,11.293262,0.737770,0.000000,0.000000,0.000000,726.748424
32,1.057215,11.286103,0.737770,0.000000,0.000000,0.000000,719.410175
33,1.055177,11.227770,0.737770,0.000000,0.000000,0.000000,727.091374
34,1.053144,11.237930,0.737770,0.000000,0.000000,0.000000,720.010552
35,1.051116,11.176680,0.737770,0.000000,0.000000,0.000000,728.448629
