epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,1.727617,1.641121,0.734926,0.110065,0.259373,656.339673
2,1.651450,1.694878,0.701934,0.347889,0.282206,679.819433
3,1.606088,1.601797,0.744596,0.371312,0.357873,681.792715
4,1.579660,1.693662,0.737770,0.103272,0.189174,689.009010
5,1.559251,1.612777,0.723549,0.465649,0.466630,687.629179
6,1.543011,1.531112,0.750853,0.353870,0.445698,678.767049
7,1.521423,1.490800,0.760523,0.361146,0.443273,690.713130
8,1.506701,1.533884,0.759954,0.359555,0.453665,681.333362
9,1.492220,1.659602,0.677474,0.470457,0.443085,676.178043
10,1.473388,1.612334,0.750853,0.232632,0.292689,679.638319
11,1.463268,1.476974,0.765643,0.330110,0.450304,669.819434
12,1.448165,1.565005,0.721843,0.505731,0.507498,644.274363
13,1.432432,1.670954,0.664391,0.495430,0.438069,647.190708
14,1.419315,1.406101,0.774744,0.475277,0.531733,669.086045
15,1.406012,1.768840,0.751991,0.210112,0.255020,680.690920
16,1.390929,1.465340,0.762230,0.325443,0.430272,679.540721
17,1.374146,1.405786,0.781570,0.526329,0.564473,687.710411
18,1.359280,1.440353,0.765074,0.375113,0.478648,673.441733
19,1.348862,1.402519,0.771331,0.437467,0.510794,682.137300
20,1.330988,1.454505,0.773038,0.398016,0.441670,686.220512
21,1.321315,1.330741,0.790671,0.639190,0.650308,682.821542
22,1.312399,1.304319,0.800910,0.631419,0.642525,681.645655
23,1.300757,1.608360,0.645620,0.466629,0.457826,678.917011
24,1.288487,1.303607,0.791809,0.632807,0.641547,680.452436
25,1.277329,1.327636,0.781570,0.542508,0.603718,683.656232
26,1.268761,1.288581,0.792947,0.601083,0.647156,691.322339
27,1.259503,1.319429,0.792378,0.545179,0.584478,681.749608
28,1.249271,1.621061,0.600114,0.453536,0.449324,679.820736
29,1.238085,1.385905,0.726962,0.563275,0.579372,687.073716
30,1.231858,1.385601,0.779295,0.457518,0.504689,679.119908
31,1.226507,1.227168,0.797497,0.623136,0.663804,683.271725
32,1.214170,1.251554,0.799204,0.546421,0.603970,688.823820
33,1.209378,1.386845,0.724687,0.591095,0.591593,681.105154
34,1.199490,1.223361,0.796928,0.632451,0.647475,681.756778
35,1.193546,1.247475,0.792378,0.571439,0.608191,684.965482
36,1.182654,1.506433,0.622298,0.453112,0.471108,676.280513
37,1.173137,1.167359,0.812287,0.654563,0.684400,660.200199
38,1.167473,1.536768,0.658134,0.490989,0.481568,688.012228
39,1.160211,1.177802,0.807736,0.633183,0.659722,681.161936
40,1.153107,1.152480,0.804892,0.639272,0.684337,673.895219
41,1.144926,1.287673,0.753697,0.607009,0.588297,682.671562
42,1.140198,1.138883,0.806030,0.655631,0.700020,679.814965
43,1.128621,1.167066,0.802617,0.556001,0.586629,683.748500
44,1.121413,1.185531,0.798635,0.607219,0.656465,680.869055
45,1.116836,1.161677,0.791809,0.655287,0.672948,682.429795
46,1.110529,1.108688,0.810011,0.658110,0.698619,679.505596
47,1.102478,1.125704,0.803185,0.644164,0.695807,686.953583
