epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,1.725487,1.640749,0.736064,0.130746,0.263593,,542.138877
2,1.651899,1.642432,0.727531,0.290106,0.287485,,543.052198
3,1.606690,1.683101,0.694539,0.403329,0.312020,,543.611640
4,1.580176,1.668236,0.740614,0.125609,0.237401,,540.972645
5,1.559420,1.763919,0.670648,0.457174,0.376132,,542.730312
6,1.543871,1.581809,0.721843,0.409223,0.399293,,543.421185
7,1.522252,1.530915,0.750853,0.456508,0.445493,,542.934575
8,1.507366,1.491908,0.761092,0.406946,0.523633,,541.427654
9,1.492794,1.486696,0.761661,0.469098,0.515840,,542.924254
10,1.473940,1.626895,0.750853,0.205768,0.266752,,541.545470
11,1.462911,1.521835,0.757679,0.240697,0.338891,,542.157333
12,1.448770,1.455769,0.765643,0.490271,0.559282,,543.614231
13,1.431644,1.532585,0.733788,0.563407,0.521213,,542.659053
14,1.416834,1.429197,0.763936,0.403193,0.493015,,541.262468
15,1.401863,1.627510,0.759954,0.290217,0.340449,,541.931482
16,1.388790,1.423164,0.771900,0.425313,0.493918,,541.105965
17,1.371843,1.417796,0.769056,0.570924,0.561331,,542.607434
18,1.358119,1.382767,0.781570,0.498882,0.568379,,542.201553
19,1.348310,1.353919,0.783276,0.583373,0.632409,,541.771564
20,1.329998,1.402796,0.777019,0.436393,0.498908,,541.625960
21,1.319582,1.399419,0.767349,0.611313,0.617413,,543.109387
22,1.311462,1.288297,0.798635,0.625144,0.661587,,541.666322
23,1.299957,1.687431,0.606371,0.422805,0.437015,,541.602724
24,1.286426,1.288870,0.800341,0.626874,0.630285,,543.107267
25,1.276247,1.327280,0.779863,0.547857,0.612576,,543.706355
26,1.267332,1.475441,0.768487,0.351242,0.434255,,541.668126
27,1.259417,1.305376,0.794653,0.624378,0.636929,,542.612857
28,1.248883,1.246935,0.798066,0.610909,0.641430,,541.551105
29,1.238815,1.367687,0.747440,0.601419,0.596571,,540.455785
30,1.230779,1.323343,0.788396,0.512829,0.548290,,542.056785
31,1.224442,1.252130,0.797497,0.634115,0.660138,,541.891367
32,1.215410,1.228952,0.800910,0.617473,0.660743,,540.715441
33,1.208460,1.289818,0.776451,0.648381,0.641035,,543.239836
34,1.198204,1.213423,0.799772,0.655070,0.662667,,542.459381
35,1.192402,1.242074,0.790671,0.597051,0.652750,,542.500222
36,1.182987,1.526912,0.617747,0.448566,0.463864,,542.942599
37,1.172460,1.197852,0.803185,0.611713,0.662142,,541.695815
38,1.167396,1.216658,0.792378,0.659431,0.692470,,540.936738
39,1.160107,1.186728,0.814562,0.655071,0.662068,,542.434653
40,1.150734,1.156063,0.798635,0.639951,0.687708,,542.240204
41,1.145554,1.476479,0.663254,0.511347,0.489309,,542.014184
42,1.139309,1.144349,0.806598,0.669809,0.690011,,541.786262
43,1.128880,1.192616,0.800910,0.562578,0.588514,,541.962087
44,1.120982,1.166111,0.808305,0.656984,0.677324,,540.675069
45,1.117055,1.111217,0.820819,0.694559,0.727410,,542.624642
46,1.108496,1.261567,0.749147,0.631144,0.623275,,544.143931
47,1.101164,1.138577,0.804892,0.593896,0.654492,,543.440029
48,1.096620,1.097629,0.806598,0.645525,0.698862,,548.038676
49,1.088457,1.132362,0.807167,0.684573,0.690666,,544.715443
50,1.082547,1.095657,0.811149,0.643187,0.685293,,547.262036
51,1.074569,1.139773,0.782708,0.641485,0.669867,,546.254614
52,1.069292,1.172296,0.792378,0.543948,0.607526,,548.886686
53,1.063964,1.084698,0.805461,0.649012,0.690191,,546.187336
54,1.055751,1.103933,0.801479,0.577254,0.634965,,543.719823
55,1.049661,1.082561,0.807736,0.672691,0.709704,,544.514489
56,1.041758,1.090901,0.808305,0.601419,0.643409,,552.872088
57,1.037744,1.073929,0.815700,0.681607,0.700865,,556.009983
58,1.030028,1.053364,0.814562,0.636099,0.680419,,551.130600
59,1.023971,1.137232,0.784983,0.657857,0.635014,,548.069601
60,1.019745,1.056195,0.811718,0.659170,0.700543,,548.387987
61,1.014783,1.065969,0.804323,0.674785,0.704330,,547.016911
62,1.007176,1.028433,0.812856,0.674507,0.709707,,547.684446
63,1.006036,1.065787,0.786121,0.638632,0.714373,,551.269009
64,0.997609,1.033008,0.815131,0.667049,0.694156,,548.567596
65,0.992703,1.007560,0.826507,0.687562,0.694854,,553.979244
66,0.986582,0.985491,0.815131,0.700061,0.722709,,551.458190
67,0.983768,1.042149,0.799772,0.671567,0.699530,,546.454037
68,0.974599,1.057328,0.806598,0.633255,0.666767,,552.797656
69,0.971492,1.003309,0.822526,0.643851,0.687973,,556.583065
70,0.966025,0.999530,0.805461,0.640569,0.700841,,552.361710
71,0.964672,0.997979,0.811718,0.697735,0.720949,,554.491242
72,0.957162,0.996470,0.809443,0.620942,0.658295,,560.018230
73,0.950090,0.989559,0.812856,0.682061,0.721275,,552.506528
74,0.943818,0.966836,0.824232,0.684177,0.714869,,554.106573
75,0.939994,0.951922,0.823663,0.707571,0.727687,,560.407328
76,0.934855,1.012364,0.801479,0.664178,0.662546,,554.886651
77,0.929798,1.065276,0.802048,0.590440,0.627315,,552.181283
78,0.925421,0.979813,0.809443,0.607064,0.669697,,545.691445
79,0.918962,0.981169,0.812856,0.645844,0.677899,,545.874097
80,0.915555,1.010525,0.804323,0.615618,0.670305,,552.609840
81,0.911283,0.940048,0.815700,0.702121,0.749954,,555.312397
82,0.907737,0.979521,0.805461,0.643646,0.690585,,558.682128
83,0.903810,0.968304,0.810580,0.679740,0.690094,,544.545641
84,0.896681,0.939234,0.824232,0.664402,0.713760,,549.988393
85,0.891515,0.922392,0.818544,0.686477,0.729286,,551.089948
