epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,valid_kappa_mc,time
1,2.089956,143.828156,0.737770,0.000000,0.000000,0.000000,461.237335
2,2.004202,129.425644,0.737770,0.000000,0.000000,0.000000,433.836284
3,1.926076,117.769554,0.737770,0.000000,0.000000,0.000000,431.873759
4,1.855517,106.014580,0.737770,0.000000,0.000000,0.000000,434.142935
5,1.791780,95.792618,0.737770,0.000000,0.000000,0.000000,432.091458
6,1.735111,86.413994,0.737770,0.000000,0.000000,0.000000,434.337495
7,1.683221,78.195923,0.737770,0.000000,0.000000,0.000000,430.949287
8,1.637127,70.488762,0.737770,0.000000,0.000000,0.000000,430.553583
9,1.595013,63.337044,0.737770,0.000000,0.000000,0.000000,433.625716
10,1.557076,57.216900,0.737770,0.000000,0.000000,0.000000,433.271811
11,1.524278,51.620770,0.737770,0.000000,0.000000,0.000000,433.167595
12,1.492574,46.815464,0.737770,0.000000,0.000000,0.000000,432.778452
13,1.465616,42.506062,0.737770,0.000000,0.000000,0.000000,433.013820
14,1.441484,38.254574,0.737770,0.000000,0.000000,0.000000,433.618065
15,1.418193,34.637260,0.737770,0.000000,0.000000,0.000000,433.371511
16,1.398070,31.189915,0.737770,0.000000,0.000000,0.000000,436.938015
17,1.380051,28.222792,0.737770,0.000000,0.000000,0.000000,431.823612
18,1.363938,25.654009,0.737770,0.000000,0.000000,0.000000,430.228993
19,1.348506,23.082613,0.737770,0.000000,0.000000,0.000000,432.687368
20,1.335919,21.105396,0.737770,0.000000,0.000000,0.000000,432.480390
21,1.323965,19.013226,0.737770,0.000000,0.000000,0.000000,432.425542
22,1.313344,17.173519,0.737770,0.000000,0.000000,0.000000,435.359604
23,1.303584,15.536328,0.737770,0.000000,0.000000,0.000000,432.739739
24,1.294771,14.147842,0.737770,0.000000,0.000000,0.000000,433.141219
25,1.286835,12.756415,0.737770,0.000000,0.000000,0.000000,656.162597
26,1.279868,11.537596,0.737770,0.000000,0.000000,0.000000,433.701103
27,1.273997,10.495143,0.737770,0.000000,0.000000,0.000000,433.508390
28,1.268146,9.568414,0.737770,0.000000,0.000000,0.000000,433.406612
29,1.262782,8.644834,0.737770,0.000000,0.000000,0.000000,432.718830
30,1.258011,7.841543,0.737770,0.000000,0.000000,0.000000,430.355917
31,1.253702,7.171771,0.737770,0.000000,0.000000,0.000000,654.403193
32,1.250313,6.494375,0.737770,0.000000,0.000000,0.000000,430.688312
33,1.246536,5.887671,0.737770,0.000000,0.000000,0.000000,431.282481
34,1.244252,5.371581,0.737770,0.000000,0.000000,0.000000,431.107262
35,1.240680,4.839134,0.737770,0.000000,0.000000,0.000000,430.787122
36,1.239270,4.354510,0.737770,0.000000,0.000000,0.000000,430.848448
37,1.235956,5.108025,0.737770,0.000000,0.000000,0.000000,430.749028
38,0.908852,2.283110,0.730375,0.037230,0.077424,0.077424,430.760505
39,0.809170,1.352401,0.548350,0.311314,0.319040,0.319040,430.793787
40,0.753597,1.582859,0.737201,0.283207,0.314242,0.314242,430.986339
41,0.714706,1.279691,0.642207,0.459338,0.457025,0.457025,430.523068
42,0.694673,1.147717,0.740046,0.260682,0.315926,0.315926,430.581003
43,0.673415,1.557278,0.725825,0.229329,0.269491,0.269491,431.969830
44,0.661002,1.996206,0.422071,0.393725,0.334461,0.334461,430.824616
45,0.637913,0.978918,0.708760,0.492086,0.548441,0.548441,430.464983
46,0.611916,0.996651,0.719568,0.597112,0.595910,0.595910,430.908247
47,0.594323,0.974377,0.730375,0.556969,0.588138,0.588138,430.447266
48,0.581679,1.033930,0.718999,0.516439,0.537687,0.537687,430.916336
49,0.570817,0.898397,0.765074,0.461302,0.493618,0.493618,430.864249
