epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,2.511029,2.243951,0.735495,0.013338,0.164266,709.029280
2,2.254681,2.342310,0.737201,0.023619,0.104634,719.017197
3,2.194611,2.365245,0.705916,0.397087,0.262897,728.493192
4,2.157276,2.352370,0.739477,0.033989,0.127393,694.587697
5,2.125875,2.182331,0.746871,0.259922,0.358476,698.905318
6,2.093947,2.120788,0.751422,0.261378,0.358745,701.232071
7,2.066615,2.079943,0.751991,0.464962,0.467838,698.626763
8,2.041629,2.054730,0.754266,0.277499,0.396971,701.511783
9,2.021003,2.582814,0.458476,0.265469,0.290145,760.019883
10,1.998682,1.991685,0.768487,0.523408,0.525780,778.672550
11,1.975296,1.985973,0.761661,0.333687,0.449605,771.939758
12,1.948808,2.331128,0.749147,0.166698,0.225137,772.985389
13,1.927886,2.541263,0.506826,0.335678,0.326419,767.523925
14,1.910643,2.230161,0.745734,0.160714,0.208392,755.370240
15,1.893165,1.885733,0.777588,0.583264,0.590168,750.040563
16,1.870707,2.026868,0.756542,0.286386,0.374571,749.642666
17,1.850452,1.955457,0.736633,0.572622,0.548302,747.286568
18,1.835790,1.859597,0.781570,0.611349,0.622821,760.884316
19,1.821790,1.830137,0.781570,0.607653,0.619213,750.328418
20,1.801163,1.882861,0.769625,0.484338,0.529723,693.847076
21,1.788178,1.797394,0.786121,0.613688,0.635873,694.894137
22,1.773440,1.795089,0.782708,0.492748,0.547337,694.221149
23,1.761333,1.767758,0.791240,0.615296,0.639280,697.584755
24,1.740732,1.729376,0.794084,0.595613,0.666905,691.192739
25,1.727360,1.783448,0.761661,0.594346,0.595853,692.432134
26,1.716522,1.789729,0.787827,0.540648,0.583608,694.125876
27,1.701917,1.899376,0.768487,0.402558,0.472438,697.728981
28,1.688520,1.714655,0.796359,0.595234,0.629998,697.628375
29,1.676852,1.664860,0.800341,0.613958,0.659149,697.619843
30,1.662925,1.652561,0.803754,0.649968,0.688773,698.666461
31,1.648589,1.670757,0.791809,0.547939,0.609252,695.847390
32,1.637068,1.648957,0.796928,0.593362,0.637272,697.246112
33,1.622771,1.650879,0.781570,0.579816,0.635194,697.155725
34,1.611732,1.601149,0.809443,0.632624,0.658636,696.447095
35,1.600768,1.773946,0.770193,0.320379,0.411543,697.720405
36,1.586687,1.572550,0.802048,0.632229,0.680511,699.167690
37,1.574375,1.570253,0.798635,0.646579,0.700165,696.610284
38,1.563228,1.577760,0.796359,0.629951,0.672319,697.984895
39,1.551131,1.577846,0.788965,0.606028,0.679433,697.312109
40,1.540306,1.559401,0.798635,0.632483,0.686231,700.883636
41,1.530825,1.534148,0.806598,0.609660,0.652622,692.958539
42,1.519195,1.517903,0.810580,0.623326,0.670963,699.116652
43,1.506250,1.556024,0.792947,0.570275,0.635676,691.368089
44,1.496673,1.518240,0.796928,0.593162,0.651010,693.987233
45,1.487386,1.509266,0.809443,0.644320,0.664714,693.050669
46,1.473862,1.607330,0.784414,0.463264,0.509848,697.684348
47,1.466257,1.487312,0.808305,0.675338,0.682900,692.998745
48,1.456743,1.453752,0.807167,0.636685,0.679514,692.418759
49,1.444196,1.494005,0.794653,0.587097,0.643758,693.396449
50,1.435304,1.436460,0.810580,0.676570,0.717147,697.253804
51,1.424501,1.421956,0.813993,0.686971,0.697793,690.230356
52,1.415089,1.413813,0.804892,0.630058,0.683749,694.482083
53,1.407242,1.554421,0.744027,0.607007,0.593451,695.090243
54,1.393358,1.439968,0.800910,0.647410,0.684602,691.921382
55,1.384719,1.471714,0.788396,0.658038,0.656861,700.172880
56,1.379241,1.410892,0.799772,0.658338,0.711493,695.274874
57,1.365302,1.387918,0.808874,0.670587,0.708354,696.574837
58,1.356375,1.516466,0.749147,0.584522,0.582924,699.181090
59,1.347226,1.413498,0.800341,0.683588,0.687548,699.418042
