epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,9.043563,9.060294,0.046386,0.004523,0.004523,1648.999619
2,8.972250,8.984641,0.046386,0.004523,0.004523,1561.652746
3,8.900228,8.916117,0.046386,0.004523,0.004523,1662.231330
4,8.835030,8.854050,0.046386,0.004523,0.004523,1658.830205
5,8.775932,8.797832,0.046386,0.004523,0.004523,1659.712315
6,8.722267,8.746911,0.046386,0.004523,0.004523,1633.012386
7,8.673841,8.700789,0.046386,0.004523,0.004523,1651.315567
8,8.629808,8.659012,0.046386,0.004523,0.004523,1666.353267
9,8.590155,8.621172,0.046386,0.004523,0.004523,1656.753391
10,8.554163,8.586898,0.046386,0.004523,0.004523,1656.382192
11,8.521395,8.555854,0.046386,0.004523,0.004523,1573.683242
12,8.491916,8.527735,0.046386,0.004523,0.004523,1660.409381
13,8.465066,8.502266,0.046386,0.004523,0.004523,1655.207768
14,8.440779,8.479196,0.046386,0.004523,0.004523,1668.154375
15,8.418908,8.458301,0.046386,0.004523,0.004523,1657.030713
16,8.398936,8.439374,0.046386,0.004523,0.004523,1583.169136
17,8.380982,8.422231,0.046386,0.004523,0.004523,1660.116873
18,8.364607,8.406703,0.046386,0.004523,0.004523,1683.832303
19,8.349786,8.392639,0.046386,0.004523,0.004523,1709.520305
20,8.336432,8.379891,0.046386,0.004523,0.004523,1684.348236
21,3.063000,2.442417,0.067160,0.000000,0.000000,1587.013614
22,2.438686,2.431957,0.067160,0.000000,0.000000,1666.748392
23,2.428723,2.422483,0.067160,0.000000,0.000000,1676.955414
24,2.419695,2.413902,0.067160,0.000000,0.000000,1666.064432
25,2.411515,2.406129,0.067160,0.000000,0.000000,1657.048925
26,2.404113,2.399089,0.067160,0.000000,0.000000,1662.944071
27,2.397439,2.392712,0.067160,0.000000,0.000000,1690.410083
28,2.391299,2.386936,0.067160,0.000000,0.000000,1685.242119
29,2.385882,2.381704,0.067160,0.000000,0.000000,1590.929519
30,2.380859,2.376965,0.067160,0.000000,0.000000,1631.413518
31,2.376361,2.372673,0.067160,0.000000,0.000000,1642.367069
32,2.372198,2.368785,0.067160,0.000000,0.000000,1648.418544
33,2.368502,2.365264,0.067160,0.000000,0.000000,1656.997274
34,2.365222,2.362075,0.067160,0.000000,0.000000,1681.596513
35,2.362178,2.359188,0.067160,0.000000,0.000000,1932.252139
36,2.359527,2.356575,0.067160,0.000000,0.000000,1725.886531
37,2.356906,2.354209,0.067160,0.000000,0.000000,1665.027606
38,2.354724,2.352066,0.067160,0.000000,0.000000,1837.997453
39,2.352633,2.350126,0.067160,0.000000,0.000000,2107.677257
40,2.350763,2.348369,0.067160,0.000000,0.000000,3013.492578
41,2.349129,2.346777,0.067160,0.000000,0.000000,1950.619040
42,2.347689,2.345336,0.067160,0.000000,0.000000,1900.997338
43,2.346247,2.344031,0.067160,0.000000,0.000000,1650.704974
44,2.345064,2.342849,0.067160,0.000000,0.000000,1630.448963
45,2.343814,2.341779,0.067160,0.000000,0.000000,1627.651149
46,2.342869,2.340807,0.067160,0.000000,0.000000,1534.542833
47,2.343365,2.343626,0.067160,0.000000,0.000000,1609.709381
48,2.344731,2.342611,0.067160,0.000000,0.000000,1594.491484
49,2.343610,2.341561,0.067160,0.000000,0.000000,1644.132698
50,2.342643,2.340611,0.067160,0.000000,0.000000,1620.164640
51,2.341677,2.339750,0.067160,0.000000,0.000000,1625.385211
52,2.340877,2.338971,0.067160,0.000000,0.000000,1525.767076
53,2.340196,2.338266,0.067160,0.000000,0.000000,1632.851985
54,2.339447,2.337627,0.067160,0.000000,0.000000,1633.981041
55,2.338867,2.337048,0.067160,0.000000,0.000000,1625.525144
