epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,1.661558,1.730646,0.832669,0.715150,0.727647,2242.315859
2,1.634669,1.726263,0.820717,0.727466,0.750514,2269.534631
3,1.617478,1.619746,0.833808,0.743727,0.766344,2219.781672
4,1.615326,1.667182,0.825839,0.704285,0.738681,2161.927643
5,1.595096,1.619216,0.830393,0.692611,0.743610,2200.735529
6,1.586356,1.631672,0.828116,0.677538,0.722914,2274.780514
7,1.575649,1.607137,0.824986,0.729022,0.765875,2266.667091
8,1.563816,1.655913,0.815310,0.727724,0.748494,2292.287422
9,1.557558,1.570141,0.834661,0.727369,0.763871,2269.937887
10,1.547611,1.561612,0.834946,0.738018,0.766795,2300.307982
11,1.544062,1.613342,0.829539,0.714013,0.757059,2284.529790
12,1.537852,1.533199,0.834661,0.716343,0.750182,2267.340267
13,1.516705,1.624600,0.824417,0.736298,0.752289,2175.799266
14,1.524610,1.547894,0.834377,0.697589,0.745300,2212.384257
15,1.506549,1.589424,0.823847,0.714714,0.736274,2138.585381
16,1.512076,1.534510,0.833238,0.740269,0.764390,2095.397642
17,1.498053,1.506406,0.836938,0.711651,0.750847,2098.909702
18,1.488595,1.539280,0.829254,0.738187,0.770498,2076.564833
19,1.478243,1.527852,0.835800,0.771130,0.782080,2062.493037
20,1.474967,1.554835,0.830393,0.748848,0.757843,2061.967975
21,1.467710,1.536862,0.836653,0.741940,0.770870,2082.632845
22,1.458145,1.569668,0.830393,0.715586,0.730151,2104.488316
23,1.455128,1.611990,0.814456,0.692613,0.736430,2106.395185
24,1.441373,1.527289,0.831816,0.732346,0.764758,2221.063677
25,1.439678,1.538222,0.825555,0.730482,0.753547,2239.359242
26,1.433540,1.495832,0.833238,0.740679,0.772499,2098.288244
27,1.429564,1.511871,0.828116,0.750370,0.766461,2113.663052
28,1.422592,1.466594,0.836084,0.740888,0.772879,2119.316453
29,1.410807,1.481711,0.829824,0.731881,0.759249,2123.393334
30,1.410923,1.481704,0.834377,0.739552,0.768736,2122.347793
31,1.401349,1.483174,0.830677,0.734974,0.762705,2139.068594
32,1.400376,1.448339,0.839784,0.742954,0.771338,2179.855636
33,1.393233,1.560932,0.832385,0.695284,0.723708,2125.986759
34,1.390905,1.542113,0.834092,0.683209,0.702328,2138.517370
35,1.382804,1.437345,0.834946,0.744914,0.773343,2142.547721
36,1.375207,1.433525,0.838645,0.751286,0.782055,2122.840030
37,1.371809,1.463651,0.829824,0.722882,0.764600,2111.368437
38,1.369585,1.428020,0.839215,0.753689,0.788661,2144.884729
39,1.353881,1.459419,0.834946,0.716206,0.752153,2146.818833
40,1.362982,1.589663,0.815879,0.728732,0.739297,2123.449073
41,1.345634,1.411747,0.841207,0.729062,0.760736,2118.397809
42,1.349099,1.460258,0.837507,0.750233,0.774834,2127.215685
43,1.343752,1.408518,0.836653,0.717138,0.756709,2115.574156
44,1.335600,1.424390,0.837792,0.736142,0.780089,2135.903719
45,1.331605,1.386730,0.840922,0.768483,0.795822,2278.331525
46,1.324379,1.375261,0.836938,0.747716,0.777908,2265.629429
47,1.320981,1.421927,0.835515,0.733616,0.760313,2224.437795
48,1.313243,1.399571,0.839784,0.746092,0.771314,2329.508337
49,1.324516,1.412150,0.836369,0.755902,0.767077,2286.681111
50,1.312310,1.404317,0.842060,0.739572,0.767727,2275.399523
51,1.304395,1.427770,0.832385,0.718367,0.752259,2395.805702
52,1.303158,1.376692,0.840637,0.771635,0.796635,2712.233132
53,1.288252,1.374966,0.833808,0.757663,0.781928,2352.365947
54,1.292863,1.377370,0.839215,0.724842,0.759223,2426.695699
55,1.286605,1.408783,0.824132,0.736231,0.766475,2440.015584
56,1.282584,1.353746,0.848036,0.767927,0.782678,2402.794056
57,1.279411,1.459310,0.822994,0.710232,0.740834,2453.251727
58,1.275307,1.386739,0.831531,0.760378,0.786864,2517.570568
59,1.264722,1.339025,0.838361,0.734620,0.766861,2433.216150
60,1.259735,1.391203,0.836369,0.725711,0.757066,2319.240044
61,1.258346,1.442223,0.824986,0.723480,0.745619,2290.724998
62,1.255549,1.348209,0.833523,0.746369,0.784144,2327.037683
63,1.253342,1.398655,0.836653,0.758744,0.775132,2328.794629
64,1.248056,1.350141,0.838361,0.750811,0.776159,2251.440559
65,1.233977,1.370601,0.836084,0.739743,0.765070,2208.985382
66,1.239914,1.321901,0.842345,0.752799,0.773594,2114.692802
67,1.234753,1.402891,0.824986,0.717979,0.746794,2081.678817
68,1.230872,1.379845,0.836369,0.751996,0.777165,2071.278260
69,1.228133,1.372493,0.822425,0.725533,0.764292,2068.818979
70,1.227022,1.336439,0.837792,0.741041,0.763618,2089.033768
71,1.214067,1.330897,0.841491,0.736757,0.768207,2081.276232
72,1.216025,1.327573,0.836938,0.742975,0.762078,2169.097913
73,1.207751,1.377825,0.837507,0.691112,0.721510,2137.145545
74,1.208245,1.293073,0.846044,0.760121,0.785461,2137.235668
75,1.208848,1.374164,0.827547,0.698507,0.737430,2263.794688
76,1.203627,1.365370,0.837792,0.727401,0.746726,2032.825759
77,1.200738,1.339292,0.825839,0.742205,0.777579,2118.240592
78,1.194633,1.303525,0.838361,0.748271,0.772345,2149.478634
79,1.187510,1.296364,0.837507,0.753476,0.782624,2114.779398
80,1.181817,1.289717,0.835231,0.769506,0.799044,2085.711739
81,1.182403,1.301994,0.841776,0.726730,0.754608,2236.749003
82,1.176002,1.299125,0.845475,0.759386,0.784898,2123.098535
83,1.174727,1.337068,0.835231,0.759606,0.790882,2123.992134
84,1.181426,1.283653,0.839499,0.753012,0.788808,2119.174135
85,1.167173,1.287700,0.838645,0.738562,0.764478,2109.403266
86,1.161615,1.355514,0.830108,0.753547,0.770513,2118.429163
87,1.161106,1.311156,0.842629,0.745684,0.765498,2133.111718
88,1.160931,1.325318,0.834661,0.739967,0.775018,2097.896242
89,1.154498,1.313087,0.839784,0.753615,0.784594,2120.028736
90,1.147034,1.302199,0.835800,0.756338,0.789149,2142.671873
91,1.138083,1.267762,0.842629,0.763169,0.796709,2232.129952
92,1.143861,1.268878,0.839215,0.760951,0.788756,2227.957410
93,1.142147,1.289763,0.838930,0.759833,0.781291,2206.485492
94,1.142431,1.298253,0.840922,0.760932,0.787581,2151.096465
95,1.134709,1.300165,0.841491,0.772857,0.785381,2071.126474
96,1.130681,1.285836,0.840637,0.757898,0.769836,2072.498594
97,1.125695,1.239895,0.840637,0.756770,0.792912,2314.905570
98,1.126264,1.349745,0.840637,0.772102,0.779899,2154.502731
99,1.132302,1.327841,0.831531,0.742185,0.765800,2098.316944
100,1.119664,1.234627,0.838930,0.740714,0.780280,2082.905145
