epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
1,inf,3.699551,0.737770,0.000000,0.092300,2659.768405
2,3.713911,3.671509,0.737770,0.000000,0.095405,2468.820987
3,3.678270,3.628674,0.737770,0.000000,0.096973,2789.607953
4,3.648046,3.598726,0.737770,0.000000,0.120239,2832.355555
5,3.621984,3.573487,0.737770,0.000000,0.168834,2809.110270
6,3.600657,3.545332,0.737770,0.000000,0.170178,2901.712685
7,3.569252,3.513232,0.737770,0.027774,0.177125,2979.069286
8,3.543750,3.504251,0.737770,0.026353,0.180268,2868.227267
9,3.525376,3.468752,0.738339,0.038910,0.193187,2921.513351
10,3.497815,3.450876,0.738339,0.017725,0.158797,2917.910065
11,3.471188,3.422133,0.737201,0.015786,0.186361,2921.484561
12,3.452863,3.417873,0.738339,0.026542,0.192850,2836.626658
13,3.429262,3.379519,0.738339,0.027971,0.207403,2865.444915
14,3.412058,3.365843,0.738339,0.055987,0.234035,2822.867960
15,3.391061,3.360695,0.737201,0.042116,0.217634,2849.926768
16,3.368826,3.332032,0.737201,0.015786,0.210603,2897.359363
17,3.349803,3.304013,0.738339,0.040333,0.210352,3032.113004
18,3.327271,3.319895,0.737201,0.024592,0.203233,2941.395677
19,3.300973,3.267311,0.737201,0.043589,0.225252,2707.729084
20,3.287657,3.257050,0.734926,0.047025,0.211517,2882.861408
21,3.261996,3.222982,0.739477,0.083978,0.259333,2906.132119
22,3.246176,3.232802,0.738339,0.092803,0.207316,2893.579154
23,3.225616,3.303741,0.740046,0.059104,0.194339,2877.773290
24,3.199635,3.154132,0.743458,0.112886,0.331038,2932.147164
25,3.178119,3.161721,0.744027,0.128792,0.258945,2851.804893
26,3.160344,3.407114,0.737201,0.036942,0.181938,2945.899224
27,3.139398,3.090618,0.740614,0.169281,0.338558,2927.679050
28,3.115104,3.066377,0.742890,0.151800,0.317716,2819.414772
29,3.091758,3.277887,0.737201,0.086863,0.196937,2837.303863
30,3.073427,3.075858,0.743458,0.251998,0.346472,2865.212210
31,3.057859,3.139006,0.741183,0.244217,0.248114,2854.034877
32,3.041874,3.008043,0.738339,0.042116,0.272534,2842.615949
33,3.021625,3.195817,0.741183,0.077793,0.208307,2827.794547
34,2.989587,3.092297,0.748578,0.389361,0.336849,2820.469447
35,2.980461,3.004068,0.740614,0.080076,0.262822,2831.927210
36,2.956684,2.978983,0.736064,0.056714,0.281017,2870.510255
37,2.951589,2.917079,0.740614,0.222242,0.391951,2895.905834
38,2.925616,3.045851,0.743458,0.325867,0.283109,2914.584297
39,2.907556,2.910754,0.740046,0.186332,0.328601,2891.069590
40,2.884926,2.817247,0.745734,0.324943,0.430290,2886.066375
41,2.874662,2.891805,0.746303,0.221180,0.355328,3005.952114
42,2.846529,2.853030,0.751991,0.253974,0.349645,2898.505023
43,2.812811,2.817280,0.745734,0.367185,0.478534,2891.220976
44,2.787507,2.774800,0.749147,0.378544,0.459795,3010.735327
45,2.757836,2.759176,0.760523,0.444589,0.469330,2879.561330
46,2.726264,2.733336,0.754835,0.504594,0.540928,2949.266808
47,2.717849,2.709896,0.755973,0.303150,0.462220,2907.673048
48,2.692253,2.695268,0.765074,0.430171,0.459640,2993.274444
49,2.665750,2.629542,0.773038,0.499974,0.587712,2883.554811
50,2.638484,2.624063,0.766212,0.405241,0.542350,2947.084319
51,2.622074,2.602249,0.774175,0.451163,0.552760,2870.781122
52,2.596145,2.706638,0.761661,0.387162,0.455063,2844.000469
53,2.574476,2.610427,0.767349,0.547539,0.538158,2809.155984
54,2.552154,2.517476,0.779295,0.520804,0.586939,2717.300102
55,2.543536,2.670605,0.763367,0.303213,0.389735,2638.940051
56,2.523237,2.483310,0.783845,0.539222,0.592772,2890.765051
57,2.498609,2.525604,0.770762,0.460733,0.580637,2785.629391
58,2.484846,2.580011,0.763367,0.361396,0.469925,2547.222368
59,2.460631,2.449117,0.778726,0.452013,0.551221,2721.083441
60,2.448858,2.531332,0.781570,0.602960,0.595352,2522.670971
61,2.432178,2.460509,0.774175,0.548240,0.617209,2538.315405
62,2.419777,2.542970,0.768487,0.604671,0.589134,2535.291436
63,2.402128,2.455400,0.778157,0.547144,0.576053,2528.441174
64,2.379268,2.365562,0.781570,0.475265,0.585153,2520.147115
65,2.365787,2.311220,0.787827,0.502972,0.606829,2540.716223
66,2.344073,2.318304,0.798066,0.598396,0.651008,2528.510286
67,2.311005,2.259513,0.787258,0.576509,0.665112,2527.613145
68,2.287924,2.229237,0.799204,0.577269,0.653242,2529.005466
69,2.253425,2.217920,0.790102,0.488293,0.615271,2522.075424
70,2.227391,3.680934,0.498294,0.349951,0.329995,2527.825846
71,2.198683,2.226755,0.796928,0.537216,0.642839,2669.253573
72,2.183180,2.293896,0.795791,0.660582,0.655780,2524.616859
73,2.148844,2.214084,0.796359,0.544410,0.636322,2530.665821
74,2.140239,2.068897,0.819113,0.650034,0.708885,2522.905714
75,2.108909,2.260990,0.788965,0.467223,0.555419,2525.367097
76,2.104905,2.039184,0.824801,0.673588,0.741770,2523.003284
77,2.074550,2.051165,0.825370,0.664142,0.707432,2522.101595
78,2.065589,2.078380,0.815131,0.612600,0.673029,2523.719106
79,2.041224,1.977985,0.830489,0.712608,0.758903,2999.497635
80,2.026320,1.990787,0.819681,0.671334,0.727748,3334.612740
81,2.018026,1.954126,0.828783,0.726591,0.776649,3034.374744
82,2.012230,2.091717,0.807736,0.573846,0.644291,3428.305371
83,1.993839,1.933288,0.827076,0.725500,0.764961,3241.168001
84,1.980212,1.941965,0.826507,0.654298,0.749822,3119.949061
85,1.963489,1.984505,0.821957,0.711526,0.721677,3051.425895
86,1.954436,1.999984,0.814562,0.714837,0.716853,2767.089643
