epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,time
1,3.046075,0.878862,0.747866,0.000000,1337.270853
2,0.878803,0.879749,0.747866,0.000000,1307.011858
3,0.877752,0.856531,0.745020,-0.000961,1290.253835
4,0.874129,0.859285,0.747297,-0.001470,1274.770216
5,0.875014,0.854366,0.747297,0.000015,1274.135666
6,0.873163,0.852755,0.747866,0.000000,1341.832513
7,0.871373,0.861136,0.745589,-0.002382,1349.293279
8,0.869926,0.849562,0.747866,0.000000,1267.700088
9,0.869970,0.850491,0.747866,0.000000,1335.439344
10,0.868335,0.848006,0.747866,0.000000,1334.554037
11,0.867763,0.844333,0.747866,0.000000,1335.098923
12,0.868110,0.843298,0.747866,0.000000,1277.835305
13,0.869007,0.846464,0.747866,0.000000,1269.420514
14,0.866349,0.854184,0.747866,0.000000,1290.258666
15,0.866076,0.841558,0.747866,0.000000,1345.951326
16,0.865019,0.840464,0.747866,0.000000,1271.884251
1,0.865180,0.843877,0.747866,0.000000,1326.253154
2,0.863673,0.842429,0.747866,0.000000,1332.929022
3,0.865077,0.843796,0.747866,0.000000,1395.198988
4,0.862127,0.843001,0.747866,0.000000,1389.808894
5,0.862586,0.841672,0.747866,0.000000,1403.887046
6,0.862826,0.842505,0.747866,0.000000,1405.293178
7,0.862413,0.839270,0.747866,0.000000,1399.395182
8,0.860557,0.837963,0.747866,0.000000,1391.971284
9,0.856622,0.897767,0.747866,0.000000,1331.425839
10,0.843164,0.976467,0.747866,0.000000,1337.008899
11,0.816100,1.663300,0.747866,0.000000,1334.567539
12,0.803309,2.093765,0.747866,0.000000,1410.494799
13,0.794040,1.278735,0.747866,0.000000,1344.519610
14,0.782815,5.096187,0.022766,0.008490,1417.777878
15,0.780866,2.482239,0.747866,0.000000,1419.894658
16,0.777486,1.927683,0.747866,0.000000,1420.534989
17,0.767272,3.803690,0.029596,0.004678,1475.813173
18,0.761283,1.213911,0.475811,0.196701,1420.300136
19,0.751847,1.111820,0.717131,0.081071,1417.924712
20,0.739416,2.222266,0.191235,0.024513,1418.935185
21,0.729037,1.623506,0.748435,0.036431,1421.233371
22,0.721743,1.113901,0.630620,0.207994,1419.947511
23,0.715539,2.278341,0.064883,0.007909,1425.291467
24,0.707784,2.123129,0.105862,-0.016673,1417.268676
25,0.695348,0.775011,0.764371,0.417661,1405.268793
26,0.690028,2.513139,0.108708,0.007824,1424.696273
27,0.681291,1.195450,0.684690,0.161423,1416.050785
28,0.674507,1.102446,0.748435,0.022518,1422.971237
29,0.668163,2.411677,0.747866,0.000000,1411.165286
30,0.662689,1.188059,0.750711,0.052376,1429.219069
31,0.654467,1.182680,0.645987,0.278258,1374.478600
32,0.647283,0.894253,0.749573,0.388316,1415.651275
33,0.633074,0.849351,0.766079,0.298105,1396.852258
34,0.630058,1.905956,0.749004,0.022696,1394.000494
35,0.617634,1.639581,0.554354,0.147554,1389.492683
36,0.606684,2.616128,0.747866,0.000000,1546.996409
37,0.603857,1.839499,0.146272,0.031384,1392.060319
38,0.596164,2.431669,0.749004,0.034464,1391.252892
39,0.590020,2.018063,0.751850,0.064983,1324.310892
40,0.585410,0.719286,0.771201,0.566221,1395.298227
41,0.579054,1.697061,0.756972,0.183584,1395.495035
42,0.576686,0.672623,0.785430,0.554087,1317.535355
43,0.572134,3.713048,0.087649,0.018204,1392.434340
44,0.569236,1.469109,0.682982,0.387412,1388.348526
45,0.567517,0.694746,0.792829,0.573055,1319.132477
46,0.560243,2.019060,0.754696,0.136867,1319.514294
47,0.565494,0.864871,0.770063,0.477832,1397.549454
48,0.552815,0.923387,0.779169,0.406248,1398.021568
49,0.558655,0.814230,0.762664,0.410916,1324.413093
50,0.555089,1.974763,0.749004,0.124085,1391.832245
51,0.556585,1.806009,0.313603,0.085176,1408.633446
52,0.550650,1.299778,0.764371,0.301827,1398.008065
53,0.543829,1.046134,0.773478,0.381159,1389.518523
54,0.542283,1.202716,0.768924,0.345798,1399.282192
55,0.541259,0.651608,0.809334,0.599481,1404.005861
56,0.537910,1.350961,0.748435,0.210584,1394.960466
57,0.543124,1.965732,0.747866,0.004466,1303.351641
58,0.534746,1.527178,0.702334,0.126421,1387.942536
59,0.535813,1.082534,0.775185,0.316057,1384.750042
