epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,time
1,4.056441,0.839422,0.747866,0.000000,1629.080636
2,0.851857,0.830685,0.747866,0.000000,1583.623563
3,0.842562,0.819597,0.748435,0.009896,1672.764980
4,0.830552,0.819449,0.749004,0.044151,1618.972359
5,0.808263,0.796336,0.742743,0.118358,1647.067822
6,0.789796,0.793862,0.747297,0.167972,1646.734914
7,0.782609,0.822145,0.744451,0.332088,1718.018653
8,0.779562,0.852810,0.742743,0.316245,1627.976177
9,0.773042,0.771857,0.751281,0.241356,1623.979380
10,0.769530,0.789013,0.749004,0.170538,1705.900061
11,0.765192,0.849722,0.749573,0.147201,1740.751254
12,0.760918,0.757883,0.752419,0.355917,1694.682930
13,0.756396,0.754480,0.759818,0.350650,1707.224133
14,0.747293,0.751119,0.757541,0.318947,1591.019325
15,0.743121,0.741902,0.760956,0.373747,1582.777104
16,0.739040,0.754740,0.755265,0.442834,1599.599687
17,0.734397,0.765797,0.756972,0.277097,1621.259000
18,0.727394,0.718848,0.758680,0.405847,1644.950150
19,0.718447,0.714768,0.767786,0.477881,1751.345522
20,0.711930,0.731568,0.765509,0.402138,1687.364072
21,0.701099,0.783851,0.764940,0.382120,1480.186708
22,0.688717,0.707273,0.767786,0.382642,1544.260701
23,0.683435,0.693538,0.772339,0.488127,1473.793597
24,0.673987,0.702457,0.766079,0.524724,1549.249145
25,0.666622,0.673319,0.782015,0.494438,1545.766494
26,0.655493,0.673363,0.781446,0.555017,1543.545603
27,0.651498,1.060315,0.599317,0.439937,1543.341741
28,0.645025,0.649995,0.788845,0.564194,1542.401835
29,0.640993,0.722488,0.780876,0.469505,1568.014371
30,0.628819,0.646270,0.791690,0.502860,1531.173545
31,0.620330,0.665583,0.791121,0.520360,1525.706858
32,0.612664,0.620498,0.799659,0.631038,1521.822139
33,0.602287,0.607045,0.807627,0.642424,1526.272576
34,0.596372,0.611551,0.797382,0.613102,1521.584407
35,0.592901,0.598989,0.808765,0.663388,1558.073367
36,0.576010,0.586276,0.808765,0.581768,1482.017755
37,0.572079,0.606249,0.809903,0.675070,1543.633012
38,0.562460,0.620855,0.805919,0.616037,1543.288745
39,0.550001,0.570609,0.821286,0.699428,1545.626724
40,0.544462,0.561721,0.822425,0.663279,1482.611660
41,0.541485,0.572157,0.814456,0.666036,1543.346930
42,0.534032,0.595086,0.816164,0.683609,1542.941377
43,0.527848,0.923858,0.693796,0.565766,1467.986560
44,0.525814,0.584922,0.818441,0.641012,1551.695933
45,0.521661,0.557682,0.816164,0.698072,1534.159008
46,0.512983,0.587175,0.812749,0.707879,1573.059676
47,0.509547,0.551228,0.825270,0.712554,1560.270425
48,0.503031,0.574630,0.820717,0.692455,1630.958280
49,0.499345,0.584395,0.820717,0.633258,1595.237500
50,0.492064,0.612869,0.799659,0.716938,1523.935165
51,0.488443,0.681151,0.816733,0.670390,1537.307150
52,0.480710,0.684637,0.787706,0.666175,1590.817085
53,0.470732,0.684790,0.804781,0.554838,1472.967319
54,0.471122,0.541754,0.831531,0.699901,1578.752284
55,0.469553,0.605197,0.811042,0.699336,1581.745939
56,0.461529,1.205961,0.581673,0.461741,1556.520007
57,0.454404,0.581163,0.826409,0.687851,1536.220321
58,0.453267,0.582461,0.817871,0.722262,1553.454576
59,0.443659,0.715827,0.760956,0.639412,1540.667288
60,0.437856,0.676244,0.792260,0.651606,1572.754505
61,0.437523,0.709026,0.820148,0.679676,1482.629636
62,0.426786,0.829106,0.814456,0.604799,1473.035867
63,0.421590,0.636871,0.816733,0.660590,1484.934392
64,0.413055,0.651968,0.826409,0.730780,1476.840075
65,0.413591,1.450328,0.550939,0.481142,1523.673992
66,0.401461,0.694107,0.818441,0.692559,1661.260532
67,0.392281,0.984079,0.804781,0.637493,1569.393731
68,0.385073,0.661029,0.821286,0.716679,1539.379476
69,0.389510,0.868218,0.723961,0.621878,1543.979398
70,0.369900,1.202215,0.623791,0.502160,1545.946455
71,0.373819,0.734577,0.824701,0.688081,1539.593295
72,0.358732,0.812082,0.797382,0.658876,1538.340948
73,0.359880,0.662473,0.822425,0.701361,1540.274544
74,0.350406,1.005582,0.690381,0.642094,1559.031794
75,0.351316,0.865728,0.799659,0.698212,1733.299113
76,0.327394,0.879888,0.799659,0.580826,1679.786132
77,0.325408,1.342919,0.683552,0.591713,1569.695692
78,0.318416,0.975470,0.804781,0.660773,1524.423868
79,0.313052,1.604241,0.793967,0.533985,1520.653407
