epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.829335,2.114578,1.610965,1.722538,0.319242,0.335277,0.720047,0.718969,0.001000,0.125540,151.904197
2,1.497170,1.582818,1.435617,1.523161,0.370262,0.380466,0.774770,0.764494,0.001000,0.106066,148.131511
3,1.390690,1.483384,1.358074,1.466341,0.405248,0.408163,0.790673,0.782491,0.001000,0.106145,148.756406
4,1.305570,1.416478,1.398223,1.575590,0.284985,0.311953,0.668964,0.684100,0.001000,0.105988,147.675854
5,1.236140,1.373313,1.207369,1.368190,0.448251,0.432216,0.837556,0.816236,0.001000,0.105982,149.082009
6,1.167566,1.334161,1.143468,1.327155,0.463557,0.470845,0.858289,0.853290,0.001000,0.106550,151.759086
7,1.109715,1.303737,1.107667,1.334007,0.468659,0.476676,0.864131,0.854595,0.001000,0.107615,158.094211
8,1.050113,1.269888,1.030680,1.271697,0.510204,0.532070,0.886963,0.882686,0.001000,0.107732,158.866408
9,1.012424,1.257465,1.001700,1.272341,0.525510,0.531341,0.882441,0.872756,0.001000,0.107932,160.123877
10,0.974470,1.245048,0.993613,1.297899,0.454082,0.489796,0.836434,0.836025,0.001000,0.107810,159.990808
11,0.931263,1.223914,0.925028,1.241629,0.515306,0.548834,0.890998,0.888624,0.001000,0.107979,160.239545
12,0.884913,1.193954,0.895994,1.228251,0.484694,0.539359,0.891567,0.899175,0.001000,0.108084,160.488555
13,0.861073,1.192947,0.867521,1.226952,0.548105,0.589650,0.890870,0.895946,0.001000,0.108049,160.366043
14,0.821642,1.168502,0.835882,1.203681,0.561224,0.583090,0.905449,0.903661,0.001000,0.106281,150.542043
15,0.791640,1.156898,0.829261,1.225959,0.588192,0.571429,0.896004,0.886819,0.001000,0.105946,149.072726
16,0.765576,1.145556,0.782714,1.181381,0.561953,0.604227,0.916130,0.922313,0.001000,0.107545,156.773978
17,0.755073,1.152564,0.782263,1.210311,0.563411,0.608601,0.909185,0.912943,0.001000,0.108612,160.490113
18,0.730151,1.140689,0.748496,1.178238,0.593294,0.621720,0.914621,0.914675,0.001000,0.106869,152.691188
19,0.708332,1.130670,0.757422,1.216847,0.534985,0.548105,0.896224,0.898309,0.001000,0.107781,157.753945
20,0.697822,1.132034,0.782208,1.249790,0.458455,0.475948,0.885837,0.880231,0.001000,0.108916,162.668541
21,0.687021,1.131776,0.711952,1.172159,0.587464,0.609329,0.918745,0.921016,0.001000,0.108860,162.776375
22,0.667982,1.120429,0.683898,1.149436,0.610058,0.642128,0.927353,0.925170,0.001000,0.108851,162.698193
23,0.649236,1.111710,0.691317,1.179788,0.595481,0.602770,0.911753,0.912068,0.001000,0.107991,159.201148
24,0.634780,1.104710,0.671326,1.168758,0.599854,0.623907,0.917228,0.917450,0.001000,0.108813,162.552132
25,0.624097,1.102661,0.671901,1.178943,0.615160,0.604956,0.921341,0.912571,0.001000,0.108831,162.720914
26,0.616559,1.104180,0.660744,1.170305,0.572886,0.606414,0.916292,0.917845,0.001000,0.108862,162.722592
27,0.610674,1.105274,0.656527,1.173351,0.596210,0.611516,0.919105,0.916575,0.001000,0.108925,162.700030
28,0.593043,1.090283,0.628273,1.151733,0.615889,0.649417,0.922006,0.924439,0.001000,0.108859,162.732069
29,0.589687,1.092937,0.651676,1.177648,0.569242,0.614431,0.913432,0.913009,0.001000,0.108831,162.739435
30,0.581130,1.091604,0.615878,1.150836,0.581633,0.631924,0.925478,0.930090,0.001000,0.108910,162.781026
31,0.564839,1.079744,0.604486,1.142421,0.618076,0.660350,0.928441,0.933959,0.001000,0.108929,162.933560
32,0.566312,1.084469,0.588051,1.124617,0.623907,0.658892,0.931341,0.935178,0.001000,0.108894,162.814143
33,0.557681,1.081905,0.605775,1.159886,0.582362,0.633382,0.919230,0.925377,0.001000,0.108907,162.699404
34,0.541380,1.071304,0.614572,1.170294,0.570700,0.622449,0.922126,0.925471,0.001000,0.108912,162.771973
35,0.552056,1.087401,0.593766,1.155095,0.599125,0.631924,0.921913,0.923677,0.001000,0.108931,162.731893
36,0.542265,1.080135,0.586033,1.153631,0.603499,0.656706,0.921786,0.930705,0.001000,0.108879,162.674509
37,0.540504,1.084850,0.593439,1.161211,0.637026,0.634840,0.926597,0.924340,0.001000,0.108801,162.704239
38,0.520595,1.063527,0.574418,1.150707,0.569242,0.589650,0.913804,0.910720,0.001000,0.108832,162.633326
39,0.514666,1.062077,0.571258,1.145430,0.566327,0.657434,0.922143,0.934347,0.001000,0.108916,162.729946
40,0.515931,1.068601,0.567775,1.149651,0.628280,0.679300,0.923981,0.925547,0.001000,0.108854,162.746170
41,0.504156,1.057513,0.554844,1.139252,0.659621,0.660350,0.933772,0.933611,0.001000,0.108837,162.656090
42,0.508110,1.068220,0.546606,1.124845,0.638484,0.643586,0.929102,0.928152,0.001000,0.108742,162.712232
43,0.501738,1.064113,0.558624,1.153814,0.591108,0.629009,0.920486,0.920502,0.001000,0.108795,162.760140
44,0.497021,1.059508,0.540964,1.123148,0.629738,0.679300,0.929927,0.937230,0.001000,0.108848,162.758583
45,0.485944,1.049795,0.538205,1.130964,0.662536,0.694606,0.934850,0.937091,0.001000,0.108914,162.842959
46,0.476066,1.042107,0.553268,1.155836,0.576531,0.637755,0.920256,0.926429,0.001000,0.108837,162.790820
47,0.485209,1.057810,0.537739,1.140816,0.642857,0.673469,0.933118,0.936289,0.001000,0.108856,162.741341
48,0.476803,1.051794,0.531234,1.133411,0.615160,0.674198,0.930858,0.938037,0.001000,0.108865,162.784175
49,0.467008,1.044746,0.529000,1.138007,0.682216,0.682216,0.933010,0.930238,0.001000,0.108926,162.864445
50,0.464925,1.042645,0.530522,1.141776,0.607872,0.675656,0.928228,0.935226,0.001000,0.108936,162.826502
51,0.464741,1.046848,0.527790,1.158670,0.623907,0.693149,0.927652,0.936280,0.001000,0.108899,162.777876
52,0.470916,1.057472,0.522305,1.148848,0.677843,0.690233,0.936563,0.936564,0.001000,0.108943,162.784200
53,0.462336,1.047665,0.523087,1.139994,0.663265,0.669825,0.934802,0.931615,0.001000,0.108887,162.762305
54,0.463043,1.050248,0.511976,1.129047,0.636297,0.675656,0.934239,0.938654,0.001000,0.108891,162.894400
55,0.456642,1.045531,0.511889,1.136182,0.685131,0.680029,0.936616,0.934229,0.001000,0.108897,162.921375
56,0.448027,1.038863,0.521854,1.154347,0.652332,0.679300,0.932923,0.935633,0.001000,0.108885,162.982272
57,0.452307,1.045614,0.518112,1.156138,0.598397,0.663994,0.925519,0.937934,0.001000,0.108850,162.913163
58,0.453672,1.048493,0.500192,1.122865,0.666181,0.702624,0.935110,0.941061,0.001000,0.108815,162.891249
59,0.442873,1.036881,0.501980,1.129379,0.669825,0.677843,0.932940,0.932188,0.001000,0.108906,162.952036
60,0.445000,1.043248,0.510655,1.141016,0.656706,0.675656,0.931338,0.931830,0.001000,0.108922,163.043212
61,0.451776,1.050547,0.519341,1.153278,0.644315,0.661079,0.927431,0.930344,0.001000,0.108911,163.048088
62,0.436498,1.036402,0.501284,1.137934,0.685131,0.676385,0.932341,0.931191,0.001000,0.108915,162.979550
63,0.429303,1.032230,0.505442,1.143612,0.629738,0.685131,0.925998,0.933935,0.001000,0.108839,162.950949
64,0.431676,1.033367,0.492886,1.124028,0.672741,0.669096,0.934331,0.930399,0.001000,0.108906,162.895782
65,0.433856,1.042360,0.504696,1.147531,0.590379,0.701166,0.928101,0.939232,0.001000,0.108892,162.850448
66,0.426530,1.033120,0.494101,1.145479,0.661079,0.681487,0.930090,0.929847,0.001000,0.108840,162.840530
67,0.421224,1.029438,0.508794,1.180681,0.655248,0.680758,0.925413,0.928704,0.001000,0.108822,162.902390
68,0.423838,1.034054,0.483597,1.138180,0.698251,0.715743,0.940442,0.942743,0.001000,0.108774,163.003496
69,0.422184,1.034294,0.501567,1.150183,0.637026,0.660350,0.932512,0.937646,0.001000,0.108907,162.954050
70,0.424793,1.038097,0.490892,1.141803,0.649417,0.686589,0.929103,0.936039,0.001000,0.108833,162.882108
71,0.423122,1.036436,0.491105,1.140487,0.620991,0.668367,0.933407,0.938491,0.001000,0.108846,162.890673
72,0.411211,1.023450,0.469748,1.115442,0.658892,0.703353,0.941504,0.943184,0.001000,0.108812,162.861466
73,0.409849,1.024833,0.485139,1.151782,0.620991,0.677843,0.932136,0.940113,0.001000,0.108806,162.825684
74,0.413042,1.031925,0.473436,1.115811,0.644315,0.710641,0.937314,0.943503,0.001000,0.108906,162.899848
