epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,39.151737,38.281857,41.487213,40.615513,0.136297,0.136297,0.000000,0.000000,0.010000,0.437028,180.307057
2,40.510559,39.640617,41.099636,40.231678,0.136297,0.136297,0.000000,-0.000121,0.010000,0.401003,173.717004
3,11.227417,10.356991,4.215513,3.343635,0.206268,0.198980,0.233830,0.224944,0.010000,0.400877,174.075889
4,3.782696,2.911941,4.219240,3.350053,0.225948,0.239067,0.334813,0.301841,0.010000,0.401016,173.704941
5,3.524629,2.656652,3.472467,2.605644,0.241254,0.217201,0.418167,0.406501,0.010000,0.400852,173.475193
6,2.908705,2.043055,2.551152,1.686935,0.353499,0.353499,0.669353,0.653811,0.010000,0.401072,180.195375
7,2.569235,1.706692,2.483870,1.623027,0.379738,0.377551,0.723255,0.712265,0.010000,0.400871,176.091371
8,2.446217,1.586991,2.418291,1.560711,0.392857,0.395773,0.752892,0.737135,0.010000,0.400968,176.497999
9,2.372951,1.516957,2.445585,1.591214,0.373907,0.380466,0.736381,0.738534,0.010000,0.400737,174.345089
10,2.320905,1.468105,2.310444,1.459245,0.422741,0.431487,0.801898,0.795610,0.010000,0.400986,174.599588
11,2.282573,1.432944,2.295093,1.447053,0.424927,0.429300,0.804228,0.793123,0.010000,0.401164,175.822175
12,2.240293,1.393806,2.285940,1.441011,0.419096,0.427843,0.815061,0.812799,0.010000,0.400644,174.901015
13,2.214667,1.371297,2.212303,1.370500,0.451895,0.451166,0.829853,0.821749,0.010000,0.401087,174.680008
14,2.190039,1.349754,2.220554,1.381825,0.448251,0.440962,0.832372,0.821434,0.010000,0.401020,174.779111
15,2.166820,1.329593,2.180783,1.345104,0.474490,0.481778,0.842810,0.834949,0.010000,0.401158,174.883807
16,2.141286,1.307111,2.189989,1.357344,0.491254,0.508017,0.850069,0.849376,0.010000,0.401040,175.116295
17,2.120974,1.289832,2.155905,1.326291,0.477405,0.487609,0.852634,0.851280,0.010000,0.400978,176.422446
18,2.109294,1.281177,2.143786,1.317196,0.485423,0.501458,0.866602,0.861137,0.010000,0.400873,174.683913
19,2.086995,1.261896,2.151338,1.327739,0.480321,0.491254,0.848837,0.846852,0.010000,0.400991,174.577068
20,2.069036,1.246902,2.132090,1.311461,0.491254,0.490525,0.865294,0.861122,0.010000,0.401005,174.642086
