epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.993714,2.134156,2.558414,1.701615,0.309767,0.317784,0.699973,0.691101,0.001,0.438089,180.501093
2,2.464517,1.61496,2.393857,1.552183,0.374636,0.36516,0.741134,0.730042,0.001,0.403007,174.530807
3,2.310823,1.478281,2.290616,1.467793,0.388484,0.399417,0.787599,0.773088,0.001,0.403139,174.391231
4,2.238543,1.425956,2.269326,1.467268,0.400875,0.397959,0.788948,0.779066,0.001,0.403191,174.240469
5,2.168203,1.376784,2.170195,1.389995,0.4293,0.427843,0.820182,0.80592,0.001,0.403062,174.563475
6,2.112697,1.343824,2.102367,1.344783,0.443878,0.435131,0.848598,0.833848,0.001,0.402979,174.493844
7,2.055172,1.308918,2.075097,1.340572,0.446793,0.45481,0.851493,0.842995,0.001,0.403212,174.582811
8,1.995286,1.272267,2.024896,1.313598,0.483236,0.498542,0.869123,0.865856,0.001,0.402945,175.757237
9,1.957361,1.257258,1.973132,1.28442,0.496356,0.501458,0.870631,0.86744,0.001,0.403268,178.013461
10,1.937877,1.259959,1.943283,1.276064,0.470117,0.499271,0.871674,0.8647,0.001,0.402973,176.074538
11,1.88254,1.226278,1.909051,1.26371,0.494898,0.530612,0.888383,0.887201,0.001,0.403037,174.747463
12,1.847466,1.212724,1.864845,1.240992,0.469388,0.532799,0.885029,0.891387,0.001,0.403011,174.920218
13,1.809193,1.195804,1.880518,1.277541,0.521137,0.537172,0.888318,0.88334,0.001,0.403366,174.697584
14,1.769423,1.176561,1.82374,1.241064,0.503644,0.530612,0.887304,0.887765,0.001,0.403024,174.675854
15,1.732467,1.159684,1.789726,1.226993,0.543732,0.500729,0.893786,0.876868,0.001,0.403061,174.668893
16,1.709712,1.156206,1.754369,1.210099,0.524052,0.544461,0.903814,0.906223,0.001,0.403318,174.602843
17,1.68872,1.153427,1.75528,1.228696,0.505831,0.546647,0.887657,0.893633,0.001,0.403201,174.607925
18,1.659449,1.141497,1.705818,1.196414,0.550292,0.572157,0.903984,0.901987,0.001,0.403264,174.600083
19,1.631231,1.13011,1.708033,1.215313,0.540087,0.542274,0.907731,0.906964,0.001,0.403317,174.599451
20,1.619363,1.13431,1.677123,1.19973,0.53863,0.581633,0.910901,0.912757,0.001,0.403241,174.625807
21,1.596677,1.126677,1.707078,1.244404,0.360058,0.411079,0.802964,0.807122,0.001,0.402984,174.525375
22,1.582375,1.126228,1.642663,1.193177,0.558309,0.603499,0.914316,0.918671,0.001,0.403193,174.975797
23,1.556984,1.114222,1.660622,1.22429,0.544461,0.598397,0.892525,0.898731,0.001,0.403142,174.684498
24,1.526744,1.097088,1.634426,1.211518,0.541545,0.580175,0.901982,0.908691,0.001,0.403106,174.721176
25,1.524453,1.107371,1.628266,1.216914,0.567784,0.569971,0.908891,0.906912,0.001,0.403131,174.74694
26,1.501861,1.09621,1.589433,1.189221,0.567784,0.602041,0.909827,0.910161,0.001,0.403154,174.887747
27,1.493858,1.098734,1.572631,1.183023,0.587464,0.611516,0.90929,0.910688,0.001,0.403227,174.892553
28,1.470338,1.086174,1.545266,1.166146,0.579446,0.609329,0.906985,0.907936,0.001,0.403283,174.896932
29,1.473084,1.098288,1.588974,1.21885,0.530612,0.577259,0.904781,0.90834,0.001,0.403215,174.64135
30,1.445245,1.079754,1.559662,1.199455,0.568513,0.617347,0.90921,0.913018,0.001,0.403094,174.644856
31,1.433662,1.078289,1.531511,1.180127,0.566327,0.626093,0.914724,0.924091,0.001,0.403203,174.618932
32,1.434371,1.08694,1.491964,1.148216,0.601312,0.630466,0.924164,0.925104,0.001,0.403157,175.012504
33,1.419625,1.079655,1.507816,1.171747,0.550292,0.610787,0.90895,0.91633,0.001,0.403042,174.433165
