epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.863966,2.358978,1.610068,1.786164,0.285714,0.284985,0.679240,0.677692,0.001000,0.083398,185.460489
2,1.520810,1.660642,1.445925,1.555731,0.351312,0.362974,0.760096,0.751728,0.001000,0.070009,129.205498
3,1.393528,1.498310,1.351945,1.468865,0.408892,0.430758,0.799244,0.795898,0.001000,0.070053,129.159967
4,1.312659,1.427135,1.398098,1.598315,0.315598,0.332362,0.718591,0.725086,0.001000,0.070167,129.035804
5,1.251750,1.389517,1.230169,1.387243,0.448980,0.446064,0.827483,0.815290,0.001000,0.070198,129.029147
6,1.174044,1.325174,1.158510,1.331372,0.448980,0.465015,0.843515,0.838281,0.001000,0.070175,129.389746
7,1.119528,1.292941,1.111097,1.314955,0.448980,0.459913,0.837907,0.834951,0.001000,0.070228,129.844008
8,1.061748,1.256170,1.058082,1.277478,0.458455,0.482507,0.865899,0.866750,0.001000,0.069692,128.969522
9,1.020281,1.232312,0.996817,1.232527,0.516035,0.527697,0.877725,0.874870,0.001000,0.069437,130.253656
10,0.979788,1.213349,1.018301,1.304941,0.427114,0.441691,0.830109,0.825069,0.001000,0.070126,131.188943
11,0.932959,1.177971,0.928997,1.196599,0.518222,0.524052,0.889530,0.883369,0.001000,0.070259,131.268389
12,0.893874,1.150440,0.895724,1.180197,0.544461,0.563411,0.889181,0.892603,0.001000,0.070131,130.689182
13,0.863636,1.139144,0.863474,1.164504,0.560496,0.581633,0.901435,0.898142,0.001000,0.070326,130.661885
14,0.820874,1.099424,0.851822,1.168995,0.561224,0.559767,0.888166,0.883623,0.001000,0.070309,130.619524
15,0.800457,1.092834,0.851172,1.205344,0.502187,0.471574,0.865974,0.852493,0.001000,0.070303,130.935861
16,0.769679,1.065597,0.776350,1.090241,0.570700,0.571429,0.909815,0.907813,0.001000,0.070093,130.697826
17,0.747405,1.049443,0.783222,1.129956,0.561953,0.577988,0.905943,0.908527,0.001000,0.070091,130.523232
18,0.728356,1.037348,0.744489,1.076812,0.614431,0.620991,0.915073,0.915127,0.001000,0.070093,130.232679
19,0.710171,1.024395,0.757724,1.122053,0.573615,0.582362,0.908834,0.909917,0.001000,0.070235,130.574676
20,0.707614,1.036558,0.780032,1.180879,0.494898,0.499271,0.889725,0.891453,0.001000,0.070307,130.568242
21,0.674894,0.990425,0.735845,1.132140,0.575802,0.581633,0.907303,0.906182,0.001000,0.070319,130.595428
22,0.654104,0.967963,0.679745,1.031635,0.648688,0.651603,0.928579,0.928254,0.001000,0.070294,130.787946
23,0.636967,0.956307,0.685790,1.066665,0.608601,0.606414,0.919283,0.919100,0.001000,0.070178,130.538054
24,0.619064,0.930795,0.654720,1.015196,0.607872,0.620262,0.925477,0.926339,0.001000,0.070281,131.291536
25,0.608308,0.925655,0.652860,1.023608,0.619534,0.627551,0.925313,0.926238,0.001000,0.070130,130.469644
26,0.602696,0.923254,0.625623,0.972071,0.605685,0.615160,0.928892,0.930088,0.001000,0.070253,130.686839
27,0.576558,0.879501,0.644390,1.082594,0.621720,0.622449,0.919282,0.919547,0.001000,0.070220,130.367017
28,0.570736,0.880923,0.627150,1.044760,0.649417,0.653061,0.928641,0.928758,0.001000,0.070114,131.724574
29,0.569673,0.886782,0.620024,1.054297,0.631195,0.639213,0.920511,0.920826,0.001000,0.070004,130.321814
30,0.554515,0.865952,0.596974,1.009317,0.653790,0.657434,0.932149,0.932099,0.001000,0.070025,130.328773
31,0.532421,0.826309,0.635587,1.184490,0.564869,0.566327,0.911312,0.912293,0.001000,0.070186,130.368792
32,0.537850,0.848368,0.597956,1.015169,0.650146,0.651603,0.933851,0.934105,0.001000,0.070191,130.400942
33,0.532161,0.849764,0.623205,1.139582,0.583090,0.598397,0.915920,0.918959,0.001000,0.070212,130.503808
34,0.528625,0.851075,0.673289,1.381988,0.624636,0.628280,0.908418,0.908651,0.001000,0.070210,130.777734
35,0.521891,0.848008,0.586717,1.075390,0.654519,0.654519,0.922653,0.921319,0.001000,0.070102,130.578259
36,0.522569,0.853164,0.591093,1.149818,0.658163,0.658163,0.919174,0.919380,0.001000,0.070112,130.428204
37,0.506693,0.824352,0.576863,1.097676,0.647230,0.645773,0.917391,0.917098,0.001000,0.070124,130.462407
38,0.499370,0.814915,0.599233,1.217487,0.624636,0.629738,0.909213,0.909683,0.001000,0.070210,131.099835
39,0.487152,0.796100,0.621350,1.249521,0.650875,0.650875,0.927408,0.928514,0.001000,0.070158,130.396465
40,0.493702,0.821586,0.555292,1.089397,0.673469,0.674198,0.932910,0.932670,0.001000,0.070240,130.601413
41,0.470791,0.770786,0.549246,1.118028,0.698251,0.695335,0.935951,0.935647,0.001000,0.070616,132.833249
42,0.471759,0.794916,0.569731,1.190503,0.668367,0.666181,0.932185,0.930989,0.001000,0.070293,130.661532
43,0.477658,0.805027,0.549898,1.146459,0.645773,0.645773,0.919332,0.919565,0.001000,0.070267,130.480152
44,0.457944,0.768041,0.538055,1.059751,0.655248,0.656706,0.937128,0.937645,0.001000,0.070364,130.563220
45,0.465592,0.801354,0.541228,1.128708,0.681487,0.683673,0.933437,0.933625,0.001000,0.070220,130.665328
46,0.450781,0.767376,0.595437,1.349365,0.600583,0.602041,0.902910,0.903176,0.001000,0.070218,130.557470
47,0.473921,0.851466,0.546196,1.186321,0.683673,0.683673,0.933184,0.933098,0.001000,0.070103,130.607767
48,0.452179,0.773898,0.528920,1.113108,0.693878,0.693149,0.935114,0.934912,0.001000,0.070087,130.421887
49,0.437281,0.743701,0.528458,1.120704,0.682216,0.681487,0.936301,0.936111,0.001000,0.070070,130.334154
50,0.436938,0.749552,0.529059,1.140971,0.689504,0.687318,0.934530,0.934157,0.001000,0.070273,130.380293
51,0.438608,0.765756,0.527246,1.170834,0.688776,0.689504,0.938137,0.937849,0.001000,0.070308,130.448589
52,0.437096,0.767178,0.536652,1.249606,0.664723,0.666910,0.927316,0.927571,0.001000,0.070296,131.074316
53,0.421798,0.720810,0.528164,1.222620,0.690962,0.689504,0.934673,0.934426,0.001000,0.070163,130.667170
54,0.418239,0.728314,0.523038,1.172519,0.682216,0.682945,0.939961,0.939710,0.001000,0.069359,128.564427
55,0.419888,0.745622,0.507176,1.181256,0.693149,0.693149,0.932699,0.932645,0.001000,0.070137,131.616567
56,0.415599,0.739047,0.532238,1.269890,0.674198,0.673469,0.937227,0.937113,0.001000,0.070340,130.485741
57,0.422132,0.766575,0.546970,1.446543,0.653790,0.654519,0.929779,0.929788,0.001000,0.070258,130.406279
58,0.438434,0.816370,0.526191,1.242088,0.678571,0.680029,0.934036,0.934181,0.001000,0.070269,130.503981
59,0.415144,0.740909,0.523724,1.290484,0.672741,0.672741,0.929183,0.929649,0.001000,0.070251,130.363748
60,0.399656,0.699985,0.522928,1.254026,0.703353,0.703353,0.937847,0.937787,0.001000,0.070180,130.521203
61,0.408620,0.744137,0.516178,1.249772,0.703353,0.704082,0.936593,0.936676,0.001000,0.070048,130.228269
62,0.395351,0.703681,0.530198,1.289635,0.663265,0.663265,0.929521,0.929988,0.001000,0.070086,130.140063
63,0.393780,0.698451,0.537216,1.587290,0.663994,0.664723,0.926934,0.927107,0.001000,0.070336,130.396678
