epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,3.219229,2.358399,2.633187,1.773341,0.327259,0.321429,0.699755,0.690395,0.001000,0.139049,76.200006
2,2.537934,1.683058,2.405540,1.556291,0.389942,0.390671,0.755462,0.744334,0.001000,0.118338,37.566336
3,2.341145,1.498531,2.319410,1.483838,0.384111,0.377551,0.792622,0.778962,0.001000,0.122882,37.956695
4,2.265128,1.437069,2.308718,1.488458,0.403061,0.378280,0.788924,0.776227,0.001000,0.123069,38.277663
5,2.181296,1.368909,2.219059,1.415076,0.427114,0.422012,0.813537,0.796262,0.001000,0.122851,38.202398
6,2.130156,1.334801,2.116957,1.330122,0.422741,0.439504,0.844489,0.837779,0.001000,0.123242,38.215704
7,2.073870,1.295757,2.104687,1.335800,0.443878,0.449708,0.845975,0.841987,0.001000,0.123331,38.228441
8,2.010007,1.250268,2.025648,1.275245,0.480321,0.483965,0.871245,0.869844,0.001000,0.123165,38.250333
9,1.966295,1.225003,1.997263,1.265195,0.471574,0.465743,0.854480,0.853261,0.001000,0.123260,38.178448
10,1.956421,1.233266,1.944525,1.229906,0.485423,0.509475,0.876471,0.870672,0.001000,0.123240,38.221686
11,1.899340,1.193685,1.916293,1.219758,0.502915,0.516764,0.892199,0.892712,0.001000,0.123463,38.172331
12,1.851914,1.164485,1.893424,1.215331,0.420554,0.461370,0.873533,0.878896,0.001000,0.123596,38.319099
13,1.812169,1.143055,1.893801,1.233653,0.513848,0.540087,0.883194,0.884948,0.001000,0.123538,38.290273
14,1.771092,1.119734,1.874350,1.231817,0.508017,0.507289,0.887030,0.881762,0.001000,0.123692,38.358792
15,1.737360,1.103317,1.782885,1.157653,0.567784,0.550292,0.900402,0.892209,0.001000,0.122926,38.190456
16,1.702227,1.085251,1.775600,1.166715,0.513848,0.510933,0.889474,0.883898,0.001000,0.123567,38.247248
17,1.679012,1.078264,1.738905,1.146065,0.509475,0.548834,0.904677,0.907465,0.001000,0.123576,38.314657
18,1.652712,1.067551,1.723238,1.145565,0.545190,0.565598,0.902926,0.903816,0.001000,0.123794,38.271263
19,1.619821,1.049709,1.719897,1.157272,0.537901,0.525510,0.908622,0.903756,0.001000,0.123377,38.281917
20,1.614038,1.058294,1.738061,1.188959,0.462828,0.469388,0.888504,0.887287,0.001000,0.124029,38.303210
21,1.571064,1.028529,1.681359,1.145500,0.526968,0.538630,0.893876,0.892536,0.001000,0.123711,38.206716
22,1.567682,1.037249,1.592512,1.067512,0.590379,0.594023,0.916596,0.915686,0.001000,0.124024,38.245943
23,1.514005,0.995409,1.608060,1.095425,0.567784,0.596210,0.912290,0.914975,0.001000,0.124040,38.308731
24,1.475091,0.968273,1.581253,1.080293,0.611516,0.628280,0.916540,0.918858,0.001000,0.123994,38.318123
25,1.455895,0.960439,1.624917,1.134555,0.572886,0.562682,0.905000,0.903075,0.001000,0.123831,38.264617
26,1.435963,0.950127,1.585297,1.103834,0.583090,0.592566,0.907568,0.909946,0.001000,0.124173,38.318405
27,1.431128,0.953085,1.601874,1.127027,0.589650,0.585277,0.904670,0.900727,0.001000,0.124018,38.333133
28,1.411444,0.939970,1.518387,1.049911,0.610787,0.620262,0.913379,0.913773,0.001000,0.123802,38.273673
29,1.433699,0.967027,1.650110,1.186179,0.530612,0.529155,0.888627,0.886138,0.001000,0.123992,38.346917
30,1.357963,0.897411,1.535712,1.079327,0.604956,0.609329,0.914014,0.914181,0.001000,0.124075,38.397658
31,1.335833,0.882487,1.566149,1.115261,0.587464,0.596210,0.918127,0.919341,0.001000,0.123996,38.369554
32,1.329171,0.880667,1.494415,1.048167,0.600583,0.604227,0.920139,0.920669,0.001000,0.124078,38.361965
33,1.344865,0.900155,1.479800,1.035137,0.617347,0.616618,0.917467,0.917002,0.001000,0.124267,38.334847
34,1.302937,0.860356,1.553872,1.113561,0.595481,0.598397,0.912109,0.912542,0.001000,0.124298,38.416841
35,1.352726,0.910853,1.535759,1.094061,0.593294,0.591837,0.905975,0.903976,0.001000,0.124439,38.421895
36,1.286397,0.845935,1.421366,0.983284,0.645773,0.653061,0.926244,0.926542,0.001000,0.124427,38.354032
37,1.256187,0.820741,1.477105,1.042840,0.638484,0.637755,0.926213,0.925233,0.001000,0.124331,38.354561
38,1.229138,0.796360,1.536918,1.105146,0.591837,0.594023,0.916313,0.916673,0.001000,0.124219,38.335307
39,1.242149,0.810569,1.540007,1.108850,0.559038,0.563411,0.913200,0.915736,0.001000,0.124303,38.356279
40,1.210514,0.779720,1.464130,1.035016,0.629009,0.625364,0.920049,0.919747,0.001000,0.124386,38.335671
41,1.187977,0.760270,1.455522,1.027741,0.560496,0.566327,0.916377,0.914822,0.001000,0.124516,38.332404
42,1.181915,0.754454,1.420631,0.993991,0.623907,0.626822,0.922221,0.921990,0.001000,0.124441,38.465191
43,1.161491,0.736298,1.453248,1.028092,0.656706,0.656706,0.928653,0.927728,0.001000,0.124325,38.461082
44,1.154345,0.729107,1.376387,0.951140,0.670554,0.675656,0.931891,0.932610,0.001000,0.124224,38.391419
45,1.164907,0.739030,1.459219,1.031591,0.652332,0.655248,0.927913,0.927893,0.001000,0.124300,38.836185
46,1.156941,0.730529,1.551588,1.124124,0.606414,0.607143,0.917185,0.916239,0.001000,0.124273,38.361002
47,1.179261,0.751553,1.496133,1.067626,0.675656,0.672012,0.927963,0.927821,0.001000,0.124194,38.324804
48,1.127815,0.698428,1.395669,0.968454,0.677843,0.681487,0.934955,0.934889,0.001000,0.124262,38.304501
49,1.072988,0.647954,1.396569,0.973029,0.674927,0.675656,0.936797,0.937030,0.001000,0.124348,38.383188
50,1.042757,0.620695,1.447402,1.026656,0.661808,0.659621,0.935593,0.935083,0.001000,0.124551,38.363913
51,1.059124,0.639206,1.549729,1.128553,0.657434,0.659621,0.925974,0.926774,0.001000,0.124319,38.369951
52,1.112583,0.689363,1.480481,1.053615,0.625364,0.626822,0.910665,0.910257,0.001000,0.124273,38.341140
53,1.058051,0.631403,1.453960,1.028567,0.680029,0.676385,0.932295,0.931821,0.001000,0.124080,38.275385
54,1.021921,0.598733,1.503628,1.081027,0.692420,0.692420,0.930201,0.929709,0.001000,0.123955,38.258318
55,1.062020,0.638354,1.526703,1.101460,0.688776,0.688047,0.933115,0.932929,0.001000,0.124175,38.351408
56,1.029962,0.604158,1.594804,1.169418,0.680029,0.680029,0.926455,0.926354,0.001000,0.124414,38.347023
57,1.038443,0.612949,1.636540,1.211306,0.640671,0.643586,0.929529,0.929963,0.001000,0.124537,38.388498
58,1.052675,0.627170,1.509729,1.083068,0.670554,0.666910,0.932781,0.932822,0.001000,0.123605,38.251281
59,0.977949,0.552698,1.410108,0.986601,0.687318,0.688047,0.938909,0.938946,0.001000,0.124566,38.357933
60,0.939038,0.517858,1.586469,1.166535,0.650875,0.649417,0.931850,0.931593,0.001000,0.124519,38.330984
61,0.974576,0.554124,1.492490,1.070603,0.681487,0.681487,0.933859,0.933769,0.001000,0.124424,38.339438
62,1.019099,0.595027,1.519453,1.092798,0.674927,0.673469,0.934821,0.934531,0.001000,0.124526,38.321863
63,0.958641,0.531492,1.474002,1.048343,0.709913,0.709184,0.941736,0.941590,0.001000,0.124362,38.326804
64,0.937654,0.513095,1.430866,1.006234,0.679300,0.678571,0.936945,0.936492,0.001000,0.124693,38.390452
65,1.036997,0.609961,1.657144,1.226489,0.688047,0.690233,0.939834,0.939999,0.001000,0.124493,38.277051
66,0.981834,0.550447,1.466848,1.036436,0.678571,0.678571,0.939657,0.939612,0.001000,0.124352,38.377322
67,0.899243,0.471508,1.477522,1.051472,0.717201,0.718659,0.945212,0.945355,0.001000,0.124221,38.334763
68,0.904262,0.479029,1.467269,1.042727,0.735423,0.733236,0.945210,0.944836,0.001000,0.124379,38.358743
69,0.908533,0.484736,1.516631,1.092838,0.709913,0.710641,0.944016,0.944096,0.001000,0.124309,38.292107
70,0.933404,0.508695,1.647797,1.221971,0.712099,0.711370,0.936435,0.936283,0.001000,0.124403,38.225536
71,0.965053,0.538227,1.675824,1.246627,0.690962,0.689504,0.934979,0.934078,0.001000,0.124430,38.231971
72,0.943470,0.513406,1.586268,1.156331,0.682216,0.682216,0.941414,0.941414,0.001000,0.124364,38.333632
73,0.869553,0.440987,1.493420,1.066209,0.734694,0.734694,0.947113,0.947113,0.001000,0.124579,38.341877
74,0.938486,0.510087,1.540900,1.111128,0.732507,0.734694,0.942840,0.943085,0.001000,0.124642,38.299963
75,0.863157,0.434461,1.574668,1.146533,0.702624,0.702624,0.937570,0.937542,0.001000,0.124620,38.277613
76,0.896646,0.468361,1.673783,1.243753,0.693878,0.693878,0.933159,0.933159,0.001000,0.124372,38.275305
77,0.893472,0.463182,1.582652,1.151919,0.712828,0.712828,0.941437,0.941405,0.001000,0.124159,38.192683
78,0.881137,0.450821,1.627396,1.197710,0.707726,0.709913,0.937482,0.937704,0.001000,0.124392,38.269211
79,0.871702,0.441801,1.515301,1.086065,0.733236,0.732507,0.945777,0.945672,0.001000,0.124511,38.247526
80,0.832505,0.404171,1.623582,1.195647,0.686589,0.686589,0.939365,0.939365,0.001000,0.124412,38.226083
81,0.888504,0.458525,1.688399,1.256219,0.715743,0.715743,0.935609,0.935609,0.001000,0.124169,38.226959
82,0.841096,0.408509,1.574205,1.142214,0.733965,0.733965,0.945450,0.945450,0.001000,0.124513,38.253985
83,0.853497,0.421782,1.632569,1.199537,0.704810,0.705539,0.943693,0.943750,0.001000,0.124479,38.284940
84,0.964317,0.526564,2.062289,1.620172,0.644315,0.644315,0.915381,0.915381,0.001000,0.124292,38.267781
85,0.863268,0.421445,1.496634,1.055454,0.747085,0.747085,0.949640,0.949608,0.000100,0.124356,38.304245
86,0.751891,0.311435,1.468900,1.029194,0.762391,0.763848,0.950005,0.950178,0.000100,0.124392,38.256752
87,0.717313,0.278336,1.506128,1.067905,0.768950,0.768222,0.951061,0.950950,0.000100,0.124597,38.226680
88,0.692999,0.255527,1.432550,0.995851,0.768950,0.768950,0.953989,0.953989,0.000100,0.124555,38.371063
89,0.676856,0.240925,1.362516,0.927387,0.766035,0.766035,0.955190,0.955190,0.000100,0.124226,38.201850
90,0.667776,0.233439,1.459227,1.025705,0.773324,0.774052,0.953790,0.953875,0.000100,0.124520,38.327086
91,0.655155,0.222436,1.504940,1.073043,0.768222,0.768222,0.949828,0.949828,0.000100,0.124499,38.348978
92,0.645879,0.214792,1.479661,1.049407,0.771137,0.770408,0.952469,0.952366,0.000100,0.124513,38.801176
93,0.638256,0.208819,1.527438,1.098836,0.777697,0.778426,0.952267,0.952359,0.000100,0.124442,38.266094
94,0.630233,0.202457,1.458397,1.031486,0.772595,0.773324,0.954072,0.954157,0.000100,0.124484,38.284906
95,0.622094,0.196032,1.511097,1.085902,0.776968,0.776968,0.953213,0.953213,0.000100,0.124435,38.301320
96,0.610369,0.186034,1.543536,1.120092,0.777697,0.776968,0.951278,0.951166,0.000100,0.124458,38.224079
97,0.604204,0.181624,1.484826,1.063131,0.766764,0.766764,0.952941,0.952941,0.000100,0.124521,38.297419
