epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,3.164907,2.302989,2.651818,1.790478,0.282070,0.266035,0.645228,0.620679,0.001000,0.437206,162.127172
2,2.544419,1.687012,2.479303,1.626379,0.340379,0.338921,0.704533,0.688340,0.001000,0.402767,81.835601
3,2.372644,1.525011,2.340679,1.498869,0.408892,0.417638,0.785150,0.771186,0.001000,0.402832,81.273270
4,2.294132,1.458718,2.288303,1.459555,0.410350,0.427114,0.804822,0.796453,0.001000,0.403047,81.549656
5,2.230097,1.408284,2.242344,1.427803,0.418367,0.422012,0.809231,0.795421,0.001000,0.403022,81.695790
6,2.187314,1.380327,2.192524,1.393108,0.397230,0.416181,0.808805,0.805637,0.001000,0.402969,81.654687
7,2.128894,1.337415,2.156115,1.372947,0.443149,0.436589,0.838238,0.829576,0.001000,0.403068,81.697354
8,2.086845,1.311883,2.081298,1.314886,0.429300,0.461370,0.850885,0.846408,0.001000,0.402982,81.705277
9,2.040459,1.282507,2.073947,1.324637,0.439504,0.455539,0.857230,0.857680,0.001000,0.402863,81.686270
10,2.027765,1.286819,2.030464,1.297827,0.450437,0.475948,0.867942,0.867896,0.001000,0.402892,81.611073
11,1.974687,1.250624,1.988530,1.273136,0.454082,0.494169,0.881199,0.883024,0.001000,0.402958,81.628169
12,1.935520,1.228708,1.975752,1.277766,0.465015,0.508746,0.879527,0.882151,0.001000,0.402933,81.658544
13,1.912341,1.222830,1.981279,1.300366,0.478134,0.510933,0.867882,0.867535,0.001000,0.402929,81.620886
14,1.877252,1.204874,1.949508,1.285687,0.500000,0.524052,0.881240,0.879968,0.001000,0.403205,81.669245
15,1.842949,1.187451,1.856078,1.207567,0.499271,0.483965,0.870549,0.859847,0.001000,0.402885,81.675649
16,1.812086,1.168061,1.755234,1.115796,0.505102,0.516764,0.886804,0.889090,0.001000,0.403090,81.723466
17,1.749843,1.114452,1.814845,1.183590,0.476676,0.492711,0.887499,0.890615,0.001000,0.403051,81.667005
18,1.689773,1.063401,1.742033,1.120479,0.545190,0.542274,0.881093,0.876942,0.001000,0.403048,81.689980
19,1.652220,1.034788,1.727264,1.114564,0.516035,0.521137,0.884253,0.882888,0.001000,0.403111,81.701825
20,1.597017,0.988704,1.682112,1.078128,0.551020,0.541545,0.882300,0.879791,0.001000,0.402954,81.731514
21,1.577577,0.977719,1.598809,1.003040,0.583090,0.583819,0.907503,0.904906,0.001000,0.403004,81.751379
22,1.536454,0.944542,1.600265,1.012292,0.599854,0.602041,0.905834,0.904144,0.001000,0.402941,81.773997
