epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.909591,1241.686768,2.269498,0.114114,0.344752,0.316327,0.469668,0.472469,0.001000,372.518477
2,1.461700,1.961661,1.542252,0.081583,0.451895,0.354956,0.729915,0.751173,0.001000,369.344619
3,1.226878,1.551971,1.381353,0.071870,0.460641,0.411079,0.761025,0.796471,0.001000,351.631379
4,1.098275,1.493223,1.468427,0.076812,0.456997,0.435860,0.712450,0.783086,0.001000,350.356818
5,0.979772,1.338809,2.138788,0.123094,0.379738,0.339650,0.508327,0.592668,0.001000,351.328382
6,0.908329,1.317053,1.113718,0.052935,0.576531,0.522595,0.853644,0.858772,0.001000,350.520251
7,0.843132,1.319802,1.231817,0.057348,0.521137,0.504373,0.797405,0.841037,0.001000,357.549037
8,0.793051,1.192807,1.049515,0.050598,0.589650,0.562682,0.841273,0.880228,0.001000,351.371730
9,0.752688,1.209881,1.251158,0.060444,0.498542,0.508017,0.809266,0.842718,0.001000,351.452642
10,0.711871,1.072602,1.168668,0.055727,0.532799,0.529155,0.824692,0.877454,0.001000,353.429410
11,0.685912,1.126310,1.176414,0.055200,0.553207,0.543003,0.838984,0.881480,0.001000,375.640745
12,0.651560,1.189896,1.008568,0.046856,0.596939,0.575802,0.878320,0.892361,0.001000,352.354445
13,0.621688,1.168611,1.663467,0.095486,0.474490,0.451895,0.727906,0.780669,0.001000,351.040331
14,0.597253,1.041641,1.105307,0.051517,0.572886,0.544461,0.849869,0.867799,0.001000,351.972304
15,0.583442,1.157753,0.995618,0.042771,0.586735,0.615160,0.896847,0.916909,0.001000,352.130572
16,0.564555,1.118396,1.227556,0.056819,0.586735,0.552478,0.860921,0.877438,0.001000,358.396454
17,0.538323,0.990293,1.038690,0.045076,0.584548,0.589650,0.891560,0.909000,0.001000,352.995339
18,0.521582,1.028690,1.158590,0.051254,0.588921,0.569242,0.858731,0.866677,0.001000,351.721381
19,0.510492,0.936775,1.105263,0.046438,0.586735,0.580904,0.880051,0.902905,0.001000,350.635252
20,0.496423,0.978529,0.933891,0.041683,0.647959,0.643586,0.894488,0.911487,0.001000,361.161811
21,0.470179,0.872854,0.823215,0.036326,0.680758,0.670554,0.908779,0.918644,0.001000,351.001025
22,0.465022,0.851744,0.957442,0.041318,0.640671,0.622449,0.898837,0.908698,0.001000,352.128183
23,0.460468,0.860239,1.051628,0.044680,0.642857,0.626822,0.900374,0.906741,0.001000,351.482993
24,0.452537,0.832944,0.874469,0.036664,0.680029,0.674927,0.917768,0.926397,0.001000,355.567422
25,0.444662,0.893726,1.037326,0.048854,0.626093,0.602770,0.864578,0.884107,0.001000,351.567623
26,0.426444,0.792709,0.976804,0.042176,0.623178,0.639942,0.892025,0.909478,0.001000,352.251933
27,0.411137,0.822762,1.273326,0.051659,0.609329,0.594023,0.861518,0.859154,0.001000,351.941313
28,0.413462,0.906059,1.139941,0.051435,0.612974,0.580175,0.834244,0.847393,0.001000,350.191535
29,0.412920,0.844434,1.019857,0.038593,0.666910,0.661808,0.922253,0.928184,0.001000,354.526248
30,0.400658,0.825734,0.896031,0.036988,0.695335,0.688776,0.912689,0.922836,0.001000,350.689867
31,0.388537,0.777684,0.984758,0.045018,0.613703,0.596210,0.887623,0.899251,0.001000,351.397287
32,0.383579,0.729287,0.922214,0.037669,0.669096,0.667638,0.918564,0.926676,0.001000,351.420429
33,0.377982,0.711674,1.081773,0.044576,0.608601,0.604227,0.902914,0.916519,0.001000,373.090661
34,0.370633,0.731452,0.891863,0.037870,0.688047,0.680029,0.908924,0.923012,0.001000,350.365162
