epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,5.813869,36072.582031,260.217987,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,340.854207
2,5.777782,246.258820,253.714844,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,332.562086
3,5.739938,237.330780,245.884567,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,328.715288
4,5.707044,228.255722,237.293991,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,331.286518
5,5.680862,219.764191,227.648590,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,329.534598
6,5.645493,211.367355,219.305771,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,331.162266
7,5.627480,204.077805,209.109909,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,330.497954
8,5.598892,195.735046,203.395660,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,330.450700
9,5.565906,188.683105,192.336136,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,335.274313
10,5.551058,181.253860,187.567078,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,330.385145
11,5.522608,174.762802,179.228226,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,329.697468
12,5.503996,168.383804,171.789215,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,330.982659
13,5.476726,161.756317,165.950943,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,330.504688
14,5.459427,156.042297,159.948395,0.237803,0.126822,0.126822,0.000000,0.000000,0.100000,333.165410
