epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.980942,2.120104,2.592870,1.737694,0.302478,0.307580,0.585283,0.568913,0.001000,0.438175,186.923400
2,2.488732,1.644410,2.449368,1.617244,0.354227,0.359329,0.734518,0.723244,0.001000,0.403374,180.052974
3,2.375834,1.556868,2.347910,1.542906,0.389942,0.407434,0.773610,0.767190,0.001000,0.403396,180.508697
4,2.308860,1.518181,2.271040,1.495148,0.397230,0.419825,0.801954,0.795125,0.001000,0.403591,181.144503
5,2.241028,1.480051,2.245730,1.500022,0.382653,0.407434,0.772281,0.777167,0.001000,0.403362,181.075102
6,2.187016,1.456312,2.183358,1.467735,0.411808,0.430758,0.813029,0.809487,0.001000,0.403881,181.117355
7,2.129804,1.429155,2.146235,1.460732,0.405248,0.421283,0.811180,0.830323,0.001000,0.403830,181.045289
8,2.088774,1.417765,2.084876,1.428394,0.406706,0.462828,0.834995,0.848881,0.001000,0.403722,181.003708
9,2.030911,1.388364,2.057230,1.428940,0.429300,0.474490,0.839999,0.857595,0.001000,0.403683,181.026181
10,1.999959,1.384842,1.995028,1.393204,0.455539,0.478863,0.859007,0.868692,0.001000,0.402939,174.380724
11,1.968158,1.378420,1.988590,1.411213,0.392128,0.459184,0.828069,0.860000,0.001000,0.402611,174.470501
12,1.899109,1.334080,1.921699,1.369122,0.447522,0.494169,0.852875,0.860055,0.001000,0.402321,175.025267
13,1.875054,1.333613,1.914713,1.383902,0.496356,0.470845,0.858921,0.848640,0.001000,0.402072,175.092441
14,1.826096,1.306076,1.865218,1.356258,0.494169,0.465015,0.873304,0.861612,0.001000,0.402849,175.101167
15,1.789322,1.290330,1.849084,1.359814,0.446064,0.453353,0.843864,0.839103,0.001000,0.402884,175.032064
16,1.766116,1.285304,1.783928,1.311903,0.441691,0.517493,0.852665,0.882750,0.001000,0.402978,174.913047
17,1.724622,1.261384,1.769382,1.314463,0.486152,0.519679,0.873428,0.887755,0.001000,0.402087,174.839929
18,1.687155,1.240251,1.698677,1.259524,0.553207,0.572886,0.893177,0.895780,0.001000,0.402068,174.885586
19,1.648003,1.216078,1.673573,1.249247,0.545190,0.554665,0.897615,0.898685,0.001000,0.402843,174.940202
20,1.606897,1.189544,1.638584,1.227828,0.571429,0.563411,0.902550,0.901571,0.001000,0.403070,175.048407
