epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.777167,1.924094,2.497854,1.659787,0.327988,0.344752,0.701588,0.695543,0.001000,0.438936,181.304517
2,2.420577,1.604178,2.331827,1.538893,0.393586,0.424198,0.768969,0.769559,0.001000,0.402810,173.934195
3,2.297330,1.528950,2.253893,1.510895,0.397959,0.439504,0.810223,0.807361,0.001000,0.402669,173.963504
4,2.201328,1.483302,2.192579,1.499532,0.395773,0.413994,0.796546,0.790852,0.001000,0.402690,174.723621
5,2.138332,1.468613,2.125021,1.478630,0.448251,0.421283,0.821168,0.799951,0.001000,0.402834,175.987826
6,2.080287,1.455459,2.063267,1.459191,0.372449,0.424927,0.776289,0.786471,0.001000,0.402995,176.045911
7,1.995140,1.411521,1.995954,1.432702,0.454082,0.438047,0.840684,0.831259,0.001000,0.402849,176.094685
8,1.948541,1.403179,1.946208,1.418346,0.416910,0.470845,0.821740,0.827854,0.001000,0.402533,176.161535
9,1.874064,1.362732,1.914487,1.419645,0.468659,0.488338,0.849884,0.842185,0.001000,0.402611,176.042877
10,1.824180,1.343131,1.837206,1.369491,0.434402,0.481050,0.851047,0.866457,0.001000,0.402500,176.083923
11,1.780764,1.325368,1.796710,1.353294,0.511662,0.521137,0.874266,0.877921,0.001000,0.402620,176.197554
12,1.730689,1.298225,1.754840,1.332921,0.466472,0.552478,0.865267,0.881679,0.001000,0.402103,176.083968
13,1.705348,1.292586,1.781233,1.376276,0.442420,0.489796,0.834951,0.847339,0.001000,0.402085,176.051912
14,1.652307,1.256646,1.665818,1.279779,0.545918,0.525510,0.884016,0.876379,0.001000,0.402241,176.252782
15,1.606736,1.229039,1.617393,1.247376,0.486880,0.488338,0.867164,0.871755,0.001000,0.401891,174.706014
16,1.588322,1.224562,1.606712,1.248090,0.526968,0.549563,0.876747,0.888199,0.001000,0.402397,174.718206
17,1.532248,1.180117,1.572719,1.226999,0.566327,0.559038,0.896633,0.891867,0.001000,0.402227,174.751123
18,1.506021,1.165720,1.547860,1.212232,0.545918,0.533528,0.888361,0.885203,0.001000,0.402406,174.876332
19,1.462849,1.132365,1.501757,1.176005,0.564140,0.561953,0.893034,0.895973,0.001000,0.402499,174.804602
20,1.442145,1.119522,1.504905,1.185595,0.564140,0.577988,0.892601,0.898324,0.001000,0.402924,174.770838
21,1.402133,1.085941,1.451483,1.138345,0.598397,0.595481,0.902728,0.903917,0.001000,0.402098,174.717689
22,1.375497,1.065356,1.473674,1.165479,0.545190,0.539359,0.892703,0.885811,0.001000,0.401883,174.738244
23,1.338259,1.032418,1.433223,1.129796,0.553936,0.583090,0.902986,0.908755,0.001000,0.402302,174.684391
24,1.317466,1.015556,1.434114,1.133420,0.562682,0.592566,0.896849,0.901322,0.001000,0.402374,174.650523
25,1.300936,1.001576,1.363685,1.064670,0.617347,0.612245,0.907886,0.907429,0.001000,0.402111,174.920329
26,1.292868,0.994586,1.383814,1.084396,0.575073,0.577259,0.902832,0.904967,0.001000,0.401874,174.658375
27,1.281935,0.981802,1.321352,1.021951,0.647959,0.647959,0.923114,0.923558,0.001000,0.402338,174.673310
28,1.285234,0.986142,1.383007,1.079254,0.594752,0.588192,0.910498,0.911093,0.001000,0.402432,174.701337
29,1.261312,0.957183,1.359336,1.056504,0.608601,0.611516,0.913522,0.914965,0.001000,0.402529,174.749739
30,1.204438,0.903625,1.320116,1.021800,0.633382,0.631924,0.916456,0.918297,0.001000,0.402840,174.915151
31,1.194309,0.896364,1.404920,1.107024,0.563411,0.576531,0.899020,0.904798,0.001000,0.402868,174.847505
32,1.174980,0.877833,1.275848,0.978256,0.637755,0.637026,0.924840,0.926235,0.001000,0.402560,174.762259
33,1.147631,0.850697,1.342383,1.045350,0.619534,0.627551,0.918436,0.918451,0.001000,0.402255,174.754087
34,1.171884,0.873502,1.333706,1.034102,0.639213,0.630466,0.921395,0.921303,0.001000,0.402522,174.899847
35,1.143338,0.843467,1.235266,0.935695,0.670554,0.674927,0.930254,0.929006,0.001000,0.402966,175.169524
36,1.134302,0.834765,1.334161,1.032847,0.617347,0.606414,0.914761,0.915183,0.001000,0.402768,174.711462
37,1.128896,0.826519,1.296952,0.993542,0.646501,0.650146,0.924708,0.925501,0.001000,0.402789,174.777892
38,1.100180,0.797457,1.213405,0.911112,0.668367,0.672741,0.931011,0.933023,0.001000,0.402494,174.914967
39,1.088936,0.787322,1.241512,0.937602,0.658163,0.650146,0.930487,0.929563,0.001000,0.402188,174.822540
40,1.060462,0.756979,1.230442,0.928188,0.685860,0.677114,0.937357,0.936246,0.001000,0.401876,174.725586
41,1.085574,0.781892,1.251490,0.947124,0.693878,0.686589,0.934876,0.935912,0.001000,0.401909,174.661105
42,1.034125,0.730039,1.178241,0.874631,0.672741,0.671283,0.937524,0.937521,0.001000,0.402179,174.720558
43,1.018270,0.714840,1.369236,1.065063,0.642857,0.647959,0.926267,0.926509,0.001000,0.402245,174.776223
44,1.066982,0.761007,1.410678,1.100486,0.609329,0.607872,0.913317,0.913810,0.001000,0.402219,174.758391
45,1.097977,0.784445,1.342771,1.028218,0.661079,0.655248,0.932333,0.933687,0.001000,0.402356,175.063464
46,0.999194,0.686669,1.249956,0.939195,0.660350,0.667638,0.927900,0.929253,0.001000,0.402538,174.782332
47,1.021686,0.710529,1.317559,1.005472,0.627551,0.632653,0.925689,0.926560,0.001000,0.402905,174.834496
48,0.965484,0.654298,1.217457,0.907574,0.701166,0.708455,0.943448,0.944904,0.001000,0.402761,174.832012
49,0.945419,0.637166,1.276165,0.968564,0.669096,0.666181,0.938779,0.938256,0.001000,0.402326,174.837367
50,0.943574,0.636307,1.244229,0.935937,0.701895,0.701895,0.942483,0.942494,0.001000,0.402280,174.852125
1,0.863554,0.555881,1.190100,0.883193,0.728134,0.728134,0.946089,0.945584,0.000100,0.437564,181.005658
2,0.810133,0.504036,1.138480,0.833221,0.733965,0.735423,0.948531,0.948563,0.000100,0.402911,173.802607
3,0.782687,0.478260,1.125013,0.821441,0.731778,0.733965,0.948057,0.948219,0.000100,0.402591,174.216031
4,0.770775,0.468062,1.143862,0.842011,0.721574,0.723032,0.947732,0.948203,0.000100,0.402707,174.060354
5,0.760652,0.459623,1.129642,0.829442,0.728134,0.733236,0.948797,0.950603,0.000100,0.402896,174.164907
6,0.747578,0.448191,1.139855,0.841308,0.739067,0.741254,0.949174,0.949735,0.000100,0.402602,174.385186
7,0.736855,0.439099,1.155224,0.858277,0.735423,0.736152,0.946804,0.947229,0.000100,0.402944,174.784822
8,0.729487,0.433315,1.143875,0.848476,0.725219,0.731050,0.947626,0.949474,0.000100,0.402502,174.707236
9,0.719470,0.424823,1.132500,0.838614,0.738338,0.737609,0.949837,0.949817,0.000100,0.402600,174.799089
10,0.710530,0.417380,1.138917,0.846506,0.741983,0.745627,0.947299,0.947946,0.000100,0.402430,174.805118
11,0.700916,0.409245,1.116623,0.825695,0.753644,0.750729,0.951798,0.951814,0.000100,0.402650,174.945513
