epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,100.399567,494.612427,19.137695,26.602110,0.204108,0.107143,0.107143,-0.060936,-0.060675,0.010000,0.614151,271.928263
2,23.150215,160.927307,21.407381,32.959053,0.203017,0.096210,0.096939,-0.007865,-0.007351,0.010000,0.527424,183.283019
3,19.467791,25.211836,15.151994,10.208440,0.189964,0.094752,0.094752,-0.000507,-0.000507,0.010000,0.526320,183.743063
4,13.618973,11.144672,11.079016,11.965222,0.188595,0.093294,0.093294,0.002462,0.002462,0.010000,0.524531,185.078753
5,11.230601,10.650347,11.054566,15.352819,0.189916,0.093294,0.093294,0.003038,0.003038,0.010000,0.523449,184.035192
6,11.200255,10.895779,11.006617,10.768388,0.187671,0.094023,0.094023,0.005968,0.005968,0.010000,0.524353,183.549543
7,11.182998,9.896621,10.996443,13.004742,0.187303,0.094023,0.094023,0.000346,0.000346,0.010000,0.525551,184.324045
8,11.180054,10.340851,10.999773,9.766630,0.189354,0.094023,0.094023,0.003282,0.003282,0.010000,0.524979,184.439329
9,11.162389,9.599886,10.976575,13.165618,0.188799,0.093294,0.093294,0.005253,0.005253,0.010000,0.525150,184.792827
10,11.151257,9.843398,10.969481,10.236670,0.188394,0.093294,0.093294,0.006388,0.006388,0.010000,0.525515,184.679590
11,11.141406,10.017241,10.992193,9.766590,0.188611,0.093294,0.093294,0.002286,0.002286,0.010000,0.525143,184.632187
12,11.128505,10.026146,11.003006,9.862592,0.189577,0.093294,0.093294,0.002242,0.002242,0.010000,0.525089,184.497894
13,11.133412,9.536012,10.965159,11.345016,0.189471,0.094023,0.094023,0.000576,0.000576,0.010000,0.525290,184.706470
14,11.128600,9.829051,11.020440,9.410279,0.191085,0.091837,0.091837,-0.002795,-0.002795,0.010000,0.524969,184.756217
15,11.103390,9.469357,10.938481,9.985847,0.184499,0.093294,0.093294,0.003433,0.003433,0.010000,0.525014,184.587618
16,11.100704,9.351892,10.943187,9.313244,0.187921,0.092566,0.092566,0.002195,0.002195,0.010000,0.525036,184.746036
17,11.092918,9.419674,11.006843,9.597306,0.189901,0.093294,0.093294,0.006150,0.006150,0.010000,0.524895,184.657247
18,11.074934,9.619261,10.892582,10.194088,0.184679,0.094023,0.094023,0.006997,0.006997,0.010000,0.524699,184.517551
19,11.070928,9.392898,10.937446,9.665342,0.180392,0.094023,0.094023,0.004619,0.004619,0.010000,0.525318,184.745047
