epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.741814,1.873798,1.514467,1.670351,0.341837,0.376822,0.688624,0.693533,0.001000,0.125475,131.742389
2,1.421035,1.594201,1.344036,1.570940,0.367347,0.417638,0.764273,0.782638,0.001000,0.107701,127.894138
3,1.286162,1.538986,1.235367,1.533024,0.377551,0.438776,0.803992,0.802502,0.001000,0.107619,127.171648
4,1.188072,1.510128,1.132644,1.496807,0.395773,0.469388,0.838415,0.850161,0.001000,0.107837,127.910243
5,1.110204,1.492502,1.074050,1.487314,0.402332,0.470845,0.838805,0.849701,0.001000,0.107590,127.758545
6,1.040016,1.471784,1.027421,1.485282,0.410350,0.470845,0.823670,0.836972,0.001000,0.107575,127.506805
7,0.983328,1.456642,0.973036,1.477935,0.435860,0.488338,0.846083,0.860777,0.001000,0.107548,127.835855
8,0.941275,1.449336,0.938754,1.473135,0.364431,0.495627,0.835980,0.882283,0.001000,0.107565,128.305472
9,0.895927,1.432297,0.892487,1.454036,0.423469,0.533528,0.861377,0.878874,0.001000,0.107686,128.600005
10,0.863288,1.424302,0.868891,1.452220,0.396501,0.531341,0.850615,0.882921,0.001000,0.107611,128.335502
11,0.829882,1.414722,0.838804,1.435767,0.411079,0.549563,0.844343,0.889052,0.001000,0.107579,128.589636
12,0.795561,1.398028,0.796861,1.413968,0.453353,0.579446,0.875900,0.900297,0.001000,0.107466,128.459736
13,0.772789,1.391070,0.785607,1.416691,0.459913,0.575073,0.873856,0.893736,0.001000,0.107581,128.734299
14,0.750144,1.384614,0.776859,1.425287,0.555394,0.491983,0.887261,0.872826,0.001000,0.107536,128.697081
15,0.735052,1.381880,0.747065,1.407049,0.430029,0.553936,0.869305,0.886751,0.001000,0.107564,128.737700
16,0.719380,1.379186,0.738532,1.412687,0.533528,0.527697,0.880082,0.888898,0.001000,0.107604,128.494570
17,0.704475,1.375038,0.722252,1.403011,0.453353,0.604956,0.883439,0.910739,0.001000,0.107531,128.519001
18,0.684041,1.364191,0.703844,1.396273,0.453353,0.602770,0.873720,0.909218,0.001000,0.107513,128.570237
19,0.674686,1.363979,0.697088,1.399433,0.465743,0.599854,0.887999,0.913309,0.001000,0.107896,128.241628
20,0.665267,1.362178,0.688000,1.395224,0.537901,0.610058,0.895611,0.908231,0.001000,0.107840,126.870729
21,0.647568,1.351800,0.682529,1.396916,0.519679,0.598397,0.897102,0.905245,0.001000,0.107909,127.648337
22,0.642612,1.353740,0.682749,1.411128,0.525510,0.595481,0.891853,0.902954,0.001000,0.107918,128.420908
23,0.634225,1.352131,0.676119,1.408684,0.433673,0.586735,0.886075,0.910699,0.001000,0.108011,128.792079
