epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,21.182417,nan,16.041410,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.475005,185.881976
2,15.645349,nan,16.031793,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.434091,178.115107
3,15.635640,nan,16.022092,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.433968,178.525840
4,15.625958,nan,16.012429,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.434081,178.587973
5,15.616313,nan,16.002802,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.434230,178.585832
6,15.606705,nan,15.993212,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.434106,178.674559
7,15.597134,nan,15.983660,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.434130,178.751735
8,15.587599,nan,15.974143,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.434117,178.753515
9,15.578101,nan,15.964665,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.434162,178.771465
10,15.568641,nan,15.955222,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.434181,178.790190
11,15.559216,nan,15.945816,nan,0.136297,0.136297,0.000000,0.000000,0.010000,0.434091,178.768255
