epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.831069,1.975895,2.515307,1.669790,0.304665,0.349125,0.677739,0.689079,0.001000,0.438180,181.377014
2,2.466621,1.636817,2.414467,1.601997,0.352770,0.389213,0.756781,0.740464,0.001000,0.401536,174.439503
3,2.370715,1.576643,2.350845,1.575906,0.375364,0.392857,0.780000,0.758943,0.001000,0.401814,174.656086
4,2.294234,1.538671,2.261786,1.526053,0.380466,0.440962,0.813318,0.820363,0.001000,0.402017,174.733540
5,2.232331,1.515917,2.212641,1.515846,0.389942,0.443878,0.803398,0.804459,0.001000,0.401775,174.839052
6,2.174350,1.496516,2.167492,1.508417,0.373907,0.437318,0.794391,0.813812,0.001000,0.401602,175.011055
7,2.115739,1.474849,2.125739,1.503300,0.353499,0.430758,0.798592,0.840643,0.001000,0.401307,174.905837
8,2.065328,1.460075,2.074017,1.485727,0.381924,0.501458,0.823257,0.857367,0.001000,0.401700,175.037676
9,2.020504,1.448214,2.043346,1.487146,0.373178,0.464286,0.809901,0.854652,0.001000,0.402111,175.218725
10,1.978413,1.437343,1.988921,1.462836,0.391399,0.488338,0.834976,0.861085,0.001000,0.401758,175.142340
11,1.937784,1.425619,1.953883,1.455540,0.392128,0.508017,0.843740,0.873982,0.001000,0.402012,175.387719
12,1.894064,1.408878,1.920879,1.448829,0.413994,0.514577,0.848594,0.869798,0.001000,0.402002,175.492074
13,1.866424,1.406119,1.898035,1.449426,0.368805,0.516035,0.825161,0.877224,0.001000,0.401852,175.555006
14,1.829104,1.391531,1.879197,1.452707,0.476676,0.511662,0.862267,0.877912,0.001000,0.402011,175.746621
15,1.811054,1.394422,1.843015,1.436284,0.419096,0.491983,0.846887,0.876417,0.001000,0.401716,175.948285
16,1.788549,1.390927,1.825625,1.436514,0.440233,0.497085,0.834794,0.866796,0.001000,0.401347,175.930266
17,1.763986,1.383650,1.820464,1.448033,0.381924,0.491254,0.829544,0.871161,0.001000,0.401674,180.386120
18,1.746335,1.381679,1.770385,1.413525,0.412536,0.544461,0.856696,0.898029,0.001000,0.401652,179.227678
19,1.720754,1.371367,1.758951,1.416775,0.427114,0.548834,0.867728,0.897336,0.001000,0.401722,176.552771
20,1.708959,1.373212,1.740925,1.411923,0.455539,0.575073,0.871059,0.901158,0.001000,0.401617,176.368769
21,1.687643,1.365234,1.731912,1.415374,0.411079,0.550292,0.851263,0.887467,0.001000,0.401825,176.391527
22,1.677052,1.366133,1.733179,1.427727,0.319242,0.475948,0.817403,0.878173,0.001000,0.401292,176.293251
23,1.652942,1.353245,1.724701,1.430707,0.373907,0.515306,0.823662,0.861069,0.001000,0.401270,176.434972
24,1.647121,1.358098,1.713176,1.428813,0.374636,0.529883,0.841065,0.880623,0.001000,0.401581,176.198807
25,1.630813,1.351528,1.679253,1.404412,0.513120,0.548834,0.883452,0.875646,0.001000,0.401517,176.324241
26,1.621273,1.350797,1.691214,1.424500,0.404519,0.522595,0.836749,0.861722,0.001000,0.401584,176.223976
27,1.611032,1.348144,1.651590,1.393108,0.458455,0.591108,0.877361,0.915405,0.001000,0.401686,176.361850
28,1.598531,1.344413,1.657256,1.405376,0.406706,0.540087,0.856207,0.876739,0.001000,0.401377,176.292212
29,1.587551,1.339445,1.654852,1.410529,0.462828,0.595481,0.874657,0.905571,0.001000,0.401433,176.305898
30,1.587852,1.345336,1.632173,1.393504,0.489796,0.625364,0.883511,0.918379,0.001000,0.401650,176.028516
31,1.570745,1.335958,1.662333,1.430482,0.402332,0.569242,0.853155,0.903818,0.001000,0.401964,176.168279
32,1.560813,1.332336,1.618114,1.392817,0.456997,0.599125,0.876043,0.913257,0.001000,0.401966,176.292632
33,1.563185,1.340651,1.644656,1.423560,0.400146,0.562682,0.853665,0.896275,0.001000,0.402092,176.330968
34,1.550991,1.332512,1.609322,1.393932,0.485423,0.639942,0.892545,0.915958,0.001000,0.402198,176.262037
35,1.544087,1.331127,1.593451,1.382859,0.492711,0.616618,0.896895,0.911126,0.001000,0.401761,176.074315
36,1.532777,1.324882,1.612725,1.406948,0.413265,0.596210,0.866787,0.911771,0.001000,0.401572,175.956867
37,1.543059,1.338163,1.600425,1.396501,0.454082,0.600583,0.870440,0.897072,0.001000,0.401706,176.210915
38,1.521183,1.320342,1.581611,1.384331,0.475948,0.634840,0.891691,0.916891,0.001000,0.401860,176.359918
39,1.538524,1.340433,1.590901,1.393579,0.449708,0.628280,0.862596,0.914493,0.001000,0.401571,175.879173
40,1.519708,1.325156,1.580673,1.388660,0.490525,0.604956,0.888664,0.913142,0.001000,0.401471,175.948638
41,1.512258,1.322330,1.567294,1.380193,0.479592,0.648688,0.893479,0.929258,0.001000,0.401282,175.641806
42,1.492463,1.308335,1.568856,1.387283,0.404519,0.628280,0.867917,0.921365,0.001000,0.401268,175.723975
43,1.488816,1.309463,1.581707,1.404754,0.456997,0.629738,0.875754,0.919542,0.001000,0.401517,175.983444
44,1.491593,1.316365,1.567144,1.392650,0.480321,0.645773,0.895817,0.915636,0.001000,0.401755,176.108611
45,1.485312,1.312379,1.553772,1.382627,0.477405,0.660350,0.893410,0.933777,0.001000,0.401624,176.071522
46,1.490687,1.320293,1.567214,1.397330,0.514577,0.633382,0.895730,0.912855,0.001000,0.402128,175.861782
47,1.473835,1.306502,1.590209,1.425175,0.445335,0.635569,0.868014,0.915428,0.001000,0.401810,175.816315
48,1.497394,1.331550,1.565960,1.399417,0.465015,0.607143,0.870154,0.911401,0.001000,0.401848,176.082471
49,1.476627,1.311813,1.555337,1.392748,0.491254,0.656706,0.890615,0.925935,0.001000,0.401928,176.327561
50,1.463433,1.303068,1.548759,1.390432,0.470845,0.653790,0.891547,0.924911,0.001000,0.401787,175.831545
1,1.441249,1.283508,1.524876,1.367864,0.524781,0.696793,0.910091,0.938689,0.000100,0.438198,181.499099
2,1.428035,1.271798,1.527092,1.371654,0.494898,0.706268,0.906168,0.939718,0.000100,0.401327,174.354183
3,1.420451,1.265811,1.514563,1.360727,0.518222,0.709913,0.913254,0.940159,0.000100,0.401953,174.519932
4,1.416422,1.263388,1.514144,1.361912,0.521866,0.724490,0.907972,0.945438,0.000100,0.402081,174.623148
5,1.413078,1.261617,1.508176,1.357515,0.513848,0.719388,0.910153,0.944042,0.000100,0.401685,174.762424
6,1.409237,1.259352,1.519613,1.370504,0.524052,0.725219,0.912124,0.945702,0.000100,0.401761,175.292379
7,1.405086,1.256745,1.521107,1.373537,0.516035,0.726676,0.910448,0.944726,0.000100,0.401577,175.302194
8,1.403721,1.256895,1.526837,1.380753,0.514577,0.734694,0.906949,0.940802,0.000100,0.401631,174.569378
9,1.400210,1.254853,1.516081,1.371454,0.506560,0.730321,0.907324,0.945560,0.000100,0.402075,174.584574
10,1.397249,1.253340,1.515708,1.372525,0.526239,0.721574,0.909284,0.940414,0.000100,0.401968,175.398690
11,1.394964,1.252482,1.505050,1.363269,0.526968,0.715015,0.914889,0.942777,0.000100,0.402023,175.567316
12,1.393043,1.251920,1.512667,1.372228,0.500729,0.721574,0.910980,0.946841,0.000100,0.402090,175.675341
13,1.389867,1.250083,1.506365,1.367254,0.499271,0.726676,0.906453,0.946433,0.000100,0.402182,175.584481
14,1.387159,1.248692,1.517389,1.379595,0.518950,0.728134,0.907970,0.948863,0.000100,0.402068,175.509698
15,1.385435,1.248283,1.511067,1.374560,0.524781,0.737609,0.909920,0.949408,0.000100,0.401911,175.690745
16,1.382608,1.246712,1.508196,1.372930,0.526239,0.744898,0.917306,0.953091,0.000100,0.401524,175.581928
17,1.381929,1.247274,1.490849,1.356776,0.524781,0.727405,0.910527,0.945779,0.000100,0.401479,175.934041
18,1.382454,1.248838,1.497086,1.364001,0.514577,0.734694,0.907208,0.946026,0.000100,0.401608,175.503780
19,1.378527,1.245992,1.493425,1.361449,0.532799,0.739796,0.911463,0.948008,0.000100,0.401791,175.579286
20,1.375572,1.244136,1.495512,1.364641,0.529155,0.754373,0.913078,0.948009,0.000100,0.401757,175.610211
21,1.372813,1.242492,1.505957,1.376184,0.485423,0.727405,0.908090,0.947119,0.000100,0.401961,175.621697
22,1.371362,1.242127,1.505527,1.376830,0.509475,0.731050,0.911063,0.944411,0.000100,0.401693,175.710493
23,1.370322,1.242151,1.508053,1.380414,0.522595,0.745627,0.913665,0.949976,0.000100,0.401225,175.771269
24,1.369414,1.242277,1.507972,1.381324,0.510204,0.744898,0.907262,0.948816,0.000100,0.401535,175.767695
25,1.367057,1.240908,1.506943,1.381294,0.513848,0.733236,0.907314,0.945959,0.000100,0.401721,175.942739
26,1.365659,1.240510,1.493272,1.368619,0.518950,0.752915,0.911501,0.946462,0.000100,0.401859,176.096537
27,1.363940,1.239771,1.494303,1.370641,0.515306,0.744898,0.910877,0.949430,0.000100,0.401794,176.275611
28,1.362050,1.238876,1.492479,1.369793,0.512391,0.735423,0.908444,0.949716,0.000100,0.401397,176.000565
29,1.361046,1.238825,1.518509,1.396751,0.513120,0.747085,0.909813,0.948375,0.000100,0.401418,176.137629
30,1.360844,1.239517,1.485356,1.364469,0.498542,0.743440,0.906491,0.948708,0.000100,0.401999,176.164286
31,1.358930,1.238500,1.493084,1.373099,0.533528,0.741254,0.909974,0.948013,0.000100,0.402234,176.145657
32,1.357494,1.237944,1.491212,1.372100,0.515306,0.753644,0.910640,0.951432,0.000100,0.402179,176.147097
33,1.355007,1.236332,1.480138,1.361898,0.510933,0.749271,0.912305,0.950214,0.000100,0.402212,176.115884
34,1.354711,1.236905,1.491094,1.373719,0.510204,0.757289,0.910240,0.949133,0.000100,0.402227,176.352672
35,1.352669,1.235702,1.489022,1.372474,0.518222,0.748542,0.913761,0.947805,0.000100,0.401796,176.183554
36,1.351302,1.235179,1.490990,1.375303,0.509475,0.755831,0.911129,0.948932,0.000100,0.401612,176.135577
37,1.349790,1.234529,1.484262,1.369426,0.516035,0.759475,0.918509,0.948541,0.000100,0.401956,176.384267
38,1.349746,1.235310,1.472984,1.358957,0.489796,0.755102,0.910469,0.951544,0.000100,0.402096,176.002080
39,1.347666,1.234051,1.486109,1.372914,0.516035,0.757289,0.911569,0.949468,0.000100,0.401510,176.092225
40,1.349251,1.236405,1.474707,1.362187,0.501458,0.741983,0.915605,0.946818,0.000100,0.401660,176.129427
41,1.346486,1.234328,1.487270,1.375499,0.501458,0.744898,0.908369,0.946974,0.000100,0.401583,176.108465
42,1.344692,1.233306,1.477152,1.366163,0.513120,0.776239,0.910395,0.953877,0.000100,0.401353,176.124447
43,1.344001,1.233391,1.477419,1.367181,0.510204,0.760204,0.911061,0.948641,0.000100,0.401496,176.101712
44,1.343619,1.233719,1.471310,1.361758,0.517493,0.773324,0.910981,0.951066,0.000100,0.401939,176.237251
45,1.342232,1.233022,1.468313,1.359466,0.480321,0.761662,0.903214,0.949654,0.000100,0.401633,176.172191
46,1.340257,1.231775,1.489152,1.381033,0.515306,0.763120,0.913057,0.951195,0.000100,0.402177,176.687508
47,1.338316,1.230567,1.484517,1.377151,0.516764,0.752915,0.914235,0.951294,0.000100,0.401999,176.251659
48,1.338021,1.231023,1.471604,1.364975,0.489067,0.754373,0.904323,0.948477,0.000100,0.402085,176.254811
49,1.336897,1.230616,1.472195,1.366279,0.498542,0.771137,0.908820,0.951796,0.000100,0.402008,176.345545
50,1.335853,1.230302,1.478007,1.372827,0.508746,0.763848,0.912294,0.948207,0.000100,0.402070,176.489104
51,1.335583,1.230749,1.493478,1.388999,0.486880,0.773324,0.905811,0.952209,0.000100,0.401996,176.354800
52,1.335482,1.231341,1.474185,1.370353,0.494169,0.757289,0.916351,0.949672,0.000100,0.401984,176.247214
53,1.337881,1.234313,1.477609,1.374312,0.508017,0.755102,0.905391,0.948126,0.000100,0.401774,176.283810
54,1.337045,1.234035,1.471632,1.368867,0.483965,0.747813,0.909321,0.947259,0.000100,0.401931,176.393591
55,1.338111,1.235519,1.492937,1.390604,0.491254,0.759475,0.907651,0.949877,0.000100,0.401666,176.167091
56,1.338495,1.236356,1.458141,1.356189,0.505102,0.768222,0.904896,0.946523,0.000100,0.401615,176.578707
57,1.335531,1.233813,1.475114,1.373625,0.523324,0.764577,0.909871,0.950506,0.000100,0.401481,176.296732
58,1.334718,1.233458,1.473249,1.372203,0.484694,0.765306,0.898196,0.948362,0.000100,0.401168,176.424631
59,1.332109,1.231309,1.465999,1.365465,0.493440,0.759475,0.908647,0.953521,0.000100,0.401406,176.288758
60,1.331030,1.230739,1.468946,1.368899,0.538630,0.773324,0.915353,0.954914,0.000100,0.401517,176.081026
61,1.329101,1.229313,1.470292,1.370772,0.502915,0.771866,0.914731,0.955771,0.000100,0.401608,176.187692
62,1.327922,1.228670,1.467272,1.368276,0.481050,0.766035,0.906136,0.953068,0.000100,0.401461,176.018119
63,1.327908,1.229154,1.478893,1.380397,0.491983,0.771866,0.908065,0.954759,0.000100,0.401149,175.946373
64,1.326446,1.228222,1.461292,1.363340,0.554665,0.760933,0.923599,0.949865,0.000100,0.401449,176.006332
65,1.326089,1.228382,1.477145,1.379693,0.491254,0.780612,0.910668,0.955242,0.000100,0.401579,176.004227
66,1.337695,1.240286,1.457504,1.360114,0.513120,0.761662,0.913164,0.952147,0.000100,0.401988,176.402901
67,1.328563,1.231375,1.489101,1.392135,0.488338,0.758017,0.905226,0.951599,0.000100,0.401433,175.875497
68,1.325871,1.229134,1.467709,1.371204,0.513120,0.771866,0.913868,0.953026,0.000100,0.401424,175.953957
69,1.324764,1.228489,1.469857,1.373822,0.497813,0.779155,0.909900,0.957747,0.000100,0.401407,176.040954
70,1.323095,1.227301,1.460991,1.365448,0.520408,0.782799,0.915646,0.955562,0.000100,0.401516,176.139266
71,1.322274,1.226974,1.479451,1.384400,0.493440,0.774781,0.910293,0.951859,0.000100,0.401676,176.059739
72,1.322363,1.227543,1.472147,1.377560,0.513120,0.795190,0.913095,0.954544,0.000100,0.401436,176.033007
73,1.321509,1.227159,1.466460,1.372359,0.511662,0.794461,0.914884,0.954840,0.000100,0.401300,176.076284
74,1.320415,1.226561,1.470956,1.377355,0.483236,0.790816,0.912265,0.957097,0.000100,0.401432,176.179461
75,1.319074,1.225735,1.484216,1.391137,0.503644,0.771137,0.908604,0.949670,0.000100,0.401488,176.259186
76,1.318400,1.225576,1.455334,1.362774,0.477405,0.781341,0.910563,0.954704,0.000100,0.401833,176.496986
77,1.319041,1.226728,1.493314,1.401240,0.504373,0.763120,0.909044,0.951757,0.000100,0.401529,175.724094
78,1.318049,1.226209,1.457928,1.366327,0.467930,0.771866,0.906844,0.953204,0.000100,0.401710,175.892111
79,1.319344,1.227950,1.474984,1.383793,0.494169,0.774052,0.909631,0.955190,0.000100,0.402390,175.991914
