epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,10.022826,9.159931,3.716592,2.856933,0.156706,0.134840,0.091993,0.105310,0.010000,0.476385,255.522234
2,2.889351,2.031404,2.602774,1.746392,0.293732,0.276968,0.621213,0.608860,0.010000,0.435914,172.016823
3,2.522438,1.667563,2.482322,1.629012,0.345481,0.368805,0.734349,0.719636,0.010000,0.435305,171.248883
4,2.448862,1.597096,2.482107,1.631926,0.325802,0.374636,0.719867,0.736197,0.010000,0.435439,170.924034
5,2.407725,1.559080,2.416781,1.569721,0.376822,0.400146,0.771997,0.755123,0.010000,0.435544,171.065919
6,2.381629,1.536103,2.381493,1.537533,0.403061,0.432945,0.794104,0.795034,0.010000,0.435595,171.189160
7,2.355703,1.513276,2.357088,1.516223,0.402332,0.444606,0.815293,0.819593,0.010000,0.435324,171.395861
8,2.337431,1.498091,2.343357,1.505581,0.379009,0.444606,0.803295,0.816931,0.010000,0.435151,172.177442
9,2.315076,1.478837,2.357860,1.523190,0.365160,0.446064,0.804803,0.831944,0.010000,0.434959,172.087863
10,2.302073,1.468923,2.340535,1.508939,0.359329,0.437318,0.781651,0.811199,0.010000,0.434848,172.319364
11,2.290917,1.460834,2.330620,1.502078,0.379009,0.448251,0.810695,0.835630,0.010000,0.435156,172.267664
12,2.273031,1.445999,2.302877,1.477397,0.389213,0.475948,0.826672,0.855098,0.010000,0.435047,172.230014
13,2.261374,1.437401,2.297578,1.475147,0.393586,0.475948,0.820467,0.843262,0.010000,0.435104,172.248510
14,2.248722,1.427790,2.299290,1.479884,0.411808,0.507289,0.826944,0.855490,0.010000,0.435066,172.072173
15,2.238611,1.420706,2.277157,1.460784,0.417638,0.475948,0.838765,0.855346,0.010000,0.435778,172.232672
16,2.228519,1.413630,2.270672,1.457298,0.405248,0.494169,0.831567,0.863952,0.010000,0.435374,172.396667
17,2.220978,1.409092,2.268750,1.458368,0.403061,0.490525,0.839500,0.868404,0.010000,0.435291,172.203774
18,2.210113,1.401206,2.255313,1.447915,0.402332,0.501458,0.833124,0.872902,0.010000,0.435214,172.268457
19,2.202454,1.396533,2.264857,1.460429,0.411808,0.485423,0.822850,0.852662,0.010000,0.435327,172.311298
20,2.192334,1.389374,2.248876,1.447413,0.376822,0.509475,0.827322,0.872560,0.010000,0.435036,172.301146
21,2.182364,1.382370,2.235435,1.436930,0.407434,0.516764,0.847394,0.873082,0.010000,0.435157,172.330375
22,2.172988,1.375939,2.238970,1.443410,0.424198,0.512391,0.849489,0.880479,0.010000,0.435151,172.212928
23,2.168161,1.374054,2.226092,1.433465,0.419825,0.534985,0.853676,0.879961,0.010000,0.436690,171.999545
24,2.157498,1.366319,2.238134,1.448435,0.420554,0.537901,0.846968,0.881439,0.010000,0.434765,170.977200
25,2.152242,1.363979,2.215305,1.428495,0.431487,0.537901,0.861115,0.883969,0.010000,0.435017,171.046465
26,2.142402,1.357032,2.206188,1.422288,0.431487,0.559038,0.851134,0.886705,0.010000,0.434707,171.009474
27,2.139850,1.357375,2.200001,1.418975,0.430758,0.554665,0.861680,0.898028,0.010000,0.435667,172.074433
28,2.128394,1.348798,2.189315,1.411175,0.438776,0.554665,0.864678,0.897034,0.010000,0.435210,172.333932
29,2.120607,1.343888,2.208021,1.432755,0.424198,0.532070,0.844732,0.880727,0.010000,0.435222,172.143857
30,2.116868,1.343018,2.202578,1.430169,0.419096,0.524781,0.848810,0.877553,0.010000,0.436263,179.394933
31,2.112124,1.341122,2.188921,1.419343,0.421283,0.554665,0.854210,0.898643,0.010000,0.436083,178.678128
32,2.101875,1.333708,2.179080,1.412338,0.492711,0.564140,0.875465,0.895560,0.010000,0.435370,178.647120
33,2.098831,1.333485,2.176841,1.412917,0.427843,0.562682,0.866285,0.898157,0.010000,0.435617,178.555625
34,2.093351,1.330811,2.178124,1.417005,0.464286,0.555394,0.865293,0.898759,0.010000,0.435391,178.623844
35,2.087306,1.327579,2.175698,1.417389,0.486152,0.562682,0.857747,0.880540,0.010000,0.435734,178.538485
36,2.080634,1.323702,2.177330,1.421811,0.450437,0.560496,0.870132,0.903107,0.010000,0.435127,178.764507
37,2.079871,1.325710,2.170662,1.417899,0.443149,0.574344,0.874457,0.896624,0.010000,0.435421,178.600260
38,2.071103,1.319713,2.170182,1.420195,0.422741,0.561953,0.850622,0.886092,0.010000,0.435274,178.753453
39,2.063660,1.315049,2.154444,1.407234,0.486880,0.574344,0.875159,0.902002,0.010000,0.435150,178.556515
40,2.059562,1.313722,2.148696,1.404241,0.433673,0.586006,0.876385,0.904162,0.010000,0.435087,178.869190
41,2.053943,1.309807,2.146253,1.402282,0.455539,0.602041,0.875429,0.913324,0.001000,0.435796,178.669809
42,2.038601,1.294770,2.146617,1.402929,0.459184,0.604227,0.876545,0.914338,0.001000,0.435290,178.932328
43,2.036514,1.292967,2.144938,1.401535,0.486880,0.612974,0.875873,0.908117,0.001000,0.435808,178.475758
44,2.035368,1.292106,2.147408,1.404291,0.461370,0.607143,0.872025,0.909558,0.001000,0.435389,179.118978
45,2.034052,1.291075,2.145858,1.403024,0.475219,0.620991,0.878950,0.915021,0.001000,0.435232,178.889380
46,2.030922,1.288230,2.141948,1.399398,0.473032,0.596939,0.878011,0.910536,0.001000,0.435278,178.984664
47,2.030558,1.288150,2.136435,1.394170,0.459184,0.619534,0.883945,0.918789,0.001000,0.435648,178.798298
48,2.031041,1.288917,2.143073,1.401093,0.461370,0.623907,0.878752,0.915178,0.001000,0.435469,179.273895
49,2.030766,1.288926,2.140928,1.399232,0.464286,0.619534,0.882795,0.914774,0.001000,0.435592,179.005472
50,2.028115,1.286559,2.147303,1.405890,0.458455,0.607872,0.880714,0.913412,0.001000,0.435397,179.293015
51,2.026920,1.285648,2.140458,1.399330,0.467201,0.619534,0.888125,0.917195,0.001000,0.435542,178.990665
52,2.027346,1.286358,2.146918,1.406074,0.453353,0.612974,0.881153,0.912993,0.001000,0.435513,178.917492
53,2.025754,1.285050,2.154853,1.414292,0.477405,0.610058,0.879974,0.909116,0.001000,0.435249,178.578928
54,2.024273,1.283852,2.150982,1.410705,0.451895,0.602770,0.875076,0.914230,0.001000,0.435426,178.860526
55,2.024658,1.284521,2.145380,1.405386,0.483236,0.618076,0.881035,0.916449,0.001000,0.435573,178.709804
56,2.024704,1.284851,2.146584,1.406874,0.445335,0.627551,0.875204,0.913548,0.001000,0.435556,178.911769
57,2.023743,1.284174,2.143437,1.404011,0.473761,0.627551,0.883431,0.920369,0.001000,0.435721,178.489396
58,2.021984,1.282698,2.134249,1.395106,0.481050,0.626093,0.891161,0.919094,0.001000,0.435493,178.809625
59,2.021128,1.282125,2.145504,1.406645,0.465015,0.615889,0.881296,0.915089,0.001000,0.435254,178.576605
60,2.021696,1.282976,2.137567,1.398990,0.473032,0.619534,0.880603,0.916415,0.001000,0.435393,178.900445
61,2.020455,1.282019,2.149110,1.410817,0.469388,0.616618,0.879676,0.916188,0.001000,0.435329,178.674470
62,2.018590,1.280435,2.140903,1.402891,0.477405,0.614431,0.883083,0.917048,0.001000,0.435532,178.970993
63,2.019727,1.281855,2.139056,1.401328,0.477405,0.612974,0.888112,0.920349,0.001000,0.435124,178.649468
64,2.020177,1.282588,2.139281,1.401835,0.481778,0.627551,0.879006,0.916184,0.001000,0.435353,178.910374
65,2.017529,1.280223,2.135944,1.398780,0.479592,0.614431,0.886386,0.917661,0.001000,0.435462,178.666719
