epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.819857,3.155370,1.612389,1.732478,0.097616,0.302478,0.317784,0.656662,0.650825,0.010000,0.197442,157.278298
2,1.601540,1.876225,1.509512,1.626890,0.084739,0.368805,0.379738,0.726351,0.736202,0.010000,0.132328,147.904694
3,1.521840,1.759222,1.606052,1.691803,0.092043,0.321429,0.351312,0.658183,0.702096,0.010000,0.132459,148.207610
4,1.480817,1.632954,1.509418,1.624919,0.085906,0.305394,0.373907,0.702686,0.742352,0.010000,0.132377,148.296918
5,1.447049,1.605641,1.535670,1.567038,0.079983,0.370262,0.400146,0.749707,0.767377,0.010000,0.132263,147.803484
6,1.422053,1.580171,1.486057,1.604076,0.087214,0.284257,0.357143,0.688582,0.725298,0.010000,0.132379,148.095982
7,1.400620,1.530877,1.480663,1.675719,0.097198,0.235423,0.251458,0.704744,0.722084,0.010000,0.132255,147.938460
8,1.382993,1.505334,1.371667,1.463021,0.069831,0.413994,0.457726,0.822979,0.824058,0.010000,0.132175,148.748703
9,1.360303,1.450449,1.362211,1.446998,0.070140,0.408163,0.429300,0.835824,0.840164,0.010000,0.132319,148.648146
10,1.345207,1.448865,1.393323,1.645481,0.086904,0.282799,0.338921,0.715185,0.758577,0.010000,0.132268,148.941165
11,1.334959,1.465839,1.417774,1.432895,0.068548,0.387755,0.430758,0.821808,0.833632,0.010000,0.132245,149.141169
12,1.321312,1.441946,1.313381,1.398566,0.065627,0.419096,0.455539,0.834618,0.847050,0.010000,0.132157,150.112326
13,1.306309,1.410572,1.317215,1.382332,0.064883,0.446064,0.448251,0.860120,0.856170,0.010000,0.132586,149.658316
14,1.289635,1.370801,1.308191,1.347728,0.062587,0.470845,0.470117,0.862788,0.856428,0.010000,0.132373,149.866836
15,1.282409,1.357573,1.297933,1.342109,0.061988,0.474490,0.465015,0.861473,0.857166,0.010000,0.132125,149.350865
16,1.271038,1.382464,1.258414,1.274841,0.056882,0.484694,0.478134,0.873877,0.870223,0.010000,0.132222,150.460640
17,1.253739,1.329983,1.262463,1.290530,0.057319,0.521137,0.534257,0.876634,0.880180,0.010000,0.132440,150.474880
18,1.233295,1.336512,1.303346,1.247560,0.056472,0.465743,0.485423,0.874225,0.876817,0.010000,0.132432,150.534774
19,1.222629,1.343039,1.236401,1.315323,0.061774,0.425656,0.453353,0.839675,0.853029,0.010000,0.132216,150.042097
20,1.211287,1.334314,1.232601,1.250285,0.057142,0.500729,0.500000,0.879178,0.877310,0.010000,0.132397,150.469843
21,1.200728,1.362667,1.226102,1.165648,0.051420,0.512391,0.539359,0.879828,0.888718,0.010000,0.132004,149.581204
22,1.170233,1.237433,1.184401,1.185957,0.049843,0.562682,0.557580,0.899085,0.898571,0.010000,0.132307,149.453764
23,1.174132,1.277064,1.195503,1.192486,0.050933,0.541545,0.539359,0.891759,0.891651,0.010000,0.132249,149.638127
24,1.154409,1.245326,1.199853,1.177441,0.050857,0.548105,0.538630,0.888915,0.891570,0.010000,0.132015,149.537095
25,1.132931,1.276866,1.168433,1.203071,0.049736,0.555394,0.554665,0.889812,0.891059,0.010000,0.132295,149.615755
26,1.122564,1.202480,1.151115,1.406027,0.054175,0.514577,0.532070,0.873829,0.877688,0.010000,0.132344,149.622410
27,1.116996,1.361282,1.205214,1.232972,0.050902,0.543003,0.525510,0.891505,0.890690,0.010000,0.132166,149.704684
28,1.108126,1.290240,1.151628,1.150405,0.048224,0.553207,0.554665,0.891439,0.892496,0.010000,0.132152,150.525486
29,1.088768,1.242952,1.354201,2.330123,0.076108,0.381195,0.392128,0.832203,0.837551,0.010000,0.132466,149.812704
30,1.078579,1.162953,1.128921,1.431967,0.048189,0.573615,0.577259,0.889754,0.891819,0.010000,0.132137,149.389753
31,1.062359,1.235570,1.200551,1.682156,0.067391,0.416910,0.402332,0.849070,0.845113,0.010000,0.132290,149.176023
32,1.056536,1.257737,1.203223,2.469595,0.073166,0.410350,0.422741,0.831676,0.837083,0.010000,0.132066,149.168190
33,1.054618,1.227169,1.111525,1.204139,0.047339,0.573615,0.571429,0.901512,0.901617,0.010000,0.132318,150.171136
34,1.045144,1.339409,1.150334,1.383506,0.047952,0.588921,0.591837,0.906607,0.908120,0.010000,0.132212,149.331322
35,1.037604,1.298982,1.100232,1.170200,0.042459,0.623907,0.625364,0.912438,0.912711,0.010000,0.132381,149.287644
36,1.034343,1.268649,1.106706,1.537685,0.047988,0.569971,0.578717,0.903303,0.904816,0.010000,0.132317,150.286682
37,1.028720,1.355589,1.129431,1.412391,0.056571,0.475948,0.460641,0.890067,0.888974,0.010000,0.132198,150.258889
38,1.011865,1.149291,1.111232,1.557103,0.049534,0.567784,0.570700,0.897072,0.897512,0.010000,0.132009,149.215051
39,0.997956,1.078042,1.065011,1.091850,0.040323,0.634840,0.632653,0.921445,0.922241,0.010000,0.132075,150.196492
40,0.992117,1.171832,1.086408,1.570477,0.045135,0.604227,0.604227,0.908892,0.908874,0.010000,0.132220,150.573956
41,0.991357,1.338327,1.089870,1.672544,0.058578,0.532799,0.526968,0.880987,0.882436,0.010000,0.132504,151.189438
42,0.975593,1.371922,1.133519,1.418294,0.051045,0.554665,0.556851,0.896726,0.896718,0.010000,0.132251,150.518061
43,0.969523,1.251536,1.070538,1.360407,0.047602,0.588921,0.580904,0.909515,0.909066,0.010000,0.132020,148.897853
44,0.964069,1.154857,1.055781,1.709356,0.047581,0.612974,0.608601,0.914922,0.914673,0.010000,0.132271,149.951561
45,0.955105,1.044939,1.055756,1.801198,0.047191,0.606414,0.598397,0.911481,0.910736,0.010000,0.132406,149.218540
