epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.948925,2.090849,2.499601,1.650566,0.336006,0.340379,0.707791,0.685106,0.001000,0.433703,331.434214
2,2.436765,1.602928,2.385310,1.567935,0.362974,0.373907,0.759480,0.733389,0.001000,0.397168,311.836434
3,2.330812,1.530981,2.307342,1.525745,0.396501,0.384111,0.797176,0.775395,0.001000,0.397662,307.067456
4,2.249224,1.485980,2.257250,1.512819,0.400875,0.400146,0.793913,0.785404,0.001000,0.397637,300.823378
5,2.197654,1.471112,2.197306,1.488912,0.412536,0.388484,0.799264,0.779463,0.001000,0.397672,308.604572
6,2.136469,1.445562,2.146883,1.473606,0.392128,0.422741,0.780727,0.792064,0.001000,0.397583,304.467553
7,2.073728,1.417366,2.075605,1.436231,0.400146,0.435131,0.818188,0.841765,0.001000,0.397896,303.058561
8,2.033318,1.409541,2.046967,1.438791,0.404519,0.463557,0.819222,0.836199,0.001000,0.397140,304.212731
9,1.979713,1.386443,2.022182,1.443779,0.406706,0.458455,0.812692,0.825372,0.001000,0.398004,307.621241
10,1.944083,1.379047,1.944861,1.393336,0.459913,0.484694,0.863327,0.861861,0.001000,0.397377,303.611754
11,1.895992,1.357285,1.904015,1.377912,0.480321,0.512391,0.872179,0.874980,0.001000,0.397755,298.939644
12,1.855448,1.341036,1.881764,1.379003,0.508017,0.509475,0.873149,0.861615,0.001000,0.397311,292.904007
13,1.826219,1.333984,1.872984,1.391520,0.445335,0.508746,0.852650,0.870695,0.001000,0.397307,291.253192
14,1.783903,1.312289,1.840901,1.379252,0.475219,0.475948,0.861119,0.863505,0.001000,0.397223,294.765507
15,1.754631,1.302053,1.796286,1.352405,0.467201,0.485423,0.861391,0.870198,0.001000,0.397484,306.288831
16,1.719304,1.283674,1.745120,1.317505,0.498542,0.526239,0.883721,0.883824,0.001000,0.397375,291.493248
17,1.697823,1.277889,1.729605,1.316369,0.516035,0.556851,0.887372,0.894582,0.001000,0.397367,282.199796
18,1.664067,1.257882,1.693059,1.293714,0.526239,0.540816,0.889077,0.894653,0.001000,0.397450,289.922882
19,1.624038,1.231369,1.671254,1.285380,0.502915,0.571429,0.886892,0.902271,0.001000,0.397249,282.640756
20,1.601910,1.221203,1.641071,1.266137,0.537172,0.565598,0.878161,0.889816,0.001000,0.397415,279.453718
21,1.569030,1.199305,1.609620,1.245156,0.554665,0.571429,0.892219,0.898709,0.001000,0.397436,282.957483
22,1.556151,1.196113,1.637160,1.279796,0.536443,0.512391,0.880747,0.868739,0.001000,0.397533,282.188479
23,1.507071,1.153888,1.561708,1.213100,0.543003,0.587464,0.893576,0.904474,0.001000,0.397347,280.657975
24,1.493733,1.148687,1.626168,1.283975,0.457726,0.524781,0.859489,0.873250,0.001000,0.397411,280.974868
25,1.480375,1.140473,1.514766,1.176720,0.549563,0.523324,0.876541,0.871699,0.001000,0.397538,299.947886
26,1.440096,1.104899,1.522542,1.190195,0.528426,0.580904,0.881158,0.893882,0.001000,0.397303,277.265853
27,1.408161,1.078372,1.478101,1.150575,0.569242,0.588192,0.891250,0.892750,0.001000,0.397451,278.419441
28,1.386379,1.060705,1.449272,1.125322,0.571429,0.600583,0.897464,0.907258,0.001000,0.397256,274.366840
29,1.349833,1.027391,1.431149,1.110328,0.508746,0.552478,0.872071,0.884150,0.001000,0.397297,277.283407
30,1.361068,1.040065,1.432776,1.111906,0.599125,0.590379,0.901175,0.904671,0.001000,0.397347,278.139091
31,1.315759,0.995577,1.392098,1.072796,0.594752,0.607872,0.907913,0.912016,0.001000,0.397053,269.091098
32,1.304954,0.985599,1.374706,1.055601,0.589650,0.575802,0.917738,0.915907,0.001000,0.397069,277.472722
33,1.285200,0.967126,1.438285,1.118743,0.545190,0.569971,0.891011,0.896293,0.001000,0.397034,275.102719
34,1.313145,0.991821,1.441853,1.118960,0.529883,0.503644,0.904005,0.897861,0.001000,0.397204,271.692545
35,1.253135,0.930494,1.330234,1.008380,0.623907,0.619534,0.910263,0.909191,0.001000,0.397506,279.795067
36,1.229681,0.907949,1.374898,1.052866,0.647959,0.633382,0.915309,0.911705,0.001000,0.397087,274.856752
37,1.216674,0.895248,1.322799,1.001128,0.634111,0.629738,0.917801,0.914730,0.001000,0.397247,270.779504
38,1.184369,0.863412,1.311756,0.990705,0.640671,0.644315,0.927902,0.928862,0.001000,0.397479,273.919893
39,1.171480,0.849941,1.320666,0.998793,0.610058,0.622449,0.922667,0.924931,0.001000,0.396875,272.036098
40,1.165275,0.842480,1.328600,1.005393,0.630466,0.620262,0.923408,0.920450,0.001000,0.397464,270.749757
41,1.143378,0.820244,1.383011,1.058845,0.607143,0.610058,0.907557,0.911241,0.001000,0.397411,281.986881
1,1.053014,0.729583,1.199975,0.877470,0.699708,0.704082,0.940396,0.941928,0.000100,0.433670,358.425699
2,0.987887,0.666410,1.211617,0.891166,0.706997,0.711370,0.939882,0.939869,0.000100,0.397841,333.244452
3,0.962881,0.643421,1.176824,0.858395,0.704082,0.704082,0.942389,0.942774,0.000100,0.397788,307.640594
4,0.946393,0.628957,1.162440,0.846013,0.711370,0.714286,0.948051,0.948800,0.000100,0.397756,300.410017
5,0.932307,0.616829,1.182154,0.867653,0.698980,0.703353,0.940150,0.941444,0.000100,0.397984,307.302776
6,0.923639,0.610084,1.174973,0.862376,0.704082,0.704810,0.943879,0.944306,0.000100,0.397781,311.628273
7,0.911803,0.600126,1.169789,0.858995,0.731778,0.727405,0.945442,0.945199,0.000100,0.398002,299.313429
8,0.905898,0.595971,1.175330,0.866283,0.726676,0.729592,0.943886,0.944685,0.000100,0.397424,311.093017
9,0.890852,0.582649,1.178088,0.870773,0.726676,0.723761,0.946468,0.946066,0.000100,0.398057,311.844317
10,0.879721,0.573235,1.138657,0.832989,0.731050,0.735423,0.946394,0.947938,0.000100,0.397265,303.761167
11,0.870284,0.565447,1.135491,0.831461,0.721574,0.724490,0.945365,0.946561,0.000100,0.397905,309.185499
12,0.860086,0.556841,1.137924,0.835474,0.718659,0.716472,0.947145,0.948726,0.000100,0.397668,300.276684
13,0.853631,0.551942,1.161978,0.861063,0.720845,0.715015,0.944301,0.943555,0.000100,0.397719,296.542128
14,0.841595,0.541421,1.167459,0.868051,0.731050,0.731778,0.943162,0.944361,0.000100,0.397670,307.210082
15,0.836995,0.538331,1.170383,0.872457,0.732507,0.736152,0.947474,0.948295,0.000100,0.397682,305.591558
16,0.828780,0.531553,1.119811,0.823295,0.734694,0.731778,0.949097,0.948874,0.000100,0.398115,300.286621
17,0.820082,0.524249,1.143516,0.848356,0.731050,0.739067,0.944120,0.945983,0.000100,0.398035,296.306158
18,0.812389,0.517912,1.157701,0.863898,0.727405,0.726676,0.948557,0.949417,0.000100,0.397606,300.668236
19,0.806740,0.513566,1.172315,0.879787,0.723761,0.722303,0.946040,0.946135,0.000100,0.398348,295.840664
20,0.799432,0.507517,1.141091,0.849820,0.724490,0.723761,0.944402,0.944210,0.000100,0.397397,296.641162
21,0.790002,0.499352,1.155979,0.865957,0.726676,0.728863,0.945229,0.945501,0.000100,0.397357,297.057108
22,0.787440,0.498002,1.152649,0.863795,0.725219,0.728863,0.940197,0.941585,0.000100,0.397773,292.957505
23,0.778883,0.490620,1.136899,0.849217,0.731778,0.729592,0.947306,0.948235,0.000100,0.397269,300.941128
24,0.772150,0.485047,1.139543,0.853025,0.731050,0.735423,0.943999,0.945568,0.000100,0.397330,290.310033
25,0.762348,0.476398,1.140916,0.855540,0.739067,0.740525,0.949491,0.949865,0.000100,0.397509,291.666438
26,0.756551,0.471716,1.099436,0.815156,0.747813,0.744169,0.950768,0.950935,0.000100,0.397167,323.450915
27,0.750966,0.467214,1.153984,0.870789,0.748542,0.748542,0.949730,0.949720,0.000100,0.397883,294.823662
28,0.743603,0.460954,1.182219,0.900101,0.743440,0.743440,0.943905,0.944942,0.000100,0.397329,297.675195
29,0.733943,0.452349,1.155710,0.874638,0.741254,0.743440,0.948643,0.948897,0.000100,0.397491,290.612663
30,0.732688,0.452115,1.141253,0.861197,0.746356,0.742711,0.949738,0.949128,0.000100,0.397423,287.647884
31,0.723899,0.444340,1.135187,0.856120,0.739796,0.736880,0.949789,0.949011,0.000100,0.397320,292.859554
32,0.713588,0.435007,1.119314,0.841234,0.736152,0.741254,0.947598,0.948270,0.000100,0.397532,289.555938
33,0.709774,0.432172,1.168831,0.891715,0.741254,0.740525,0.945286,0.944726,0.000100,0.397485,295.040831
34,0.703430,0.426780,1.132559,0.856373,0.756560,0.752915,0.950843,0.950735,0.000100,0.397511,292.438755
35,0.695460,0.419749,1.129569,0.854325,0.754373,0.751458,0.949248,0.948303,0.000100,0.397537,288.729086
36,0.692199,0.417419,1.149921,0.875597,0.743440,0.744898,0.947597,0.948261,0.000100,0.397618,298.724164
37,0.683582,0.409711,1.134812,0.861399,0.752915,0.756560,0.948559,0.949040,0.000100,0.397514,289.986420
38,0.675744,0.402776,1.151866,0.879340,0.745627,0.748542,0.946845,0.947262,0.000100,0.397386,289.962804
39,0.667998,0.395895,1.130811,0.859152,0.748542,0.753644,0.951531,0.952282,0.000100,0.397920,297.029121
40,0.662766,0.391544,1.146918,0.876140,0.747813,0.747813,0.946781,0.947788,0.000100,0.397750,287.989196
41,0.663237,0.392856,1.142414,0.872446,0.754373,0.756560,0.950454,0.950065,0.000100,0.397727,299.168787
42,0.662992,0.393403,1.158518,0.889319,0.756560,0.758017,0.948111,0.948488,0.000100,0.397684,286.399463
43,0.659481,0.390659,1.140601,0.872152,0.757289,0.758017,0.948242,0.949378,0.000100,0.397422,292.918655
44,0.655514,0.387426,1.158775,0.891040,0.760204,0.759475,0.950347,0.950509,0.000100,0.397324,286.662688
45,0.650336,0.382909,1.150727,0.883654,0.762391,0.761662,0.948253,0.947785,0.000100,0.397560,295.494004
1,0.631317,0.364289,1.115403,0.848423,0.766035,0.765306,0.951185,0.952235,0.000010,0.428559,298.766382
2,0.625714,0.358780,1.154027,0.887142,0.766764,0.768222,0.949490,0.949168,0.000010,0.393829,273.551772
3,0.623467,0.356632,1.131286,0.864501,0.758017,0.760204,0.951328,0.951481,0.000010,0.393998,264.046862
4,0.622244,0.355508,1.127331,0.860645,0.772595,0.775510,0.954268,0.954615,0.000010,0.393863,255.983271
5,0.618753,0.352116,1.152319,0.885733,0.750729,0.746356,0.947324,0.946511,0.000010,0.393879,263.492862
6,0.620334,0.353798,1.115400,0.848917,0.752187,0.750000,0.948502,0.948556,0.000010,0.394094,258.226720
7,0.617442,0.351009,1.128857,0.862475,0.760204,0.760933,0.950680,0.950658,0.000010,0.393847,259.190900
8,0.617401,0.351068,1.172808,0.906528,0.764577,0.764577,0.948739,0.948762,0.000010,0.393793,264.424432
9,0.614265,0.348034,1.147232,0.881055,0.763120,0.765306,0.950016,0.950123,0.000010,0.393921,260.369632
10,0.610983,0.344854,1.117150,0.851073,0.758017,0.758746,0.950383,0.950183,0.000010,0.393883,256.138272
11,0.610076,0.344048,1.105509,0.839534,0.759475,0.758017,0.951296,0.951036,0.000010,0.393822,261.261430
12,0.609013,0.343089,1.127974,0.862101,0.760933,0.764577,0.952424,0.952588,0.000010,0.394300,253.464326
13,0.607517,0.341697,1.143599,0.877832,0.752187,0.755831,0.948851,0.949846,0.000010,0.393803,253.593581
14,0.606516,0.340802,1.153567,0.887905,0.779155,0.774052,0.949510,0.949389,0.000010,0.393816,260.138698
15,0.606582,0.340972,1.128318,0.862761,0.768950,0.766764,0.950639,0.950875,0.000010,0.393931,251.078236
16,0.604889,0.339384,1.103531,0.838077,0.766035,0.766035,0.952925,0.953159,0.000010,0.393928,257.091122
17,0.602996,0.337595,1.149797,0.884450,0.753644,0.758017,0.947800,0.948762,0.000010,0.393904,252.338512
18,0.603105,0.337809,1.137791,0.872548,0.760933,0.759475,0.951662,0.950765,0.000010,0.393769,251.643700
19,0.602504,0.337313,1.167775,0.902636,0.753644,0.754373,0.950569,0.951019,0.000010,0.393862,255.232587
20,0.601369,0.336281,1.136873,0.871839,0.758746,0.752915,0.951161,0.950415,0.000010,0.393784,248.372209
21,0.600113,0.335133,1.157941,0.893015,0.768950,0.768222,0.951864,0.952061,0.000010,0.393769,254.604581
22,0.598709,0.333834,1.119136,0.854313,0.758017,0.758017,0.950780,0.949524,0.000010,0.393863,245.444706
23,0.597500,0.332728,1.135822,0.871104,0.763120,0.763120,0.950711,0.950942,0.000010,0.393729,255.350912
24,0.596594,0.331928,1.136149,0.871538,0.771137,0.772595,0.949063,0.950373,0.000010,0.393852,247.332393
25,0.595269,0.330711,1.154174,0.889668,0.766035,0.763120,0.951537,0.950360,0.000010,0.393910,251.149446
26,0.593284,0.328832,1.126805,0.862410,0.760204,0.763120,0.952024,0.952377,0.000010,0.394072,244.256508
27,0.593817,0.329473,1.106594,0.842306,0.774781,0.773324,0.953844,0.953857,0.000010,0.393991,245.428623
28,0.593441,0.329207,1.199609,0.935430,0.750729,0.754373,0.944234,0.945845,0.000010,0.393844,242.645929
29,0.591549,0.327422,1.164728,0.900654,0.771866,0.774052,0.950835,0.951654,0.000010,0.394519,242.418967
30,0.590011,0.325989,1.140793,0.876827,0.755831,0.760933,0.949332,0.950365,0.000010,0.394121,242.816053
31,0.589266,0.325352,1.121045,0.857186,0.761662,0.761662,0.951881,0.951875,0.000010,0.394213,239.232589
32,0.587124,0.323322,1.154559,0.890812,0.767493,0.763120,0.949941,0.950202,0.000010,0.394077,246.539774
33,0.587299,0.323605,1.171970,0.908329,0.758746,0.755831,0.947401,0.947500,0.000010,0.394034,243.784924
34,0.584422,0.320837,1.158205,0.894677,0.768222,0.773324,0.952285,0.953306,0.000010,0.394181,242.945336
35,0.583845,0.320372,1.150959,0.887542,0.768222,0.766764,0.950547,0.950631,0.000010,0.394160,241.284842
36,0.582428,0.319066,1.163904,0.900600,0.771866,0.769679,0.950010,0.950404,0.000010,0.394118,242.274968
