epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,3.004328,2.143185,2.583218,1.725102,0.280612,0.303936,0.642597,0.631800,0.001000,0.438978,197.537192
2,2.524026,1.673242,2.469447,1.626901,0.343294,0.352041,0.721805,0.719238,0.001000,0.402756,188.776493
3,2.438628,1.605230,2.414248,1.590690,0.344023,0.392128,0.761907,0.748226,0.001000,0.402909,189.012049
4,2.365729,1.552710,2.341884,1.539934,0.370262,0.423469,0.799924,0.806168,0.001000,0.402719,189.111760
5,2.316897,1.526103,2.319887,1.540666,0.371720,0.412536,0.759652,0.769025,0.001000,0.402740,188.984478
6,2.281015,1.513380,2.316313,1.560422,0.370991,0.434402,0.779453,0.799248,0.001000,0.402830,189.184913
7,2.231675,1.487699,2.249557,1.517831,0.377551,0.443878,0.802678,0.833925,0.001000,0.402805,189.310405
8,2.193887,1.474150,2.220450,1.512883,0.379738,0.457726,0.806604,0.834704,0.001000,0.402794,189.334955
9,2.150937,1.455357,2.187919,1.504368,0.366618,0.464286,0.800285,0.837969,0.001000,0.402763,189.346128
10,2.114130,1.442438,2.088715,1.428801,0.447522,0.481050,0.824166,0.844965,0.001000,0.402852,189.775712
11,2.062409,1.406503,1.980531,1.331069,0.423469,0.447522,0.815981,0.819029,0.001000,0.402735,190.174051
12,1.905462,1.263692,1.881091,1.247661,0.486152,0.494169,0.862267,0.860677,0.001000,0.403023,189.860523
13,1.804057,1.178141,1.781919,1.163309,0.526239,0.513120,0.879420,0.877098,0.001000,0.402816,190.021287
14,1.741474,1.129385,1.780950,1.175358,0.518222,0.490525,0.860281,0.848985,0.001000,0.402916,190.176996
15,1.675558,1.076151,1.719953,1.126739,0.524781,0.513848,0.857368,0.853664,0.001000,0.402922,190.139452
16,1.616469,1.028971,1.656870,1.074951,0.560496,0.543732,0.898508,0.894962,0.001000,0.402981,190.287845
17,1.591903,1.015480,1.631498,1.060172,0.543003,0.550292,0.885574,0.892146,0.001000,0.402817,189.962180
18,1.540123,0.974118,1.593740,1.033207,0.584548,0.579446,0.895176,0.895351,0.001000,0.402882,190.111944
19,1.500836,0.944991,1.589756,1.039026,0.585277,0.578717,0.903542,0.906298,0.001000,0.402958,190.189413
20,1.463293,0.917338,1.519653,0.977785,0.620991,0.623907,0.906122,0.906178,0.001000,0.403089,190.466526
21,1.421785,0.884682,1.542809,1.009063,0.566327,0.553207,0.902072,0.899492,0.001000,0.402991,190.043241
22,1.432689,0.902847,1.507059,0.980051,0.588921,0.585277,0.902475,0.903166,0.001000,0.403039,190.225066
23,1.347285,0.825171,1.454340,0.936818,0.624636,0.623907,0.912875,0.919597,0.001000,0.403019,190.163315
24,1.304634,0.791248,1.470147,0.959815,0.601312,0.605685,0.905839,0.910597,0.001000,0.402816,190.090030
25,1.275179,0.768203,1.418010,0.914425,0.633382,0.627551,0.919776,0.915464,0.001000,0.402875,190.045622
26,1.265548,0.764649,1.425480,0.926643,0.640671,0.624636,0.913204,0.910642,0.001000,0.402711,190.091300
27,1.226286,0.730545,1.455595,0.962508,0.618076,0.623907,0.905764,0.906366,0.001000,0.402988,190.109933
28,1.227052,0.736475,1.430887,0.941575,0.624636,0.625364,0.913799,0.916985,0.001000,0.402766,190.138684
29,1.206717,0.719316,1.397872,0.913623,0.625364,0.629009,0.914509,0.914947,0.001000,0.402930,190.457633
30,1.181331,0.699164,1.357857,0.878127,0.668367,0.672012,0.924516,0.924515,0.001000,0.402914,190.159290
31,1.143301,0.665847,1.370221,0.895340,0.658892,0.653790,0.933057,0.933376,0.001000,0.402875,190.072148
32,1.148092,0.675109,1.335783,0.863197,0.677114,0.667638,0.924773,0.924040,0.001000,0.402863,190.127471
33,1.138945,0.668264,1.388167,0.918243,0.638484,0.637755,0.922235,0.924202,0.001000,0.402715,190.206253
