epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,4.839633,11.951798,3.675190,4.189657,0.207675,0.123907,0.169096,0.070892,0.062367,0.010000,0.545280,199.716613
2,3.190717,2.677215,3.035459,2.094481,0.132762,0.155248,0.139942,0.225160,0.217844,0.010000,0.471012,188.680909
3,3.019438,2.281467,3.251431,4.647298,0.188326,0.151603,0.178571,0.135860,0.086684,0.010000,0.470943,187.725206
4,3.174286,5.324445,3.456625,9.755355,0.347912,0.086006,0.106414,-0.015887,-0.020904,0.010000,0.470790,189.376747
5,2.921028,2.491326,2.916485,2.270959,0.156400,0.122449,0.180758,0.341160,0.290171,0.010000,0.471246,189.348267
6,2.675471,1.991702,2.591766,1.843499,0.112527,0.264577,0.292274,0.484826,0.544888,0.010000,0.470924,186.694405
7,2.526084,1.723182,2.526947,1.709676,0.095579,0.319242,0.339650,0.650987,0.657904,0.010000,0.470498,184.895960
8,2.477786,1.663978,2.472478,1.627651,0.085830,0.335277,0.367347,0.739158,0.723662,0.010000,0.470075,184.609588
9,2.450554,1.629025,2.451776,1.596753,0.082677,0.343294,0.389213,0.749656,0.751688,0.010000,0.470462,185.753151
10,2.420236,1.629324,2.438554,1.592733,0.081987,0.353499,0.382653,0.758729,0.754234,0.010000,0.470962,186.253916
11,2.396838,1.582589,2.437035,1.600580,0.082765,0.349854,0.389213,0.732669,0.749666,0.010000,0.470317,186.452463
12,2.375101,1.560440,2.403518,1.565776,0.079103,0.357872,0.390671,0.769728,0.787786,0.010000,0.471337,190.507639
13,2.357952,1.560713,2.391181,1.566051,0.078533,0.354227,0.395773,0.768860,0.790965,0.010000,0.470491,187.232902
14,2.341620,1.530330,2.366796,1.536747,0.075810,0.387755,0.424198,0.797101,0.802847,0.010000,0.470593,190.500534
15,2.327893,1.526592,2.362936,1.567033,0.079575,0.343294,0.404519,0.752400,0.763451,0.010000,0.470766,190.873251
16,2.317020,1.510921,2.344694,1.541306,0.077132,0.352770,0.409621,0.778891,0.807843,0.010000,0.470538,190.167859
17,2.299757,1.502775,2.341875,1.522887,0.073848,0.397959,0.446793,0.798010,0.808542,0.010000,0.470434,189.518609
18,2.292006,1.495768,2.335935,1.518873,0.073365,0.384840,0.435860,0.806783,0.821035,0.010000,0.470171,188.332474
19,2.276072,1.475805,2.321240,1.515815,0.073044,0.381924,0.438047,0.806977,0.826774,0.010000,0.470562,190.397146
20,2.267680,1.481884,2.335875,1.529291,0.075453,0.365889,0.437318,0.792852,0.812909,0.010000,0.470446,190.269778
21,2.256775,1.485303,2.310889,1.501010,0.072164,0.368805,0.455539,0.799195,0.840580,0.010000,0.470769,190.111911
22,2.245560,1.478669,2.307555,1.512128,0.073678,0.357872,0.443878,0.794602,0.828872,0.010000,0.470780,189.980065
23,2.236403,1.455035,2.285248,1.518412,0.075270,0.346210,0.417638,0.777337,0.825064,0.010000,0.471014,189.984341
24,2.229496,1.460939,2.289038,1.482093,0.069159,0.398688,0.480321,0.825031,0.847581,0.010000,0.471856,189.499287
