epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.965026,2.102397,2.485689,1.625378,0.365889,0.333819,0.660008,0.659188,0.001000,0.481700,205.691160
2,2.386223,1.531791,2.293114,1.445169,0.424198,0.395044,0.693087,0.718843,0.001000,0.441313,196.837486
3,2.225206,1.384283,2.222513,1.388840,0.472303,0.414723,0.714552,0.746017,0.001000,0.441220,196.774467
4,2.099462,1.273520,2.146760,1.328785,0.473032,0.436589,0.744099,0.787292,0.001000,0.441391,196.502106
5,2.030087,1.219771,2.059017,1.256734,0.505102,0.465743,0.753444,0.789432,0.001000,0.440965,197.204519
6,1.948692,1.154251,2.024097,1.237664,0.513848,0.487609,0.772847,0.797184,0.001000,0.441081,197.292922
7,1.865188,1.086680,1.889456,1.119170,0.558309,0.516764,0.823106,0.850483,0.001000,0.441382,197.393083
8,1.770969,1.008531,1.826772,1.072153,0.570700,0.527697,0.824768,0.853411,0.001000,0.441152,197.439560
9,1.723568,0.976411,1.808121,1.068422,0.590379,0.532070,0.848427,0.867527,0.001000,0.440839,197.403467
10,1.663840,0.931384,1.698207,0.972878,0.637026,0.577259,0.857891,0.880490,0.001000,0.441066,197.451185
11,1.592087,0.873938,1.734294,1.023446,0.624636,0.583090,0.853689,0.872210,0.001000,0.441164,197.476954
12,1.539169,0.835104,1.677474,0.980262,0.614431,0.565598,0.858271,0.870373,0.001000,0.441442,197.504996
13,1.501346,0.810316,1.658268,0.973812,0.623907,0.600583,0.866096,0.887567,0.001000,0.440931,197.534925
14,1.436695,0.758223,1.636702,0.964173,0.650146,0.602041,0.866148,0.886789,0.001000,0.441208,197.465803
15,1.406656,0.739922,1.575535,0.914492,0.628280,0.595481,0.860761,0.883655,0.001000,0.441261,197.584790
16,1.350838,0.695680,1.491926,0.842276,0.666910,0.645044,0.899055,0.918336,0.001000,0.441258,197.505584
17,1.316109,0.671860,1.542230,0.902878,0.658892,0.620991,0.881338,0.906444,0.001000,0.441008,197.538983
18,1.273989,0.639633,1.516653,0.887325,0.662536,0.637026,0.875046,0.898933,0.001000,0.441476,197.587678
19,1.239120,0.614513,1.473793,0.853685,0.688776,0.660350,0.894428,0.902548,0.001000,0.441376,197.557668
20,1.221495,0.605539,1.432364,0.820324,0.710641,0.686589,0.908675,0.922687,0.001000,0.441868,197.615680
21,1.174145,0.566509,1.434044,0.830408,0.686589,0.672012,0.884958,0.910002,0.001000,0.441239,197.564977
22,1.152551,0.552557,1.444245,0.847732,0.706268,0.674927,0.897517,0.915362,0.001000,0.441304,197.564882
23,1.099796,0.506960,1.434080,0.844793,0.701895,0.690962,0.898779,0.914769,0.001000,0.441494,197.430811
24,1.095824,0.509533,1.365372,0.781943,0.712828,0.685860,0.910522,0.924323,0.001000,0.440994,197.458092
25,1.061709,0.481768,1.349406,0.772432,0.717201,0.704810,0.902076,0.915220,0.001000,0.441379,197.569242
26,1.032354,0.458379,1.358991,0.787346,0.713557,0.695335,0.905001,0.920113,0.001000,0.441273,197.593301
27,1.008307,0.439404,1.396598,0.830022,0.710641,0.699708,0.905311,0.917470,0.001000,0.441272,197.589225
28,0.988395,0.424545,1.453054,0.891643,0.713557,0.690233,0.913465,0.921643,0.001000,0.441502,197.572589
29,0.974715,0.415177,1.329456,0.771775,0.724490,0.732507,0.906393,0.925806,0.001000,0.441087,197.456224
30,0.956480,0.400764,1.350126,0.796108,0.704810,0.690233,0.898341,0.914603,0.001000,0.441367,197.599113
31,0.936327,0.384578,1.374099,0.824263,0.720845,0.707726,0.903236,0.916780,0.001000,0.441403,197.611625
32,0.922791,0.374793,1.330999,0.784989,0.749271,0.731778,0.920398,0.925455,0.001000,0.441535,197.686614
33,0.874943,0.331388,1.289019,0.747449,0.739067,0.725948,0.909586,0.926380,0.001000,0.441256,197.584434
34,0.889127,0.349115,1.345825,0.807142,0.741254,0.714286,0.918766,0.925065,0.001000,0.441417,197.711501
35,0.861337,0.324965,1.267348,0.732263,0.751458,0.732507,0.919087,0.929329,0.001000,0.441297,197.651358
36,0.852303,0.319045,1.380400,0.848850,0.728134,0.716472,0.899489,0.917227,0.001000,0.441132,197.667693
